Frame#,Time,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
131,1.083,-311.16174,-416.89496,1387.54871
132,1.092,-303.25793,-417.85608,1388.11047
133,1.1,-295.49161,-418.1842,1388.60315
134,1.108,-288.12112,-418.51065,1389.40637
135,1.117,-281.27939,-419.44479,1390.02112
136,1.125,-273.64172,-419.06833,1390.99841
137,1.133,-265.55466,-418.78104,1391.14172
138,1.142,-257.80563,-420.13385,1391.65588
139,1.15,-250.21495,-419.03195,1391.79565
140,1.158,-242.94859,-418.49609,1391.87305
141,1.167,-235.79701,-420.37283,1392.21484
142,1.175,-227.92079,-419.92303,1392.4259
143,1.183,-220.99557,-419.20181,1391.76306
144,1.192,-212.8822,-419.33557,1391.45203
145,1.2,-205.65945,-419.34406,1391.63806
146,1.208,-199.00987,-419.6098,1391.18909
147,1.217,-191.76959,-420.69122,1391.21082
148,1.225,-184.72458,-419.26926,1390.38965
149,1.233,-176.29031,-419.6181,1389.98462
150,1.242,-168.83295,-419.50299,1389.55066
151,1.25,-161.7697,-418.50671,1388.88489
152,1.258,-153.33272,-418.14395,1388.63269
153,1.267,-146.00446,-418.20776,1388.19556
154,1.275,-138.60899,-418.14258,1387.10779
155,1.283,-131.39259,-417.83292,1386.21655
156,1.292,-123.36276,-416.52249,1385.33167
157,1.3,-115.97728,-416.36444,1384.56714
158,1.308,-108.61776,-415.1138,1383.21484
159,1.317,-100.2438,-414.69156,1382.83838
160,1.325,-93.76487,-413.09186,1381.6532
161,1.333,-85.40157,-411.64975,1380.45288
162,1.342,-78.37654,-410.97919,1379.57629
163,1.35,-70.67515,-410.46323,1379.43152
164,1.358,-63.47047,-408.71909,1378.70618
165,1.367,-55.66509,-406.35345,1377.66394
166,1.375,-47.13094,-405.93814,1376.32727
167,1.383,-40.39192,-404.21585,1375.68909
168,1.392,-32.63488,-402.5412,1375.17065
169,1.4,-24.32513,-401.36853,1374.86951
170,1.408,-16.51265,-399.71094,1374.21887
171,1.417,-9.06068,-397.75043,1374.44629
172,1.425,-0.93231,-396.58643,1373.61401
173,1.433,7.37951,-395.36472,1373.53699
174,1.442,15.30623,-393.45898,1373.76196
175,1.45,23.00975,-391.83194,1374.21704
176,1.458,30.81347,-390.405,1374.8429
177,1.467,39.23867,-388.85254,1375.51599
178,1.475,47.32503,-387.04419,1376.39722
179,1.483,56.29265,-387.46765,1377.66626
180,1.492,63.02241,-384.87814,1377.4856
181,1.5,71.30223,-383.63501,1378.36768
182,1.508,79.44236,-382.45892,1379.55164
183,1.517,87.47285,-380.91092,1380.44934
184,1.525,94.99554,-380.28299,1381.3479
185,1.533,102.10271,-379.10464,1382.4176
186,1.542,109.77918,-377.74133,1382.54565
187,1.55,118.12933,-376.79465,1383.50159
188,1.558,125.53584,-374.59579,1384.38623
189,1.567,132.36684,-373.1308,1385.19312
190,1.575,141.74739,-372.73764,1386.66187
191,1.583,148.57661,-371.77066,1387.1676
192,1.592,156.59369,-371.71216,1388.44031
193,1.6,163.48332,-370.04688,1390.1001
194,1.608,171.01057,-370.33368,1392.15503
195,1.617,178.41495,-369.26999,1393.50647
196,1.625,186.24004,-368.56558,1394.2489
197,1.633,192.68695,-367.20352,1395.52832
198,1.642,200.22737,-368.85999,1396.14502
199,1.65,207.94431,-366.20248,1397.55286
200,1.658,214.94803,-366.11224,1398.51685
201,1.667,221.95352,-365.42105,1400.04077
202,1.675,229.34221,-365.28638,1400.7782
203,1.683,236.56883,-364.80075,1400.95374
204,1.692,243.36174,-363.58606,1402.58557
205,1.7,250.19626,-363.43457,1402.56738
206,1.708,257.56622,-363.40085,1403.04407
207,1.717,264.46051,-363.67725,1403.20557
208,1.725,271.54007,-361.90356,1403.83862
209,1.733,278.3291,-362.229,1404.06335
210,1.742,284.87164,-362.62949,1404.13281
211,1.75,292.56531,-361.23987,1404.5188
212,1.758,299.22208,-360.66837,1405.49927
213,1.767,306.53015,-361.07422,1404.30615
214,1.775,313.58795,-361.87964,1404.95105
215,1.783,320.2695,-360.99234,1404.63904
216,1.792,326.72012,-361.31339,1404.18774
217,1.8,334.44382,-362.12491,1404.02429
218,1.808,341.87982,-361.75598,1403.5968
219,1.817,348.82574,-361.43744,1403.36877
220,1.825,356.11621,-361.06113,1402.99316
221,1.833,363.84204,-361.61569,1402.13513
222,1.842,371.24463,-360.52988,1401.68884
223,1.85,378.23587,-361.26053,1400.83252
224,1.858,385.49072,-362.99979,1400.69409
225,1.867,394.13113,-361.64484,1399.16699
226,1.875,400.59229,-362.50903,1397.99207
227,1.883,408.52463,-363.7439,1397.08276
228,1.892,416.34515,-363.2829,1396.30359
229,1.9,423.65097,-364.13638,1395.12781
230,1.908,430.5993,-365.33444,1393.29553
231,1.917,438.75388,-365.80194,1392.59802
232,1.925,446.85049,-367.08582,1391.04614
233,1.933,454.29053,-367.55457,1390.62317
234,1.942,462.56677,-367.71872,1389.073
235,1.95,469.7977,-369.39645,1387.04749
236,1.958,478.69229,-370.12302,1386.24548
237,1.967,488.064,-370.59833,1384.28796
238,1.975,493.4072,-372.02484,1382.09644
239,1.983,501.66888,-372.89508,1380.84399
240,1.992,508.54312,-375.29221,1379.91699
241,2,517.59473,-375.36377,1378.10229
242,2.008,526.82196,-376.32501,1376.06995
243,2.017,534.26532,-378.5687,1375.83521
244,2.025,542.1543,-379.71582,1375.08203
245,2.033,550.45355,-381.68378,1373.19873
246,2.042,557.93298,-383.82001,1372.13318
247,2.05,567.698,-384.09518,1371.30127
248,2.058,574.86035,-385.96964,1370.27661
249,2.067,583.43616,-388.31406,1371.11694
250,2.075,592.04272,-388.12607,1371.78687
251,2.083,599.99091,-390.51956,1371.66785
252,2.092,608.59552,-392.61609,1373.04797
253,2.1,617.06091,-394.89871,1372.82886
254,2.108,625.3504,-396.59723,1374.40613
255,2.117,634.21234,-398.22269,1375.21521
256,2.125,641.81702,-400.76099,1376.15979
257,2.133,651.34009,-400.94373,1375.99109
258,2.142,659.76935,-403.67636,1377.19299
259,2.15,667.77478,-405.50806,1378.76697
260,2.158,675.87219,-406.83493,1379.41638
261,2.167,684.90338,-408.28992,1380.02698
262,2.175,692.96967,-409.98972,1380.73181
263,2.183,701.2981,-412.45691,1381.81543
264,2.192,709.50885,-413.48438,1381.35168
265,2.2,716.77863,-416.07452,1383.0166
266,2.208,725.2688,-416.66522,1383.18164
267,2.217,733.04327,-417.71466,1384.00537
268,2.225,740.87677,-419.39505,1384.66565
269,2.233,748.68225,-421.13727,1385.29211
270,2.242,755.6347,-421.30951,1386.36536
271,2.25,763.55957,-422.4465,1386.75208
272,2.258,771.91388,-423.41992,1388.10669
273,2.267,778.6684,-425.59515,1388.3147
274,2.275,786.93201,-425.92105,1390.56934
275,2.283,793.02789,-428.89096,1390.25757
276,2.292,801.60004,-427.50827,1391.46533
277,2.3,807.95013,-430.51498,1391.70422
278,2.308,816.77295,-429.37259,1393.3634
279,2.317,822.8537,-432.05737,1393.74146
280,2.325,831.03961,-431.5733,1393.91125
281,2.333,837.08905,-433.72293,1394.35522
282,2.342,846.46716,-433.29376,1395.09033
283,2.35,852.24121,-435.36307,1394.26282
284,2.358,860.22327,-434.1185,1395.05017
285,2.367,866.59973,-435.50919,1394.78381
286,2.375,874.95386,-435.74329,1395.82642
287,2.383,880.13696,-437.49057,1395.15747
288,2.392,889.36395,-437.78152,1395.83972
289,2.4,897.49597,-439.03122,1395.60608
290,2.408,904.52081,-439.03922,1394.47449
291,2.417,912.4364,-438.89188,1394.45679
292,2.425,918.63251,-440.22849,1394.31689
293,2.433,926.68445,-439.49268,1394.28406
294,2.442,933.79114,-440.12146,1393.10864
295,2.45,941.91925,-440.28445,1393.28748
296,2.458,949.13751,-440.10062,1391.93384
297,2.467,955.8924,-441.19659,1390.97278
298,2.475,963.82013,-440.97427,1389.46057
299,2.483,970.67657,-440.94962,1389.96594
300,2.492,979.12469,-440.08823,1389.05664
301,2.5,986.35773,-441.06595,1388.41345
302,2.508,994.04883,-440.4841,1386.19885
