Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,-1194.60632,-308.7876,1415.61829,-1217.25146,-577.31744,1406.15503,-1265.9751,-230.79555,1453.04492
2,0.008,-1187.03943,-309.76257,1414.76514,-1210.4939,-575.8689,1406.14697,-1259.27417,-229.85356,1452.65515
3,0.017,-1181.33362,-309.5062,1415.04541,-1203.10083,-576.60962,1404.82178,-1252.31067,-230.35008,1452.65002
4,0.025,-1172.91162,-307.91754,1414.474,-1195.56665,-576.86621,1404.90955,-1246.64478,-229.96645,1452.12317
5,0.033,-1166.39392,-308.77606,1413.31348,-1189.53174,-575.68011,1403.97034,-1239.23669,-228.80215,1451.29382
6,0.042,-1159.7229,-305.42947,1412.82239,-1178.41907,-574.36072,1403.89624,-1233.53772,-228.52873,1451.55725
7,0.05,-1152.42456,-307.72598,1411.58411,-1173.42993,-574.85419,1403.00879,-1226.27002,-229.36127,1450.82043
8,0.058,-1144.13586,-305.82816,1411.01306,-1163.83301,-573.59766,1402.63708,-1219.48987,-227.93207,1449.7179
9,0.067,-1139.16895,-305.3446,1410.43799,-1157.76318,-574.20654,1401.52905,-1211.91797,-228.0031,1449.58325
10,0.075,-1130.30542,-303.23245,1409.73962,-1149.37451,-572.8606,1401.26794,-1204.2334,-227.66266,1448.65088
11,0.083,-1123.62305,-303.8009,1407.80859,-1142.15906,-573.56458,1399.99255,-1196.69031,-226.81194,1447.33728
12,0.092,-1114.83899,-304.40225,1406.92383,-1133.15979,-571.29437,1398.92664,-1190.25452,-225.89835,1445.91956
13,0.1,-1106.77673,-302.87695,1406.53564,-1125.17346,-570.65851,1397.34656,-1184.19775,-224.34525,1445.20386
14,0.108,-1100.19641,-301.19244,1405.81226,-1116.64465,-569.69409,1396.62292,-1177.26819,-223.61006,1443.93469
15,0.117,-1092.32922,-299.76221,1405.24207,-1109.6604,-567.11194,1396.12817,-1169.34119,-222.19252,1442.66443
16,0.125,-1084.77051,-299.07864,1403.3429,-1103.76819,-567.36749,1395.86792,-1162.31238,-221.05602,1440.93323
17,0.133,-1079.08276,-296.427,1403.68762,-1093.59155,-566.20135,1395.13159,-1155.49304,-219.62766,1439.55005
18,0.142,-1069.82446,-296.75089,1402.90869,-1086.61133,-564.00433,1393.81433,-1147.50452,-217.64848,1438.19116
19,0.15,-1061.59375,-293.78275,1401.50964,-1080.61951,-565.09442,1394.40173,-1139.82837,-216.62387,1436.02856
20,0.158,-1055.604,-292.49271,1400.53943,-1071.37012,-561.0116,1391.29724,-1132.71802,-215.07793,1434.80066
21,0.167,-1047.71814,-290.40451,1399.42297,-1062.01428,-560.37799,1392.60278,-1126.06165,-213.49658,1433.84229
22,0.175,-1039.46094,-287.82147,1398.8324,-1055.25256,-557.46521,1392.46875,-1119.21777,-211.71375,1432.48389
23,0.183,-1032.89941,-288.32742,1398.10657,-1049.45691,-557.61554,1392.4314,-1111.73511,-209.87662,1431.18872
24,0.192,-1025.79163,-284.74808,1397.01306,-1041.4353,-553.80963,1391.40662,-1104.02917,-208.12804,1430.11145
25,0.2,-1016.97449,-283.46899,1395.50732,-1032.4519,-554.24432,1393.11633,-1096.64844,-206.1459,1428.94946
26,0.208,-1009.56738,-283.02512,1394.85864,-1023.82617,-549.88422,1390.42468,-1088.0708,-203.74316,1427.69885
27,0.217,-1002.56952,-279.3316,1394.27063,-1016.56171,-549.01587,1392.14954,-1082.03406,-201.71382,1426.92615
28,0.225,-993.84027,-277.22855,1393.41724,-1007.45618,-546.11743,1391.94348,-1073.43884,-198.64575,1426.80701
29,0.233,-985.19165,-276.10266,1393.41089,-1002.17419,-545.49298,1392.32202,-1065.255,-197.28584,1425.31274
30,0.242,-977.85388,-274.92035,1394.54846,-991.73083,-542.25336,1393.61218,-1057.03931,-196.86516,1425.26233
31,0.25,-969.77747,-272.30829,1394.14233,-984.84479,-542.57825,1393.12842,-1049.09277,-193.1665,1426.34863
32,0.258,-960.80994,-268.92432,1394.38354,-976.56622,-538.56171,1394.7262,-1041.10608,-191.27287,1426.63867
33,0.267,-952.44952,-267.15054,1394.57739,-970.87018,-537.60034,1395.98853,-1032.0293,-189.10831,1425.69934
34,0.275,-945.59991,-265.92255,1394.87952,-960.30585,-534.40002,1397.07007,-1024.026,-188.2632,1426.95178
35,0.283,-937.06854,-262.16324,1395.31409,-952.77545,-533.92871,1397.1095,-1016.16058,-185.93575,1426.13831
36,0.292,-931.22229,-261.89645,1396.3761,-945.39996,-530.34656,1398.99158,-1008.16711,-184.3564,1427.02551
37,0.3,-923.36334,-260.98007,1395.61853,-938.13361,-530.8335,1400.50427,-1000.23401,-182.5255,1427.17529
38,0.308,-915.33301,-257.95361,1397.0177,-929.94281,-528.63239,1401.44849,-994.01788,-180.29933,1427.55469
39,0.317,-908.19757,-258.63364,1397.92188,-922.289,-527.32928,1404.03577,-987.13934,-178.76707,1427.83203
40,0.325,-899.33807,-255.94626,1397.93518,-915.14539,-526.70892,1404.42297,-979.16748,-177.31801,1429.1178
41,0.333,-891.80316,-254.58917,1398.82227,-905.06604,-523.20709,1404.5498,-971.4317,-175.5359,1429.85266
42,0.342,-886.50836,-253.27032,1400.35229,-900.13995,-523.0448,1406.80945,-963.96985,-175.05475,1430.58362
43,0.35,-877.95135,-250.37091,1400.38501,-892.8562,-521.35852,1407.9613,-956.42395,-173.98637,1430.96082
44,0.358,-869.17035,-249.73694,1401.12622,-887.36755,-522.60931,1410.16541,-948.53058,-172.73941,1432.13062
45,0.367,-861.70911,-249.06354,1402.48315,-878.10559,-520.09143,1411.51343,-940.26105,-171.1203,1432.39478
46,0.375,-853.8161,-247.09532,1403.00928,-871.58081,-518.99615,1412.10498,-932.63086,-169.53792,1433.07056
47,0.383,-846.54907,-246.88754,1403.72278,-862.61292,-516.73712,1412.96716,-924.05542,-168.70927,1433.46216
48,0.392,-838.93195,-245.28865,1403.3385,-855.28839,-516.26013,1412.92725,-915.97931,-166.70383,1434.9574
49,0.4,-831.59448,-244.94429,1405.078,-849.06995,-515.31201,1414.69189,-908.85187,-166.31113,1435.7998
50,0.408,-825.41632,-244.18903,1405.96936,-840.78027,-512.13831,1414.63904,-900.73242,-164.78447,1436.89905
51,0.417,-816.52887,-242.88983,1406.75317,-834.64429,-513.78406,1417.85693,-893.30939,-163.89217,1438.76575
52,0.425,-809.97968,-243.04593,1407.63232,-827.21613,-513.13269,1418.29175,-886.23773,-162.76408,1439.6283
53,0.433,-802.53546,-241.72714,1409.45227,-819.38879,-511.34946,1417.69531,-878.70898,-162.13078,1440.5061
54,0.442,-795.94067,-241.38248,1409.55859,-811.896,-509.09219,1419.73157,-871.52026,-161.64102,1441.52966
55,0.45,-788.91425,-241.22969,1411.48206,-806.73022,-509.22968,1420.58459,-864.47052,-161.24648,1442.68359
