Frame#,Time,R.ASIS.x,R.ASIS.y,R.ASIS.z
1,0,-1246.62683,-673.57324,1087.25073
2,0.008,-1238.23645,-675.72809,1086.20459
3,0.017,-1229.42542,-675.72522,1086.13306
4,0.025,-1220.55054,-675.21588,1085.06323
5,0.033,-1212.54126,-676.58008,1084.9176
6,0.042,-1203.2666,-674.63885,1084.07202
7,0.05,-1194.42932,-676.04449,1083.40747
8,0.058,-1185.59961,-673.51434,1082.94592
9,0.067,-1177.87866,-675.24548,1081.64038
10,0.075,-1168.6322,-673.37708,1081.20264
11,0.083,-1160.51843,-674.22083,1081.15149
12,0.092,-1151.49792,-671.88708,1079.61157
13,0.1,-1142.56079,-673.55414,1079.44958
14,0.108,-1134.03833,-670.8446,1078.71252
15,0.117,-1125.57568,-672.11456,1077.65649
16,0.125,-1116.33594,-670.01917,1077.43738
17,0.133,-1108.88293,-670.91406,1076.22498
18,0.142,-1099.49609,-668.35321,1075.46082
19,0.15,-1090.2312,-667.33789,1075.61792
20,0.158,-1082.66968,-666.23993,1075.2262
21,0.167,-1073.13574,-664.38403,1074.1178
22,0.175,-1065.58484,-664.56903,1074.28296
23,0.183,-1056.07251,-662.60181,1073.91162
24,0.192,-1048.23889,-661.43152,1073.50757
25,0.2,-1039.50269,-660.43579,1074.36804
26,0.208,-1030.14453,-657.90802,1075.35388
27,0.217,-1022.87469,-658.20624,1074.92163
28,0.225,-1014.72015,-655.59808,1074.87134
29,0.233,-1006.78619,-656.22699,1075.54736
30,0.242,-998.9032,-653.7182,1076.83337
31,0.25,-989.83746,-650.41058,1077.91943
32,0.258,-983.02057,-651.20129,1078.49011
33,0.267,-974.70361,-648.57074,1079.77124
34,0.275,-967.18579,-648.63776,1080.84949
35,0.283,-959.43793,-646.45618,1082.28833
36,0.292,-952.03192,-644.26794,1082.97302
37,0.3,-945.1944,-644.60925,1085.25354
38,0.308,-936.96875,-643.39832,1086.52393
39,0.317,-929.94531,-641.50092,1089.20679
40,0.325,-922.52557,-639.0426,1089.83435
41,0.333,-915.42865,-637.31372,1090.85913
42,0.342,-908.84357,-637.25433,1092.52588
43,0.35,-902.35333,-637.30872,1093.02039
44,0.358,-894.74719,-634.36249,1093.73596
45,0.367,-887.64014,-632.91809,1094.97168
46,0.375,-880.96411,-631.77124,1096.69983
47,0.383,-874.66656,-632.4458,1097.26709
48,0.392,-867.09674,-629.75684,1098.9668
49,0.4,-860.83063,-630.38702,1099.18665
50,0.408,-853.97052,-628.54401,1100.76526
51,0.417,-847.10645,-627.21436,1101.43677
52,0.425,-840.33307,-627.14264,1102.70459
53,0.433,-833.53467,-626.06171,1103.38831
54,0.442,-827.12982,-623.74231,1104.2113
55,0.45,-821.75885,-624.30341,1105.60974
56,0.458,-814.70984,-622.24847,1106.52295
57,0.467,-808.85822,-622.95093,1108.06323
58,0.475,-801.56116,-620.54456,1108.6897
59,0.483,-796.12067,-620.68109,1109.64172
60,0.492,-789.10956,-620.42328,1110.73059
61,0.5,-783.50067,-618.93884,1111.9613
62,0.508,-777.03845,-618.46387,1111.75378
63,0.517,-770.71368,-617.78906,1112.31506
64,0.525,-764.10413,-617.39948,1113.0929
65,0.533,-757.771,-616.44836,1114.22681
66,0.542,-751.96228,-615.78705,1113.92944
67,0.55,-745.06946,-615.19739,1113.62402
68,0.558,-739.02441,-615.67731,1114.06311
69,0.567,-732.03284,-614.51898,1112.79053
70,0.575,-726.04858,-613.5564,1113.01208
71,0.583,-719.7774,-612.65375,1112.45386
72,0.592,-713.3078,-612.07593,1112.33118
73,0.6,-705.88141,-611.94757,1110.83777
74,0.608,-699.66864,-610.68945,1110.8335
75,0.617,-692.77112,-609.98785,1110.10315
