Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,-1622.27771,47.05131,1236.96362,-1504.31958,-127.07164,1179.89954
2,0.008,-1616.99438,46.98117,1236.86572,-1499.83264,-126.60754,1180.13855
3,0.017,-1611.77075,47.31137,1236.74487,-1496.80566,-126.57139,1179.42456
4,0.025,-1608.95618,48.25593,1236.85266,-1494.0304,-126.77123,1180.00012
5,0.033,-1604.44934,48.8189,1236.86389,-1489.14258,-125.90433,1179.83081
6,0.042,-1599.32239,49.13195,1236.45544,-1487.31494,-126.00362,1180.20703
7,0.05,-1594.9884,49.0172,1236.52576,-1482.45007,-125.29932,1179.37842
8,0.058,-1590.30676,49.42453,1236.84424,-1477.51587,-126.47633,1179.93616
9,0.067,-1585.91248,48.63428,1236.35205,-1475.25464,-125.27225,1179.38257
10,0.075,-1582.20105,48.84233,1236.45361,-1471.46411,-126.19738,1179.20764
11,0.083,-1576.755,49.00912,1236.18054,-1467.17053,-126.60235,1178.58704
12,0.092,-1573.07239,48.77539,1235.34802,-1461.43054,-126.97843,1178.31982
13,0.1,-1568.29785,48.19645,1234.98157,-1458.7981,-126.27236,1177.87146
14,0.108,-1564.42542,48.12451,1234.48987,-1454.09058,-127.73602,1177.38806
15,0.117,-1559.63892,47.2424,1234.31055,-1449.42468,-127.71349,1177.23779
16,0.125,-1554.23596,47.00304,1234.21973,-1445.06409,-128.44456,1176.6394
17,0.133,-1549.1416,45.07125,1233.13916,-1439.83447,-129.37897,1175.84473
18,0.142,-1544.56421,44.89913,1232.87964,-1435.01184,-130.88084,1176.24927
19,0.15,-1540.63831,44.14835,1232.42712,-1431.18152,-131.29654,1175.67322
20,0.158,-1535.19104,43.30722,1231.90698,-1427.50391,-131.2881,1174.17273
21,0.167,-1531.02148,42.35245,1230.92896,-1422.93311,-131.96535,1174.33252
22,0.175,-1525.3739,41.50476,1230.29163,-1416.4198,-133.21771,1172.88416
23,0.183,-1521.53284,40.1029,1229.66052,-1411.83899,-134.36349,1172.23218
24,0.192,-1516.03699,39.33882,1228.73132,-1406.96484,-135.77765,1172.66772
25,0.2,-1511.18372,37.66138,1228.23376,-1401.84399,-136.66124,1171.43103
26,0.208,-1506.83167,36.80079,1226.78674,-1397.25208,-137.81206,1170.77429
27,0.217,-1501.42505,35.45894,1226.4054,-1391.54541,-139.30389,1170.60645
28,0.225,-1496,33.55175,1225.41724,-1385.04077,-140.5901,1169.71277
29,0.233,-1490.65247,31.99565,1225.00171,-1380.2804,-141.51225,1169.28125
30,0.242,-1485.80957,30.11414,1224.36536,-1375.41345,-142.25166,1168.24158
31,0.25,-1480.69238,28.86167,1223.69641,-1371.04395,-144.0005,1168.12744
32,0.258,-1474.93738,27.74878,1222.11243,-1366.13599,-145.63077,1167.55261
33,0.267,-1469.77271,25.78739,1221.29187,-1359.4917,-147.00267,1166.14429
34,0.275,-1464.36279,24.57935,1220.02893,-1354.10645,-148.1162,1165.41907
35,0.283,-1458.61316,21.86379,1219.87268,-1349.75586,-151.01764,1164.21167
36,0.292,-1453.83472,20.33077,1218.44946,-1342.4198,-152.31366,1164.29224
37,0.3,-1449.01025,18.92285,1217.87415,-1337.93787,-153.97469,1164.10193
38,0.308,-1442.79199,16.5053,1216.65601,-1332.33081,-155.4003,1162.68628
39,0.317,-1437.16284,14.80039,1216.78247,-1326.04297,-157.04639,1162.44165
40,0.325,-1432.09448,11.83199,1216.1145,-1320.29797,-158.54512,1160.98767
41,0.333,-1426.82654,10.45961,1215.84619,-1313.0459,-161.18668,1161.24695
42,0.342,-1420.84399,7.19943,1216.15759,-1308.53186,-162.97571,1161.4469
43,0.35,-1414.97644,5.86259,1215.58716,-1300.99341,-165.55067,1160.64014
44,0.358,-1409.37439,3.30562,1215.69641,-1296.20984,-167.0294,1161.31531
45,0.367,-1404.74084,1.37487,1216.26831,-1288.5166,-169.43126,1161.45361
46,0.375,-1397.6012,-1.14688,1216.38269,-1284.14844,-170.34692,1161.02063
47,0.383,-1392.18616,-2.65231,1217.0094,-1276.34937,-172.3813,1161.69104
48,0.392,-1386.59009,-5.84884,1217.19775,-1271.22302,-174.24051,1162.65967
49,0.4,-1381.09607,-7.46268,1217.85168,-1265.12036,-176.70258,1163.27002
50,0.408,-1375.40479,-10.31677,1218.28381,-1258.57141,-180.21484,1163.90894
51,0.417,-1370.27148,-12.42933,1218.8551,-1252.97534,-181.81725,1164.61792
52,0.425,-1364.52087,-14.83904,1220.08032,-1247.62219,-183.54843,1165.33521
53,0.433,-1359.26733,-16.39027,1221.34058,-1241.46582,-185.52277,1166.42126
54,0.442,-1354.17505,-19.026,1222.28503,-1234.63806,-188.80916,1167.87329
55,0.45,-1348.44482,-21.01506,1222.74255,-1229.6145,-191.00479,1168.93237
56,0.458,-1343.27637,-24.2204,1224.4397,-1223.59998,-192.80067,1171.3551
57,0.467,-1337.44458,-27.01424,1225.46399,-1218.54285,-194.68277,1172.34204
58,0.475,-1331.74207,-29.30022,1226.24194,-1211.33105,-196.95285,1173.90613
59,0.483,-1326.64526,-31.73611,1227.64111,-1206.58606,-200.97002,1175.48682
60,0.492,-1321.9834,-34.0777,1228.81067,-1199.75952,-202.60481,1176.85632
61,0.5,-1316.45569,-36.17225,1229.69702,-1194.44763,-203.86623,1178.16797
62,0.508,-1310.69238,-39.68034,1231.87427,-1188.15637,-206.42152,1179.38171
63,0.517,-1305.43689,-42.04385,1232.62695,-1181.33752,-208.19415,1180.18823
64,0.525,-1300.73022,-44.40744,1233.62598,-1175.76514,-212.24797,1181.6792
65,0.533,-1294.48938,-48.11701,1234.84766,-1169.35046,-214.521,1182.34473
66,0.542,-1289.44446,-50.09235,1235.8916,-1163.04858,-215.28035,1183.76428
67,0.55,-1284.70947,-53.23421,1235.99414,-1157.40771,-217.75638,1184.80164
68,0.558,-1279.72241,-54.68385,1236.72815,-1150.48108,-220.17406,1185.01843
69,0.567,-1274.94397,-57.65313,1237.4801,-1144.45081,-220.52573,1185.50342
70,0.575,-1269.17737,-60.43298,1238.28809,-1138.474,-221.94016,1185.68787
