Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z
1,0,-1429.26172,-237.14572,846.64417
2,0.008,-1428.66992,-237.14388,846.76318
3,0.017,-1425.40601,-238.2683,846.50342
4,0.025,-1421.80835,-237.50128,846.78766
5,0.033,-1421.29199,-238.79465,846.15546
6,0.042,-1417.66235,-237.89832,845.23987
7,0.05,-1413.27478,-238.48164,845.71741
8,0.058,-1412.4209,-240.15527,846.65863
9,0.067,-1406.21704,-240.97266,846.92877
10,0.075,-1405.07434,-240.51874,846.82629
11,0.083,-1401.83472,-242.50117,843.84534
12,0.092,-1398.65698,-243.93687,844.91467
13,0.1,-1396.35266,-244.0038,842.59601
14,0.108,-1393.80298,-244.69505,841.27966
15,0.117,-1390.578,-244.9093,841.74298
16,0.125,-1387.27625,-247.38516,842.21295
17,0.133,-1381.29199,-248.5999,839.70648
18,0.142,-1378.38367,-250.8801,839.6748
19,0.15,-1376.27869,-249.65416,839.78534
20,0.158,-1369.79004,-252.53517,839.45819
21,0.167,-1367.26929,-251.98352,838.97137
22,0.175,-1361.7063,-253.39763,837.99445
23,0.183,-1357.50867,-256.05212,836.78253
24,0.192,-1354.52783,-257.77197,837.13214
25,0.2,-1348.54016,-258.02997,837.67596
26,0.208,-1344.41479,-259.88553,837.61212
27,0.217,-1339.22461,-261.65488,836.80988
28,0.225,-1333.2478,-261.46417,835.82672
29,0.233,-1328.58057,-263.5672,835.19366
30,0.242,-1324.85266,-266.08484,835.7442
31,0.25,-1318.22668,-267.16211,834.95642
32,0.258,-1312.88501,-270.92108,834.58203
33,0.267,-1307.51819,-270.64725,834.03632
34,0.275,-1301.00281,-271.61581,833.75214
35,0.283,-1295.51184,-272.74484,831.73468
36,0.292,-1289.38525,-274.97656,831.13666
37,0.3,-1283.64819,-278.82611,830.99164
38,0.308,-1277.08276,-280.44839,830.30249
39,0.317,-1269.98901,-282.06339,828.76544
40,0.325,-1262.48999,-282.25449,828.70367
41,0.333,-1258.29504,-283.36755,828.25476
42,0.342,-1252.35974,-286.64612,828.84796
43,0.35,-1245.23499,-287.60205,828.23242
44,0.358,-1237.84058,-289.03397,828.56781
45,0.367,-1230.49902,-289.12271,828.69641
46,0.375,-1223.63135,-292.1319,829.39844
47,0.383,-1216.52478,-294.16965,830.75391
48,0.392,-1209.30347,-295.88901,830.60315
49,0.4,-1201.84741,-297.03687,830.63959
50,0.408,-1194.77869,-297.647,831.37286
51,0.417,-1187.71936,-301.22495,833.30469
52,0.425,-1180.12463,-301.83572,833.93896
53,0.433,-1173.34753,-305.6398,836.01068
54,0.442,-1165.88635,-305.08878,836.77197
55,0.45,-1157.94678,-307.96567,837.53278
56,0.458,-1151.21191,-308.53238,840.2572
57,0.467,-1142.76563,-310.87793,841.1366
58,0.475,-1135.83997,-312.34799,842.89655
59,0.483,-1128.8197,-315.16339,843.86157
60,0.492,-1122.47815,-316.41,847.44604
61,0.5,-1114.34241,-319.35831,847.94281
62,0.508,-1107.68152,-320.76794,848.73389
63,0.517,-1100.37805,-323.45535,850.66479
64,0.525,-1092.28613,-325.47739,853.19714
65,0.533,-1084.71521,-328.29532,854.2514
66,0.542,-1077.76038,-331.78668,855.47455
67,0.55,-1070.32336,-333.00458,857.53168
68,0.558,-1062.36841,-333.3891,858.50824
69,0.567,-1055.07642,-336.18527,859.38055
70,0.575,-1049.24133,-340.93036,860.25427
71,0.583,-1041.16968,-340.89792,862.26862
72,0.592,-1034.41858,-344.30017,862.3653
73,0.6,-1028.16528,-346.22177,862.91473
74,0.608,-1020.55585,-348.22537,865.09308
75,0.617,-1013.52222,-348.65207,865.57605
76,0.625,-1006.23492,-350.03305,867.37555
77,0.633,-998.84503,-350.59735,867.50897
78,0.642,-992.83362,-354.21417,868.22125
79,0.65,-985.17242,-353.69351,868.43427
80,0.658,-978.86206,-357.40506,869.81946
81,0.667,-971.0874,-356.69876,871.45862
82,0.675,-964.13611,-356.97971,872.85547
83,0.683,-957.20642,-359.05136,873.1084
84,0.692,-950.16351,-357.54758,872.85419
85,0.7,-944.638,-360.43625,873.98419
86,0.708,-938.12708,-359.44672,873.51544
87,0.717,-932.55695,-359.11575,874.84515
88,0.725,-925.07422,-358.96771,874.36646
89,0.733,-918.38397,-359.58746,875.16351
90,0.742,-911.87848,-359.0755,875.1944
91,0.75,-905.0564,-358.47769,875.75714
92,0.758,-899.18646,-359.17679,874.9129
93,0.767,-894.1626,-358.24368,875.28278
94,0.775,-887.24854,-358.25604,874.91852
95,0.783,-880.62323,-357.06366,875.06897
96,0.792,-874.31384,-356.76031,874.96698
97,0.8,-868.02332,-357.46915,874.64478
98,0.808,-862.55035,-355.80396,874.05377
99,0.817,-856.57043,-354.8786,873.70789
100,0.825,-849.90375,-353.66006,873.98755
101,0.833,-843.87689,-354.37726,873.39154
102,0.842,-838.26593,-353.63297,873.04321
103,0.85,-832.29407,-354.1489,872.46893
104,0.858,-826.50079,-351.28079,871.91199
105,0.867,-820.42188,-350.04388,870.98334
106,0.875,-815.25354,-349.25574,870.6142
107,0.883,-808.52008,-349.2121,870.42389
108,0.892,-803.04388,-348.70502,869.31342
109,0.9,-796.90948,-347.57663,868.37573
110,0.908,-791.0047,-346.84253,867.77991
111,0.917,-785.02094,-343.95285,865.81616
112,0.925,-780.30865,-343.00485,865.40094
113,0.933,-773.99506,-341.89651,864.01025
114,0.942,-767.94574,-342.60895,863.27576
115,0.95,-762.28479,-340.59375,863.30872
116,0.958,-757.02515,-339.37991,862.37451
117,0.967,-750.62018,-338.06805,861.49402
118,0.975,-745.12244,-337.34195,860.83185
119,0.983,-739.91449,-334.62576,859.23999
120,0.992,-734.203,-335.5144,859.3858
121,1,-728.15991,-333.66565,858.65332
122,1.008,-722.98877,-333.22958,857.91302
123,1.017,-716.60791,-331.63632,857.53473
124,1.025,-712.05847,-331.65408,857.19641
125,1.033,-705.9657,-329.15799,856.60944
126,1.042,-701.16705,-328.29593,855.81781
127,1.05,-694.77112,-328.05975,855.41333
128,1.058,-690.47455,-328.42328,854.70795
129,1.067,-683.58252,-326.05496,853.97345
130,1.075,-678.94373,-326.40988,853.6084
131,1.083,-674.23041,-325.4292,853.73999
132,1.092,-669.20343,-323.6434,852.96826
133,1.1,-663.84888,-322.36499,853.10559
134,1.108,-659.85022,-321.75589,852.96741
135,1.117,-654.36902,-322.5563,853.1944
136,1.125,-648.98901,-321.13766,853.09766
137,1.133,-645.14319,-320.0112,853.1485
138,1.142,-640.3537,-319.2952,853.07697
139,1.15,-635.13824,-319.21042,853.56976
140,1.158,-631.52338,-319.05011,853.57336
141,1.167,-626.4184,-317.95789,853.99078
142,1.175,-622.29022,-318.20853,854.35333
143,1.183,-618.65625,-317.74042,854.57416
144,1.192,-613.98077,-315.72498,854.82794
145,1.2,-611.40472,-316.35498,855.57611
146,1.208,-607.43048,-315.1055,855.77148
147,1.217,-604.13672,-315.08865,857.03973
148,1.225,-599.46246,-314.33752,858.01379
149,1.233,-597.19928,-315.06906,858.88434
150,1.242,-593.09039,-314.84464,858.90741
151,1.25,-589.73981,-314.31717,859.42798
152,1.258,-587.65698,-313.40179,859.1767
153,1.267,-584.42584,-313.30692,859.45703
154,1.275,-581.11017,-313.01718,859.90778
155,1.283,-578.37109,-313.61319,860.06537
156,1.292,-575.76465,-313.35956,859.79932
157,1.3,-572.89014,-314.85373,860.77185
158,1.308,-569.703,-312.625,860.34418
159,1.317,-567.70782,-312.73993,860.41376
160,1.325,-564.88422,-313.62238,860.74542
161,1.333,-562.52899,-312.94263,860.61664
162,1.342,-560.67548,-313.35336,860.67584
163,1.35,-556.53271,-311.97238,860.31689
164,1.358,-554.98236,-312.58835,860.22351
165,1.367,-552.60376,-312.832,860.53467
166,1.375,-550.23383,-312.8555,860.66827
167,1.383,-547.83063,-312.52438,861.13654
168,1.392,-545.79309,-312.24484,860.83752
169,1.4,-542.86322,-312.24695,860.42773
170,1.408,-540.96545,-311.73193,860.17957
171,1.417,-538.31342,-311.34793,859.83569
172,1.425,-536.20984,-311.67838,860.04199
173,1.433,-533.91748,-312.94711,860.08228
174,1.442,-530.65369,-312.88174,859.42633
175,1.45,-528.34167,-312.46887,858.80414
176,1.458,-526.28534,-312.29364,858.91534
177,1.467,-523.42841,-312.72452,858.98114
178,1.475,-520.58661,-312.67221,858.71497
179,1.483,-518.11523,-315.23792,858.55096
180,1.492,-515.25043,-315.33865,857.83582
181,1.5,-512.3808,-315.28235,857.12274
182,1.508,-508.04742,-315.6011,857.58899
183,1.517,-505.6875,-317.42303,856.3949
184,1.525,-502.7988,-318.60858,856.86774
185,1.533,-500.28784,-318.4588,856.27216
186,1.542,-496.07336,-319.49036,855.06415
187,1.55,-492.2218,-320.48019,854.39307
188,1.558,-489.12982,-320.50638,854.14246
189,1.567,-485.30319,-322.36807,853.45673
190,1.575,-480.92627,-323.72339,853.41266
191,1.583,-477.17181,-324.13312,852.10492
192,1.592,-471.91229,-325.27264,851.58905
193,1.6,-467.40323,-326.53186,851.1615
194,1.608,-462.86673,-326.88126,850.48621
195,1.617,-458.56613,-328.89716,849.56012
196,1.625,-454.4487,-329.76965,849.29517
197,1.633,-448.10416,-331.24301,848.65173
198,1.642,-443.37949,-332.0275,846.97461
199,1.65,-438.18793,-333.71838,846.41809
200,1.658,-433.17535,-335.63242,845.39575
201,1.667,-427.3071,-335.71149,844.43073
202,1.675,-422.63181,-339.26257,844.39404
203,1.683,-416.34131,-340.96594,842.77985
204,1.692,-410.15063,-341.43878,842.25287
205,1.7,-403.88098,-343.33603,841.42407
206,1.708,-397.3732,-344.75381,840.68402
207,1.717,-391.17145,-345.87717,840.06152
208,1.725,-384.42868,-347.94925,839.19836
209,1.733,-378.42575,-348.99216,838.99988
210,1.742,-371.90372,-351.2601,838.20123
211,1.75,-364.24194,-353.04721,837.47931
212,1.758,-357.57755,-354.37875,837.62952
213,1.767,-351.14487,-355.50089,837.19312
214,1.775,-344.01041,-356.27438,837.27979
215,1.783,-337.33563,-357.79617,836.73688
216,1.792,-329.84625,-358.07437,836.77576
217,1.8,-322.5813,-359.72183,837.52142
218,1.808,-315.35883,-361.93091,838.30695
219,1.817,-307.89169,-362.08548,838.65155
220,1.825,-300.61417,-362.91559,839.51361
221,1.833,-293.36459,-364.00354,840.22516
222,1.842,-286.54419,-365.51614,841.34479
