Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
135,1.117,-634.4693,-327.89825,821.65118
136,1.125,-627.37457,-325.29077,820.98566
137,1.133,-625.29382,-325.96396,822.12201
138,1.142,-619.32544,-324.06601,822.53265
139,1.15,-615.91766,-323.11804,821.68549
140,1.158,-612.53918,-323.51352,822.6911
141,1.167,-607.27649,-322.24789,822.63892
142,1.175,-604.33057,-323.19406,823.07635
143,1.183,-599.42944,-322.88239,823.58386
144,1.192,-596.198,-322.13251,823.19556
145,1.2,-591.68042,-321.1861,824.07184
146,1.208,-588.95001,-322.41428,825.19507
147,1.217,-584.39954,-321.17572,823.26917
148,1.225,-582.7467,-320.4234,825.58649
149,1.233,-580.74225,-319.43515,825.98444
150,1.242,-577.07727,-320.40195,825.85431
151,1.25,-573.56213,-320.03372,826.29919
152,1.258,-569.78253,-321.28726,826.5946
153,1.267,-567.3421,-320.44815,826.49542
154,1.275,-565.01056,-320.05566,826.8222
155,1.283,-562.36383,-320.57416,826.62732
156,1.292,-560.18488,-319.74658,827.4212
157,1.3,-555.74188,-320.9068,827.16956
158,1.308,-552.90314,-320.79922,827.09534
159,1.317,-551.32056,-320.3483,827.8067
160,1.325,-550.24597,-320.73019,827.90631
161,1.333,-547.98724,-321.10999,827.28131
162,1.342,-545.19031,-319.4986,826.99219
163,1.35,-542.76465,-319.40649,827.03143
164,1.358,-541.04932,-319.93018,827.25409
165,1.367,-538.60199,-320.36081,826.44696
166,1.375,-535.65356,-321.84842,825.34283
167,1.383,-533.79474,-321.55054,826.10791
168,1.392,-531.73096,-320.36115,826.0697
169,1.4,-528.58185,-320.00772,825.88086
170,1.408,-527.71356,-319.64099,826.07068
171,1.417,-525.2514,-320.64127,826.21851
172,1.425,-523.10565,-320.68304,825.59442
173,1.433,-521.073,-320.68472,825.11743
174,1.442,-516.8916,-321.34244,824.49768
175,1.45,-515.4693,-320.83112,824.18878
176,1.458,-513.31165,-321.72827,823.52161
177,1.467,-511.61249,-322.03604,823.93384
178,1.475,-508.75275,-322.99567,823.64081
179,1.483,-506.9968,-323.97241,823.49524
180,1.492,-503.37769,-325.80624,823.91406
181,1.5,-500.63345,-324.43863,822.30725
182,1.508,-496.21472,-324.98996,821.19952
183,1.517,-495.00967,-325.55176,820.78027
184,1.525,-491.1026,-327.62473,821.49146
185,1.533,-488.9162,-327.92349,821.3056
186,1.542,-484.62531,-329.9696,820.48199
187,1.55,-481.62448,-330.97256,818.59583
188,1.558,-477.57574,-331.53979,817.67078
189,1.567,-473.64578,-332.1879,817.4082
190,1.575,-470.20801,-332.55887,816.85858
191,1.583,-465.57294,-333.81464,815.82758
192,1.592,-461.43811,-334.93845,816.12115
193,1.6,-458.97696,-337.25751,815.61682
194,1.608,-452.5484,-337.38477,814.07898
195,1.617,-448.50543,-339.16165,813.75525
196,1.625,-443.23331,-340.46991,813.77948
197,1.633,-438.75256,-341.86969,813.38635
198,1.642,-433.57391,-343.11606,811.15594
199,1.65,-429.27661,-344.73868,810.57092
200,1.658,-423.68564,-346.46439,809.4342
201,1.667,-417.67511,-346.73972,807.86603
202,1.675,-412.23318,-349.086,807.91687
203,1.683,-405.53369,-349.79236,806.60107
204,1.692,-399.34033,-350.76462,805.69861
205,1.7,-394.21353,-353.54352,806.13855
206,1.708,-387.22629,-354.31491,805.15442
207,1.717,-382.12869,-356.05869,804.64526
208,1.725,-375.28464,-356.99869,803.63824
209,1.733,-367.55322,-359.27579,802.99512
210,1.742,-361.97919,-360.33734,802.3891
211,1.75,-353.92453,-362.86853,801.15125
212,1.758,-347.22998,-362.81549,801.15857
213,1.767,-340.03351,-363.95929,800.99249
214,1.775,-333.64691,-366.99487,801.22852
215,1.783,-326.29147,-366.47046,801.28186
216,1.792,-318.15625,-369.21152,801.56873
217,1.8,-311.6864,-369.60907,801.88123
218,1.808,-304.00247,-371.04535,803.04785
219,1.817,-297.19388,-371.86856,803.53094
220,1.825,-289.58856,-373.34601,804.58948
221,1.833,-281.97601,-375.47791,805.68225
222,1.842,-274.1842,-374.65195,805.99243
223,1.85,-266.16104,-375.9068,808.13007
224,1.858,-259.3981,-375.87616,809.06329
225,1.867,-252.15894,-377.50412,809.50812
226,1.875,-243.41336,-379.40799,811.28717
227,1.883,-235.82234,-380.07037,814.04846
228,1.892,-228.10506,-381.60431,815.07849
229,1.9,-221.85507,-381.38617,815.78284
230,1.908,-212.03889,-382.6806,816.8642
231,1.917,-205.47894,-384.00983,818.34692
232,1.925,-197.99915,-385.31281,819.86487
233,1.933,-188.31526,-387.32657,820.8476
234,1.942,-181.54601,-386.50214,821.22021
235,1.95,-174.60011,-389.34604,822.90753
236,1.958,-165.69809,-391.56601,824.53979
237,1.967,-158.27376,-392.12466,825.39563
238,1.975,-150.7487,-393.81302,826.0733
