Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
130,1.075,-784.47668,-94.26019,1276.64014
131,1.083,-778.5672,-93.51527,1277.24316
132,1.092,-773.66907,-91.93539,1276.37
133,1.1,-765.74329,-91.52811,1277.29944
134,1.108,-760.67047,-90.31299,1278.00977
135,1.117,-754.7038,-87.95013,1277.8783
136,1.125,-748.51581,-86.72124,1277.70776
137,1.133,-741.74408,-85.83585,1278.65637
138,1.142,-735.13611,-85.04826,1279.10034
139,1.15,-728.80731,-84.23309,1280.57727
140,1.158,-723.13568,-82.03099,1280.90063
141,1.167,-717.10095,-80.43863,1280.95496
142,1.175,-711.80078,-78.81551,1282.12781
143,1.183,-704.61566,-78.77716,1284.4137
144,1.192,-698.93488,-76.61581,1284.83533
145,1.2,-693.01306,-76.79123,1285.91418
146,1.208,-686.6264,-75.63785,1288.13843
147,1.217,-681.64276,-73.86005,1289.18542
148,1.225,-676.31104,-72.32681,1289.61658
149,1.233,-669.40802,-71.00397,1291.65833
150,1.242,-664.1698,-70.88722,1292.60193
151,1.25,-658.79218,-69.67935,1293.80237
152,1.258,-653.24475,-69.73027,1294.13757
153,1.267,-647.81024,-67.77394,1295.04089
154,1.275,-641.96661,-67.73714,1296.6543
155,1.283,-636.8609,-66.15789,1296.47253
156,1.292,-631.36481,-65.36626,1297.14368
157,1.3,-625.70929,-65.54301,1297.78638
158,1.308,-620.06476,-64.44228,1297.9707
159,1.317,-615.03632,-63.56302,1299.23474
160,1.325,-610.6308,-61.85821,1298.05603
161,1.333,-604.20374,-61.78643,1298.31116
162,1.342,-601.02502,-61.571,1298.48755
163,1.35,-595.18549,-61.02398,1298.37097
164,1.358,-589.77417,-60.50349,1298.54944
165,1.367,-584.88464,-59.60344,1298.34009
166,1.375,-578.96698,-59.58746,1299.37915
167,1.383,-575.21686,-59.06097,1299.03369
168,1.392,-570.25018,-59.38898,1298.85266
169,1.4,-564.9682,-60.03375,1298.89246
170,1.408,-560.03882,-58.41376,1299.41199
171,1.417,-555.18384,-57.53415,1299.64453
172,1.425,-549.9422,-58.79703,1300.97058
173,1.433,-545.30115,-59.15199,1301.11182
174,1.442,-540.71991,-58.83292,1301.36755
175,1.45,-536.83405,-59.31322,1301.87402
176,1.458,-531.50446,-58.48705,1301.81335
177,1.467,-525.41425,-58.66173,1301.05664
178,1.475,-521.30603,-59.18446,1301.68665
179,1.483,-516.68323,-59.70229,1300.65991
180,1.492,-512.3139,-59.07511,1300.95386
181,1.5,-506.69611,-59.82684,1300.43506
182,1.508,-501.93814,-60.29685,1300.52991
183,1.517,-496.69388,-60.1181,1299.39233
184,1.525,-492.23117,-60.33952,1299.17017
185,1.533,-488.01346,-61.56427,1299.5094
186,1.542,-482.79919,-60.70659,1299.34473
187,1.55,-477.58905,-61.51138,1298.31262
188,1.558,-471.65991,-63.57752,1298.03503
189,1.567,-466.16537,-63.76767,1297.50342
190,1.575,-461.5032,-64.46307,1297.53442
191,1.583,-456.68497,-65.74753,1296.42224
192,1.592,-452.18723,-64.71582,1295.16821
193,1.6,-447.20889,-65.94788,1293.96094
