Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
135,1.117,-739.34937,-334.67523,861.68799
136,1.125,-733.20483,-333.88266,862.04651
137,1.133,-729.90259,-334.7399,862.8905
138,1.142,-723.75739,-330.82925,863.56445
139,1.15,-719.8548,-331.88391,864.20612
140,1.158,-715.53845,-329.36917,864.87689
141,1.167,-711.00024,-329.35806,865.27588
142,1.175,-708.85321,-328.4537,865.91205
143,1.183,-702.31927,-326.99893,866.70044
144,1.192,-700.76459,-326.35345,869.08887
145,1.2,-694.86469,-324.28802,870.24725
146,1.208,-691.27209,-323.71463,870.26721
147,1.217,-687.97229,-322.38477,871.46484
148,1.225,-684.91882,-321.46173,872.05121
149,1.233,-680.6543,-321.07535,873.61676
150,1.242,-678.68909,-320.39014,874.35529
151,1.25,-674.44696,-318.90115,875.74689
152,1.258,-671.88806,-318.89194,875.59277
153,1.267,-668.06677,-317.0686,875.67743
154,1.275,-665.88214,-317.80423,876.93683
155,1.283,-663.02252,-315.95093,876.90253
156,1.292,-661.26794,-315.62369,877.92285
157,1.3,-656.27704,-314.2803,878.48517
158,1.308,-653.87024,-314.89948,878.83118
159,1.317,-650.89679,-313.09619,879.67737
160,1.325,-648.41376,-312.61908,879.49194
161,1.333,-646.49585,-312.31577,879.94049
162,1.342,-643.94397,-311.63452,879.79236
163,1.35,-640.20868,-311.43845,879.96442
164,1.358,-638.01501,-310.87036,880.14899
165,1.367,-636.14423,-310.72006,880.65448
166,1.375,-634.11816,-310.08243,881.80084
167,1.383,-630.68085,-310.12515,882.06732
168,1.392,-628.7688,-309.22177,882.99481
169,1.4,-625.73413,-309.83051,883.54047
170,1.408,-622.93604,-309.78513,883.92676
171,1.417,-621.09973,-309.4599,884.20697
172,1.425,-618.85724,-307.93005,884.4563
173,1.433,-615.104,-308.22891,884.69446
174,1.442,-612.30231,-308.69775,885.46979
175,1.45,-610.91687,-308.85284,885.27905
176,1.458,-608.39557,-309.86847,885.31158
177,1.467,-605.06317,-310.16736,885.85181
178,1.475,-601.2934,-308.70743,885.35046
179,1.483,-598.19635,-309.1398,885.44806
180,1.492,-595.75226,-309.4118,885.10553
181,1.5,-592.78088,-309.46927,885.08856
182,1.508,-589.89868,-309.71268,885.35181
183,1.517,-587.0777,-310.02097,884.56433
184,1.525,-583.50476,-310.17337,884.35394
185,1.533,-579.67627,-310.99936,883.42078
186,1.542,-576.37433,-311.77237,883.96259
187,1.55,-571.87402,-312.68298,883.68915
188,1.558,-567.74365,-312.29706,882.98975
189,1.567,-563.92523,-313.1752,882.93231
190,1.575,-561.75482,-314.38449,882.36102
191,1.583,-556.45404,-314.85114,882.31915
192,1.592,-552.60077,-316.52509,882.00873
193,1.6,-548.08423,-315.80725,881.61591
194,1.608,-543.05011,-316.58066,880.25446
195,1.617,-537.82819,-317.95844,879.09412
196,1.625,-533.2923,-319.25266,879.25049
197,1.633,-528.02875,-321.17337,879.55798
198,1.642,-522.99402,-321.75247,878.33124
199,1.65,-517.47284,-323.21353,877.61603
200,1.658,-511.4111,-324.15485,876.23004
201,1.667,-505.77792,-325.07498,875.73676
202,1.675,-503.172,-326.12198,874.62048
203,1.683,-495.9397,-327.0556,874.50153
204,1.692,-489.77582,-329.14163,873.35321
205,1.7,-482.46411,-331.66519,872.47845
206,1.708,-477.20007,-333.68298,871.61499
207,1.717,-472.00677,-334.48404,870.46661
208,1.725,-465.15607,-335.73691,869.45947
209,1.733,-458.32532,-337.61832,868.15753
210,1.742,-451.88608,-339.65692,867.3949
211,1.75,-443.61588,-341.64142,867.2027
212,1.758,-438.02121,-342.7139,866.66571
213,1.767,-431.02567,-343.90375,866.35162
214,1.775,-425.01068,-344.28644,865.7226
215,1.783,-417.09558,-345.91772,865.0528
216,1.792,-411.08936,-349.28809,866.51306
217,1.8,-402.68155,-349.56342,866.72229
218,1.808,-396.504,-351.16296,866.06622
219,1.817,-389.23639,-352.57141,867.01074
220,1.825,-382.01727,-354.16449,867.27002
221,1.833,-373.56146,-354.11569,867.43347
222,1.842,-367.07474,-356.47687,869.19342
223,1.85,-360.15714,-359.33249,869.87067
224,1.858,-353.27853,-359.48233,870.26758
225,1.867,-344.86099,-360.8385,871.38025
226,1.875,-339.96851,-361.6246,871.72791
227,1.883,-331.04919,-363.58521,873.41956
228,1.892,-324.04782,-366.02365,875.00446
229,1.9,-315.87616,-368.11462,876.15692
230,1.908,-308.40115,-369.66342,876.82147
231,1.917,-301.24646,-370.86859,877.33887
232,1.925,-292.94153,-373.15662,878.09302
233,1.933,-286.4903,-375.17682,878.63446
234,1.942,-279.02243,-376.70166,879.53558
235,1.95,-270.54395,-378.59396,880.25537
236,1.958,-263.89795,-380.59195,880.90784
237,1.967,-255.86671,-382.44174,881.63312
238,1.975,-247.91196,-385.03702,881.9079
239,1.983,-240.47273,-386.1124,882.0899
240,1.992,-232.72203,-388.16467,883.34552
241,2,-226.22453,-390.49121,883.60645
242,2.008,-219.14339,-391.09558,883.56866
243,2.017,-210.68768,-393.40744,884.87299
244,2.025,-203.81371,-394.28406,884.68188
245,2.033,-196.97287,-395.8479,885.99701
246,2.042,-188.83551,-396.90054,886.29968
247,2.05,-182.7316,-397.08127,886.17908
248,2.058,-176.44499,-398.76254,886.32074
249,2.067,-169.29356,-398.62872,886.63983
250,2.075,-162.32085,-400.39554,887.11456
251,2.083,-155.31871,-400.53305,887.66071
252,2.092,-149.10133,-400.67834,887.82251
253,2.1,-142.32277,-401.19702,888.16656
254,2.108,-135.13251,-401.33505,887.8017
255,2.117,-129.30521,-401.15121,887.28302
256,2.125,-122.7837,-401.84894,887.05634
257,2.133,-115.71136,-401.31503,887.95673
258,2.142,-109.57812,-401.9483,887.75372
259,2.15,-102.05737,-401.6391,887.21136
260,2.158,-96.43758,-402.00311,887.33826
261,2.167,-90.73378,-401.49332,887.0033
262,2.175,-82.81862,-401.24649,887.36316
263,2.183,-77.3974,-400.38925,886.53491
264,2.192,-70.95392,-400.16568,886.62616
265,2.2,-64.13396,-400.07547,886.08612
266,2.208,-57.94425,-399.23233,886.19379
267,2.217,-52.14672,-397.80313,884.71539
268,2.225,-45.15372,-397.44116,884.28125
269,2.233,-40.30806,-397.69531,883.26599
270,2.242,-33.4239,-395.98102,882.50006
271,2.25,-27.44877,-394.56018,881.48279
272,2.258,-22.24815,-394.59409,881.54999
273,2.267,-14.64299,-393.37561,880.07483
274,2.275,-9.65311,-391.87729,879.02301
275,2.283,-4.25532,-392.26553,878.84113
276,2.292,2.33204,-389.03192,877.40662
277,2.3,8.17815,-389.21902,877.05292
278,2.308,14.11103,-387.56662,875.6438
279,2.317,19.9122,-387.45541,874.9505
280,2.325,25.50045,-385.4494,873.69312
281,2.333,31.19817,-384.56253,873.08722
282,2.342,37.49999,-382.67911,871.92535
283,2.35,42.18075,-382.97003,871.00745
284,2.358,48.833,-380.56204,869.4433
285,2.367,54.37571,-378.22284,869.63776
286,2.375,60.26036,-377.97391,869.27863
287,2.383,65.94053,-377.80334,867.82031
288,2.392,72.43532,-374.48434,867.13855
289,2.4,77.99001,-374.40314,867.18451
290,2.408,82.06879,-373.60501,865.46973
291,2.417,89.22155,-372.20132,864.49701
292,2.425,94.15768,-370.59271,864.31647
293,2.433,99.28735,-369.11661,864.30536
294,2.442,105.78129,-367.5657,863.06274
295,2.45,109.9824,-365.93497,862.33588
296,2.458,116.12987,-365.21704,862.63025
297,2.467,120.90105,-363.07965,862.2099
298,2.475,125.7272,-361.71994,861.73755
299,2.483,132.13092,-360.01123,861.53986
300,2.492,136.75023,-358.42715,861.74603
301,2.5,141.92226,-358.40567,863.22308
302,2.508,145.57977,-355.95206,862.90363
303,2.517,151.30388,-352.96484,863.35614
304,2.525,156.67606,-352.52466,864.07733
305,2.533,161.24182,-351.82904,865.40173
306,2.542,166.18845,-348.87784,865.65625
307,2.55,170.44463,-347.16086,866.94922
308,2.558,174.73651,-346.42615,867.85211
309,2.567,180.07733,-344.32138,868.74841
310,2.575,183.14868,-342.85147,869.60846
311,2.583,188.60374,-340.9375,871.16357
312,2.592,191.93979,-338.42188,871.94446
313,2.6,195.94633,-338.35016,873.9978
314,2.608,199.45721,-335.89941,874.9668
315,2.617,202.08067,-334.82993,876.01343
316,2.625,206.43715,-332.43106,876.82178
317,2.633,210.13913,-331.79248,877.96271
318,2.642,213.74324,-329.71515,878.87708
319,2.65,217.16679,-328.97089,879.84021
320,2.658,219.93198,-327.30753,879.63116
321,2.667,223.44502,-326.18192,880.3147
322,2.675,226.44389,-324.76749,880.86011
323,2.683,229.9727,-324.25269,881.44708
324,2.692,232.63237,-323.18365,881.90039
325,2.7,236.41832,-321.51245,881.67169
326,2.708,238.13144,-320.15295,881.60608
327,2.717,240.8493,-319.69397,882.07471
328,2.725,244.27042,-318.61734,882.07184
329,2.733,245.94014,-317.47342,882.46338
330,2.742,249.48796,-317.66782,883.68658
331,2.75,252.62263,-316.11554,884.52124
332,2.758,254.50314,-314.77573,884.71484
333,2.767,258.11319,-314.70184,884.4859
334,2.775,260.44315,-314.01379,885.59534
335,2.783,263.42816,-313.76746,885.65857
336,2.792,266.26578,-311.45718,886.18134
337,2.8,269.56158,-312.51743,885.56116
338,2.808,271.7933,-311.48596,885.36835
339,2.817,275.26938,-310.78311,886.79083
340,2.825,277.89557,-310.21915,885.92297
341,2.833,279.37637,-308.47095,885.70081
342,2.842,282.93201,-309.34357,887.07709
343,2.85,285.86981,-307.4938,885.71008
344,2.858,289.03348,-307.76385,886.43347
345,2.867,292.39261,-307.81799,887.2251
346,2.875,296.07837,-306.94269,886.43915
347,2.883,298.32745,-307.14969,885.87518
348,2.892,302.22549,-305.18317,885.30939
349,2.9,306.27612,-306.84631,886.08545
350,2.908,307.69504,-306.40494,884.92316
351,2.917,312.18637,-305.58459,884.33392
352,2.925,316.36282,-306.4332,883.9505
353,2.933,320.2959,-305.97479,883.25922
354,2.942,323.26831,-305.14438,883.18884
355,2.95,328.86359,-306.55331,883.18988
356,2.958,332.43604,-306.03784,881.63654
357,2.967,336.20056,-305.80859,880.8313
358,2.975,340.08289,-306.76358,880.94739
359,2.983,345.6933,-305.81195,878.91614
360,2.992,350.23553,-307.1091,878.45978
361,3,354.36649,-306.94464,877.84503
362,3.008,358.96561,-307.42667,877.62775
363,3.017,363.9136,-306.7597,876.26508
364,3.025,368.81921,-307.08542,875.21417
365,3.033,374.33829,-308.24814,874.24756
366,3.042,379.39694,-307.74826,872.49194
367,3.05,385.43286,-308.5759,872.03552
368,3.058,390.75092,-309.28629,871.56427
369,3.067,396.19403,-309.85898,870.57452
370,3.075,403.58127,-310.24097,869.6347
371,3.083,408.64594,-311.83011,868.95825
372,3.092,415.18976,-312.41833,867.71021
373,3.1,420.64886,-313.65118,866.98328
374,3.108,426.71365,-313.55853,866.23749
375,3.117,432.80865,-314.86322,864.9447
376,3.125,440.93741,-315.73505,864.42169
377,3.133,446.04413,-316.48944,863.2467
378,3.142,453.08044,-317.29398,861.46857
379,3.15,460.01965,-317.6311,861.22034
380,3.158,466.51407,-319.4769,862.02148
381,3.167,473.34528,-320.04166,861.60889
382,3.175,480.41489,-320.59314,862.24377
383,3.183,486.87939,-322.32437,861.73663
384,3.192,494.83539,-323.24203,862.57379
385,3.2,502.68582,-325.64938,862.4458
386,3.208,509.67661,-326.08759,863.80725
387,3.217,514.73279,-327.37292,863.64459
388,3.225,524.28351,-328.83804,864.53436
389,3.233,530.69324,-329.75607,866.24487
390,3.242,539.8078,-332.33511,867.98181
391,3.25,545.84381,-333.60309,868.04236
392,3.258,553.78888,-335.98792,870.04474
393,3.267,560.22302,-336.59128,870.67725
394,3.275,568.50092,-338.23279,871.70477
395,3.283,575.93481,-340.24429,872.88373
396,3.292,584.39868,-341.56253,873.78204
397,3.3,591.63281,-344.71817,875.92999
398,3.308,600.20471,-346.36011,877.75714
399,3.317,606.74506,-347.84509,878.70605
400,3.325,615.06525,-350.34085,880.41785
401,3.333,622.3996,-351.91507,880.92902
402,3.342,630.32971,-354.66327,882.29053
403,3.35,638.54419,-356.49698,883.28589
404,3.358,645.815,-358.75174,883.53778
405,3.367,654.27942,-360.06375,885.50208
406,3.375,661.17566,-362.44827,887.00378
407,3.383,669.41315,-364.03329,886.74292
408,3.392,676.60376,-367.021,888.75439
409,3.4,684.56885,-367.49677,888.88251
410,3.408,692.03027,-369.83426,889.62592
411,3.417,700.42554,-370.341,890.7547
412,3.425,707.47937,-372.45163,890.8269
413,3.433,715.56702,-374.46808,891.73468
414,3.442,722.83514,-376.01642,892.93115
415,3.45,731.29034,-376.52133,893.31274
416,3.458,738.32532,-378.09332,893.91962
417,3.467,746.30872,-378.32144,894.4657
418,3.475,754.07184,-378.84195,895.83978
419,3.483,760.94885,-379.49658,895.71417
420,3.492,767.69073,-379.96805,896.16663
421,3.5,775.21521,-380.79834,898.51935
422,3.508,782.48761,-381.47931,898.21991
423,3.517,789.70233,-381.52075,898.81659
424,3.525,797.70569,-380.90622,898.81085
425,3.533,804.29724,-380.57837,899.2478
426,3.542,811.76953,-380.65182,899.0307
427,3.55,817.98376,-381.33676,898.77344
428,3.558,824.11078,-381.04849,898.34747
429,3.567,832.13831,-379.97433,898.93604
430,3.575,838.75452,-380.34616,898.53235
431,3.583,845.34967,-377.68011,898.00635
432,3.592,853.0589,-376.74246,897.18231
433,3.6,858.86237,-377.00296,897.02625
434,3.608,865.88251,-375.37735,896.09576
