Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
1,0,-1547.84448,-89.95741,986.09906
2,0.008,-1543.66626,-89.97826,986.49677
3,0.017,-1539.69885,-89.9785,986.58722
4,0.025,-1537.29065,-88.92484,986.04321
5,0.033,-1530.21838,-88.70623,987.27649
6,0.042,-1529.57275,-88.28518,987.20496
7,0.05,-1526.59094,-87.5296,986.24158
8,0.058,-1517.15503,-89.12529,985.95526
9,0.067,-1515.01208,-88.94445,985.67902
10,0.075,-1513.86975,-88.72756,985.27429
11,0.083,-1507.42285,-89.10562,985.62598
12,0.092,-1503.28613,-89.02614,984.96722
13,0.1,-1498.10193,-89.58875,984.25189
14,0.108,-1496.86719,-89.47066,983.75525
15,0.117,-1490.36914,-90.23717,983.9812
16,0.125,-1488.05518,-91.08129,983.70081
17,0.133,-1483.60376,-91.19724,982.74182
18,0.142,-1480.26343,-91.17886,981.24524
19,0.15,-1471.23779,-93.41135,982.0484
20,0.158,-1469.10718,-93.12946,981.85278
21,0.167,-1462.04199,-94.35563,980.37201
22,0.175,-1462.04199,-94.35563,980.37201
23,0.183,-1453.07751,-96.46859,979.96722
24,0.192,-1450.16943,-97.31733,979.35199
25,0.2,-1444.29614,-98.6775,978.36249
26,0.208,-1439.06116,-99.45219,978.01636
27,0.217,-1433.93506,-100.69958,977.43451
28,0.225,-1430.73376,-101.55296,976.13208
29,0.233,-1421.04578,-103.8359,975.96924
30,0.242,-1417.56921,-104.57197,975.28058
31,0.25,-1413.45361,-105.47047,974.12146
32,0.258,-1408.1731,-106.04167,972.92401
33,0.267,-1401.19897,-108.52204,973.04852
34,0.275,-1396.86438,-109.39473,971.92804
35,0.283,-1393.20703,-110.54636,970.85327
36,0.292,-1381.50159,-113.20521,970.29443
37,0.3,-1377.6554,-114.74187,969.05359
38,0.308,-1374.53943,-115.18567,968.6059
39,0.317,-1361.41833,-118.40121,967.2016
40,0.325,-1359.63049,-119.74761,966.96887
41,0.333,-1357.15027,-121.63577,966.6261
42,0.342,-1348.55566,-124.22433,966.98297
43,0.35,-1342.52161,-125.42714,966.79102
44,0.358,-1334.99573,-127.31076,967.37524
45,0.367,-1327.64587,-129.12469,967.15344
46,0.375,-1319.79578,-131.24269,967.57288
47,0.383,-1316.20496,-132.82326,967.54663
