Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
58,0.475,358.22745,-272.89597,977.47662,454.884,-354.67215,962.07581,464.07376,-337.61533,865.36688
59,0.483,358.0304,-273.01685,978.07703,454.72516,-354.59412,962.93427,463.91357,-337.68036,865.69153
60,0.492,357.90924,-272.86176,977.46893,454.85895,-354.41153,962.86096,463.44934,-338.56003,866.409
61,0.5,357.90924,-272.86176,977.46893,454.25702,-354.57629,963.11951,463.23529,-338.81561,866.81018
62,0.508,358.02576,-272.75079,977.56927,453.96121,-354.57166,963.84552,463.23529,-338.81561,866.81018
63,0.517,358.24463,-273.02994,977.84766,453.76215,-354.60638,964.04309,463.42877,-339.44803,867.16949
64,0.525,358.24506,-273.33545,978.41797,453.76215,-354.60638,964.04309,463.19528,-339.85571,867.2998
65,0.533,357.91412,-272.78256,977.96588,454.02344,-354.62808,964.10938,463.10092,-340.12857,867.55341
66,0.542,358.22305,-272.84259,978.63776,454.02344,-354.62808,964.10938,463.16785,-340.43604,867.8396
67,0.55,358.17511,-273.00473,978.81439,454.02344,-354.62808,964.10938,463.16785,-340.43604,867.8396
68,0.558,357.84464,-272.75726,978.93262,454.02344,-354.62808,964.10938,463.02664,-340.34714,867.54065
69,0.567,358.22305,-272.84259,978.63776,453.94211,-354.59518,964.25397,463.06403,-340.31018,867.33337
70,0.575,358.22305,-272.84259,978.63776,454.00473,-354.67944,964.24847,462.98004,-340.20023,867.08978
71,0.583,358.22305,-272.84259,978.63776,453.92181,-354.70432,964.04193,462.98004,-340.20023,867.08978
72,0.592,358.22305,-272.84259,978.63776,453.96121,-354.57166,963.84552,462.98004,-340.20023,867.08978
73,0.6,358.24323,-273.09088,978.42737,453.96121,-354.57166,963.84552,463.05307,-340.00491,866.76099
74,0.608,358.24463,-273.02994,977.84766,454.21207,-354.43628,963.49591,462.99835,-338.94907,866.76489
75,0.617,358.12811,-273.1409,977.74725,454.15396,-354.57065,963.25769,462.86011,-338.67267,866.52338
76,0.625,358.12811,-273.1409,977.74725,454.12741,-354.84219,962.91168,462.92096,-338.65305,866.33795
77,0.633,358.12811,-273.1409,977.74725,454.12741,-354.84219,962.91168,462.88263,-338.68573,866.53119
78,0.642,357.90924,-272.86176,977.46893,454.22644,-354.75638,962.75098,463.1673,-338.47433,866.60443
79,0.65,357.90924,-272.86176,977.46893,454.02713,-354.72839,962.70392,463.1673,-338.47433,866.60443
80,0.658,357.71799,-272.87439,977.31061,454.02713,-354.72839,962.70392,463.1673,-338.47433,866.60443
81,0.667,357.3772,-272.62247,977.48322,453.78845,-354.80743,962.65088,462.94937,-338.61755,866.61743
82,0.675,357.3772,-272.62247,977.48322,454.12741,-354.84219,962.91168,462.9668,-337.82901,866.29047
83,0.683,357.43976,-272.76175,978.01129,453.64456,-355.13089,963.16156,462.68304,-338.54977,866.38574
84,0.692,357.3772,-272.62247,977.48322,453.49564,-355.02344,963.01831,462.73456,-338.92444,866.13269
85,0.7,357.3772,-272.62247,977.48322,453.64859,-355.03766,963.25647,462.50479,-339.38907,866.32861
86,0.708,357.3772,-272.62247,977.48322,453.42361,-354.97723,963.72577,462.0928,-339.47214,866.29785
87,0.717,357.3772,-272.62247,977.48322,453.32697,-354.89624,963.63892,461.81326,-339.88171,866.42975
88,0.725,357.3772,-272.62247,977.48322,453.51648,-354.82016,963.69507,461.86301,-340.21103,866.27991
89,0.733,357.3772,-272.62247,977.48322,453.51648,-354.82016,963.69507,461.88037,-340.55023,866.40796
90,0.742,357.79761,-272.89355,977.86554,453.51648,-354.82016,963.69507,462.17682,-340.7037,866.44165
91,0.75,357.79761,-272.89355,977.86554,453.51648,-354.82016,963.69507,462.17682,-340.7037,866.44165
92,0.758,357.79761,-272.89355,977.86554,453.51648,-354.82016,963.69507,462.0878,-341.15335,866.49078
93,0.767,357.79761,-272.89355,977.86554,453.45789,-354.91568,963.60217,461.88037,-340.55023,866.40796
94,0.775,357.79761,-272.89355,977.86554,453.5939,-355.05621,963.46497,461.67084,-340.24985,866.26563
95,0.783,357.79761,-272.89355,977.86554,454.12741,-354.84219,962.91168,461.70758,-339.6463,865.95313
96,0.792,357.91922,-273.12299,977.54907,454.12741,-354.84219,962.91168,462.09262,-339.51257,865.409
97,0.8,357.91922,-273.12299,977.54907,454.28409,-354.72678,962.23535,462.3746,-339.35422,865.31738
98,0.808,357.71799,-272.87439,977.31061,454.03094,-354.84741,962.17725,462.95941,-338.88239,865.37006
99,0.817,357.71799,-272.87439,977.31061,454.2431,-354.84967,961.69165,462.80414,-338.62204,865.22095
100,0.825,357.71799,-272.87439,977.31061,454.29413,-354.87585,961.28699,462.76608,-338.37177,865.09564
101,0.833,357.48047,-272.91287,977.06482,454.29413,-354.87585,961.28699,462.69699,-337.03864,864.60706
102,0.842,357.48047,-272.91287,977.06482,454.23987,-354.62454,960.99005,462.69699,-337.03864,864.60706
103,0.85,357.25504,-272.75439,977.49255,454.07806,-354.89737,961.35516,462.84323,-336.88071,864.54077
