Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
25,0.2,178.90096,-38.8953,1213.89685,157.45561,-3.87721,1183.82813,166.57375,37.11669,1184.97534,187.45961,72.38873,1202.71643,233.70146,8.67814,1231.99951,264.56146,41.05891,1215.99902,287.13672,70.92031,1190.17297
26,0.208,179.83694,-38.60851,1210.81433,158.42078,-2.88985,1181.02148,168.88655,34.44118,1182.23279,187.21873,71.72414,1200.86426,235.12782,9.07279,1228.75806,264.72858,41.8367,1211.52222,287.95602,71.62894,1186.21094
27,0.217,180.20264,-38.50111,1208.34717,159.25861,-4.39108,1178.6488,169.52119,35.37912,1178.77673,189.83623,72.12079,1197.08875,235.87415,9.27987,1225.42419,265.68829,41.88012,1208.92749,287.93655,72.25209,1182.54919
28,0.225,181.8754,-38.79302,1205.35828,161.64131,-3.47415,1175.94202,171.00595,34.79824,1175.87988,189.58327,72.32534,1194.70239,236.54503,9.92245,1222.06177,266.74478,41.35925,1204.56909,289.15573,72.0666,1179.29651
29,0.233,182.6711,-38.87304,1202.44592,161.26758,-4.47434,1172.9397,171.0043,35.58949,1173.2312,189.55264,72.22716,1191.11755,237.74493,10.6959,1219.25793,267.33826,41.33658,1202.07312,289.60242,71.63239,1174.59326
30,0.242,183.32675,-38.96741,1199.4032,162.46246,-4.18917,1170.56738,173.06868,34.52004,1169.39587,191.29515,72.24593,1188.00684,237.96738,10.26185,1215.60608,268.96808,41.25136,1197.76086,291.0542,72.19865,1171.70471
31,0.25,184.34357,-38.51194,1196.16382,161.75096,-3.45035,1166.7804,176.13165,33.32101,1168.04382,192.13576,71.70065,1185.1582,240.32608,9.23014,1212.26819,269.89636,40.55115,1195.09106,291.62531,71.18597,1167.43762
32,0.258,185.67313,-39.08508,1193.26465,163.89612,-3.95164,1165.36267,171.43179,36.27396,1163.84363,193.39233,71.95963,1180.89905,241.50327,9.79244,1208.69385,270.60312,40.43954,1190.6405,292.12051,71.38434,1162.22607
33,0.267,186.45869,-39.26946,1190.6167,164.16302,-5.58599,1160.82996,177.50809,32.56863,1160.28931,194.2361,71.95983,1178.02722,242.49452,9.2734,1205.11206,271.42737,40.47492,1186.71423,293.2894,70.60933,1159.39343
34,0.275,186.83859,-39.22476,1187.28467,164.74927,-4.20243,1158.26855,173.93614,35.77641,1157.80371,195.54103,71.79834,1173.32349,243.03751,8.84229,1201.39368,273.18118,40.08789,1183.09253,294.03812,70.47072,1154.59827
35,0.283,187.91531,-39.83675,1183.81775,166.21477,-6.4378,1154.59167,176.64984,33.74492,1153.60559,196.07405,72.01534,1170.19006,243.79771,8.09292,1197.54114,273.83942,40.50396,1178.19226,295.21646,68.91295,1150.08435
36,0.292,188.94203,-38.97815,1180.72681,165.82138,-4.5593,1151.62512,183.61942,28.58304,1150.29761,196.91968,70.63122,1165.8584,245.58473,8.44469,1193.79089,274.32736,40.06693,1174.89917,295.86966,67.67028,1146.79126
37,0.3,189.543,-40.57011,1178.12244,166.97032,-4.78401,1149.08362,178.87653,31.57208,1146.11206,197.09671,70.62774,1162.95471,245.95099,7.91835,1189.49451,275.3056,39.20873,1170.60486,296.84933,65.87917,1142.14563
38,0.308,190.66814,-39.61879,1174.01965,168.42104,-7.68768,1145.18506,179.83214,31.2115,1143.42761,198.55472,70.1162,1159.12708,246.81149,7.36278,1186.91931,276.72299,38.68303,1165.99146,297.47076,65.85537,1137.18823
39,0.317,191.50583,-39.62883,1171.21033,167.75757,-4.90319,1142.47253,181.24135,29.51854,1139.96826,199.5723,70.00175,1156.12354,247.59839,6.85942,1182.92932,277.63519,38.26197,1163.18286,297.87042,65.44379,1133.68494
40,0.325,192.02557,-41.53106,1167.59583,162.23346,-3.00652,1139.53406,178.8757,31.68795,1136.89905,200.34311,69.13534,1151.77563,248.96301,6.19316,1179.69458,278.22281,37.94431,1158.43982,298.97876,65.40261,1129.45813
41,0.333,193.42528,-42.19352,1164.53638,161.31438,-1.76639,1138.07666,175.18074,33.78617,1134.47168,200.13959,68.94471,1148.92993,250.25873,6.02029,1175.31274,278.99216,37.11226,1154.62781,299.21402,64.88354,1124.54736
42,0.342,194.0224,-43.51742,1161.26843,161.24138,-2.32224,1133.43127,176.63245,33.74676,1131.29346,201.48663,67.63101,1145.28174,250.76495,6.21282,1172.08496,280.61743,36.08631,1151.38928,300.33853,63.05966,1120.89563
43,0.35,195.52968,-42.73674,1159.03638,162.27885,-4.01481,1131.30994,176.44525,31.97289,1127.0249,202.39218,66.94384,1141.56824,251.81747,4.16502,1168.83679,281.42273,34.70805,1146.18408,300.35577,62.68431,1116.6521
44,0.358,196.2529,-44.11249,1154.48779,164.72322,-4.99374,1126.94019,178.26173,31.7273,1124.30835,203.71501,64.87284,1138.77527,252.74165,3.6069,1164.14429,281.78384,33.71959,1142.53625,300.73715,61.99487,1111.81738
45,0.367,197.15289,-44.23061,1150.95605,165.15938,-6.47047,1125.81799,179.66888,29.18894,1120.69495,204.83232,64.65381,1135.03284,254.94191,2.99877,1160.44409,282.92847,33.28292,1138.77185,302.06339,60.77524,1107.61584
46,0.375,197.95683,-47.34246,1147.6958,165.42223,-5.64056,1120.92834,179.64645,29.6371,1118.21765,205.83104,64.07851,1130.74683,255.06335,2.14344,1156.04639,283.75992,31.87715,1134.19592,303.36551,58.70531,1103.28882
47,0.383,198.5576,-48.29771,1144.66028,167.05505,-8.83622,1117.84436,179.68024,29.75807,1114.51501,207.35837,62.93319,1127.36792,256.1991,0.6925,1152.23914,284.88126,30.88364,1129.61572,303.97647,58.33058,1098.80798
48,0.392,199.76567,-47.70047,1141.08337,166.16911,-8.04612,1114.83203,179.30772,31.3221,1111.50183,207.70738,61.46643,1123.40442,256.85681,-0.10814,1147.82068,285.3573,29.61117,1125.5835,304.83127,56.78224,1093.86182
49,0.4,200.69872,-47.89779,1139.15576,168.52736,-9.51057,1110.83264,181.4144,25.5983,1108.14282,208.85051,61.3041,1120.09705,258.51807,-1.84312,1143.6676,285.5892,29.20898,1120.48022,305.36377,56.0901,1089.11389
50,0.408,202.3741,-49.55757,1134.99487,167.64862,-5.88165,1107.21509,182.89607,27.17961,1103.96057,209.31424,59.61021,1115.26819,260.02963,-2.41831,1140.22449,287.25891,27.52128,1116.62073,305.47647,55.19627,1084.7229
51,0.417,203.03912,-51.03191,1131.50586,168.98912,-10.71851,1105.53064,185.32123,23.66501,1101.7157,210.85657,59.26486,1112.63452,260.53476,-3.97303,1136.07312,288.05988,26.13426,1111.19348,306.13345,52.93452,1079.92847
52,0.425,205.06001,-52.2781,1127.68701,170.7285,-11.20025,1100.97314,185.3783,22.71893,1096.94971,211.42183,58.25683,1109.66357,261.38028,-5.01164,1131.30579,288.55075,23.97093,1107.25854,306.94785,51.4202,1075.41638
53,0.433,204.84122,-52.65816,1124.53149,171.25809,-11.86251,1097.99524,185.65509,24.2168,1093.94006,213.16322,55.61533,1104.70007,261.93234,-6.03444,1127.03271,289.25064,23.47265,1102.20935,307.87347,49.19271,1070.35962
54,0.442,205.72357,-53.17142,1120.80774,173.03976,-14.51333,1093.8335,186.27884,21.52205,1089.99756,214.81346,55.79622,1100.8606,264.75046,-7.27996,1123.09009,291.67496,21.21365,1097.86243,308.90506,47.80797,1065.17578
55,0.45,206.97908,-54.28728,1117.78503,173.41429,-14.51342,1091.43408,187.79965,18.22853,1086.8009,214.67267,54.85448,1096.35266,265.0748,-9.33433,1118.01709,292.13489,19.59841,1093.1521,309.78253,46.79166,1060.26721
56,0.458,208.16098,-55.74548,1114.12085,173.991,-15.84527,1087.26086,187.28761,20.66885,1082.08459,217.02057,50.46032,1093.12549,265.55988,-9.94522,1114.53735,292.63239,18.98387,1088.78906,310.33231,44.8461,1056.17896
57,0.467,208.65538,-55.7819,1110.70129,172.47586,-16.19982,1082.97705,186.57782,22.10287,1078.38159,218.99622,51.32487,1087.99951,267.23822,-11.40532,1110.62476,293.88504,16.46423,1084.36584,310.71472,43.34866,1051.79858
58,0.475,208.81502,-57.56106,1107.36633,173.30089,-17.13616,1080.76306,187.49693,19.90573,1075.39343,218.29567,49.87894,1084.76147,268.20242,-12.42834,1106.34119,295.17117,15.19441,1080.23682,311.9296,40.55248,1046.43359
59,0.483,209.4057,-59.06337,1104.46338,175.91808,-18.53356,1077.3783,190.80739,18.10343,1071.36133,219.65332,48.94318,1080.13867,269.40289,-13.28695,1102.28381,295.25909,13.89012,1075.82556,312.87646,38.56565,1041.67908
60,0.492,210.23656,-59.90311,1100.06934,175.70151,-20.17458,1073.573,191.06248,16.13411,1066.96704,220.40256,47.14748,1076.24817,269.19507,-15.31332,1097.87524,296.72247,11.61067,1071.64941,314.21875,37.13527,1037.48352
61,0.5,211.17831,-61.76448,1097.48608,176.63322,-22.11126,1070.73218,191.34937,14.5371,1064.72729,222.08493,45.4234,1073.29248,271.04004,-17.37008,1095.34802,296.97055,10.60558,1066.91467,314.33978,34.88636,1033.33423
62,0.508,212.77255,-63.29986,1093.22314,182.06773,-27.04132,1066.14319,200.07379,7.65123,1058.03174,222.94258,44.31553,1069.35022,271.76511,-18.4199,1090.6676,297.53842,8.2642,1062.98352,314.43683,32.59381,1028.50513
63,0.517,212.88138,-64.23131,1090.26794,179.46869,-22.73639,1064.54932,193.92558,13.8648,1058.00342,223.46066,42.12448,1065.52185,272.17523,-19.38309,1086.83704,298.34183,6.80766,1058.36499,315.21106,30.99842,1023.94501
64,0.525,213.97516,-66.25027,1087.12988,180.34453,-26.9679,1061.22449,197.71486,8.0606,1053.43103,224.3291,41.78627,1061.06104,273.90143,-21.92716,1083.3446,299.49197,5.22605,1054.44446,315.50653,30.32705,1020.4057
65,0.533,213.9575,-67.51505,1083.73547,180.98839,-28.89626,1056.81055,198.64853,5.7547,1048.15552,225.98836,39.72437,1058.80383,274.83096,-23.69168,1078.76697,300.03827,2.87942,1050.05945,316.39505,27.39962,1015.55548
66,0.542,215.29195,-68.54864,1080.46533,180.83809,-30.55841,1053.80884,197.80287,4.43588,1045.25635,227.02635,36.44535,1054.40259,275.46817,-24.86127,1075.86707,301.23169,1.13258,1046.80054,317.55719,24.19804,1011.10986
67,0.55,216.02281,-71.12731,1077.22241,181.032,-32.79337,1050.28467,197.67325,2.47741,1042.3656,226.64561,36.28839,1051.4646,276.00098,-26.63734,1070.79639,301.78375,-0.23471,1042.29651,317.5665,23.96799,1006.76257
68,0.558,217.15517,-71.81171,1073.67175,183.45609,-31.73707,1048.26379,199.24023,3.97816,1040.70557,227.69405,35.95764,1046.69556,277.58215,-28.88263,1067.56348,301.80048,-2.5501,1036.65942,318.19321,21.55544,1002.68298
69,0.567,217.25639,-73.74046,1070.79602,184.31491,-33.97671,1045.76245,200.57304,1.5468,1038.42578,229.58963,32.40041,1044.44348,278.29633,-29.66803,1064.46667,303.71698,-3.54168,1033.9447,319.02179,18.6961,998.1615
70,0.575,218.2717,-73.34233,1067.37207,184.03111,-35.52789,1042.60291,199.01416,0.29669,1034.20886,230.55249,32.06466,1039.20215,279.85666,-33.00315,1059.86377,304.56906,-6.03067,1030.33313,319.70624,16.47317,995.0459
71,0.583,219.50099,-76.08492,1064.42017,186.98062,-38.5017,1037.22412,204.04031,-3.78586,1028.25415,231.60992,31.32057,1035.88757,280.57614,-33.9178,1056.49072,305.69745,-7.62325,1026.44141,321.84448,13.32631,990.99701
72,0.592,220.43774,-76.63943,1061.41711,187.85568,-39.49308,1034.00806,205.41106,-5.57801,1023.20782,233.93085,26.94329,1032.62866,281.2291,-36.17265,1053.08813,306.46997,-11.52147,1022.93958,322.07513,12.15486,986.7677
73,0.6,221.04166,-78.3981,1058.44653,189.02066,-39.09658,1033.11951,204.75822,-3.6059,1024.98047,235.39839,27.12901,1028.49585,282.95535,-36.56665,1050.39355,308.00815,-13.23807,1018.95245,323.90891,9.10154,982.89917
