Frame#,Time,C7.x,C7.y,C7.z,R.Shoulder.x,R.Shoulder.y,R.Shoulder.z,L.Shoulder.x,L.Shoulder.y,L.Shoulder.z
47,0.383,-209.61958,62.96526,1099.63306,-113.58114,-79.62146,1028.74561,-182.10036,259.22577,1033.86133
48,0.392,-209.46021,63.10014,1099.7135,-112.93824,-79.83147,1027.96472,-182.27396,259.08276,1033.91943
49,0.4,-209.46021,63.10014,1099.7135,-112.69361,-80.73483,1027.70337,-182.51147,258.84985,1033.84949
50,0.408,-209.46021,63.10014,1099.7135,-112.74626,-80.38818,1027.82129,-182.51147,258.84985,1033.84949
51,0.417,-209.46021,63.10014,1099.7135,-113.07821,-80.67687,1027.35864,-181.93201,258.75931,1033.79834
52,0.425,-208.92944,62.83673,1099.4447,-112.8912,-81.85736,1027.46338,-181.85759,258.6207,1034.1521
53,0.433,-208.92944,62.83673,1099.4447,-113.10742,-81.01209,1027.16443,-181.38481,259.04568,1034.18652
54,0.442,-209.095,62.59337,1099.27112,-113.29008,-81.51619,1026.7738,-181.2807,258.92947,1033.97021
55,0.45,-208.92944,62.83673,1099.4447,-112.9855,-82.21227,1026.43506,-181.11246,258.32617,1033.93152
56,0.458,-209.095,62.59337,1099.27112,-112.39466,-82.47668,1025.98608,-181.36923,257.79489,1034.02319
57,0.467,-209.095,62.59337,1099.27112,-112.12659,-82.52569,1025.79712,-181.64015,258.2316,1034.05542
58,0.475,-209.095,62.59337,1099.27112,-112.28992,-82.62864,1025.73901,-181.50427,258.06488,1034.28003
59,0.483,-209.095,62.59337,1099.27112,-112.35149,-82.66476,1025.59705,-181.28032,257.90384,1033.91003
60,0.492,-208.99359,61.99501,1099.29065,-112.35149,-82.66476,1025.59705,-180.91367,257.95181,1034.36255
61,0.5,-208.99359,61.99501,1099.29065,-112.60695,-82.6066,1025.42896,-180.83305,257.81555,1034.18286
62,0.508,-208.99359,61.99501,1099.29065,-112.7903,-83.12963,1025.68323,-180.69925,257.44623,1034.22937
63,0.517,-208.99359,61.99501,1099.29065,-112.8717,-83.33973,1025.62415,-180.69925,257.44623,1034.22937
64,0.525,-208.99359,61.99501,1099.29065,-112.8717,-83.33973,1025.62415,-180.77518,257.33258,1034.01648
65,0.533,-208.99359,61.99501,1099.29065,-112.8717,-83.33973,1025.62415,-180.77518,257.33258,1034.01648
66,0.542,-209.15915,61.7513,1099.11731,-112.8717,-83.33973,1025.62415,-180.67497,257.27179,1034.08923
67,0.55,-209.15915,61.7513,1099.11731,-112.8717,-83.33973,1025.62415,-180.4135,257.37155,1034.30603
68,0.558,-209.51244,61.31062,1099.08789,-112.8717,-83.33973,1025.62415,-180.34985,257.18677,1034.43372
69,0.567,-209.51244,61.31062,1099.08789,-112.8717,-83.33973,1025.62415,-180.42577,257.07312,1034.22083
70,0.575,-209.51244,61.31062,1099.08789,-113.7945,-84.01778,1025.56104,-180.4669,256.80261,1034.13623
71,0.583,-209.51244,61.31062,1099.08789,-113.64713,-83.72755,1025.58215,-180.50087,256.49289,1034.49109
72,0.592,-209.51244,61.31062,1099.08789,-113.7945,-84.01778,1025.56104,-180.50087,256.49289,1034.49109
73,0.6,-209.77821,60.92195,1099.20642,-113.7945,-84.01778,1025.56104,-180.50087,256.49289,1034.49109
74,0.608,-209.77821,60.92195,1099.20642,-113.92806,-84.15868,1025.86755,-180.70219,255.91588,1034.16199
75,0.617,-209.77821,60.92195,1099.20642,-113.98959,-83.97012,1025.49744,-180.99678,255.63533,1034.21643
76,0.625,-209.77821,60.92195,1099.20642,-113.98959,-83.97012,1025.49744,-180.92087,255.74905,1034.42944
77,0.633,-209.77821,60.92195,1099.20642,-113.98959,-83.97012,1025.49744,-180.92087,255.74905,1034.42944
78,0.642,-209.77821,60.92195,1099.20642,-113.98959,-83.97012,1025.49744,-180.99678,255.63533,1034.21643
79,0.65,-209.77821,60.92195,1099.20642,-113.98959,-83.97012,1025.49744,-180.99678,255.63533,1034.21643
80,0.658,-209.77821,60.92195,1099.20642,-114.16975,-83.93683,1025.73633,-180.98903,255.36084,1034.11902
81,0.667,-209.77821,60.92195,1099.20642,-113.98959,-83.97012,1025.49744,-180.99678,255.63533,1034.21643
82,0.675,-209.77821,60.92195,1099.20642,-114.09832,-84.21579,1026.07422,-180.98903,255.36084,1034.11902
83,0.683,-209.77821,60.92195,1099.20642,-114.38477,-84.77429,1026.28308,-181.22099,255.64844,1034.2168
84,0.692,-209.95358,60.84822,1099.31775,-114.47808,-85.00451,1026.49146,-181.21326,255.37393,1034.11938
85,0.7,-209.95358,60.84822,1099.31775,-114.65833,-84.97099,1026.73047,-181.10347,255.79733,1033.97754
86,0.708,-209.95358,60.84822,1099.31775,-114.65833,-84.97099,1026.73047,-181.10347,255.79733,1033.97754
87,0.717,-209.95358,60.84822,1099.31775,-114.87574,-84.98977,1026.74951,-181.23761,255.14165,1033.97827
88,0.725,-210.10728,60.67186,1099.55261,-115.04347,-85.25378,1026.62695,-181.29712,254.98215,1033.87366
89,0.733,-210.10728,60.67186,1099.55261,-115.04347,-85.25378,1026.62695,-181.29712,254.98215,1033.87366
90,0.742,-210.57228,61.04221,1099.78394,-115.33923,-85.48399,1026.50867,-181.29712,254.98215,1033.87366
91,0.75,-210.41866,61.21855,1099.54919,-115.50331,-85.58585,1026.45093,-181.29712,254.98215,1033.87366
92,0.758,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.20433,255.36731,1033.78845
93,0.767,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.16304,255.63782,1033.87292
94,0.775,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.38052,255.3748,1033.61658
95,0.783,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.92001,254.87221,1033.49963
96,0.792,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.84004,255.07826,1033.68115
97,0.8,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.86052,255.03172,1033.60425
98,0.808,-210.57228,61.04221,1099.78394,-115.50331,-85.58585,1026.45093,-181.76767,255.41682,1033.51904
99,0.817,-210.59195,61.45167,1099.69556,-115.50331,-85.58585,1026.45093,-181.88515,256.08481,1033.50024
100,0.825,-210.72246,61.56569,1099.60608,-115.87535,-85.27613,1026.35132,-181.93695,255.65077,1033.2981
101,0.833,-210.82399,61.17875,1099.59216,-115.86067,-85.70441,1026.43225,-181.79749,256.01636,1033.58411
102,0.842,-210.84364,61.58817,1099.50366,-115.86067,-85.70441,1026.43225,-181.88515,256.08481,1033.50024
103,0.85,-211.02148,61.74791,1099.35583,-115.86067,-85.70441,1026.43225,-182.0755,256.11121,1033.48035
104,0.858,-211.02148,61.74791,1099.35583,-115.86067,-85.70441,1026.43225,-182.0755,256.11121,1033.48035
105,0.867,-211.32471,61.74905,1099.42786,-115.86067,-85.70441,1026.43225,-181.8438,256.35526,1033.58472
106,0.875,-211.32471,61.74905,1099.42786,-115.86067,-85.70441,1026.43225,-182.03413,256.38165,1033.56494
107,0.883,-211.32471,61.74905,1099.42786,-115.86067,-85.70441,1026.43225,-181.97174,256.32175,1033.6394
108,0.892,-211.32471,61.74905,1099.42786,-115.87535,-85.27613,1026.35132,-181.97174,256.32175,1033.6394
109,0.9,-211.35641,61.9472,1099.23267,-116.21236,-85.18915,1026.0249,-182.10982,256.13101,1033.93164
110,0.908,-211.97037,61.94783,1099.42358,-115.93468,-85.67337,1025.86206,-182.28381,256.15073,1034.07336
111,0.917,-211.97037,61.94783,1099.42358,-116.13295,-85.22047,1025.55322,-182.5191,256.62164,1033.86963
112,0.925,-212.028,62.15044,1099.18787,-116.07864,-85.38638,1025.22852,-182.08055,256.69061,1033.96973
113,0.933,-211.97037,61.94783,1099.42358,-116.07864,-85.38638,1025.22852,-182.22975,256.99789,1034.24133
114,0.942,-211.97037,61.94783,1099.42358,-115.89107,-85.41315,1024.87463,-182.5191,256.62164,1033.86963
115,0.95,-212.37659,61.86964,1099.40088,-115.92526,-85.82858,1024.8252,-182.38083,256.30426,1034.29858
116,0.958,-212.37659,61.86964,1099.40088,-115.92526,-85.82858,1024.8252,-182.63794,256.04437,1034.65417
117,0.967,-212.46512,61.65189,1099.04285,-116.09289,-86.09276,1024.70251,-182.63678,256.23737,1034.40796
118,0.975,-212.43427,62.07225,1099.16516,-116.22486,-86.02219,1024.61145,-183.3188,256.69016,1034.74951
119,0.983,-212.43427,62.07225,1099.16516,-116.25682,-86.2091,1024.51538,-183.04706,256.99625,1034.33813
