Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z,L.Toe.x,L.Toe.y,L.Toe.z,L.MedFoot.x,L.MedFoot.y,L.MedFoot.z
55,0.45,1514.33813,-256.16379,50.34036,1316.14856,-335.14291,38.23977,1366.29761,-282.36987,75.32267
56,0.458,1514.37219,-256.27051,50.50608,1315.9939,-335.1727,38.18877,1365.86621,-282.55203,75.51381
57,0.467,1514.31873,-256.11322,50.72593,1315.73254,-335.20242,38.48055,1365.78735,-282.76514,75.12433
58,0.475,1513.65112,-255.71748,50.88136,1316.16418,-335.37015,37.71979,1365.79382,-282.53351,74.67028
59,0.483,1512.72046,-255.93048,51.13747,1316.48206,-335.41077,38.00467,1365.64587,-282.92804,74.59507
60,0.492,1512.69812,-256.31375,50.77398,1316.42554,-335.5578,37.82747,1365.73865,-283.0687,74.52339
61,0.5,1512.92139,-256.11981,51.17943,1315.86169,-335.33295,38.05833,1365.73865,-283.0687,74.52339
62,0.508,1514.00159,-255.13785,52.26407,1316.33203,-336.08762,37.80403,1365.74109,-283.16547,74.60921
63,0.517,1514.65515,-254.12953,51.4641,1316.44702,-336.00702,38.02535,1365.90723,-283.1633,74.78912
64,0.525,1514.32153,-254.48203,51.7689,1316.44702,-336.00702,38.02535,1365.74402,-283.09833,74.54973
65,0.533,1515.15112,-253.22647,51.98241,1316.50049,-336.03574,37.97119,1366.375,-283.07178,74.84377
66,0.542,1514.53516,-254.4926,53.05869,1316.3855,-336.11633,37.74987,1365.98853,-282.96222,74.92961
67,0.55,1514.58313,-254.33655,53.11082,1316.58813,-335.931,38.03981,1365.7854,-282.54349,74.5491
68,0.558,1514.1897,-253.89299,53.29074,1316.48254,-335.55267,37.86186,1365.96533,-282.82114,74.96346
69,0.567,1514.1897,-253.89299,53.29074,1315.77551,-336.16217,38.33161,1365.25378,-282.75098,74.0044
70,0.575,1513.90991,-253.98106,52.99509,1316.57581,-335.68591,37.83814,1365.29016,-282.66385,74.53133
71,0.583,1514.16833,-254.08336,53.41339,1316.68005,-335.47314,37.89402,1365.05591,-282.15967,74.69091
72,0.592,1514.14966,-253.98323,53.60768,1316.62451,-335.12997,37.85587,1365.05591,-282.15967,74.69091
73,0.6,1514.43018,-253.95303,54.12042,1317.70007,-334.51523,38.00533,1365.24109,-280.99323,74.15213
74,0.608,1513.66455,-253.67039,55.19786,1316.60925,-335.46765,37.78894,1365.04309,-280.72202,73.61937
75,0.617,1513.50635,-253.74414,55.46378,1316.45105,-335.27206,37.34158,1364.72034,-280.0542,74.12373
76,0.625,1513.04285,-254.99751,56.84539,1316.4624,-335.95676,37.68226,1364.64673,-279.68936,73.95929
77,0.633,1513.05713,-254.99216,57.16851,1316.60706,-335.58408,38.18867,1364.38403,-280.00775,74.00433
78,0.642,1512.90833,-255.02928,57.88736,1316.84302,-335.2778,37.72854,1364.45996,-279.67413,73.78467
79,0.65,1512.9657,-255.74945,59.09421,1316.86377,-335.34525,37.75521,1364.45923,-279.91476,73.94302
80,0.658,1513.00098,-255.56586,59.67513,1316.84326,-335.38513,37.71072,1364.66235,-280.08109,74.29802
81,0.667,1512.44824,-255.78087,60.43914,1316.729,-335.65845,38.05352,1363.927,-280.10342,74.86856
82,0.675,1512.28699,-255.74385,62.66752,1316.8302,-335.32272,37.68121,1363.59094,-280.19675,74.6394
83,0.683,1510.99243,-255.56471,64.23444,1316.78992,-335.79761,37.98068,1363.78369,-280.72327,74.91463
84,0.692,1511.13171,-255.69022,65.78142,1316.88562,-336.0582,38.0505,1363.45374,-280.62534,75.03625
85,0.7,1510.45911,-255.96805,67.0251,1316.88306,-336.02658,37.95732,1363.677,-281.55292,75.94096
86,0.708,1510.84937,-257.07074,69.70684,1316.02466,-337.46967,37.49599,1363.1488,-282.15533,76.02856
87,0.717,1509.92261,-257.73544,71.78346,1316.65784,-335.9118,37.81351,1362.21228,-282.91754,76.52167
88,0.725,1509.36816,-258.33832,74.82714,1316.50208,-336.20947,37.89788,1361.06287,-283.70728,77.52718
89,0.733,1509.36877,-259.09274,77.95639,1316.34778,-336.31168,37.7366,1360.4126,-284.00436,77.86546
90,0.742,1507.53162,-259.24506,80.90569,1316.14966,-336.47504,37.64688,1359.25098,-284.09683,78.08825
91,0.75,1506.45593,-259.46149,85.47541,1315.86914,-336.66537,37.87065,1357.62585,-283.77979,79.11842
92,0.758,1504.27112,-260.98831,90.14683,1315.47839,-336.23669,38.10038,1356.1438,-284.29221,80.54025
93,0.767,1501.48865,-259.59827,95.12004,1314.76892,-336.37405,38.27235,1352.91895,-284.8681,81.72704
94,0.775,1498.19019,-259.96866,101.71404,1313.979,-336.85046,38.68894,1350.62622,-285.70807,83.26391
95,0.783,1493.68896,-257.85583,108.83487,1313.24243,-336.073,38.67766,1347.18579,-285.53616,84.3988
96,0.792,1489.04346,-256.47156,118.23248,1312.50806,-335.93848,38.73515,1343.14111,-286.96857,86.80755
97,0.8,1481.36548,-256.35953,126.72415,1312.21399,-335.83435,38.79922,1338.24841,-287.0293,87.42852
98,0.808,1474.03418,-254.52521,137.02356,1311.87036,-335.83829,39.01927,1332.81958,-288.9678,90.18285
99,0.817,1463.38965,-253.66896,146.24594,1311.08765,-335.27695,39.03984,1327.09827,-290.57306,91.99917
100,0.825,1453.05273,-251.38251,156.38457,1310.22144,-334.30716,39.87505,1319.60901,-291.26105,93.60994
101,0.833,1440.50562,-248.58731,166.84026,1307.90747,-333.3624,40.60823,1312.27466,-290.13757,94.67376
102,0.842,1427.66162,-245.82083,177.52806,1304.47009,-331.45834,41.16705,1303.901,-291.2782,96.70209
103,0.85,1413.80615,-244.67874,187.32863,1299.94775,-330.68527,45.33467,1295.06641,-291.46237,101.74081
104,0.858,1400.68127,-242.86832,197.19034,1292.36487,-331.12042,48.57977,1285.83716,-289.98502,106.67281
105,0.867,1384.71997,-238.04344,205.62129,1285.55554,-332.30127,54.08227,1275.37659,-289.78226,111.50637
106,0.875,1370.53662,-234.88828,212.79999,1277.20483,-334.48636,59.63906,1263.82715,-291.0676,118.31625
107,0.883,1355.31604,-232.39148,217.99803,1265.63354,-338.33301,67.25917,1250.65894,-292.99115,123.50653
108,0.892,1339.52734,-229.06229,223.18945,1251.49683,-341.34467,73.91736,1236.31958,-293.01114,128.72984
109,0.9,1324.19043,-227.62759,225.89359,1238.08691,-345.36206,80.6012,1222.18347,-293.0849,131.82011
110,0.908,1308.25562,-226.8504,229.84306,1221.849,-345.55115,85.72636,1206.19543,-292.79297,136.26189
111,0.917,1292.51624,-226.53209,230.80356,1205.07349,-344.84933,87.71952,1189.60486,-293.56549,138.34447
112,0.925,1276.76587,-227.0838,232.96613,1185.76343,-342.12662,89.35205,1171.92236,-292.09921,141.49582
113,0.933,1261.22742,-229.85907,231.96271,1165.30969,-341.2377,90.42873,1153.22559,-290.38297,143.20734
114,0.942,1245.27307,-230.46837,232.03575,1141.76001,-339.1673,90.00943,1134.2085,-289.92267,144.42924
115,0.95,1227.77271,-231.90694,230.34508,1117.88281,-338.85828,90.89599,1112.90601,-287.82571,145.70683
116,0.958,1211.68713,-232.90495,227.40907,1093.8407,-336.93839,90.38348,1093.01453,-286.51624,146.10406
117,0.967,1193.47681,-235.11189,223.86316,1070.56177,-335.2655,89.72487,1072.43311,-286.29874,145.55356
118,0.975,1175.73071,-236.79758,219.22134,1046.302,-333.11243,89.22708,1049.68225,-286.54309,145.93152
119,0.983,1156.88635,-237.61484,213.94719,1022.12207,-331.60022,89.22189,1030.27258,-284.54987,142.83148
120,0.992,1137.54797,-238.67033,207.52388,998.4137,-331.10092,89.07257,1006.42078,-284.20477,144.19458
121,1,1117.93433,-239.51469,201.85168,972.85925,-330.09213,87.5631,984.14825,-283.71799,141.19743
122,1.008,1097.90881,-240.55928,194.87004,948.38184,-330.61084,86.28056,961.87982,-283.53488,138.81042
123,1.017,1077.32007,-241.09288,186.82809,922.21747,-329.88577,83.77308,938.13165,-281.72986,136.48833
124,1.025,1056.39758,-243.02728,178.77803,896.65051,-332.06509,81.81693,916.09717,-284.75806,133.67041
125,1.033,1034.70105,-243.37573,169.78535,871.54803,-331.80521,79.23727,892.19623,-284.77194,129.95676
126,1.042,1012.9967,-244.6514,162.26085,846.61707,-333.64178,77.45481,869.13068,-286.38312,126.33321
127,1.05,988.76196,-246.72192,151.72746,820.38959,-333.23703,75.29317,845.78015,-286.93134,123.01582
128,1.058,966.81555,-247.58521,142.74007,795.97455,-334.51291,72.80212,821.46729,-287.77304,119.92166
129,1.067,943.38184,-249.30661,133.2868,769.35956,-336.12265,70.66317,797.70306,-289.05319,116.09409
130,1.075,923.09833,-251.7395,125.07861,743.86792,-337.76407,69.12132,773.56244,-290.27429,112.89371
131,1.083,896.56299,-252.20172,116.20539,717.63312,-339.12527,67.11393,749.82404,-291.72308,110.46464
132,1.092,873.87024,-253.03317,107.78831,691.96686,-340.62512,66.23576,725.99677,-293.50662,107.25903
133,1.1,849.77319,-255.76057,99.76831,665.98431,-342.39496,65.54286,701.29657,-294.0802,104.5593
134,1.108,825.4776,-256.84933,91.40709,639.81842,-343.6113,66.27803,677.83014,-296.14883,103.3601
135,1.117,800.60437,-259.74283,83.82665,613.16199,-343.8493,67.69926,653.8717,-296.92093,103.91792
136,1.125,776.89581,-262.7868,77.34258,587.24084,-344.80151,69.99908,630.36725,-297.89771,103.50927
137,1.133,753.49518,-267.29773,70.93955,562.42548,-345.74219,72.08659,607.24713,-298.35944,103.71538
138,1.142,730.71674,-269.73065,66.12685,538.2912,-345.34741,74.93931,586.04852,-299.87375,104.34373
139,1.15,709.20673,-273.64291,61.51885,515.11877,-345.32513,77.91074,565.37616,-301.14868,105.66719
140,1.158,689.48584,-277.39856,58.66931,493.12222,-344.61908,81.4602,545.8197,-302.0387,106.85325
141,1.167,670.18396,-281.72836,56.10682,473.16522,-345.51022,85.28989,528.23651,-303.40018,108.78207
142,1.175,652.8692,-283.91608,54.6323,455.23874,-345.87149,88.18017,511.33118,-304.95734,110.28082
143,1.183,637.43304,-286.30334,52.80137,440.44684,-347.86572,90.63958,497.10492,-305.85175,110.7046
144,1.192,624.99054,-287.07571,51.63478,426.32623,-349.59995,91.88057,484.63736,-306.9155,110.89054
145,1.2,613.10718,-288.76089,50.47861,415.3418,-350.87885,92.48856,474.2052,-308.76059,110.49732
146,1.208,604.09778,-289.75455,48.31898,406.77615,-353.62045,92.15093,465.45438,-310.65536,108.84258
147,1.217,597.04895,-291.69019,46.96912,399.242,-354.26822,89.70325,457.47214,-311.13028,106.86228
148,1.225,591.30817,-292.59262,44.67947,394.73203,-355.586,86.36655,451.59525,-311.64444,103.09279
149,1.233,588.11523,-293.87433,44.99032,389.65213,-356.0079,81.74442,448.20148,-312.62338,99.33044
150,1.242,587.11401,-293.49838,46.10205,388.55585,-357.40799,74.37699,444.12344,-312.89746,94.26585
151,1.25,584.68787,-291.02155,47.3427,387.50882,-358.56097,64.86665,439.87488,-313.09229,88.96488
152,1.258,583.11151,-291.49399,48.14042,386.05008,-359.33319,55.14286,437.74942,-313.16699,86.74855
153,1.267,581.78064,-292.3161,49.6974,383.95261,-355.616,52.56435,435.39893,-312.84683,86.29193
154,1.275,581.19562,-293.75311,51.38414,381.15451,-352.8367,54.64515,434.02405,-311.68747,84.6379
155,1.283,580.71722,-294.78793,51.46046,378.00009,-351.00534,56.00211,433.41876,-310.73453,84.09303
156,1.292,580.26794,-295.43246,51.50406,376.28943,-351.75851,54.40018,432.96536,-310.48462,83.79697
157,1.3,579.78162,-295.32617,52.05987,376.20837,-353.7793,51.19972,432.2532,-311.15567,83.37503
158,1.308,579.55084,-295.20798,52.33646,377.08688,-355.5882,48.8903,431.82602,-310.92969,83.2258
159,1.317,579.37128,-295.02505,52.41121,377.17432,-355.73538,48.7294,431.43692,-310.64218,83.00735
160,1.325,579.37128,-295.02505,52.41121,377.15131,-354.06747,49.43478,431.66226,-310.81952,83.04255
161,1.333,579.35284,-294.83417,52.49831,376.44888,-353.01819,50.03973,431.78009,-310.79202,83.04554
162,1.342,579.37128,-295.02505,52.41121,376.58987,-353.49545,49.49667,431.66226,-310.81952,83.04255
163,1.35,579.55084,-295.20798,52.33646,377.0036,-355.15231,48.58569,432.02451,-311.27774,82.83824
164,1.358,579.56146,-295.35004,52.4514,377.42831,-356.34366,47.7151,431.9859,-311.66623,82.69707
165,1.367,579.60138,-295.16998,52.53431,377.36252,-356.90009,47.38363,431.68716,-311.65909,81.94245
166,1.375,579.29803,-294.88474,52.58459,376.68475,-356.79984,47.49773,431.25562,-311.49591,81.64556
167,1.383,578.96875,-294.90253,52.6909,376.71356,-356.7605,46.83508,430.96555,-311.18997,81.58907
168,1.392,578.79779,-294.62863,52.66618,376.41943,-357.15717,45.89201,430.81613,-310.83701,81.57661
169,1.4,578.95624,-294.17514,52.6493,376.0795,-357.51019,45.15435,430.46027,-310.41977,80.97965
170,1.408,578.4577,-294.30188,52.47407,375.9353,-357.14304,44.97749,429.97214,-309.80893,80.37721
171,1.417,578.4436,-294.11862,53.01207,375.82425,-357.05603,44.93259,429.68945,-309.95688,80.36379
172,1.425,578.4436,-294.11862,53.01207,375.93451,-356.6456,44.73803,429.84888,-309.19522,80.08537
173,1.433,578.35419,-293.5087,53.42534,376.0553,-356.42099,44.57411,429.54712,-309.03812,80.13965
174,1.442,578.26666,-293.54764,53.45771,375.38705,-357.2298,44.33088,429.19476,-309.28983,79.81361
175,1.45,578.10364,-293.16006,53.83803,375.38705,-357.2298,44.33088,429.04041,-309.74045,79.45091
176,1.458,577.71283,-293.19336,53.75367,375.38882,-357.32007,44.40801,429.00378,-309.71658,79.51211
177,1.467,577.63159,-292.83853,53.94624,375.30746,-357.41183,44.19694,428.85681,-309.97229,79.56583
178,1.475,577.81171,-292.69022,54.01628,375.37424,-357.71094,44.34826,428.80417,-310.08591,79.46507
179,1.483,577.37988,-292.4158,53.85054,375.4277,-357.94864,44.28794,428.81229,-310.18069,79.54335
180,1.492,577.0257,-292.37875,54.03043,375.67343,-358.34457,44.44685,428.90811,-310.28802,79.74905
181,1.5,576.93774,-292.2442,53.94267,375.30084,-357.60419,44.3008,428.99274,-310.31274,79.87994
182,1.508,576.69971,-292.10553,54.02247,375.93332,-359.15607,44.44133,428.86652,-310.40051,79.68839
183,1.517,576.69971,-292.10553,54.02247,375.97684,-359.82687,44.38508,428.91873,-310.66986,79.56292
184,1.525,576.8009,-292.04657,53.93311,375.71057,-359.7276,44.63834,428.91873,-310.66986,79.56292
185,1.533,576.88208,-292.94894,54.51674,375.99445,-359.93301,44.3712,428.84842,-310.64691,79.29815
186,1.542,577.4201,-291.32269,54.627,376.14999,-360.05255,44.19058,428.86557,-310.58698,79.27196
187,1.55,577.43378,-291.01651,54.86006,376.19574,-360.24481,43.94565,429.20175,-310.64133,79.36124
188,1.558,577.42181,-290.80283,55.04783,376.24655,-360.01196,44.40799,428.75385,-310.43396,79.5026
189,1.567,577.38727,-290.26523,55.03065,375.30722,-359.90625,44.36366,428.99252,-310.36957,79.27612
190,1.575,577.49713,-290.07343,55.03517,376.24655,-360.01196,44.40799,428.99252,-310.36957,79.27612
191,1.583,577.48724,-289.9328,54.91297,376.42984,-360.01581,44.35569,428.76553,-309.86459,79.19666
192,1.592,577.2746,-290.09091,54.62393,376.42984,-360.01581,44.35569,428.97131,-309.43649,78.54908
193,1.6,576.86426,-290.03458,54.69173,376.66544,-359.79486,44.30832,428.57486,-309.62619,78.75111
194,1.608,576.91547,-289.2923,55.16665,376.66544,-359.79486,44.30832,428.27023,-307.48526,76.58424
195,1.617,576.91779,-289.39319,55.27518,376.42984,-360.01581,44.35569,428.36743,-308.93777,78.21488
