Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z,R.Toe.x,R.Toe.y,R.Toe.z,R.MedFoot.x,R.MedFoot.y,R.MedFoot.z
57,0.467,-74.35237,-170.02533,47.79034,136.84729,-178.86417,47.68063,80.96893,-136.38455,67.98
58,0.475,-74.60503,-170.43333,47.84578,136.84729,-178.86417,47.68063,80.96893,-136.38455,67.98
59,0.483,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.37631,-137.81837,68.45768
60,0.492,-74.60503,-170.43333,47.84578,136.80254,-178.98779,47.74759,80.43231,-137.61041,68.56314
61,0.5,-74.40102,-169.83258,47.76994,136.88504,-178.82115,47.77236,80.41243,-137.48839,68.6217
62,0.508,-74.60503,-170.43333,47.84578,136.8002,-178.76318,47.69252,80.48748,-137.6064,68.67715
63,0.517,-74.34309,-170.43193,47.79763,136.8002,-178.76318,47.69252,80.48748,-137.6064,68.67715
64,0.525,-74.34309,-170.43193,47.79763,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
65,0.533,-74.28323,-170.31436,47.84853,136.91319,-178.74001,47.67437,80.41243,-137.48839,68.6217
66,0.542,-74.19118,-170.30902,47.98832,136.8002,-178.76318,47.69252,80.96893,-136.38455,67.98
67,0.55,-74.06237,-170.5015,47.54088,137.02393,-178.79846,47.7495,80.96893,-136.38455,67.98
68,0.558,-74.26373,-170.48357,47.62825,136.88504,-178.82115,47.77236,80.43231,-137.61041,68.56314
69,0.567,-74.5257,-170.48499,47.6764,136.8002,-178.76318,47.69252,80.43231,-137.61041,68.56314
70,0.575,-74.36256,-170.26266,48.01792,136.8002,-178.76318,47.69252,80.37807,-137.69328,68.49562
71,0.583,-73.87119,-170.33304,47.72448,136.88504,-178.82115,47.77236,80.43231,-137.61041,68.56314
72,0.592,-74.26373,-170.48357,47.62825,136.88504,-178.82115,47.77236,80.92771,-136.45285,67.91926
73,0.6,-74.26373,-170.48357,47.62825,136.8002,-178.76318,47.69252,80.9874,-136.33244,67.847
74,0.608,-74.5257,-170.48499,47.6764,136.8289,-178.72438,47.57352,80.88022,-136.43431,68.14052
75,0.617,-74.54517,-170.3158,47.89666,136.78415,-178.84801,47.64048,80.33657,-137.59732,68.69302
76,0.625,-74.54517,-170.3158,47.89666,136.76648,-178.68008,47.77308,80.31545,-137.66367,68.84214
77,0.633,-74.26373,-170.48357,47.62825,136.84113,-178.59315,47.65779,80.27908,-137.77988,68.66915
78,0.642,-74.5257,-170.48499,47.6764,136.8002,-178.76318,47.69252,80.31545,-137.66367,68.84214
79,0.65,-74.54517,-170.3158,47.89666,136.8002,-178.76318,47.69252,80.29922,-137.54904,68.90089
80,0.658,-74.54517,-170.3158,47.89666,136.84395,-178.78484,47.93349,80.25983,-137.74461,68.77505
