Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
1,0,1825.61658,382.46393,880.21429
2,0.008,1823.33923,381.50934,879.91522
3,0.017,1815.24207,379.62756,878.54736
4,0.025,1814.44067,379.18326,878.53613
5,0.033,1813.6438,379.31302,878.49561
6,0.042,1811.13318,379.36282,876.98547
7,0.05,1808.1615,379.83469,876.1684
8,0.058,1805.06702,378.75391,876.78522
9,0.067,1802.44385,377.98483,876.33252
10,0.075,1798.81482,377.33401,875.13654
11,0.083,1795.35437,376.34964,874.14545
12,0.092,1792.86877,374.87445,874.30042
13,0.1,1788.57861,373.66486,872.49756
14,0.108,1787.90002,374.13132,872.21637
15,0.117,1781.62451,373.33295,872.44128
16,0.125,1780.34521,373.2504,872.00391
17,0.133,1775.44983,371.17496,870.33386
18,0.142,1772.57483,371.13666,870.07782
19,0.15,1769.35889,369.84125,869.08429
20,0.158,1765.93799,370.45898,868.64508
21,0.167,1761.59998,369.32303,869.11005
22,0.175,1758.29724,368.94293,869.12018
23,0.183,1754.18225,368.004,867.49371
24,0.192,1751.49609,367.11969,867.50885
25,0.2,1745.89124,365.79382,867.10431
26,0.208,1743.59094,364.69821,867.24365
27,0.217,1737.2218,364.73511,865.26123
28,0.225,1735.86951,364.4924,865.11346
29,0.233,1729.12231,361.07202,865.15692
30,0.242,1722.85535,359.50204,864.33002
31,0.25,1719.45618,359.46533,863.63519
32,0.258,1717.23254,358.86472,863.53644
33,0.267,1712.2124,356.52048,863.2644
34,0.275,1706.44849,354.7308,862.98584
35,0.283,1702.56067,353.5506,863.37042
36,0.292,1698.1355,352.11346,863.98682
37,0.3,1693.95215,349.72937,864.58313
38,0.308,1690.45471,349.49426,864.64258
39,0.317,1684.68262,347.95279,864.96844
40,0.325,1678.46973,344.64536,865.64148
41,0.333,1674.68616,343.75098,865.83905
42,0.342,1667.71948,341.61954,866.22681
43,0.35,1664.64392,341.14767,866.315
44,0.358,1659.19739,338.91452,866.65265
45,0.367,1654.41809,337.16675,866.6377
46,0.375,1649.00964,336.26392,866.87421
47,0.383,1645.34668,333.43448,867.8006
48,0.392,1639.88733,332.29367,868.3056
49,0.4,1636.09766,330.64178,870.44995
50,0.408,1631.67334,329.54752,870.66656
51,0.417,1626.51074,327.03769,870.96393
52,0.425,1623.40771,325.29437,872.64893
53,0.433,1618.39954,321.72882,872.3399
54,0.442,1614.3374,320.97659,873.2868
55,0.45,1611.02441,318.87665,873.78186
56,0.458,1605.3053,316.11682,872.87079
57,0.467,1603.19312,315.56223,873.83289
58,0.475,1598.91333,313.3093,873.81561
59,0.483,1595.80371,311.73267,873.45502
60,0.492,1592.27856,309.25507,873.52295
61,0.5,1587.62146,308.00528,873.17603
62,0.508,1583.50012,307.67154,873.09039
63,0.517,1580.35156,305.431,874.03699
64,0.525,1577.50635,303.98666,872.96887
65,0.533,1572.36743,304.24216,873.29431
66,0.542,1569.81519,302.71652,873.47247
67,0.55,1565.37341,301.52139,873.08466
68,0.558,1561.66614,301.12054,873.29242
69,0.567,1558.05994,300.06332,873.51471
70,0.575,1555.82788,299.68979,873.63074
71,0.583,1552.05481,298.5712,873.95459
72,0.592,1550.21814,298.65652,873.95404
73,0.6,1546.40491,297.83047,874.48041
74,0.608,1542.73364,295.90604,874.93262
75,0.617,1540.28711,296.37213,875.08655
76,0.625,1535.91956,295.38058,874.98242
77,0.633,1534.96204,296.20157,875.64801
78,0.642,1531.02063,293.64453,876.31842
79,0.65,1528.50366,293.97495,876.75452
80,0.658,1525.13452,293.68433,876.68475
81,0.667,1523.66589,293.31119,876.46808
82,0.675,1519.40747,292.76019,876.09766
83,0.683,1517.24329,293.66083,877.06848
84,0.692,1513.89343,292.23788,876.79688
85,0.7,1511.15881,292.73297,876.57562
86,0.708,1507.62854,293.39407,876.68396
87,0.717,1506.37268,293.42249,876.00183
88,0.725,1501.63074,293.99927,876.0705
89,0.733,1499.7146,294.97693,876.02643
90,0.742,1494.93652,294.3793,876.05957
91,0.75,1491.81775,294.59607,875.44049
92,0.758,1488.36719,294.94739,875.84271
93,0.767,1485.35059,295.72458,874.20551
94,0.775,1481.90063,295.58282,873.02118
95,0.783,1476.58374,296.33148,873.24176
96,0.792,1472.03638,296.10071,872.75378
97,0.8,1469.47668,297.86316,872.70435
98,0.808,1464.94727,298.095,872.4668
99,0.817,1459.93237,297.94818,871.63403
100,0.825,1457.21191,300.30264,871.95044
101,0.833,1453.05981,300.74759,870.86914
102,0.842,1447.12256,301.23322,870.53741
103,0.85,1443.26257,301.18488,869.17084
104,0.858,1439.14612,303.10782,868.17291
105,0.867,1433.10022,304.21283,867.63422
106,0.875,1428.61902,303.90005,867.21771
107,0.883,1422.66711,304.72195,866.36285
108,0.892,1418.47412,306.27008,865.43945
109,0.9,1412.8241,309.13541,864.29474
110,0.908,1407.63269,308.65359,862.87561
111,0.917,1401.42578,310.50952,862.64374
112,0.925,1395.76233,311.73196,862.01428
113,0.933,1389.93811,313.43256,861.81012
114,0.942,1384.98425,314.38745,859.35406
115,0.95,1378.43994,316.10855,858.50006
116,0.958,1372.44019,316.97623,858.43903
117,0.967,1365.86621,317.71381,858.05402
118,0.975,1359.95471,319.40396,857.74292
119,0.983,1353.297,321.63019,857.70807
120,0.992,1346.88416,322.04895,857.53485
121,1,1341.90479,323.60455,857.63892
122,1.008,1335.62219,324.42294,857.7226
123,1.017,1329.01978,327.06281,858.0733
124,1.025,1321.31702,328.70938,858.43396
125,1.033,1314.1803,330.30618,858.62891
126,1.042,1307.97156,332.04163,859.258
127,1.05,1301.6886,333.33957,860.92426
128,1.058,1295.6814,335.83331,861.00891
129,1.067,1288.35754,338.40704,862.61292
130,1.075,1282.54089,338.95831,862.60382
131,1.083,1276.26392,340.12949,863.51111
132,1.092,1269.25195,342.97275,863.86169
133,1.1,1260.95325,344.96042,866.84784
134,1.108,1254.21643,347.14856,867.47528
135,1.117,1248.64111,347.72778,867.84332
136,1.125,1242.14526,349.54675,869.69562
137,1.133,1236.79517,351.41479,869.88885
138,1.142,1230.78125,353.2308,872.63049
139,1.15,1223.16296,355.60635,873.46912
140,1.158,1216.89905,355.66583,873.96222
141,1.167,1210.62402,358.15451,874.5144
142,1.175,1203.68311,360.39081,875.14465
143,1.183,1197.92419,362.18091,876.5556
144,1.192,1191.91174,363.52225,877.42419
145,1.2,1185.35938,365.26022,878.07587
146,1.208,1179.46118,366.45358,879.2738
147,1.217,1174.24866,368.53534,879.76959
148,1.225,1168.2229,370.10403,879.29608
149,1.233,1160.96533,371.47626,879.92871
150,1.242,1155.51123,371.2793,880.00958
151,1.25,1148.64148,373.66495,880.14764
152,1.258,1143.50317,375.33875,880.64966
153,1.267,1138.07666,376.47122,880.87982
154,1.275,1132.9646,376.79944,882.52844
155,1.283,1125.36511,378.33896,883.00818
156,1.292,1120.61316,380.16504,884.34155
157,1.3,1115.21204,379.42691,883.94879
158,1.308,1109.58081,380.30801,884.06177
159,1.317,1104.51025,381.25851,884.26465
160,1.325,1099.15173,381.73145,884.66089
161,1.333,1094.56458,381.75455,884.46674
162,1.342,1088.45044,381.91101,884.77179
163,1.35,1083.02075,382.78384,884.64447
164,1.358,1077.76648,381.46552,884.1828
165,1.367,1073.21179,381.22861,883.97632
166,1.375,1067.40625,382.61441,884.44513
167,1.383,1062.81567,381.16623,884.50458
168,1.392,1057.93494,381.31018,883.88629
169,1.4,1053.13379,382.19843,883.47858
170,1.408,1047.73108,380.18674,882.94415
171,1.417,1041.60864,382.13733,883.63708
172,1.425,1036.77197,380.32581,883.0954
173,1.433,1032.00659,380.47656,882.02112
174,1.442,1027.03174,381.06177,881.37329
175,1.45,1021.92438,380.78427,880.6286
176,1.458,1017.87189,379.17627,880.30786
177,1.467,1011.66956,379.62604,879.66602
178,1.475,1006.78601,378.87436,878.8446
179,1.483,1002.20782,378.76013,878.91962
180,1.492,996.2179,377.22635,877.34314
181,1.5,991.25031,376.29736,875.37732
182,1.508,985.6781,374.92252,874.21869
183,1.517,981.76019,374.69815,874.20905
184,1.525,976.44293,373.39517,873.12744
185,1.533,971.99164,371.51877,872.28992
186,1.542,966.69897,371.06723,871.39764
187,1.55,961.64014,369.87869,870.2066
188,1.558,955.71277,369.18857,868.63208
189,1.567,950.96729,366.93576,867.55658
190,1.575,945.6861,366.24332,866.23761
191,1.583,941.63263,364.51398,865.22821
192,1.592,935.45685,363.30722,864.59369
193,1.6,929.69275,362.20108,863.13739
194,1.608,924.08075,359.39731,862.28107
195,1.617,919.15686,360.85229,861.79755
196,1.625,914.2099,357.48953,859.92676
197,1.633,908.34259,357.85361,859.33301
198,1.642,902.61798,354.89056,858.80542
199,1.65,897.05798,353.76221,857.57294
200,1.658,891.77002,351.89444,856.67517
201,1.667,886.17627,349.09598,856.21033
202,1.675,880.42517,347.71561,855.83813
203,1.683,875.65576,346.73474,855.42096
204,1.692,871.24261,344.32312,855.31262
205,1.7,865.72919,342.46652,855.94568
206,1.708,858.41931,340.29913,856.2832
207,1.717,853.7287,337.88721,856.06781
208,1.725,848.3974,335.93082,857.15375
209,1.733,843.01202,333.8447,858.09363
210,1.742,836.65466,333.82022,859.25446
211,1.75,831.7121,331.384,859.80994
212,1.758,826.78186,329.72363,859.64093
213,1.767,821.2663,328.01917,860.86389
214,1.775,814.79541,324.74063,861.6015
215,1.783,809.98926,323.50198,861.67694
216,1.792,805.64105,321.51688,863.09375
217,1.8,799.57635,320.39737,864.68475
218,1.808,795.26038,318.31601,865.49713
219,1.817,790.45502,316.27243,865.60864
