Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z
356,2.958,64.29914,354.09125,841.3006
357,2.967,58.82842,353.3291,839.862
358,2.975,54.26645,352.28226,838.80566
359,2.983,50.12292,352.17981,838.45929
360,2.992,45.17931,351.418,837.51794
361,3,40.41282,350.2016,836.91321
362,3.008,35.00893,349.46075,835.96875
363,3.017,30.17497,347.96869,835.18347
364,3.025,26.04864,346.10022,833.50964
365,3.033,21.19755,345.19623,832.3855
366,3.042,16.14908,345.27524,831.82697
367,3.05,10.92272,343.67072,831.15656
368,3.058,5.81982,342.23285,830.2998
369,3.067,1.03384,340.24976,829.44153
370,3.075,-4.17712,339.46127,828.50647
371,3.083,-9.18543,337.24884,827.7356
372,3.092,-14.75653,336.32651,826.57739
373,3.1,-19.64436,335.26904,826.50446
374,3.108,-24.89614,334.94168,826.36249
375,3.117,-29.63141,331.85266,826.0351
376,3.125,-35.02341,329.58026,825.76892
377,3.133,-40.37194,328.02802,825.8147
378,3.142,-44.84938,325.94165,826.06738
379,3.15,-50.32231,323.95584,826.35248
380,3.158,-55.51821,321.15817,827.46179
381,3.167,-60.7827,320.05322,827.64612
382,3.175,-65.98396,318.4808,827.72992
383,3.183,-70.57101,315.36755,828.83508
384,3.192,-75.95828,313.90192,829.00031
385,3.2,-81.79054,310.85941,829.72021
386,3.208,-86.55355,311.00162,830.36023
387,3.217,-91.58982,307.81921,831.51434
388,3.225,-96.87261,305.09961,831.34375
389,3.233,-101.78595,303.40683,832.07275
390,3.242,-106.51454,302.03864,833.24426
391,3.25,-110.97399,299.35733,834.35913
392,3.258,-116.17496,296.64929,834.34949
393,3.267,-120.88858,295.14301,835.12238
394,3.275,-125.47217,292.98041,835.68512
395,3.283,-129.98402,291.25046,837.20068
396,3.292,-135.19954,289.89075,837.40344
397,3.3,-140.34796,287.68213,837.94794
398,3.308,-144.76416,286.04541,838.84479
399,3.317,-149.75005,284.51175,839.0517
400,3.325,-153.80708,282.55673,839.92346
401,3.333,-158.08304,281.63782,840.66125
402,3.342,-163.62747,280.51956,840.78961
403,3.35,-167.27455,278.58908,840.6969
404,3.358,-171.91388,276.78619,840.83459
405,3.367,-177.26764,275.13885,841.42871
406,3.375,-181.4267,274.25058,842.4967
407,3.383,-185.12679,272.20004,842.42908
408,3.392,-189.04561,272.27319,843.15259
409,3.4,-193.9382,270.17972,843.61719
410,3.408,-197.87125,268.69418,844.02344
411,3.417,-201.23949,267.63107,844.5636
412,3.425,-206.33969,267.1507,845.33374
413,3.433,-210.41985,265.271,845.23682
414,3.442,-213.8631,264.89111,845.30127
415,3.45,-217.53317,264.68253,845.16455
416,3.458,-221.78281,264.37436,845.84296
417,3.467,-225.57719,264.31967,845.81134
418,3.475,-229.47314,263.19418,846.427
419,3.483,-233.20876,263.25421,846.37195
420,3.492,-236.9995,263.43634,846.83392
421,3.5,-240.08142,263.65411,847.59229
422,3.508,-244.04018,262.86011,847.22137
423,3.517,-247.22632,263.0047,847.16998
424,3.525,-251.93799,262.93213,847.19055
425,3.533,-255.392,262.60455,847.20636
426,3.542,-259.05179,262.84747,846.54706
427,3.55,-263.36108,262.38812,845.88879
428,3.558,-266.60294,263.59158,846.52313
429,3.567,-270.22897,262.73679,845.58356
430,3.575,-274.06183,262.97922,845.28979
431,3.583,-278.69824,262.66498,845.30121
432,3.592,-282.36423,262.96555,844.84448
433,3.6,-286.58688,263.09613,844.03552
434,3.608,-290.36664,263.05643,843.64551
435,3.617,-294.26022,263.25775,842.63171
436,3.625,-298.6709,263.2717,842.30811
437,3.633,-303.77316,263.922,842.06659
438,3.642,-308.27765,264.79175,842.29236
439,3.65,-312.12057,265.13165,841.14594
440,3.658,-318.14069,266.21399,840.14734
441,3.667,-321.62186,266.35626,839.38367
442,3.675,-326.54544,265.83295,838.17206
443,3.683,-331.76614,266.79288,837.28046
444,3.692,-336.293,266.88391,836.17999
445,3.7,-341.92377,267.19971,836.16333
446,3.708,-348.0752,269.80933,835.13409
447,3.717,-352.84528,271.09515,834.18109
448,3.725,-358.0556,271.52155,833.64008
449,3.733,-363.56512,272.63986,831.71466
450,3.742,-369.8252,272.04504,831.71674
451,3.75,-376.42294,273.25229,829.89337
452,3.758,-381.43292,274.25662,829.39734
453,3.767,-387.79932,274.50858,828.61206
454,3.775,-394.2247,277.04431,827.94885
455,3.783,-400.7276,278.31128,827.37402
456,3.792,-406.63684,278.16125,826.43311
457,3.8,-414.6485,279.96613,825.96661
458,3.808,-420.76477,280.34628,825.27319
459,3.817,-427.75961,281.42819,825.1181
460,3.825,-435.08554,281.69955,825.05585
461,3.833,-442.03784,283.49277,825.27167
462,3.842,-448.6286,283.54401,826.13477
463,3.85,-456.53815,283.98502,826.87262
464,3.858,-462.9169,284.32541,827.03259
465,3.867,-469.58261,285.49509,828.31958
466,3.875,-477.8013,285.86417,829.65759
467,3.883,-484.47675,287.39816,830.60779
468,3.892,-492.43903,288.01669,831.73828
469,3.9,-500.17389,288.74512,833.09045
470,3.908,-507.39081,290.12726,834.24237
471,3.917,-515.36096,291.00671,836.03912
472,3.925,-522.68585,291.74738,837.33728
473,3.933,-530.35742,293.22711,838.4566
474,3.942,-537.04938,294.22314,839.58691
475,3.95,-544.45355,295.87009,840.50696
476,3.958,-551.67206,296.78595,842.53729
477,3.967,-560.16425,297.63177,843.36157
478,3.975,-567.73578,298.77084,843.52234
479,3.983,-575.21918,299.79916,844.60645
480,3.992,-583.02777,302.57889,845.9566
481,4,-589.89648,303.53098,846.74377
482,4.008,-597.60907,304.45264,846.92969
483,4.017,-604.24078,305.82782,847.3067
484,4.025,-613.14209,306.55637,848.45844
485,4.033,-619.31738,308.56067,848.69604
486,4.042,-626.51324,309.29721,848.95819
487,4.05,-634.03027,311.07697,849.41888
488,4.058,-641.23029,311.57297,850.11908
489,4.067,-647.22656,312.07614,850.50024
490,4.075,-654.62952,313.53906,850.84717
491,4.083,-661.25043,314.4277,851.255
492,4.092,-667.89819,315.14246,851.38843
493,4.1,-674.45142,315.73996,851.59265
494,4.108,-679.8399,316.35016,852.435
495,4.117,-686.36237,316.75873,852.95026
496,4.125,-692.92609,317.58621,852.92297
497,4.133,-699.30652,317.03717,853.19873
498,4.142,-704.78076,317.71353,853.59863
499,4.15,-710.24969,317.39908,854.33459
500,4.158,-715.8277,317.11465,855.06317
501,4.167,-721.92242,317.70483,855.23669
502,4.175,-727.12939,317.01468,855.70056
503,4.183,-732.33765,317.00919,855.61621
504,4.192,-738.19476,317.28378,855.57434
505,4.2,-742.92242,316.55466,855.5675
506,4.208,-747.2345,315.98276,855.69525
507,4.217,-752.50171,316.13791,855.2182
508,4.225,-757.61963,315.8158,854.9007
509,4.233,-762.23688,315.54691,854.9176
510,4.242,-766.51752,315.25592,854.39575
511,4.25,-771.14136,314.79382,853.85016
512,4.258,-776.71539,314.78204,853.83661
513,4.267,-780.4184,314.03864,852.98822
514,4.275,-784.75879,313.54654,852.41559
515,4.283,-789.42456,313.43445,852.05029
516,4.292,-793.38928,312.29309,851.29938
517,4.3,-797.52771,312.41577,850.97858
518,4.308,-801.83868,311.62173,850.4635
519,4.317,-806.21686,311.03738,848.85956
520,4.325,-811.00836,310.62408,848.38617
521,4.333,-814.08545,309.3429,846.66724
522,4.342,-818.42236,309.08929,846.27917
523,4.35,-822.98743,308.16196,845.82513
524,4.358,-826.62341,307.11707,844.48022
525,4.367,-831.87793,306.89969,843.88617
526,4.375,-834.53619,305.59045,843.1756
527,4.383,-840.08496,305.51495,842.08752
528,4.392,-841.97546,303.93256,840.81134
529,4.4,-847.23535,303.71429,839.96405
530,4.408,-850.77795,302.53098,839.41669
531,4.417,-855.50714,301.63992,838.57471
532,4.425,-860.65619,300.88,837.18335
533,4.433,-863.72668,299.59641,837.18744
534,4.442,-868.38397,298.99554,836.47852
535,4.45,-871.51166,297.36053,835.4577
536,4.458,-876.77649,296.97079,835.25739
537,4.467,-880.04572,295.44559,834.2337
538,4.475,-885.00409,295.26123,833.48352
539,4.483,-888.98297,292.90579,832.16296
540,4.492,-893.44629,291.98257,831.53809
541,4.5,-896.88806,290.81552,831.51691
542,4.508,-901.8916,290.75043,831.09845
543,4.517,-906.62872,288.93277,830.52411
544,4.525,-910.98035,287.68268,830.49011
545,4.533,-917.12762,286.95889,830.31055
546,4.542,-918.42969,285.3273,830.21429
547,4.55,-925.07892,285.05017,830.15839
548,4.558,-927.52258,282.88992,830.26099
549,4.567,-932.80231,282.23935,831.05457
550,4.575,-936.34375,280.0563,830.74719
551,4.583,-940.83453,278.03635,831.68359
552,4.592,-944.57544,276.96027,832.97211
553,4.6,-946.95746,274.15097,834.35425
554,4.608,-952.67072,273.71536,834.3335
555,4.617,-956.73706,272.05762,835.92871
556,4.625,-961.11871,270.02048,836.08441
557,4.633,-963.68451,268.29272,836.60388
558,4.642,-969.56879,267.54071,838.29279
559,4.65,-972.36884,265.51736,839.18634
560,4.658,-977.89093,264.45871,839.48743
561,4.667,-980.54852,262.7283,840.63269
562,4.675,-986.78986,262.27588,841.43726
563,4.683,-989.21027,259.7308,841.99695
