Frame#,Time,R.Clavicle.x,R.Clavicle.y,R.Clavicle.z,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z,L.Scapula.x,L.Scapula.y,L.Scapula.z,R.Scap.Inf.x,R.Scap.Inf.y,R.Scap.Inf.z
31,0.25,52.32671,-7.07066,978.0683,50.1026,186.58162,995.81378,-93.81409,12.40347,1004.5083,-104.30351,176.09943,1011.41663,-140.58224,-1.43344,917.3125
32,0.258,52.20494,-7.01338,978.1344,51.02583,186.28412,995.83722,-93.27636,11.80467,1004.94421,-103.99801,176.09923,1011.33502,-140.0948,-1.30471,917.15662
33,0.267,52.80519,-7.07553,978.42383,51.16698,185.97791,995.66779,-93.07803,11.37013,1005.23615,-103.32932,177.00607,1011.48407,-139.78528,-1.71531,917.99829
34,0.275,53.32484,-7.14248,978.20319,51.37788,185.99883,995.85632,-92.78926,11.344,1005.66138,-103.02795,175.93399,1011.63116,-139.56299,-2.06062,917.95459
35,0.283,53.32484,-7.14248,978.20319,51.38976,185.73849,995.66931,-92.41962,10.85524,1006.07507,-103.02795,175.93399,1011.63116,-139.43175,-2.65885,918.08728
36,0.292,53.44883,-6.79679,978.22809,51.60165,185.59941,995.5036,-92.05025,10.38196,1006.88019,-102.89443,175.30156,1011.62665,-139.76369,-3.50843,918.31805
37,0.3,53.48732,-6.49638,978.32532,51.60165,185.59941,995.5036,-92.26361,10.49493,1007.49976,-102.89443,175.30156,1011.62665,-139.59984,-3.61691,918.47046
38,0.308,53.65211,-6.41243,978.1936,51.76332,185.81853,995.43915,-92.07083,10.49234,1007.47906,-103.02795,175.93399,1011.63116,-139.40868,-3.7275,918.60413
39,0.317,53.65211,-6.41243,978.1936,51.67892,186.05872,995.39655,-91.9117,10.47932,1007.35516,-102.89443,175.30156,1011.62665,-139.8167,-4.38078,918.59314
40,0.325,53.52539,-6.52776,978.12286,51.55002,186.10655,995.37646,-91.4574,10.12168,1006.87048,-103.23454,174.57736,1011.56525,-139.92302,-4.58933,918.64526
41,0.333,53.80225,-6.37929,977.64111,51.50209,186.33725,995.27075,-91.35644,9.95751,1006.51752,-103.51637,174.83829,1011.36389,-139.94624,-4.79874,918.50012
42,0.342,53.39204,-5.80157,977.40302,50.7929,186.47871,995.15692,-91.18832,9.65505,1006.50073,-103.70263,174.69629,1011.37604,-139.95483,-4.55232,917.94537
43,0.35,53.18169,-6.34547,976.87933,49.8888,186.94273,995.20288,-91.37888,9.46276,1006.29425,-103.66653,174.34062,1010.72974,-140.06879,-4.39393,917.61218
44,0.358,53.08197,-6.26544,976.23151,49.72924,186.94672,995.24451,-91.5768,9.27704,1006.22577,-103.953,174.12619,1010.98584,-140.74919,-4.46645,917.29071
45,0.367,53.10408,-5.85108,975.89502,49.13683,187.6364,995.26831,-91.71782,8.94965,1005.9903,-104.41385,174.10957,1010.65637,-140.96443,-4.79645,916.98846
46,0.375,52.78971,-5.7409,975.75452,49.13683,187.6364,995.26831,-91.96917,9.0364,1005.88739,-104.82827,174.29869,1010.42029,-141.00496,-4.95604,916.88959
47,0.383,52.78839,-5.19169,975.59418,48.65361,187.60007,995.11346,-91.79703,8.80711,1005.76685,-104.82827,174.29869,1010.42029,-141.1727,-4.91648,917.00214
48,0.392,52.78839,-5.19169,975.59418,48.56645,187.63567,995.23993,-91.7637,8.82426,1005.41095,-105.12604,174.44389,1010.29425,-140.97006,-4.86343,916.48975
49,0.4,52.76041,-5.18147,975.38531,47.94998,187.77612,995.32715,-91.83039,9.39555,1004.99268,-105.40562,173.9749,1010.15918,-141.13783,-4.82391,916.60236
50,0.408,52.70716,-5.22141,975.28058,47.94998,187.77612,995.32715,-91.93291,9.62719,1004.70544,-105.40562,173.9749,1010.15918,-141.07454,-4.76736,916.19489
51,0.417,52.70716,-5.22141,975.28058,47.94998,187.77612,995.32715,-91.93291,9.62719,1004.70544,-105.47971,174.41475,1010.20111,-141.35828,-3.64297,916.22845
52,0.425,52.62819,-4.86131,975.14594,47.94998,187.77612,995.32715,-92.12103,9.46534,1004.34845,-105.99793,174.56952,1010.15137,-141.50688,-3.53832,916.07306
53,0.433,52.50082,-4.70956,975.14404,47.94998,187.77612,995.32715,-92.27189,10.72208,1003.95374,-106.24254,174.55386,1010.29309,-141.81046,-3.05624,915.80157
