Frame#,Time,L.Forearm.x,L.Forearm.y,L.Forearm.z,L.Ulna.x,L.Ulna.y,L.Ulna.z,L.Radius.x,L.Radius.y,L.Radius.z
62,0.508,231.23921,319.39044,816.91492,262.53845,350.63943,735.55511,306.37344,263.06555,750.73224
63,0.517,231.56143,319.33472,816.91309,262.30756,350.694,735.37408,305.86008,262.68073,749.43781
64,0.525,231.23711,319.49286,816.59216,261.95044,350.6954,734.92834,303.87415,261.93216,748.7132
65,0.533,230.35181,319.79251,815.6546,260.62793,349.7308,733.64093,303.26862,262.2674,748.34143
66,0.542,229.62219,318.68234,815.22266,259.60394,348.99509,733.21198,301.59244,260.87912,747.42749
67,0.55,228.80121,318.31406,814.37012,259.03342,349.34174,732.70966,301.19077,261.05664,746.94244
68,0.558,228.48964,318.42773,813.74683,258.23178,349.59689,731.6087,299.52319,260.58844,746.49591
69,0.567,227.58528,317.10718,812.93378,258.01199,349.16464,730.85284,298.47321,260.32242,745.59558
70,0.575,226.9566,316.77863,812.51178,257.63245,348.04688,730.59583,297.59384,260.50638,745.21191
71,0.583,225.95146,317.02567,812.41962,257.41544,348.0983,730.5993,297.37521,260.28961,744.93738
72,0.592,224.3918,317.91046,812.0014,256.89072,347.93332,730.76147,296.74292,259.7858,744.86865
73,0.6,222.15448,317.67368,811.99927,256.78455,347.68246,730.81726,296.57669,259.64899,745.52655
74,0.608,222.64743,315.79987,811.94781,256.78455,347.68246,730.81726,296.23984,259.19614,746.07532
75,0.617,222.35548,315.61554,811.96088,256.28741,347.41467,731.07495,296.39526,259.71497,746.47626
76,0.625,222.27866,315.54636,812.00464,255.94852,347.0311,731.82886,296.41681,259.34671,746.94098
77,0.633,222.33795,315.81863,812.1546,256.28503,347.31613,732.68475,296.69391,259.66763,747.57336
78,0.642,222.31102,316.13525,812.42981,256.45773,347.30844,733.1012,297.2403,259.7066,748.17023
79,0.65,222.70377,317.01202,813.11816,256.62851,348.07175,731.71899,298.33121,260.35559,748.9845
80,0.658,221.96666,318.34338,814.74274,256.7594,348.00037,733.47412,298.66074,260.28217,749.60834
81,0.667,223.43475,318.69043,814.92114,257.01898,347.99286,733.70471,299.29556,261.71304,750.32025
82,0.675,223.67819,319.13647,815.17542,256.9397,348.71957,734.3924,300.14084,261.70221,752.17261
83,0.683,223.89957,319.74704,816.7926,257.14627,349.37866,735.07043,300.96051,262.45807,752.89484
84,0.692,223.31964,320.14102,818.63098,257.33615,349.23044,735.51617,301.59601,262.31772,752.92242
85,0.7,225.05951,320.43173,818.18427,257.63412,349.23419,736.22461,301.74622,264.00494,754.35339
86,0.708,225.12189,320.45398,818.52777,258.56628,349.71075,736.81689,302.00238,264.36951,754.6532
87,0.717,225.42276,320.94455,819.16998,258.50574,349.61609,737.72815,302.02774,264.61301,754.81958
88,0.725,225.70073,320.78864,819.19,258.51187,350.19601,738.20001,302.20914,264.75653,755.23016
89,0.733,225.76302,321.82742,819.39691,258.28238,350.20566,738.44476,302.02576,264.89429,754.93958
90,0.742,225.88443,322.27182,819.63782,258.10437,350.52072,739.01135,301.23584,264.6651,754.85974
91,0.75,225.96997,322.30823,819.30212,258.14566,350.25519,738.71069,300.45499,264.12219,754.15723
92,0.758,225.20816,321.64584,819.32745,257.61594,349.87335,738.67834,299.30063,263.15253,753.72815
93,0.767,224.80704,321.57761,819.19995,257.43311,349.8873,738.1543,298.73581,262.86774,753.41779
94,0.775,224.32289,321.12543,818.94202,257.07166,350.46243,737.30475,297.67715,263.09918,753.08466
95,0.783,223.01895,321.48981,819.57983,256.27634,350.19037,736.94165,297.51709,262.86874,752.96265
96,0.792,222.83096,320.83014,819.31732,255.93739,350.01611,737.14398,296.2034,262.54794,752.7569
97,0.8,223.33189,319.54251,817.98193,255.22935,349.77805,737.04938,295.68005,262.27628,752.84125
98,0.808,222.16415,319.30048,817.65863,255.31839,349.38748,736.67664,295.53339,261.33603,753.02966
99,0.817,220.30952,319.16693,817.56458,255.17215,349.67072,737.15796,294.75583,261.15796,753.35046
100,0.825,219.44299,318.60083,817.72516,254.96048,349.20471,736.98413,294.04391,260.83078,753.2157
101,0.833,218.59099,318.53397,818.49731,254.94427,349.06985,735.88361,293.728,259.86563,753.63647
102,0.842,218.32207,318.51245,818.83105,254.57637,348.60272,736.11243,294.28513,259.80798,753.98096
103,0.85,217.92642,318.34277,818.78534,254.87016,349.24069,736.89941,294.48267,260.67041,754.11005
104,0.858,218.04018,318.55215,818.89587,256.2215,348.46884,738.10547,294.54062,260.67065,754.74243
105,0.867,219.08356,318.20145,818.06152,256.66022,349.00839,738.34412,294.7468,260.45575,755.40466
106,0.875,219.01382,318.68784,818.66656,256.67197,349.68207,739.42242,295.37091,261.23267,756.5083
107,0.883,218.8643,318.22461,819.61627,256.76208,350.13132,740.03314,295.88928,262.06357,757.94476
108,0.892,218.48746,318.00775,820.70551,256.41705,350.121,739.39514,296.88965,262.00198,759.19464
109,0.9,219.4005,319.19986,821.48767,256.51389,350.23932,739.51447,297.1026,262.29468,759.38409
110,0.908,219.71237,320.50864,822.12256,257.13428,350.20563,740.58661,298.11981,262.6846,760.63641
111,0.917,220.2323,321.01035,822.63696,257.01147,350.26117,741.13593,298.51358,262.46283,760.66827
112,0.925,220.70776,320.92709,823.27234,257.43719,350.49847,741.39606,298.58261,262.32428,761.42041
113,0.933,221.08478,320.47229,824.56702,256.92624,349.65976,742.87213,298.82083,262.16489,761.63464
114,0.942,221.05431,320.81781,824.573,256.86078,349.8186,744.13953,298.82083,262.16489,761.63464
115,0.95,221.66989,320.7504,824.79327,256.69342,348.99701,744.54828,298.70935,261.92825,761.75391
116,0.958,222.12386,320.54599,824.82556,256.89313,348.93243,744.76703,298.70935,261.92825,761.75391
117,0.967,221.64941,320.6889,824.76099,256.61963,348.9791,745.0213,298.70935,261.92825,761.75391
118,0.975,222.16612,320.32327,825.10144,256.41132,349.18384,744.52722,298.11407,262.28479,761.54089
119,0.983,222.00107,320.54633,824.85431,256.41132,349.18384,744.52722,297.76291,261.94696,760.81372
120,0.992,221.25351,320.4053,824.43445,256.27225,349.40295,744.00055,296.79922,261.11591,760.3396
121,1,220.9097,320.26849,824.42804,255.49759,348.44577,743.04443,295.38736,260.27695,760.17786
122,1.008,220.20358,320.35889,822.84753,253.81879,348.34695,741.59613,294.20764,260.1149,758.76874
123,1.017,219.39642,318.5473,822.38232,253.82014,348.49118,740.89728,293.33365,259.35892,757.53656
124,1.025,217.99622,317.90659,822.50262,253.25529,348.44553,740.53308,292.03934,259.31128,756.95868
125,1.033,218.01915,317.74197,820.97864,252.32524,347.26657,740.66162,291.40698,258.59836,756.2514
