Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
1,0,1824.5603,696.2558,975.95508
2,0.008,1810.23792,695.22498,975.46771
3,0.017,1800.37537,697.84583,975.23468
4,0.025,1791.81458,697.73169,976.30786
5,0.033,1783.12061,697.23828,976.65906
6,0.042,1775.05615,698.17603,976.53949
7,0.05,1765.2196,698.25189,975.43109
8,0.058,1756.02856,697.95959,975.5127
9,0.067,1745.98645,698.63116,975.1792
10,0.075,1736.31433,699.85284,975.30371
11,0.083,1726.97546,700.79779,974.28857
12,0.092,1719.24719,700.43445,974.97461
13,0.1,1709.86511,700.2666,973.51062
14,0.108,1700.36084,700.07837,973.00238
15,0.117,1690.33289,700.63129,973.27911
16,0.125,1681.48645,702.758,971.62787
17,0.133,1671.77979,702.56665,971.99078
18,0.142,1663.64075,702.35815,971.30664
19,0.15,1654.1095,702.18243,971.5528
20,0.158,1646.06213,701.81952,970.59198
21,0.167,1636.25928,702.67084,969.88513
22,0.175,1627.83948,703.99915,969.85919
23,0.183,1617.15845,704.44513,969.50806
24,0.192,1610.28247,704.05688,969.03088
25,0.2,1600.47668,703.50476,968.68823
26,0.208,1593.64441,704.74127,968.47083
27,0.217,1583.85669,704.19287,967.95258
28,0.225,1576.50427,704.62354,968.42212
29,0.233,1567.26038,703.74646,968.6275
30,0.242,1559.55823,706.43896,967.1203
31,0.25,1551.74023,706.40289,967.39764
32,0.258,1543.36926,706.13568,967.43976
33,0.267,1536.87305,705.60419,968.20758
34,0.275,1530.18665,706.21155,968.65613
35,0.283,1522.5907,705.7547,968.35614
36,0.292,1516.40979,704.75122,969.19244
37,0.3,1509.18835,705.5993,969.87689
38,0.308,1502.27856,706.21265,970.61261
39,0.317,1494.99316,706.24664,971.62531
40,0.325,1489.24463,706.84851,973.20166
41,0.333,1483.07214,706.57965,973.45587
42,0.342,1477.67725,705.67206,974.02197
43,0.35,1471.12122,706.25391,974.59595
44,0.358,1465.18433,705.73322,975.69061
45,0.367,1459.8988,706.35242,975.97217
46,0.375,1454.30054,705.36383,976.5611
47,0.383,1449.19043,704.37714,976.79541
48,0.392,1444.0863,705.39105,977.58704
49,0.4,1438.68359,704.73132,978.01398
50,0.408,1432.85864,705.91827,977.28571
51,0.417,1427.58521,706.34094,976.49731
52,0.425,1423.52246,706.02472,976.0863
53,0.433,1418.1958,706.80621,976.88416
54,0.442,1414.2406,707.04834,976.50378
55,0.45,1410.02087,707.70972,976.45801
56,0.458,1405.86975,707.18549,974.74933
57,0.467,1401.64502,707.56702,974.52429
58,0.475,1396.33594,707.33838,974.59399
59,0.483,1393.15051,707.79303,973.69025
60,0.492,1388.34644,709.50861,973.64545
61,0.5,1384.81323,708.94019,973.01013
62,0.508,1380.67578,709.71576,972.75598
63,0.517,1376.75208,710.84113,972.37323
64,0.525,1372.83899,711.56952,971.60828
65,0.533,1369.31494,711.35431,971.72229
66,0.542,1364.88879,711.93103,971.61615
67,0.55,1361.47119,711.13934,969.98975
68,0.558,1356.30298,712.87292,969.66986
69,0.567,1354.11584,713.55377,969.32153
70,0.575,1349.11328,713.71344,968.39447
71,0.583,1345.00256,714.172,967.13324
72,0.592,1340.34009,715.56317,966.00305
73,0.6,1336.49939,715.91034,965.91144
74,0.608,1333.29602,715.93066,964.7522
75,0.617,1329.46277,716.25867,963.45203
76,0.625,1324.94299,716.75012,963.02301
77,0.633,1321.09302,717.79791,962.57507
78,0.642,1316.43677,717.9635,961.31238
79,0.65,1312.51892,718.81665,960.92896
80,0.658,1308.14294,718.51447,959.4845
81,0.667,1303.10632,720.01349,958.80457
82,0.675,1297.77429,719.39697,957.69458
83,0.683,1293.10828,719.89343,956.60211
84,0.692,1288.479,720.80267,955.00128
85,0.7,1283.25854,720.47705,953.76208
86,0.708,1278.01624,721.06708,953.5636
87,0.717,1271.45227,721.49786,952.19312
88,0.725,1266.29749,720.62,951.45435
89,0.733,1260.09436,721.39679,950.37274
90,0.742,1252.60889,722.3277,948.05145
91,0.75,1247.29187,722.96979,947.26263
92,0.758,1240.22571,722.01215,945.99194
93,0.767,1233.52734,722.49268,944.54578
94,0.775,1225.61987,722.12567,942.28918
95,0.783,1218.92773,723.3819,940.99341
96,0.792,1211.05725,723.7915,939.63171
97,0.8,1203.10315,723.44922,938.10468
98,0.808,1195.43018,724.16272,937.15045
99,0.817,1187.30713,724.24658,935.07758
100,0.825,1179.12756,723.35925,933.46967
101,0.833,1170.70117,723.31537,932.36096
102,0.842,1160.92224,724.77997,930.95496
103,0.85,1152.95959,724.13037,930.31671
104,0.858,1143.3595,724.78296,928.81488
105,0.867,1133.63293,724.9433,928.42413
106,0.875,1123.78027,724.90527,927.57715
107,0.883,1114.58118,724.89899,927.24518
108,0.892,1104.87134,724.84222,925.9599
109,0.9,1095.80481,725.59467,926.93414
110,0.908,1084.47046,725.71484,927.41663
111,0.917,1075.6499,726.33014,927.05267
112,0.925,1065.31787,726.6181,927.56024
113,0.933,1056.23572,727.77533,928.133
114,0.942,1045.58813,727.237,930.51996
115,0.95,1035.42859,728.74847,930.90588
116,0.958,1025.19922,728.42603,932.97174
117,0.967,1015.11432,727.97321,934.42041
118,0.975,1006.07739,728.58777,937.60382
119,0.983,994.50018,730.22461,939.54175
120,0.992,984.40875,729.95764,942.02826
121,1,974.01117,730.23822,945.0022
122,1.008,962.69885,730.80011,948.61615
123,1.017,952.77899,731.80176,951.82489
124,1.025,941.35345,732.11591,954.52332
125,1.033,931.0498,732.75574,958
126,1.042,919.89612,733.48895,961.44666
127,1.05,908.48413,733.35938,964.98413
128,1.058,896.82489,735.41748,968.61389
129,1.067,884.98334,735.4931,971.5451
130,1.075,873.37683,735.27216,975.31519
131,1.083,861.11572,736.89575,979.70349
132,1.092,849.745,737.23761,983.16638
133,1.1,837.15808,738.37384,987.72449
134,1.108,825.22125,740.58997,992.16364
135,1.117,813.35077,741.55774,997.76196
136,1.125,800.41705,741.34595,1001.52411
137,1.133,788.02423,745.30646,1009.13397
138,1.142,776.69666,749.29816,1014.54742
139,1.15,764.44189,752.04803,1020.78314
140,1.158,751.79193,755.78705,1026.99609
141,1.167,738.82349,758.43372,1034.20544
142,1.175,726.84369,761.92297,1042.16504
143,1.183,714.62939,764.35681,1050.17859
144,1.192,702.93573,767.28485,1058.71204
145,1.2,690.30322,768.85382,1066.43982
146,1.208,679.96906,771.6756,1073.46069
147,1.217,668.56219,773.62231,1081.10425
148,1.225,657.20044,775.18811,1088.01318
149,1.233,646.60834,775.81653,1093.81934
150,1.242,636.00409,777.36713,1097.89734
151,1.25,626.51294,778.49646,1101.39795
152,1.258,615.42084,777.9906,1104.40479
153,1.267,605.81451,779.33643,1107.05688
154,1.275,595.51257,780.69989,1109.24719
155,1.283,585.91711,780.90741,1110.75146
156,1.292,575.14069,781.41321,1112.03711
157,1.3,566.2135,782.75861,1113.78418
158,1.308,556.04535,782.2605,1114.37659
159,1.317,547.25281,781.41742,1114.68506
160,1.325,537.19946,781.17029,1115.92456
161,1.333,527.70819,780.81464,1116.172
162,1.342,518.00787,780.37976,1116.06592
163,1.35,509.39273,779.72406,1116.93726
164,1.358,500.6384,778.32806,1116.64722
165,1.367,491.62088,778.03326,1118.03564
166,1.375,482.86349,776.77179,1117.79675
167,1.383,474.37793,776.52234,1117.91309
168,1.392,466.12939,775.89301,1117.65686
169,1.4,458.2435,773.78809,1116.82703
170,1.408,450.1037,771.67493,1116.04736
171,1.417,442.33655,770.1059,1114.53186
172,1.425,434.63556,768.60431,1113.0448
173,1.433,427.21686,767.17462,1112.32324
174,1.442,420.56958,765.33105,1110.51111
175,1.45,413.83899,763.34039,1109.57983
176,1.458,405.98547,761.45715,1108.17542
177,1.467,399.64026,760.11823,1107.29211
178,1.475,393.10974,758.51709,1106.17712
179,1.483,387.78601,755.40503,1103.94873
180,1.492,380.52802,752.24658,1101.01587
181,1.5,374.76279,749.60089,1098.86841
182,1.508,368.24973,747.61572,1096.99963
183,1.517,363.71426,744.35504,1094.34534
184,1.525,357.8009,742.07538,1091.04224
185,1.533,352.65012,739.90289,1088.01001
186,1.542,347.20059,735.87317,1085.09399
187,1.55,342.37399,733.44391,1081.94519
