Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
66,0.542,1481.38147,646.22638,1095.52295
67,0.55,1476.02197,646.42944,1095.59973
68,0.558,1470.20972,645.35455,1096.1571
69,0.567,1465.8623,645.48077,1096.35901
70,0.575,1459.30066,644.70178,1096.44543
71,0.583,1454.59412,644.78131,1096.62231
72,0.592,1448.63379,644.09253,1096.2843
73,0.6,1443.31396,644.06781,1096.95337
74,0.608,1437.52661,642.54413,1097.08838
75,0.617,1431.45972,642.11664,1095.33679
76,0.625,1427.11658,642.65277,1095.79102
77,0.633,1421.72827,642.02374,1095.25427
78,0.642,1416.2627,642.39252,1095.63794
79,0.65,1410.28882,641.58246,1095.12842
80,0.658,1404.04993,641.17896,1093.65466
81,0.667,1398.68054,641.2088,1093.96863
82,0.675,1393.4574,640.66132,1093.58484
83,0.683,1388.34167,641.43475,1093.4176
84,0.692,1382.2395,640.65204,1092.37427
85,0.7,1375.15112,640.52667,1090.62769
86,0.708,1368.51587,639.9458,1090.6261
87,0.717,1362.01355,640.47211,1089.28113
88,0.725,1355.63354,640.04797,1088.7301
89,0.733,1348.46033,639.82556,1088.25476
90,0.742,1341.14563,639.5885,1086.1925
91,0.75,1335.01978,639.90637,1086.30627
92,0.758,1328.03625,639.82324,1084.62366
93,0.767,1320.40332,640.34943,1082.98474
94,0.775,1312.91675,639.5097,1081.93164
95,0.783,1305.63489,640.29395,1079.98621
96,0.792,1297.72961,640.40479,1078.20081
97,0.8,1289.91663,641.05646,1076.17224
98,0.808,1281.19299,640.83893,1074.6311
99,0.817,1273.71179,640.33368,1074.65454
100,0.825,1265.62488,640.46527,1072.41663
101,0.833,1257.77979,640.2749,1071.0144
102,0.842,1249.58667,640.9021,1068.82458
103,0.85,1241.63245,640.81366,1068.49744
104,0.858,1232.00122,640.53931,1065.92041
105,0.867,1221.92578,640.18878,1064.71484
106,0.875,1214.03943,640.18719,1063.11047
107,0.883,1205.84644,640.84784,1061.9541
108,0.892,1195.22559,639.71033,1059.96497
109,0.9,1187.5,639.65289,1059.81677
110,0.908,1178.7572,638.5575,1059.2865
111,0.917,1167.96899,637.81757,1057.73218
112,0.925,1159.4978,636.46216,1057.30383
113,0.933,1149.58704,636.31415,1057.76563
114,0.942,1139.81311,635.1571,1056.87952
115,0.95,1130.6676,635.48492,1057.02979
116,0.958,1121.2666,634.29834,1057.01599
117,0.967,1112.77258,634.36432,1057.53259
118,0.975,1103.68872,634.03271,1058.08142
119,0.983,1096.04089,634.0437,1057.74097
120,0.992,1088.49048,633.94928,1058.51538
121,1,1079.6991,633.78345,1058.52271
122,1.008,1070.81677,632.45831,1059.36133
123,1.017,1062.24438,634.30005,1060.17078
124,1.025,1054.07312,634.82861,1060.84021
125,1.033,1045.78516,635.23315,1061.64807
126,1.042,1037.65259,635.52209,1060.98523
127,1.05,1029.36621,636.66223,1061.21973
128,1.058,1019.55511,638.72131,1061.64026
129,1.067,1009.96057,638.63757,1062.32532
130,1.075,1002.5127,639.18976,1062.46143
131,1.083,990.49817,642.13116,1062.42419
132,1.092,982.00391,644.47021,1063.21692
133,1.1,973.2207,645.00775,1063.62744
134,1.108,964.2384,648.69452,1063.52246
135,1.117,953.97266,649.0412,1064.38696
136,1.125,944.75549,651.99341,1064.5531
137,1.133,933.40765,654.29028,1065.40613
138,1.142,923.60394,655.65875,1064.83386
139,1.15,912.38654,659.89514,1065.86511
140,1.158,902.64612,660.85309,1065.70691
141,1.167,892.57959,663.91449,1065.8551
142,1.175,880.37054,666.86029,1066.39868
143,1.183,869.81091,670.07159,1066.16577
144,1.192,858.62744,673.32819,1065.9762
145,1.2,847.93274,676.98663,1067.06982
146,1.208,838.30212,678.09619,1066.93738
147,1.217,825.93018,682.72949,1066.21997
148,1.225,816.01459,684.3515,1066.27563
