Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,1758.30566,593.9007,937.26642
2,0.008,1758.42529,596.19226,939.22797
3,0.017,1753.76941,599.38898,936.63483
4,0.025,1745.01038,600.40295,935.76447
5,0.033,1737.0531,601.83624,935.52747
6,0.042,1727.19727,601.68811,934.52203
7,0.05,1717.77466,601.48627,934.25
8,0.058,1703.60352,598.29211,938.44238
9,0.067,1693.12036,597.24109,937.55048
10,0.075,1685.48047,599.02655,937.12018
11,0.083,1675.35547,598.19922,936.40637
12,0.092,1666.95447,599.21515,935.78717
13,0.1,1657.35278,599.04895,934.87109
14,0.108,1648.65808,599.56549,934.43909
15,0.117,1639.97266,600.29541,933.65448
16,0.125,1630.1781,599.76666,932.8288
17,0.133,1623.16895,601.45215,932.18353
18,0.142,1612.86584,601.35199,931.28424
19,0.15,1603.93701,601.45526,930.55688
20,0.158,1596.02124,603.12219,929.46252
21,0.167,1587.67395,603.70819,928.99854
22,0.175,1577.85999,603.3772,927.81464
23,0.183,1572.42017,606.51324,927.37378
24,0.192,1561.11743,604.79498,926.52246
25,0.2,1558.07983,611.12781,923.7168
26,0.208,1549.27893,611.63983,922.8559
27,0.217,1540.16895,611.77795,922.17395
28,0.225,1531.92114,612.53046,921.58325
29,0.233,1519.69543,608.95343,925.12579
30,0.242,1508.48438,607.79144,923.87451
31,0.25,1500.34412,608.71082,923.13318
32,0.258,1490.25537,608.24597,924.59131
33,0.267,1483.00378,609.84039,924.46405
34,0.275,1473.34485,608.99023,923.49738
35,0.283,1468.63611,612.63831,923.12982
36,0.292,1461.41223,613.49683,922.85614
37,0.3,1457.93579,612.63184,922.40778
38,0.308,1455.19861,618.46307,920.40417
39,0.317,1441.54736,613.33746,923.91571
40,0.325,1433.40027,614.21704,923.68616
41,0.333,1422.44763,611.85779,925.39374
42,0.342,1421.11206,615.35248,925.3476
43,0.35,1415.43005,614.0849,924.48071
44,0.358,1409.35156,616.2547,924.13812
45,0.367,1405.15063,616.68982,924.37628
46,0.375,1398.76208,614.24725,923.88324
47,0.383,1393.11401,616.97205,923.82153
48,0.392,1389.20435,617.82898,923.16925
49,0.4,1384.04675,617.84418,922.57428
50,0.408,1376.21973,617.36615,921.7605
51,0.417,1371.70728,618.08276,921.13544
52,0.425,1367.57727,618.86401,920.93268
53,0.433,1362.979,621.63916,920.35162
54,0.442,1357.72644,620.98651,919.65497
55,0.45,1354.28601,622.36469,918.69391
56,0.458,1348.39319,621.18103,916.59729
57,0.467,1346.09912,622.27515,914.82648
58,0.475,1339.63037,624.30743,914.09137
59,0.483,1338.59229,624.31036,911.92798
60,0.492,1332.84106,626.48798,910.70502
61,0.5,1328.9198,626.55219,910.24054
62,0.508,1326.50403,629.01093,906.53821
63,0.517,1324.12939,629.23901,907.22504
64,0.525,1318.51855,629.70844,905.63904
65,0.533,1316.08984,631.16943,902.76276
66,0.542,1312.85864,632.5954,901.84265
67,0.55,1309.28357,632.07916,899.9469
68,0.558,1305.96069,633.7251,897.71631
69,0.567,1301.98425,634.11963,895.92181
70,0.575,1299.495,635.84937,895.3288
71,0.583,1296.06372,636.90405,892.64868
72,0.592,1291.96509,637.6637,890.61615
73,0.6,1289.08838,639.10742,889.51605
74,0.608,1286.17407,640.14911,887.59509
75,0.617,1281.03442,639.76361,886.63892
76,0.625,1277.03735,643.00183,886.01898
77,0.633,1273.5271,643.83698,884.26337
78,0.642,1269.12561,643.48773,882.58398
79,0.65,1263.71753,643.30847,881.26086
80,0.658,1258.40063,645.57843,880.72577
81,0.667,1254.41687,645.23767,877.9726
82,0.675,1250.7439,645.72784,877.19208
83,0.683,1244.354,648.06055,876.49927
84,0.692,1239.0863,646.84991,875.28345
85,0.7,1233.9303,648.89465,873.66443
86,0.708,1228.18457,648.35791,871.99371
87,0.717,1221.10168,649.26666,871.20166
88,0.725,1216.06238,649.4494,869.95129
