Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
69,0.567,1503.32654,511.311,1294.48364,1394.80066,668.21106,1262.58032
70,0.575,1496.87024,510.55658,1294.15076,1389.26648,666.97491,1262.48938
71,0.583,1489.18188,510.6395,1294.87524,1382.46289,667.86017,1263.16418
72,0.592,1483.50146,510.33875,1294.0188,1375.34045,668.39966,1262.80249
73,0.6,1477.19421,509.85297,1292.99255,1370.0896,665.74921,1262.40332
74,0.608,1469.99255,509.79163,1293.04468,1363.82507,666.84601,1261.24963
75,0.617,1463.26306,508.84274,1292.97424,1357.30847,667.68768,1260.62158
76,0.625,1456.36353,509.28882,1292.78906,1352.41272,665.93811,1260.80969
77,0.633,1449.94104,508.35788,1291.65942,1346.03821,666.44183,1260.27075
78,0.642,1443.64661,508.90842,1290.59302,1339.07703,666.54883,1259.3197
79,0.65,1435.56897,508.4371,1289.75232,1334.75867,664.78918,1258.89905
80,0.658,1428.1106,508.76877,1289.91492,1327.71265,665.80255,1258.02747
81,0.667,1421.26001,508.14371,1288.92493,1320.57361,665.64056,1256.73352
82,0.675,1414.32642,508.49872,1287.59485,1313.66235,665.74554,1256.23779
83,0.683,1407.8739,508.22021,1286.63916,1309.8606,666.10822,1255.33594
84,0.692,1400.38306,508.11038,1285.19128,1302.41418,665.23975,1254.72754
85,0.7,1392.7843,508.35315,1284.66821,1295.17175,666.32141,1253.51233
86,0.708,1384.91333,508.40103,1283.66174,1287.29321,666.49927,1252.45203
87,0.717,1377.5144,508.98965,1282.35339,1281.22815,665.58209,1251.89307
88,0.725,1370.49829,509.3465,1281.08386,1276.15906,665.33466,1249.94165
89,0.733,1363.34595,509.40915,1279.54724,1267.5083,665.85358,1248.90869
90,0.742,1355.70435,510.06845,1278.30005,1260.83459,665.97906,1247.99146
91,0.75,1347.93188,510.10159,1277.67285,1254.01428,667.04028,1246.97803
92,0.758,1340.3136,510.55627,1275.65002,1245.88635,665.88226,1245.57666
93,0.767,1332.63745,510.74097,1274.20557,1237.68445,667.14539,1243.82202
94,0.775,1325.34558,511.41727,1273.32813,1230.97034,667.9751,1242.94373
95,0.783,1317.4729,510.98895,1271.20825,1223.29138,667.93805,1241.7135
96,0.792,1310.65759,510.71158,1270.57031,1216.14563,668.83484,1240.03284
97,0.8,1301.3053,511.61618,1268.43396,1208.81165,667.46777,1238.27039
98,0.808,1293.82349,511.91138,1267.86426,1200.88501,669.01178,1236.76917
99,0.817,1286.1925,512.13275,1266.06494,1194.40186,669.9054,1235.35217
100,0.825,1277.77454,512.22107,1264.57629,1186.77417,668.6001,1234.09204
101,0.833,1270.10583,512.47113,1263.23047,1178.6416,670.73499,1231.9812
102,0.842,1262.10693,512.63739,1261.51563,1170.60901,670.84296,1230.53284
103,0.85,1254.26709,513.62366,1260.29932,1162.87708,670.94141,1229.61072
104,0.858,1244.82373,514.24969,1260.1582,1155.0575,671.90674,1229.30261
105,0.867,1236.53455,515.14905,1258.89551,1147.07947,671.76221,1227.953
106,0.875,1228.79089,514.85651,1257.42029,1139.07556,674.52802,1225.69934
107,0.883,1220.48755,514.97229,1257.72302,1130.70154,674.00885,1225.07043
108,0.892,1212.13745,516.56329,1257.85327,1122.82874,674.11139,1224.83801
109,0.9,1203.28308,516.57056,1257.62061,1114.48645,675.25586,1223.19055
110,0.908,1195.57825,517.16742,1258.52905,1106.81018,673.63824,1222.70874
111,0.917,1186.53076,517.34625,1258.91248,1099.29321,676.06641,1222.67908
112,0.925,1178.64319,517.43945,1259.91492,1090.50085,675.19836,1222.60229
113,0.933,1170.78357,517.58539,1260.41992,1083.20496,676.72693,1222.40503
114,0.942,1162.15479,518.03876,1261.42322,1075.00806,676.81433,1221.67322
115,0.95,1155.15027,517.99957,1261.70557,1068.17664,676.44598,1223.08362
116,0.958,1146.39783,518.82239,1262.91187,1060.3562,678.43555,1224.1543
117,0.967,1138.68408,518.20972,1262.93909,1054.02161,677.07794,1224.36621
118,0.975,1129.13574,519.30762,1264.46448,1046.46887,679.08099,1225.2804
119,0.983,1121.64795,519.96747,1265.10413,1040.49854,679.75482,1226.02112
120,0.992,1114.27783,519.74493,1266.65308,1033.11511,679.37573,1226.6377
121,1,1106.65942,519.93542,1266.80017,1025.49268,679.74445,1228.42383
122,1.008,1098.18921,521.02155,1268.12903,1018.49896,680.69012,1229.09167
123,1.017,1090.3761,520.99335,1268.73511,1011.75049,680.39355,1229.03223
124,1.025,1083.27014,521.75537,1269.17493,1004.04529,681.84222,1229.43469
125,1.033,1075.03967,522.9754,1270.59497,995.70227,681.43152,1230.78796
126,1.042,1067.36365,523.16815,1271.16699,987.90771,682.74115,1230.93542
127,1.05,1060.11035,523.12372,1272.74561,980.00922,681.28174,1231.24573
128,1.058,1053.04126,524.58551,1273.10608,972.11017,682.53119,1231.34644
129,1.067,1046.17273,524.58887,1274.75488,964.84454,681.55579,1232.73486
130,1.075,1039.12598,524.63452,1275.60071,956.31702,683.99823,1232.78796
131,1.083,1031.29797,524.62939,1275.94116,948.51801,682.61768,1234.41052
132,1.092,1023.9071,525.02808,1277.04993,940.4881,683.86951,1234.4082
133,1.1,1017.5705,525.0097,1277.71167,931.44171,684.26923,1234.56982
134,1.108,1009.57526,525.11926,1278.50073,923.35614,685.66125,1235.97974
135,1.117,1004.04468,524.08142,1278.89368,915.01715,686.15991,1236.2843
136,1.125,996.03601,525.10815,1280.82727,906.93988,686.71698,1236.72803
137,1.133,990.1618,524.4201,1281.30518,899.14331,687.54742,1238.28455
138,1.142,982.5799,525.43878,1281.0697,889.7981,688.70508,1239.35925
139,1.15,976.57977,525.29956,1282.20496,882.42059,690.21509,1239.77844
140,1.158,969.40741,525.56213,1282.65332,873.74664,690.84393,1241.67395
141,1.167,962.46942,525.03833,1283.15601,865.72369,691.22052,1242.29529
142,1.175,954.83112,525.60034,1284.19055,857.76483,693.88031,1243.51086
143,1.183,948.89801,525.86151,1284.15833,848.54846,694.58191,1244.47656
144,1.192,943.0791,524.53778,1283.83374,841.1723,695.17981,1244.16284
145,1.2,935.74756,526.07324,1283.90491,832.59766,694.43097,1244.48926
146,1.208,929.29083,524.03833,1283.86694,824.41199,697.36426,1244.70422
147,1.217,923.17102,524.15381,1283.29932,815.97827,697.50708,1246.55676
148,1.225,916.18829,523.92426,1282.87524,808.73932,697.76605,1246.8064
149,1.233,909.56311,523.10394,1283.16235,801.10645,698.02325,1246.85559
150,1.242,902.75671,522.41571,1283.27917,792.89099,698.17487,1247.60571
151,1.25,895.14746,523.51514,1282.57153,784.46057,700.23541,1249.47424
152,1.258,889.703,520.65961,1282.16406,776.12744,700.5545,1248.94629
153,1.267,882.46069,520.35516,1281.66016,768.87799,700.13519,1249.547
154,1.275,875.53534,519.68915,1280.51489,761.37689,700.53943,1249.50146
155,1.283,868.95575,520.04181,1280.30957,753.96661,701.76398,1249.80823
156,1.292,861.99304,519.34827,1280.22058,745.34418,701.32495,1249.83887
157,1.3,855.58673,516.71234,1278.55396,738.01129,701.74677,1249.96899
158,1.308,848.10632,516.63812,1277.84436,730.33789,700.7403,1249.59119
159,1.317,841.01935,516.21478,1277.53308,721.22589,699.64423,1249.77258
160,1.325,833.99286,515.68335,1277.13428,713.117,699.00745,1249.49939
161,1.333,827.34094,514.11627,1275.78845,704.84772,699.51263,1249.28882
162,1.342,820.27991,512.71216,1275.10742,696.45837,697.65936,1248.66089
163,1.35,812.01331,512.22949,1274.79785,688.75177,696.5199,1247.70239
164,1.358,804.86951,511.88312,1273.56848,680.59381,696.16522,1246.81177
165,1.367,797.26556,510.10666,1272.98193,672.56165,694.65143,1246.75623
166,1.375,790.29077,509.01035,1272.36389,663.95575,692.82666,1245.64734
167,1.383,782.97925,508.44107,1271.39136,654.86469,692.52069,1244.87805
168,1.392,775.61835,507.10202,1270.47961,647.87079,690.09442,1244.98206
169,1.4,768.07526,506.03656,1268.89294,638.96643,689.5249,1244.43945
170,1.408,760.90369,504.76868,1268.4906,631.0528,687.34375,1244.03772
171,1.417,752.86707,502.43848,1267.49463,624.00861,686.0434,1243.14624
172,1.425,745.7016,501.73547,1267.02295,616.60077,684.50507,1242.55591
173,1.433,737.63885,501.41769,1265.86414,608.66486,683.22723,1242.33606
174,1.442,729.23749,499.80615,1265.2301,601.99261,680.40826,1242.26782
175,1.45,721.58936,497.49078,1264.37354,593.59186,677.63666,1241.49658
176,1.458,713.50397,495.83957,1264.42896,585.70966,676.51825,1242.23633
177,1.467,706.28247,494.94812,1264.41052,579.56781,674.08331,1242.34351
178,1.475,698.36505,492.86813,1264.30835,572.20422,671.10547,1242.79053
179,1.483,690.21802,492.25986,1265.75696,565.21356,669.44458,1242.86243
180,1.492,682.78345,490.82547,1266.01941,558.06177,666.83972,1242.50684
181,1.5,675.17859,489.48053,1268.59558,551.37811,664.73114,1242.93445
182,1.508,667.21985,487.76312,1268.67517,544.58112,663.10901,1244.75818
183,1.517,659.479,487.26898,1270.32202,537.57141,659.72302,1244.9043
184,1.525,651.62433,486.74036,1272.0885,531.10645,658.50916,1246.37573
185,1.533,644.62408,485.65762,1273.92651,523.96387,655.62262,1247.66992
186,1.542,636.26117,484.77753,1275.48547,517.28363,652.87952,1249.20154
187,1.55,629.42474,483.39423,1277.77197,510.81696,651.64246,1251.21118
188,1.558,621.2486,482.75909,1278.41736,503.95224,649.80402,1252.73767
189,1.567,614.53699,481.92017,1279.48413,496.33896,647.80505,1253.58606
190,1.575,606.62671,480.47702,1280.75134,490.82059,647.10504,1255.09937
191,1.583,599.76392,479.22241,1282.00513,483.15106,644.68701,1255.61487
192,1.592,591.82751,479.0452,1283.06677,477.03329,642.91321,1256.21069
193,1.6,585.4317,476.92618,1284.62463,469.83765,641.05975,1256.77441
194,1.608,578.00323,476.47696,1285.18823,463.78693,640.69684,1257.48242
195,1.617,571.12762,475.15027,1286.6936,457.03088,639.00781,1257.22803
196,1.625,564.07129,474.73245,1286.98645,450.93903,637.25562,1258.29431
197,1.633,557.76257,473.32742,1287.94214,444.81369,636.59613,1258.64917
198,1.642,550.29858,472.67975,1288.729,438.74261,634.47144,1258.85193
199,1.65,543.29541,471.71518,1289.745,432.32126,633.62482,1258.8324
200,1.658,537.20154,471.73071,1290.3479,425.70352,632.45551,1259.82446
201,1.667,530.35736,469.9147,1291.41174,419.45309,630.90259,1259.45068
202,1.675,524.01056,469.16418,1291.92151,413.56219,631.48383,1260.02039
203,1.683,516.18616,468.89444,1292.55847,407.67743,629.84802,1259.6272
204,1.692,510.93304,467.67426,1293.48047,401.95877,629.17993,1260.64526
205,1.7,503.91074,466.90524,1293.78967,394.3812,628.79327,1260.2981
206,1.708,497.35257,465.74994,1295.33557,388.78302,627.5293,1260.95593
207,1.717,491.0249,465.44547,1296.41345,381.81213,627.19257,1259.90601
208,1.725,484.19998,465.1568,1295.86658,375.21954,626.46643,1260.25269
209,1.733,478.17477,465.26962,1296.61182,369.10764,625.58002,1259.94751
210,1.742,471.37097,462.85028,1297.16064,362.66714,624.00049,1259.33826
211,1.75,465.2952,463.09695,1297.78931,356.42844,623.26404,1260.14771
212,1.758,457.76251,462.00015,1298.13135,350.70059,623.16266,1259.52197
213,1.767,453.08691,462.87708,1298.43579,344.29227,622.16016,1258.46948
214,1.775,444.77045,462.04874,1298.48254,337.72241,620.9884,1258.98462
215,1.783,439.25433,461.53918,1298.76978,332.77255,620.36273,1258.19714
216,1.792,432.40479,461.89642,1298.6604,326.28528,621.54462,1257.65881
217,1.8,426.29868,461.12668,1297.99365,320.50986,620.13007,1256.99451
218,1.808,419.64209,461.15012,1298.28503,314.95932,619.00763,1256.12842
219,1.817,413.6167,460.84363,1297.5968,310.25546,619.26587,1256.55725
220,1.825,406.17188,460.03815,1298.24292,304.49136,618.53735,1255.1438
221,1.833,399.64301,459.29382,1296.96082,298.53857,618.09113,1254.61023
222,1.842,393.24875,458.98587,1295.75598,292.25723,619.26147,1254.25549
223,1.85,385.69,458.98715,1295.24268,287.30298,618.35272,1253.51587
224,1.858,379.02802,459.15094,1294.67151,281.672,618.86121,1253.21387
225,1.867,371.67499,459.08978,1294.39368,275.42804,618.57745,1252.58435
226,1.875,365.39404,459.63229,1292.86523,270.18423,619.34485,1250.32507
227,1.883,358.3306,459.45792,1292.22656,262.77316,619.60394,1250.15869
228,1.892,350.55057,458.21567,1291.08337,256.9581,619.63873,1249.02197
229,1.9,342.48694,459.32727,1290.4585,251.24657,619.37451,1247.10364
230,1.908,336.01218,460.45862,1289.20862,244.34273,620.41931,1246.7157
231,1.917,328.51251,461.08401,1288.28052,239.00592,620.96405,1246.72449
232,1.925,320.99649,460.95215,1287.21301,230.95306,620.42596,1245.02917
233,1.933,312.83783,461.97171,1285.50598,224.0643,622.04376,1244.03308
234,1.942,305.9718,461.3717,1284.86731,216.38721,622.37317,1242.5625
235,1.95,299.10764,463.01215,1283.69531,210.52515,621.33459,1241.91479
236,1.958,290.36472,463.71512,1282.70142,202.97816,623.15662,1239.69067
237,1.967,282.94705,463.61191,1280.65637,195.80066,624.67194,1238.55554
238,1.975,274.88171,464.50616,1279.25244,188.3557,625.62286,1236.66333
239,1.983,267.52856,466.03424,1278.61438,180.85979,625.41693,1235.11646
240,1.992,260.13052,466.75247,1276.38318,172.71353,626.74103,1233.8031
241,2,252.29994,467.69318,1275.36572,166.45987,626.8595,1232.0426
242,2.008,245.00456,468.83008,1274.07117,159.5907,628.43774,1230.47754
243,2.017,236.36952,468.99936,1271.72107,152.77635,628.02112,1228.7041
244,2.025,228.56783,469.93079,1270.59937,144.4843,630.20898,1226.44836
245,2.033,221.42256,472.10574,1269.17126,137.1434,631.44934,1224.73975
246,2.042,213.82112,472.66724,1267.2207,129.48552,632.28534,1223.55957
247,2.05,205.55351,474.07953,1265.77917,122.64388,634.05554,1222.1543
248,2.058,196.60658,475.57297,1263.17383,114.52625,636.20392,1220.98401
249,2.067,190.48833,476.22397,1262.25391,107.82288,637.13416,1219.50195
250,2.075,181.35228,477.53409,1261.57263,100.16009,639.3775,1218.57263
251,2.083,173.00089,479.59106,1262.27576,92.86398,640.88141,1217.02588
252,2.092,165.81694,481.33807,1261.82288,85.65534,642.15155,1216.12305
253,2.1,158.08968,481.50571,1261.23669,77.51209,643.23065,1216.30261
254,2.108,151.81996,483.17365,1262.11694,68.56402,645.15363,1215.16431
255,2.117,143.14644,485.47754,1262.21265,61.41053,645.32098,1215.06873
256,2.125,134.76416,485.07523,1261.99756,52.49507,647.71368,1215.37732
257,2.133,127.68616,487.61035,1262.65637,44.10388,649.10431,1215.35681
258,2.142,119.59344,488.54147,1263.448,36.1044,648.86908,1214.82275
259,2.15,111.32844,489.69003,1263.96228,28.04976,650.44049,1214.87354
260,2.158,103.92476,491.92334,1264.88721,20.22431,652.95294,1215.297
261,2.167,96.93427,491.42697,1264.98096,13.14766,653.85712,1216.33472
262,2.175,88.79012,493.35571,1265.65942,5.41364,656.43188,1216.4032
263,2.183,80.27895,494.78464,1266.95959,-2.66213,656.14697,1216.87256
264,2.192,72.58021,496.47726,1267.65381,-9.85545,656.82965,1217.47156
265,2.2,64.49792,497.36749,1268.17554,-17.96043,658.97638,1219.03943
266,2.208,57.6156,498.43054,1269.42834,-26.00623,660.15839,1219.35876
267,2.217,50.49526,500.26321,1269.56262,-32.34241,662.41168,1219.31714
268,2.225,41.38134,500.76016,1270.10083,-40.58506,662.62146,1220.2196
269,2.233,33.33518,502.24899,1270.76721,-48.56146,665.5943,1220.97363
270,2.242,27.16796,503.98199,1271.74487,-56.07362,664.55023,1221.11987
271,2.25,19.29611,504.60843,1272.62012,-64.21156,667.47247,1221.37622
272,2.258,11.40923,505.65793,1273.64612,-72.38789,668.84192,1221.66089
273,2.267,4.53309,506.91223,1273.78882,-80.12035,669.62506,1222.15991
274,2.275,-3.10455,508.39993,1274.71252,-87.56514,670.87897,1222.56445
275,2.283,-9.08021,509.46503,1275.33801,-96.62762,671.15906,1222.47437
276,2.292,-16.95709,509.54047,1274.65112,-104.54416,671.30511,1222.95605
277,2.3,-25.16312,511.73093,1275.87268,-112.2573,673.84717,1223.71533
278,2.308,-30.65353,512.07379,1276.01257,-120.10792,674.21393,1223.93628
279,2.317,-39.00466,512.72272,1276.93774,-129.00273,674.17377,1224.34497
280,2.325,-46.05443,515.15948,1277.21472,-135.59145,675.18097,1225.00281
281,2.333,-52.22624,514.06934,1277.74829,-143.89197,675.53113,1225.3042
282,2.342,-61.54667,517.05212,1278.04956,-151.57573,677.01843,1225.71277
283,2.35,-68.05214,517.00739,1278.31677,-158.37975,677.83746,1226.01514
284,2.358,-75.25226,518.08252,1278.10767,-167.13126,679.13007,1225.71887
285,2.367,-82.4194,519.67371,1278.83899,-175.58948,680.20837,1226.63416
286,2.375,-89.76102,518.41333,1278.0979,-183.14624,681.14514,1226.23206
287,2.383,-99.19582,520.72748,1279.53271,-190.58794,681.61603,1226.6062
288,2.392,-104.66068,520.23358,1278.3291,-198.88124,681.71906,1226.9469
289,2.4,-111.61787,522.15973,1277.802,-206.45058,682.95062,1226.6925
290,2.408,-120.41276,523.14276,1278.09363,-214.55563,682.29095,1226.78552
291,2.417,-125.905,523.86877,1278.29639,-222.40804,684.12549,1226.61108
292,2.425,-133.22414,524.10883,1277.56189,-230.59706,683.5401,1226.12122
293,2.433,-142.09821,525.34888,1276.41968,-238.99431,684.15076,1226.27808
294,2.442,-148.91565,525.27472,1276.11499,-246.61769,685.22382,1226.76611
295,2.45,-156.53024,525.33875,1276.26233,-254.45895,686.46576,1225.94214
296,2.458,-164.47556,527.08575,1274.80579,-261.95514,686.18817,1224.81372
297,2.467,-171.23499,526.40613,1274.42419,-269.64502,686.66321,1224.67261
298,2.475,-179.38902,525.81421,1273.4126,-278.67426,687.22961,1223.86377
299,2.483,-186.95251,526.85815,1272.78845,-286.48303,687.36304,1223.3905
300,2.492,-193.08801,526.91089,1270.87695,-295.19418,686.73676,1222.00293
301,2.5,-201.62369,526.40808,1270.54785,-302.56866,687.11169,1221.68982
302,2.508,-209.60352,525.3913,1269.95435,-310.40646,687.91089,1222.4126
303,2.517,-216.81433,526.01361,1268.83508,-318.95633,687.73889,1221.24988
304,2.525,-224.78752,527.40594,1267.88684,-327.99753,688.48785,1220.66406
305,2.533,-231.91306,526.38885,1266.8125,-334.95251,688.18982,1220.84412
306,2.542,-239.31187,525.30261,1266.08594,-343.40955,685.81311,1219.63391
307,2.55,-247.77277,526.01154,1266.23413,-351.60345,686.4975,1219.11462
308,2.558,-255.19901,525.75085,1265.29468,-359.05899,685.67615,1219.07446
309,2.567,-263.91559,524.9527,1263.51782,-366.95554,685.59906,1218.07178
310,2.575,-270.10779,525.57147,1263.28076,-375.19458,686.01794,1219.16504
311,2.583,-278.2348,524.12292,1261.77209,-383.116,685.27124,1218.41772
312,2.592,-286.866,522.08972,1260.40491,-391.448,684.99664,1218.15894
313,2.6,-293.4324,522.44232,1260.17273,-398.15051,684.0191,1217.53931
314,2.608,-302.17142,521.922,1259.8396,-405.77066,683.27478,1218.0105
315,2.617,-309.88925,522.28589,1257.77551,-413.68494,682.14136,1218.73767
316,2.625,-317.8446,520.51135,1257.37317,-421.1055,681.11304,1218.75671
317,2.633,-326.09467,520.60016,1257.49292,-429.34973,680.53198,1219.18994
318,2.642,-333.80429,518.26013,1256.19421,-436.55417,679.42798,1218.08093
319,2.65,-342.67657,517.70319,1255.79407,-445.33908,678.76813,1219.31494
320,2.658,-350.04263,516.37268,1256.7677,-451.79596,678.68695,1219.45056
321,2.667,-358.84445,515.93597,1257.63318,-459.52371,677.25818,1219.82874
322,2.675,-366.40814,515.46918,1257.9917,-466.974,677.00769,1221.77332
323,2.683,-373.63696,515.71545,1258.31006,-474.91193,676.55981,1222.354
324,2.692,-383.17245,515.49255,1258.1814,-482.14932,674.70099,1223.05017
325,2.7,-388.98764,515.14124,1259.58801,-490.02448,674.30298,1224.15491
326,2.708,-399.01138,514.41876,1259.58862,-497.20654,673.04211,1224.97461
327,2.717,-406.56577,512.83466,1259.47986,-504.59875,671.62579,1226.41223
328,2.725,-414.71826,514.89191,1260.44604,-512.33289,671.03778,1227.6322
329,2.733,-422.32526,513.47284,1261.50537,-519.92828,670.63068,1228.66675
330,2.742,-430.63879,512.45953,1262.47913,-528.1109,670.28137,1229.16626
331,2.75,-437.81186,511.84479,1262.8125,-535.21429,669.76324,1230.66321
332,2.758,-445.2493,511.70367,1263.29419,-543.55664,669.7699,1231.97961
333,2.767,-454.04507,512.51385,1265.06909,-549.42047,668.69098,1232.25208
334,2.775,-460.75546,512.23285,1265.96912,-557.362,668.40332,1234.49329
335,2.783,-469.00894,511.63577,1266.86719,-564.69336,668.20502,1235.05554
336,2.792,-476.40152,510.58975,1268.20178,-571.53186,667.58124,1235.68848
337,2.8,-482.94617,510.72159,1269.55164,-579.71234,667.7511,1236.66638
338,2.808,-490.79459,510.05246,1269.82678,-586.91724,667.12085,1237.53699
339,2.817,-498.35556,510.87234,1270.39502,-593.65961,666.54834,1239.2439
340,2.825,-504.69733,511.05325,1272.72461,-601.32886,666.08118,1239.42346
341,2.833,-511.68756,509.79645,1274.49365,-608.44586,666.19263,1241.31799
342,2.842,-518.66968,508.62061,1275.04089,-615.01093,666.48328,1241.90674
343,2.85,-525.2226,508.2399,1275.3573,-622.54572,665.61334,1242.48145
344,2.858,-532.71393,507.13821,1276.90442,-630.21796,665.50055,1243.8252
345,2.867,-539.85699,508.20151,1277.47925,-636.5116,665.05676,1244.10474
346,2.875,-545.80225,507.76328,1278.56531,-643.05975,664.95294,1244.75964
347,2.883,-554.03436,507.52307,1279.24976,-649.88031,665.25031,1245.10535
348,2.892,-560.10767,506.27841,1279.27051,-657.75073,665.04596,1245.90381
349,2.9,-566.69568,505.66693,1280.37048,-664.34296,664.93158,1246.01965
350,2.908,-573.64081,505.8425,1280.17004,-670.80219,664.11078,1247.3042
351,2.917,-579.15698,505.05072,1280.63428,-676.34821,664.01801,1247.60852
352,2.925,-587.30615,503.44772,1280.35059,-682.13312,664.07684,1247.16479
353,2.933,-593.84442,504.5267,1281.4137,-689.57422,664.79486,1247.81714
