Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
1,0,1968.69531,484.55017,1573.37024,1759.60449,454.13528,1470.63367
2,0.008,1961.65869,485.08908,1572.91736,1756.15356,451.26477,1470.4613
3,0.017,1956.27368,486.03104,1573.20923,1748.14026,453.18277,1470.13025
4,0.025,1949.6792,487.67758,1572.24487,1740.62378,455.30606,1468.4353
5,0.033,1941.75732,488.34711,1572.13208,1736.50928,451.72452,1468.48364
6,0.042,1936.05298,488.66916,1572.58679,1728.96436,453.46094,1467.53284
7,0.05,1928.00525,491.22946,1570.58643,1721.19287,455.6264,1468.51147
8,0.058,1920.78967,490.2182,1570.36633,1714.14575,454.04303,1468.00488
9,0.067,1913.89148,490.77698,1569.29224,1708.57068,452.70932,1468.65735
10,0.075,1907.49646,491.42123,1568.41602,1700.79248,453.20917,1466.98401
11,0.083,1900.33862,490.90918,1567.41418,1693.07874,451.34238,1465.67053
12,0.092,1893.17688,492.18649,1566.2301,1686.83752,450.4332,1466.22681
13,0.1,1886.53796,492.26852,1565.37415,1678.32666,450.72437,1464.61169
14,0.108,1880.1947,492.772,1564.38452,1672.03003,448.50842,1464.0127
15,0.117,1872.724,492.24692,1563.36731,1666.38,449.22702,1462.76953
16,0.125,1866.23608,492.68451,1562.03992,1658.61462,451.06985,1463.51709
17,0.133,1858.65112,491.43759,1561.24683,1652.61511,447.11185,1462.27441
18,0.142,1851.6864,490.74127,1560.74658,1645.3573,446.91022,1461.55237
19,0.15,1844.51001,491.4751,1559.15039,1636.64502,447.21667,1461.49219
20,0.158,1837.19788,490.68347,1558.95483,1632.09961,444.16434,1461.25562
21,0.167,1830.69153,489.49231,1557.57629,1623.69897,444.61084,1460.07385
22,0.175,1823.20374,488.21451,1556.75525,1615.22461,445.86346,1458.79358
23,0.183,1817.37732,488.22638,1556.69995,1610.94861,441.97717,1457.38794
24,0.192,1809.25696,488.84863,1555.20581,1602.38477,442.02774,1456.95007
25,0.2,1802.33228,485.74124,1555.39258,1597.12439,436.90189,1455.12048
26,0.208,1794.82715,485.02451,1554.56079,1589.20007,438.22168,1454.53064
27,0.217,1788.20398,484.54712,1553.86694,1580.93604,439.49982,1454.3042
28,0.225,1780.90649,482.13354,1553.69702,1576.23596,435.00253,1454.43555
29,0.233,1774.21582,480.26483,1554.11487,1567.3396,434.84491,1455.41296
30,0.242,1766.46484,478.83987,1553.3855,1560.65002,433.18222,1455.2384
31,0.25,1760.45703,477.62857,1553.2771,1554.17212,430.34991,1454.35559
32,0.258,1752.96301,476.48154,1552.75586,1544.72949,429.75333,1457.09985
33,0.267,1744.77869,473.27591,1553.96021,1537.08289,427.56277,1456.78381
34,0.275,1737.7002,472.66733,1554.34277,1531.29517,426.50162,1456.71509
35,0.283,1731.72571,470.51382,1554.99084,1520.01245,424.63879,1459.72461
