Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
80,0.658,1419.38269,364.97314,1408.76929
81,0.667,1413.33459,364.44244,1407.87805
82,0.675,1405.45422,365.32962,1406.62366
83,0.683,1398.5636,365.35471,1405.73743
84,0.692,1391.07886,364.82617,1404.50305
85,0.7,1384.17224,365.72412,1404.43054
86,0.708,1377.13672,365.10168,1402.41467
87,0.717,1369.1073,365.75516,1401.70251
88,0.725,1361.54822,366.07449,1400.51599
89,0.733,1354.44604,366.32474,1399.51929
90,0.742,1346.75671,366.20834,1398.12244
91,0.75,1338.94653,367.01584,1397.09534
92,0.758,1331.82886,367.4006,1395.5979
93,0.767,1325.297,367.65445,1394.67419
94,0.775,1316.67493,368.56589,1393.2948
95,0.783,1309.31519,369.20612,1392.65869
96,0.792,1302.24512,369.32147,1391.34241
97,0.8,1294.21167,369.95187,1390.37048
98,0.808,1286.46179,370.00177,1389.55408
99,0.817,1278.4707,370.31128,1388.1698
100,0.825,1269.87915,371.23767,1387.74902
101,0.833,1261.63599,372.20575,1386.93176
102,0.842,1254.27527,373.27878,1385.86768
103,0.85,1245.64282,373.85159,1384.47791
104,0.858,1237.7627,374.44986,1384.61011
105,0.867,1229.79395,376.04507,1383.48572
106,0.875,1221.02539,377.78061,1383.32263
107,0.883,1213.14783,378.85986,1383.33398
108,0.892,1205.37,379.9317,1384.09033
109,0.9,1194.81177,380.76605,1384.45703
110,0.908,1186.77429,381.53894,1385.30957
111,0.917,1177.73157,383.00861,1386.41821
112,0.925,1169.77649,383.70767,1386.75403
113,0.933,1161.8208,384.65927,1388.63782
114,0.942,1153.95581,385.57056,1389.0166
115,0.95,1143.55212,385.81287,1390.24854
116,0.958,1136.71851,387.87247,1393.45056
117,0.967,1130.22815,388.34033,1394.31238
118,0.975,1121.53333,390.06894,1395.83667
119,0.983,1112.04187,390.36929,1396.52173
120,0.992,1104.95227,392.09949,1397.6333
121,1,1096.45898,392.76907,1398.7301
122,1.008,1089.19836,393.33679,1400.07788
123,1.017,1081.83728,395.13272,1401.33398
124,1.025,1074.28687,394.7963,1402.20007
125,1.033,1066.65552,396.68079,1403.58899
126,1.042,1059.29724,397.69589,1405.0918
127,1.05,1051.76819,398.19049,1405.69678
128,1.058,1044.19312,398.55896,1407.31079
129,1.067,1037.20203,398.36417,1407.58032
130,1.075,1029.9248,399.133,1408.797
131,1.083,1022.26019,399.31293,1409.61853
132,1.092,1017.23401,399.56744,1411.48938
133,1.1,1008.77643,399.9845,1411.16125
134,1.108,1001.55664,400.59125,1412.25537
135,1.117,995.02417,399.60431,1413.38147
136,1.125,989.17999,400.96222,1414.97205
137,1.133,979.88226,399.93002,1414.30078
138,1.142,975.43683,400.23184,1415.07983
139,1.15,969.82013,400.69867,1417.27649
140,1.158,961.51141,401.50842,1416.95215
141,1.167,953.59387,400.31882,1416.66699
142,1.175,947.68738,401.64084,1418.00073
143,1.183,942.09521,399.98596,1417.56873
144,1.192,934.23236,400.62222,1418.15051
145,1.2,928.35181,400.18323,1418.60767
146,1.208,921.88507,399.92328,1417.24377
147,1.217,915.10242,399.45303,1417.29492
148,1.225,908.39093,398.14236,1417.48181
149,1.233,901.67072,398.7095,1417.48059
150,1.242,897.14081,397.94373,1416.11792
151,1.25,889.9718,397.75549,1416.54492
152,1.258,881.23291,397.28012,1415.7843
153,1.267,874.88977,396.74207,1415.18787
154,1.275,867.07483,395.30441,1415.30444
155,1.283,861.93933,395.22586,1412.8418
156,1.292,854.95093,393.85153,1412.36218
157,1.3,848.05505,393.27951,1411.77661
158,1.308,841.52789,392.36273,1411.04407
159,1.317,833.4613,391.85776,1409.98828
160,1.325,827.20679,391.13712,1409.55408
161,1.333,819.367,389.92191,1408.62683
162,1.342,812.06824,389.0416,1407.4292
163,1.35,804.73621,388.31061,1406.34143
164,1.358,797.96918,386.00031,1404.88135
165,1.367,791.41296,384.66129,1404.73083
166,1.375,784.12079,383.32523,1403.28442
167,1.383,776.01117,382.03879,1402.74805
168,1.392,768.74341,381.59979,1401.07214
169,1.4,761.14453,379.16412,1400.1449
170,1.408,754.0849,377.19949,1399.7644
171,1.417,746.8299,375.61127,1398.05872
172,1.425,738.88043,373.76926,1396.52771
173,1.433,731.97394,370.80911,1395.8125
174,1.442,723.89423,371.24756,1394.06677
175,1.45,716.96271,369.55432,1393.52478
176,1.458,708.75952,367.72757,1392.07996
177,1.467,701.54022,365.67117,1393.06238
178,1.475,693.98932,363.6337,1392.89417
179,1.483,686.46576,360.53214,1392.44543
180,1.492,677.91595,358.82306,1394.06934
181,1.5,669.68011,357.73758,1394.6062
182,1.508,662.50397,356.91397,1394.35266
183,1.517,654.66449,354.74872,1395.97961
184,1.525,647.07202,352.62381,1396.38733
185,1.533,640.14465,350.02875,1397.8717
186,1.542,632.18744,348.39154,1398.33716
187,1.55,624.55219,346.33987,1399.31238
188,1.558,616.88678,343.5426,1400.24463
189,1.567,609.32532,343.74036,1400.39417
190,1.575,601.91656,341.41638,1402.00049
191,1.583,593.79681,340.92422,1401.65332
192,1.592,586.93585,339.15497,1402.16309
193,1.6,579.07953,337.22488,1402.50305
194,1.608,571.55878,336.1033,1403.86511
195,1.617,563.78571,335.12683,1404.13916
196,1.625,556.82074,333.74362,1404.2207
197,1.633,549.22968,332.9389,1405.50183
