Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z,R.Ulna.x,R.Ulna.y,R.Ulna.z,R.Radius.x,R.Radius.y,R.Radius.z
53,0.433,-614.64691,-302.8168,1112.30408,-640.75305,-348.84528,1013.87817,-565.90649,-338.11456,951.4472
54,0.442,-608.75085,-303.15152,1112.26953,-636.23657,-348.24979,1014.04541,-560.35071,-338.02252,951.58051
55,0.45,-601.73431,-300.84445,1113.16345,-630.39252,-346.54691,1014.42255,-555.04932,-337.27347,951.53931
56,0.458,-595.9892,-301.55362,1113.74182,-624.87543,-346.76282,1015.04749,-551.9964,-336.84467,951.22711
57,0.467,-590.99609,-300.6861,1113.6377,-620.43506,-346.4502,1016.44836,-547.25238,-336.69321,950.99683
58,0.475,-584.98273,-299.50433,1114.12305,-614.99408,-345.41202,1016.7854,-541.21246,-335.42844,951.50897
59,0.483,-578.23376,-298.97781,1114.08728,-610.73511,-343.96756,1016.33514,-537.15173,-335.03992,951.22461
60,0.492,-573.10541,-298.39987,1114.16577,-605.1145,-342.42715,1016.16785,-532.48871,-334.80408,951.23285
61,0.5,-567.61523,-297.14352,1114.30713,-598.94104,-340.77496,1016.263,-527.78424,-336.31689,951.43909
62,0.508,-561.30487,-295.93076,1115.08191,-594.53894,-341.61124,1018.13556,-523.78107,-334.76337,951.6875
63,0.517,-555.4668,-295.5094,1115.90479,-589.82318,-339.50177,1018.53802,-519.12213,-334.32068,951.50092
64,0.525,-550.00629,-293.61801,1115.46155,-585.41772,-339.03406,1018.38684,-514.0788,-332.55685,951.66376
65,0.533,-544.72473,-293.82935,1115.7124,-581.31158,-336.61649,1018.88269,-509.7113,-332.26779,952.17706
66,0.542,-540.48053,-292.38608,1115.94641,-575.94409,-336.24164,1019.38959,-505.96094,-330.98715,951.8609
67,0.55,-534.59369,-291.53638,1117.12927,-572.06317,-336.66235,1020.47021,-500.87842,-329.63968,951.69464
68,0.558,-530.23438,-290.87921,1117.10535,-567.00928,-333.58685,1020.21863,-497.04178,-330.06448,952.40662
69,0.567,-524.62421,-289.79028,1117.21948,-562.90839,-334.06845,1021.08752,-492.49548,-328.53979,952.40674
70,0.575,-520.15344,-290.93912,1117.66907,-559.12421,-333.37753,1021.03088,-488.21317,-327.63892,952.8006
71,0.583,-514.80627,-289.81845,1117.94458,-554.39838,-332.14334,1020.67804,-483.97482,-326.1586,953.4953
72,0.592,-510.30701,-288.57724,1118.0769,-548.55005,-329.80957,1021.56378,-478.48505,-326.14355,953.70538
73,0.6,-504.83035,-288.60837,1119.25232,-544.4093,-329.36298,1021.6319,-474.45267,-326.44211,953.29059
74,0.608,-499.52374,-287.802,1118.7052,-538.83899,-328.66815,1022.30487,-468.9996,-324.48138,953.36401
75,0.617,-494.0192,-288.21112,1118.53003,-535.82147,-328.30145,1022.04065,-465.5528,-324.78949,952.82227
76,0.625,-488.36002,-287.47791,1118.22888,-530.77716,-327.55911,1021.98291,-460.28076,-323.04471,952.1557
77,0.633,-482.85419,-287.65686,1117.85181,-525.54596,-327.31799,1021.86365,-455.42206,-322.52713,951.6911
78,0.642,-476.6124,-286.26938,1117.03723,-519.53003,-325.6937,1021.3985,-450.50803,-320.9483,951.51532
79,0.65,-469.76959,-285.81235,1117.03625,-513.33038,-325.63889,1021.41577,-444.68713,-319.4292,951.35242
80,0.658,-463.84427,-285.11636,1117.92139,-507.2283,-324.84973,1022.13385,-440.2402,-320.46024,951.4635
81,0.667,-457.60153,-284.34845,1117.78552,-501.68097,-324.25455,1021.8819,-434.89914,-317.96902,950.16248
82,0.675,-450.73532,-284.09528,1116.50525,-495.3768,-322.457,1021.93781,-429.8667,-317.99124,950.29236
83,0.683,-444.67273,-282.95227,1116.27722,-490.17963,-322.84528,1021.64172,-424.87631,-316.02441,948.94812
84,0.692,-437.09381,-282.73843,1115.59436,-483.78308,-322.06161,1021.40271,-418.58481,-316.20068,947.9292
85,0.7,-431.42584,-282.09479,1114.64185,-477.8226,-321.69736,1021.34802,-412.45709,-315.6066,947.17566
86,0.708,-424.98428,-282.58133,1114.96619,-471.02121,-320.46066,1020.26691,-406.50839,-315.43201,946.46191
87,0.717,-417.53616,-282.10992,1113.09851,-466.22104,-321.88489,1019.58746,-401.91711,-316.14508,946.06622
88,0.725,-411.39444,-281.70087,1112.76086,-459.61469,-320.68524,1019.15686,-395.75195,-314.69144,944.75635
89,0.733,-403.90906,-281.66626,1111.75232,-453.52863,-321.04935,1018.72919,-389.34482,-315.89362,943.51086
90,0.742,-396.85971,-281.44739,1111.74023,-447.10333,-320.05429,1017.26245,-382.59467,-315.50497,942.24872
91,0.75,-389.99426,-282.88147,1109.85327,-440.62589,-320.11377,1015.61487,-375.87479,-315.56516,941.30212
92,0.758,-383.3288,-282.50665,1109.16272,-434.26224,-319.44284,1014.54083,-369.76849,-313.99054,939.98029
