Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
1,0,-983.50507,-190.16153,823.96118
2,0.008,-983.54285,-189.47034,822.52142
3,0.017,-975.39417,-194.9572,821.26984
4,0.025,-972.27655,-186.96815,820.55957
5,0.033,-971.08032,-186.05247,818.17621
6,0.042,-966.67413,-190.42245,818.50189
7,0.05,-963.01227,-192.98904,818.09033
8,0.058,-959.8819,-194.14671,817.0708
9,0.067,-953.78766,-190.08652,816.78424
10,0.075,-951.36127,-190.86786,814.76038
11,0.083,-948.22656,-194.07709,814.4975
12,0.092,-942.38989,-197.79369,811.39471
13,0.1,-938.05103,-190.57137,811.37494
14,0.108,-933.54291,-193.44829,810.17572
15,0.117,-933.80499,-193.67686,808.74786
16,0.125,-925.63849,-198.6254,807.92444
17,0.133,-918.49701,-198.72397,808.23669
18,0.142,-913.42871,-196.66614,807.78168
19,0.15,-907.76837,-200.03032,807.26941
20,0.158,-901.07031,-195.13464,806.50946
21,0.167,-898.19659,-197.75633,804.79895
22,0.175,-890.28314,-198.41322,802.86768
23,0.183,-884.49353,-199.42502,802.45471
24,0.192,-878.86951,-201.45152,800.48914
25,0.2,-869.23114,-201.05061,801.05817
26,0.208,-862.71045,-202.20901,800.22095
27,0.217,-855.17993,-205.30241,799.88806
28,0.225,-847.11908,-202.04889,798.05115
29,0.233,-840.20612,-207.0022,796.60095
30,0.242,-832.34277,-207.62971,796.13397
31,0.25,-826.24384,-208.11473,795.34595
32,0.258,-816.57324,-208.59283,796.85559
33,0.267,-809.59155,-206.74251,797.07617
34,0.275,-801.00787,-211.77666,797.39355
35,0.283,-791.60956,-208.5296,799.34552
36,0.292,-784.63806,-212.83502,800.00732
37,0.3,-775.92975,-209.50066,800.16199
38,0.308,-764.56787,-211.69475,803.52252
39,0.317,-755.99585,-213.9498,804.21643
40,0.325,-747.44281,-213.81235,805.4035
41,0.333,-739.42285,-215.87396,806.2179
42,0.342,-729.8866,-218.82126,807.82996
43,0.35,-722.37695,-214.78635,810.14154
44,0.358,-715.9104,-216.62708,812.00592
45,0.367,-705.25165,-216.44661,813.68372
46,0.375,-695.8717,-217.53299,815.75403
47,0.383,-687.09229,-218.75763,815.6004
48,0.392,-677.95593,-215.48892,818.59076
49,0.4,-669.92133,-220.60136,819.38452
50,0.408,-659.59357,-219.6763,820.12024
51,0.417,-652.8642,-219.51425,819.42542
52,0.425,-642.44824,-218.48759,820.81036
53,0.433,-632.0047,-216.01949,821.06494
54,0.442,-623.56653,-216.7765,822.89166
55,0.45,-615.59619,-218.02382,822.6673
56,0.458,-604.7215,-216.33752,822.9989
57,0.467,-596.81244,-219.46812,823.63354
58,0.475,-587.49469,-218.33434,823.27081
59,0.483,-578.02747,-216.42526,823.7323
60,0.492,-569.74719,-217.69307,825.6889
61,0.5,-560.43903,-217.19009,825.9837
62,0.508,-553.84875,-215.08311,825.45276
63,0.517,-541.31165,-212.50949,829.79022
64,0.525,-532.56787,-216.42261,830.83612
65,0.533,-523.11816,-216.13881,831.85004
66,0.542,-514.38422,-215.76199,832.35461
67,0.55,-505.95859,-214.9641,833.42303
68,0.558,-495.61179,-212.99553,835.73004
69,0.567,-486.72238,-211.64674,836.79041
70,0.575,-478.46893,-209.87617,836.25446
71,0.583,-469.82303,-208.72783,836.76404
72,0.592,-461.76602,-206.91843,838.24908
73,0.6,-454.2377,-206.10725,839.27917
74,0.608,-445.6781,-206.19731,839.85651
75,0.617,-436.52216,-203.46074,840.76514
76,0.625,-428.02872,-202.3978,841.73151
77,0.633,-420.0318,-201.47081,841.99286
78,0.642,-411.5267,-200.58672,842.98273
79,0.65,-403.98355,-199.1806,843.98749
80,0.658,-395.40372,-198.25925,844.87213
81,0.667,-388.14569,-198.26453,845.26477
82,0.675,-380.14951,-195.11606,845.94659
83,0.683,-370.72726,-195.40594,848.78796
84,0.692,-362.12442,-193.17177,850.29065
85,0.7,-355.34543,-190.08789,849.87061
86,0.708,-348.13519,-191.58945,850.9068
87,0.717,-341.41797,-189.11569,851.56805
88,0.725,-334.65762,-187.37759,851.65936
89,0.733,-327.60818,-186.35818,851.35938
90,0.742,-320.09094,-185.12924,853.17444
91,0.75,-313.0936,-183.48831,852.3858
92,0.758,-306.18692,-182.90562,853.28931
93,0.767,-300.43826,-181.99773,853.16388
94,0.775,-292.45648,-181.1685,854.75403
95,0.783,-285.90274,-177.59267,854.2243
96,0.792,-279.69308,-178.27817,854.85083
97,0.8,-273.16885,-176.74478,854.71545
98,0.808,-267.23392,-177.28571,854.77765
99,0.817,-259.77795,-175.22633,855.79803
100,0.825,-252.98172,-174.97218,855.01855
101,0.833,-247.62239,-172.85588,856.10986
102,0.842,-241.09244,-171.77609,856.13477
103,0.85,-233.29051,-172.77193,856.16779
104,0.858,-228.54727,-172.71196,857.10889
105,0.867,-223.28296,-171.57259,857.43555
106,0.875,-219.5643,-170.05525,856.98828
107,0.883,-213.57692,-168.49846,857.47784
108,0.892,-208.41737,-168.31979,859.20221
109,0.9,-202.66035,-168.3587,860.41064
110,0.908,-198.04395,-168.80763,861.30212
111,0.917,-194.25198,-166.0939,860.75989
112,0.925,-189.7545,-166.34924,861.39362
113,0.933,-184.42136,-164.66841,862.53668
114,0.942,-180.40598,-165.13011,862.91406
115,0.95,-175.85928,-165.47678,863.10486
116,0.958,-170.45001,-164.26581,863.68689
117,0.967,-166.10931,-165.90094,863.38641
118,0.975,-161.26653,-163.20651,862.90692
119,0.983,-156.62509,-165.06023,863.3067
120,0.992,-152.58968,-163.64455,862.65912
121,1,-149.30463,-162.88495,862.57654
122,1.008,-144.97687,-164.0482,862.36536
123,1.017,-140.70949,-161.90746,861.13568
124,1.025,-136.76825,-163.8166,861.28522
125,1.033,-133.81721,-162.75809,860.47375
126,1.042,-129.52512,-160.58638,859.88495
127,1.05,-126.93372,-162.18874,859.51923
128,1.058,-123.37663,-160.98375,858.03796
129,1.067,-119.63483,-159.85864,858.07458
130,1.075,-117.29071,-160.92148,857.15796
131,1.083,-114.61013,-160.29185,856.16431
132,1.092,-110.43929,-160.63528,854.21979
133,1.1,-107.6071,-159.73576,853.00366
134,1.108,-105.12768,-159.48262,852.45837
135,1.117,-101.96115,-160.2088,852.00519
136,1.125,-98.9067,-158.60167,851.14063
137,1.133,-96.43689,-160.41907,849.24225
138,1.142,-94.04916,-159.43993,848.29761
139,1.15,-90.66273,-158.85513,847.49579
140,1.158,-88.57748,-158.53845,846.63861
141,1.167,-84.97684,-158.57954,845.47321
142,1.175,-83.7056,-159.14125,843.91864
143,1.183,-79.21259,-159.45499,844.39825
144,1.192,-77.99098,-160.83147,845.10492
145,1.2,-73.33797,-158.78247,841.11652
146,1.208,-71.02127,-160.72653,841.74188
147,1.217,-67.71517,-161.01479,840.86682
148,1.225,-64.35847,-161.03058,839.49835
149,1.233,-63.16566,-159.25539,835.82703
150,1.242,-59.67869,-161.34781,836.42511
151,1.25,-55.09443,-160.53722,836.3844
152,1.258,-53.50436,-157.3096,833.46307
153,1.267,-49.84393,-162.11305,833.68933
154,1.275,-46.06623,-162.40123,833.19806
155,1.283,-41.69955,-160.75645,831.59259
156,1.292,-38.11384,-162.34004,830.74652
157,1.3,-34.96196,-161.96445,828.9823
158,1.308,-29.89964,-161.8459,827.94275
159,1.317,-26.79185,-162.75154,826.25128
160,1.325,-22.22701,-163.23615,826.51508
161,1.333,-17.31874,-163.76176,825.35651
162,1.342,-13.88898,-165.32959,825.31012
163,1.35,-8.0303,-165.67064,823.81226
164,1.358,-2.6879,-166.05099,824.03674
165,1.367,0.97687,-168.20094,822.17932
166,1.375,6.62572,-166.32379,820.81036
167,1.383,10.86861,-167.78596,820.22314
168,1.392,16.35988,-169.17995,820.13428
169,1.4,22.58182,-168.76624,818.88049
170,1.408,27.53378,-170.55145,817.94373
171,1.417,34.54158,-171.19553,816.25623
172,1.425,40.51785,-170.72501,815.96503
173,1.433,45.34518,-173.76262,815.19037
174,1.442,52.80045,-173.6059,814.02686
175,1.45,58.57271,-175.14464,813.66351
176,1.458,64.57533,-174.73985,812.56519
177,1.467,71.90372,-178.2709,812.02252
178,1.475,77.1337,-176.95775,811.63831
179,1.483,84.38703,-180.44493,810.99982
180,1.492,91.92297,-180.89677,810.91687
181,1.5,98.21729,-183.34886,811.61365
182,1.508,105.2091,-182.71201,810.31989
183,1.517,113.43835,-183.49699,811.83563
184,1.525,119.55698,-184.42513,811.88062
185,1.533,128.28813,-185.33377,813.28955
186,1.542,135.26103,-185.99751,813.7312
187,1.55,143.04663,-187.47189,815.10046
188,1.558,151.15407,-188.59364,816.53564
189,1.567,157.26723,-189.951,817.77319
190,1.575,166.04659,-190.23119,819.1377
191,1.583,174.01904,-191.3705,820.34143
192,1.592,182.52356,-192.8367,822.57874
193,1.6,190.19411,-193.72369,822.90521
194,1.608,199.18185,-193.74687,824.995
195,1.617,207.32295,-194.01903,825.52594
196,1.625,215.01877,-195.80219,827.1615
197,1.633,223.72597,-197.78105,828.68201
198,1.642,231.82491,-198.49846,829.61768
199,1.65,240.12437,-197.70914,830.19965
200,1.658,249.35431,-198.52483,830.75024
201,1.667,257.67725,-200.03738,831.7713
202,1.675,265.57599,-201.28752,832.73755
203,1.683,274.8898,-200.39351,833.97314
204,1.692,283.39755,-200.84477,834.70294
205,1.7,292.17679,-201.75145,835.25305
206,1.708,301.0787,-200.53934,835.37445
207,1.717,308.95901,-201.00182,837.20996
208,1.725,318.54617,-201.13576,837.72784
209,1.733,327.78925,-201.73044,838.2663
210,1.742,335.90768,-200.80307,840.22729
211,1.75,344.79245,-200.03078,841.88989
212,1.758,354.39377,-200.34628,841.73895
213,1.767,362.39706,-199.61116,843.21716
214,1.775,370.92575,-199.36156,845.12994
215,1.783,380.10092,-199.8356,846.17743
216,1.792,387.65918,-198.18575,847.93811
