Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
79,0.65,-520.84766,7.05503,1624.08032,-396.7049,18.43896,1525.06885
80,0.658,-513.53265,7.23642,1624.7478,-392.34357,15.45642,1523.11304
81,0.667,-507.77872,6.02293,1624.4812,-385.9798,19.37072,1523.39636
82,0.675,-500.67044,6.64894,1624.4325,-381.00781,15.50845,1522.01038
83,0.683,-493.53714,6.73934,1623.73193,-372.53598,17.63911,1521.15613
84,0.692,-489.85794,8.71102,1623.20691,-365.96613,21.03624,1521.04602
85,0.7,-483.19211,9.48416,1622.68542,-361.14389,20.1944,1519.81445
86,0.708,-476.16174,9.60156,1621.37317,-352.54889,21.1296,1520.68835
87,0.717,-468.92438,11.51661,1620.47571,-348.96988,19.76869,1520.27917
88,0.725,-463.37189,12.48334,1621.31067,-340.9014,22.93314,1519.55554
89,0.733,-457.99496,13.59033,1619.25195,-334.69641,24.36178,1519.55505
90,0.742,-450.93991,14.96933,1619.65332,-329.97305,22.88986,1516.9165
91,0.75,-443.68842,15.59783,1619.61426,-324.04764,26.5036,1516.13647
92,0.758,-437.30118,15.11966,1618.41736,-318.47272,26.53243,1515.49011
93,0.767,-432.66718,17.68421,1618.39661,-310.40912,24.0338,1514.36597
94,0.775,-425.23056,19.22838,1617.28357,-305.12329,29.24691,1514.07178
95,0.783,-418.65744,19.69814,1617.0144,-299.21725,25.23249,1512.14868
96,0.792,-414.61343,22.56488,1617.573,-292.33472,29.49517,1513.6261
97,0.8,-407.13892,23.96424,1615.88159,-285.66388,33.46156,1512.53589
98,0.808,-399.16553,24.24192,1614.80078,-278.77524,35.22709,1513.05505
99,0.817,-393.3273,24.14466,1614.63159,-274.83469,33.5747,1512.74951
100,0.825,-389.32562,28.18126,1615.31531,-268.41229,36.96231,1512.35461
101,0.833,-383.13403,30.73327,1615.67712,-262.25412,40.76469,1512.22815
102,0.842,-374.74173,30.75473,1615.39099,-257.40692,36.68047,1511.70776
103,0.85,-370.0567,34.04623,1616.40173,-249.21111,40.24635,1513.3042
104,0.858,-361.96249,35.0966,1617.98718,-242.07663,43.37357,1514.12244
105,0.867,-356.9032,37.56048,1619.56165,-234.88306,45.9915,1513.65784
106,0.875,-350.68771,38.69233,1619.64429,-230.18323,44.44428,1514.8728
107,0.883,-343.60318,40.3046,1621.02612,-224.58548,48.03204,1517.099
108,0.892,-334.55423,41.77556,1622.56262,-217.64801,51.45173,1517.96094
109,0.9,-329.70538,45.2911,1622.65308,-209.56676,54.29558,1521.02454
110,0.908,-323.37994,46.86188,1625.02905,-203.7263,53.37305,1520.31348
111,0.917,-316.37082,48.57547,1625.229,-199.02414,54.30575,1520.08948
112,0.925,-311.01749,51.96476,1625.66919,-192.79309,58.91741,1522.06677
113,0.933,-303.50677,52.76737,1626.66248,-186.19141,62.62293,1523.43701
114,0.942,-296.31485,52.73869,1627.56482,-179.44608,60.55904,1522.91272
115,0.95,-291.13712,56.67661,1627.96802,-173.53496,61.82439,1523.16504
116,0.958,-283.18222,57.43966,1628.76611,-167.59708,65.55842,1525.26868
117,0.967,-276.77649,59.82158,1630.7334,-158.9877,66.077,1525.18127
118,0.975,-273.67767,60.71236,1630.37573,-154.43738,67.41305,1525.16113
119,0.983,-266.2616,61.56788,1630.85645,-148.64902,68.71462,1526.49695
120,0.992,-259.76169,62.47378,1631.42505,-140.68146,69.19272,1527.57166
121,1,-254.82684,64.7589,1631.74243,-135.46123,70.31625,1527.25256
122,1.008,-248.54573,66.52574,1631.48511,-130.31746,71.36644,1527.41772
123,1.017,-242.25053,67.40184,1631.85596,-121.73373,71.74447,1526.90369
124,1.025,-235.70061,68.64156,1632.71777,-116.02531,72.62885,1528.21277
125,1.033,-229.65984,69.11818,1632.20569,-110.85644,73.42685,1528.27612
126,1.042,-220.51947,69.40982,1632.55774,-102.99113,74.28488,1527.86243
127,1.05,-215.35133,69.74166,1632.73816,-98.87417,75.83304,1527.5531
128,1.058,-208.83855,70.35018,1633.64124,-92.44239,76.92461,1528.56116
129,1.067,-203.89659,72.04393,1633.66785,-84.84073,77.10719,1527.64026
130,1.075,-195.77499,70.94716,1633.21765,-79.8334,79.08356,1528.59265
131,1.083,-190.50676,72.79041,1634.58643,-74.64548,79.4523,1527.40015
132,1.092,-184.92393,76.0298,1634.88794,-68.11935,78.91508,1526.0238
133,1.1,-178.04156,74.70572,1634.55188,-63.48825,79.25625,1525.53296
134,1.108,-172.76703,76.71629,1634.64441,-56.5685,81.33961,1527.54333
135,1.117,-166.7227,76.39294,1634.56873,-50.32932,79.88464,1526.21606
136,1.125,-160.0558,76.29221,1636.47571,-45.00928,81.50252,1526.60144
137,1.133,-154.18457,78.10614,1634.79407,-38.79994,80.06117,1526.0907
138,1.142,-147.90875,76.48161,1634.92615,-33.08702,82.74028,1525.78833
139,1.15,-142.09033,77.5103,1635.86475,-27.02042,81.97229,1525.39636
140,1.158,-136.46387,77.55603,1635.21545,-21.28054,82.33962,1523.97693
141,1.167,-129.69037,77.83719,1635.31848,-16.74496,83.58744,1525.52832
142,1.175,-124.77491,78.1895,1635.63367,-9.7045,81.71063,1525.73621
143,1.183,-119.53222,79.0121,1635.40259,-5.10798,82.12177,1525.1521
144,1.192,-112.4971,76.88263,1635.62732,2.66836,83.34727,1525.08899
145,1.2,-106.57423,77.85634,1634.85388,7.65983,83.13194,1524.172
146,1.208,-101.21368,77.46382,1634.05249,13.38294,82.93805,1525.1217
147,1.217,-95.22115,78.64533,1634.52295,20.76012,85.4678,1524.4519
148,1.225,-89.83924,78.40529,1634.52881,23.97131,84.28084,1524.19226
149,1.233,-84.25747,78.30817,1633.578,32.30182,83.18626,1523.62683
150,1.242,-76.97497,77.06094,1633.2605,36.81829,83.8646,1523.88867
151,1.25,-71.82974,78.26982,1632.95569,42.84204,84.31255,1522.69275
152,1.258,-65.54485,78.93697,1631.83765,48.05299,84.44933,1522.38196
153,1.267,-60.08364,78.87337,1631.62817,54.9044,82.29234,1522.60632
154,1.275,-52.77208,78.32387,1630.3512,61.6632,84.1768,1520.7666
155,1.283,-47.13106,78.21889,1630.15527,66.37832,81.28329,1520.13721
156,1.292,-41.37232,78.61093,1630.79846,73.05822,83.71529,1519.0061
157,1.3,-36.31494,77.22327,1630.005,78.52324,84.51018,1520.52917
158,1.308,-28.51775,77.62404,1628.13879,84.4324,82.50337,1516.74512
159,1.317,-23.30802,77.99547,1628.68896,90.60445,82.44203,1517.60046
160,1.325,-17.15038,75.84911,1628.07642,95.43474,82.99788,1516.89917
161,1.333,-11.23824,78.48117,1627.07629,102.1266,81.41444,1515.84424
162,1.342,-4.87492,74.49568,1625.64075,108.18248,83.49671,1515.00061
163,1.35,0.21208,73.64948,1625.43738,115.54802,80.77723,1513.30078
164,1.358,6.36051,74.47726,1624.37817,119.75674,81.7158,1513.45422
165,1.367,13.41512,73.95723,1624.83728,127.43891,79.31341,1512.98181
166,1.375,19.19012,73.02596,1623.59424,131.46686,80.52259,1510.66443
167,1.383,25.33138,74.95257,1623.1394,137.95866,79.29128,1510.5802
