Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
1,0,-976.52142,-142.95325,833.26178
2,0.008,-974.94824,-141.00858,831.94214
3,0.017,-970.32007,-142.36366,830.35626
4,0.025,-969.27838,-141.88765,829.74127
5,0.033,-958.3819,-140.9958,827.15027
6,0.042,-959.62207,-141.22511,827.41455
7,0.05,-957.33356,-141.80751,827.14136
8,0.058,-954.62469,-142.23563,826.54584
9,0.067,-949.383,-143.32117,823.35669
10,0.075,-944.91681,-144.19093,821.55347
11,0.083,-941.41797,-143.40849,821.57098
12,0.092,-934.29871,-146.17732,821.99805
13,0.1,-933.35089,-146.67947,820.24359
14,0.108,-925.72534,-144.85757,819.67358
15,0.117,-920.9826,-146.70004,818.73657
16,0.125,-916.24695,-148.05673,816.00378
17,0.133,-910.31079,-148.30508,817.48712
18,0.142,-904.43542,-147.93039,817.73407
19,0.15,-898.23969,-150.30948,817.05048
20,0.158,-892.88879,-152.85791,816.83911
21,0.167,-884.69257,-150.47769,816.30408
22,0.175,-878.41754,-153.67813,813.3468
23,0.183,-874.89386,-154.7395,811.55469
24,0.192,-867.14478,-152.90753,810.70178
25,0.2,-861.51782,-155.91455,807.92737
26,0.208,-853.25977,-153.56332,808.35364
27,0.217,-845.76703,-156.53156,809.86383
28,0.225,-837.22815,-155.13356,808.54681
29,0.233,-829.14655,-158.14616,808.52454
30,0.242,-823.6701,-158.32462,808.19598
31,0.25,-814.54688,-158.80501,808.24237
32,0.258,-808.32568,-161.68663,806.11786
33,0.267,-799.71674,-159.81453,808.1673
34,0.275,-794.22443,-161.12703,807.3205
35,0.283,-782.31592,-162.55701,808.83057
36,0.292,-775.3573,-164.04797,808.69104
37,0.3,-765.74182,-162.83221,811.37054
38,0.308,-758.51556,-165.74194,811.80707
39,0.317,-748.63556,-164.57584,814.19421
40,0.325,-737.92694,-166.37117,814.71106
41,0.333,-731.98596,-165.94872,816.85248
42,0.342,-722.46112,-168.07814,819.48639
43,0.35,-711.95709,-167.5685,820.71179
44,0.358,-704.01349,-168.74185,823.3255
45,0.367,-695.48859,-169.39476,824.82629
46,0.375,-684.21246,-169.23732,826.63098
47,0.383,-678.02448,-170.84692,828.31213
48,0.392,-668.48724,-170.56004,828.46356
49,0.4,-659.44342,-172.51955,829.927
50,0.408,-650.28094,-172.29915,831.44989
51,0.417,-639.17804,-172.13652,831.05988
52,0.425,-631.7215,-172.31557,832.86456
53,0.433,-621.26715,-172.08791,832.04681
54,0.442,-614.52869,-172.69061,833.89722
55,0.45,-604.56396,-173.2843,834.58716
56,0.458,-597.93549,-171.63466,834.88525
57,0.467,-586.6449,-172.71051,836.99622
58,0.475,-581.41541,-170.25264,837.09473
59,0.483,-569.55261,-171.87057,837.65643
60,0.492,-562.66138,-169.47182,838.33881
61,0.5,-553.46606,-171.37837,840.23901
62,0.508,-544.50525,-168.48453,839.65808
63,0.517,-533.80005,-169.06186,841.26312
64,0.525,-526.78424,-168.5965,842.44067
65,0.533,-518.07855,-169.04547,842.70044
66,0.542,-508.41275,-166.56709,845.40399
67,0.55,-500.84335,-165.74962,845.50488
68,0.558,-493.14902,-163.96504,848.14575
69,0.567,-482.50546,-163.96545,849.46088
70,0.575,-476.82919,-162.36299,849.06055
71,0.583,-468.44611,-158.95337,848.98584
72,0.592,-457.01901,-160.24477,851.35919
73,0.6,-448.74619,-160.26678,853.12195
74,0.608,-442.70776,-158.67265,853.69971
75,0.617,-433.22614,-156.99353,855.3642
76,0.625,-426.01746,-154.56783,854.4281
77,0.633,-417.3089,-153.8204,856.78961
78,0.642,-408.95895,-151.67032,856.71991
79,0.65,-398.19897,-152.96016,860.89563
80,0.658,-394.17636,-149.68643,860.22052
81,0.667,-384.26608,-148.95491,861.3075
82,0.675,-378.19141,-146.92232,862.0257
83,0.683,-372.42413,-146.22342,861.91626
84,0.692,-363.26651,-144.69965,862.87585
85,0.7,-353.61087,-143.61264,863.92908
86,0.708,-348.99554,-141.81937,863.46332
87,0.717,-340.94791,-143.24226,864.92218
88,0.725,-335.7597,-140.10829,865.44629
89,0.733,-327.97287,-136.76706,865.37378
90,0.742,-320.54852,-137.90359,866.49347
91,0.75,-314.38483,-137.94572,867.02527
92,0.758,-306.31656,-135.03062,869.31909
93,0.767,-298.27118,-133.2142,869.82507
94,0.775,-294.57239,-132.1223,868.86481
95,0.783,-284.5704,-133.63106,868.67126
96,0.792,-277.90955,-130.14194,868.82532
97,0.8,-272.3566,-130.31248,869.48737
98,0.808,-266.72083,-130.75183,868.48553
99,0.817,-258.62561,-126.67013,870.00989
100,0.825,-254.55293,-126.60597,869.66565
101,0.833,-247.22351,-127.29789,869.7298
102,0.842,-240.94879,-124.6745,869.29102
103,0.85,-236.19914,-125.43301,869.56549
104,0.858,-229.70445,-123.46564,869.9967
105,0.867,-223.42828,-123.88413,872.1095
106,0.875,-220.46181,-120.71899,870.67834
107,0.883,-214.54054,-122.25769,871.37366
108,0.892,-209.36746,-120.4415,872.854
109,0.9,-204.1517,-119.43723,872.19409
110,0.908,-199.77921,-120.60911,872.90393
111,0.917,-192.61603,-118.12165,872.59723
112,0.925,-187.62231,-118.60605,873.51489
113,0.933,-183.25336,-119.38399,875.2652
114,0.942,-177.91557,-118.03004,875.55182
115,0.95,-173.85258,-115.4269,875.33282
116,0.958,-169.48837,-115.47988,875.08289
117,0.967,-164.06345,-116.78768,876.40155
118,0.975,-160.52644,-115.85663,875.84131
119,0.983,-156.14133,-115.30812,877.09137
120,0.992,-151.71869,-115.34511,875.52966
121,1,-145.79895,-116.17197,875.64545
122,1.008,-142.91841,-114.44864,875.01715
123,1.017,-139.51511,-114.5607,874.68774
124,1.025,-134.12823,-115.83914,874.52863
125,1.033,-129.98976,-115.08935,872.37634
126,1.042,-128.25583,-112.61474,871.07123
127,1.05,-123.97866,-112.88158,870.98535
128,1.058,-121.15824,-114.4332,870.01447
129,1.067,-117.33141,-113.38466,868.61255
130,1.075,-113.22545,-112.43583,867.95691
131,1.083,-112.16742,-112.64832,867.5564
132,1.092,-107.12671,-112.99223,865.65802
