Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
1,0,-1005.97235,-35.91407,1319.03381
2,0.008,-1001.38495,-34.14131,1318.62036
3,0.017,-995.01794,-35.84053,1318.39392
4,0.025,-988.69476,-35.32957,1318.34998
5,0.033,-981.66931,-34.6677,1318.63843
6,0.042,-975.09845,-35.68452,1317.52869
7,0.05,-968.61859,-33.83791,1316.28149
8,0.058,-963.90167,-34.87029,1316.1814
9,0.067,-956.87769,-35.14116,1315.79651
10,0.075,-951.68616,-34.10869,1315.69409
11,0.083,-944.76752,-34.47002,1315.27307
12,0.092,-937.35156,-35.42603,1313.90759
13,0.1,-930.94824,-35.1227,1313.29395
14,0.108,-924.81079,-35.22567,1312.40991
15,0.117,-918.14557,-36.02483,1311.49695
16,0.125,-910.95117,-34.99625,1310.55835
17,0.133,-905.82916,-35.55577,1309.63318
18,0.142,-898.88,-36.67649,1308.75256
19,0.15,-892.07147,-38.8447,1307.57605
20,0.158,-885.23206,-38.05289,1307.33325
21,0.167,-879.35022,-39.71237,1306.27734
22,0.175,-871.77496,-39.87334,1304.88818
23,0.183,-865.46991,-40.41665,1304.19641
24,0.192,-859.71167,-42.57909,1304.06433
25,0.2,-851.85718,-41.70024,1303.14417
26,0.208,-846.96021,-42.95355,1302.44104
27,0.217,-839.19977,-43.47507,1301.66455
28,0.225,-831.93964,-45.69171,1300.52441
29,0.233,-825.78918,-47.11042,1301.1499
30,0.242,-819.41058,-49.95822,1301.51062
31,0.25,-812.56787,-48.49955,1301.1554
32,0.258,-805.28436,-51.76517,1300.61169
33,0.267,-799.90747,-52.56493,1301.55066
34,0.275,-791.8327,-51.35292,1303.05884
35,0.283,-786.88043,-54.53729,1304.11023
36,0.292,-780.49219,-55.25034,1304.65356
37,0.3,-772.91187,-57.3116,1305.33057
38,0.308,-766.81433,-56.21072,1307.97925
39,0.317,-759.99225,-57.49855,1309.13452
40,0.325,-752.3844,-59.0822,1309.39917
41,0.333,-746.68262,-59.1042,1310.896
42,0.342,-738.70477,-58.44348,1312.67798
43,0.35,-732.74707,-61.19098,1313.00403
44,0.358,-726.50092,-62.3903,1313.27075
45,0.367,-719.32825,-62.1578,1314.90454
46,0.375,-712.45081,-63.34136,1315.47144
47,0.383,-704.47168,-62.36882,1316.26624
48,0.392,-698.11633,-63.76365,1316.91736
49,0.4,-690.89105,-64.16431,1317.05164
50,0.408,-685.39844,-63.6048,1316.96533
51,0.417,-678.52679,-63.09877,1316.18579
52,0.425,-672.64697,-64.60615,1317.40979
53,0.433,-664.54926,-63.03498,1317.22803
54,0.442,-658.88251,-63.1363,1316.99768
55,0.45,-650.4007,-63.36519,1317.7522
56,0.458,-645.56293,-64.26655,1317.46863
57,0.467,-639.11304,-63.14423,1318.01587
58,0.475,-633.05475,-63.38504,1319.46558
59,0.483,-626.69348,-65.33248,1319.45898
60,0.492,-619.92053,-64.356,1319.86243
61,0.5,-614.21387,-64.65833,1319.31689
62,0.508,-607.52374,-63.97893,1320.41565
63,0.517,-602.34662,-65.05813,1321.17981
64,0.525,-595.97522,-64.0526,1321.67114
65,0.533,-590.0556,-63.62991,1321.76672
66,0.542,-583.61084,-64.2597,1320.85681
67,0.55,-576.72638,-64.78644,1321.17493
68,0.558,-571.10657,-63.89236,1320.53247
69,0.567,-565.89844,-64.13117,1320.78625
70,0.575,-559.90173,-64.88182,1321.13037
71,0.583,-552.24225,-64.01887,1320.95593
72,0.592,-546.92139,-64.75486,1320.49219
73,0.6,-541.25281,-63.47956,1320.63879
74,0.608,-535.87854,-63.42991,1320.02087
75,0.617,-529.25385,-64.01092,1319.3009
76,0.625,-524.21851,-63.82594,1319.18164
77,0.633,-517.34381,-61.78356,1318.0553
78,0.642,-512.66052,-61.86271,1317.65466
79,0.65,-505.60077,-61.59447,1317.14148
80,0.658,-500.06058,-61.75351,1317.55627
81,0.667,-494.11353,-61.06628,1316.73132
82,0.675,-487.7388,-59.79922,1317.17603
83,0.683,-481.33118,-59.22543,1317.30884
84,0.692,-475.17551,-60.62882,1316.35315
85,0.7,-469.54904,-60.11757,1315.91003
86,0.708,-462.58478,-57.72847,1314.87524
87,0.717,-457.65952,-57.67086,1314.45959
88,0.725,-451.20212,-55.82652,1314.26038
89,0.733,-444.84644,-57.1604,1312.98914
90,0.742,-438.85992,-55.11288,1312.36426
91,0.75,-432.33032,-54.22644,1311.78882
92,0.758,-427.13574,-53.32096,1311.55139
93,0.767,-420.67386,-51.5657,1311.38672
94,0.775,-415.41013,-49.52591,1311.85559
95,0.783,-409.03476,-48.77661,1311.74927
96,0.792,-402.65698,-48.19333,1310.81262
97,0.8,-396.84628,-45.60011,1310.07544
98,0.808,-391.67255,-45.58063,1310.30066
99,0.817,-385.46033,-43.01527,1309.69507
100,0.825,-378.77231,-41.80957,1309.66321
101,0.833,-372.81879,-40.21658,1308.93494
102,0.842,-366.84024,-39.3755,1309.63171
103,0.85,-360.01959,-36.499,1311.18042
104,0.858,-354.17868,-36.07254,1311.15576
105,0.867,-347.81982,-34.1095,1312.1438
106,0.875,-340.02512,-32.27253,1314.58862
107,0.883,-333.98343,-31.41642,1315.18665
