Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
1,0,-1005.06866,101.67989,1332.52039,-1074.41931,-159.33423,1320.78528,-1051.82483,223.6601,1347.09521
2,0.008,-997.91217,102.09844,1331.8811,-1067.85156,-157.48021,1320.16882,-1044.98938,224.08212,1346.17212
3,0.017,-991.06281,103.15868,1331.37634,-1061.93286,-157.83154,1318.57422,-1038.4679,224.8607,1346.06567
4,0.025,-984.46759,103.17308,1330.80652,-1057.32654,-158.03947,1318.63123,-1032.76587,225.04414,1345.61511
5,0.033,-979.75818,103.98454,1329.87573,-1051.35022,-159.24905,1317.63562,-1027.24951,224.97993,1345.22717
6,0.042,-974.10345,105.64045,1329.32483,-1044.68835,-158.46489,1317.39282,-1021.6463,225.59177,1344.79675
7,0.05,-968.49524,104.12807,1328.08655,-1040.14331,-157.90726,1317.45081,-1015.03595,225.63802,1344.14697
8,0.058,-960.58313,104.23944,1327.8667,-1032.76306,-158.36168,1316.9624,-1008.59583,225.07693,1344.70923
9,0.067,-954.82422,103.9998,1328.75647,-1027.20361,-157.77931,1315.35303,-1001.65625,225.67659,1343.96301
10,0.075,-947.78436,104.2048,1328.62708,-1019.39508,-157.50127,1316.30994,-995.62311,225.5137,1343.24219
11,0.083,-940.51202,103.19716,1327.10254,-1014.70404,-157.39722,1316.18286,-988.87604,225.48766,1342.84277
12,0.092,-933.30377,103.8107,1327.01575,-1007.01929,-157.20401,1314.39014,-982.33118,225.06119,1341.75464
13,0.1,-926.93939,103.85094,1326.37866,-1001.6452,-156.72446,1313.19397,-976.17828,224.76434,1341.73462
14,0.108,-921.39191,102.71459,1326.03357,-994.35364,-157.75597,1312.28406,-969.28198,224.64685,1341.09094
15,0.117,-914.35144,103.86828,1325.49487,-988.07733,-158.14665,1311.70459,-963.13525,224.83524,1340.00098
16,0.125,-907.62946,101.54905,1324.00647,-981.22919,-157.64664,1311.51636,-956.55353,224.31412,1338.90601
17,0.133,-902.43994,103.13225,1323.33728,-975.24255,-157.89836,1309.95142,-950.5188,223.66312,1338.89172
18,0.142,-895.75043,103.1756,1322.7666,-968.76202,-157.65993,1308.68188,-944.02014,223.75967,1337.61047
19,0.15,-890.23102,101.17541,1321.89709,-961.8324,-158.48611,1307.99731,-936.95398,223.37051,1336.76086
20,0.158,-883.841,100.76202,1321.79578,-955.93817,-158.64536,1307.09595,-930.57336,222.15506,1335.70068
21,0.167,-877.24261,99.6241,1320.23315,-948.01068,-160.79871,1306.48682,-924.45453,221.1571,1334.64563
22,0.175,-870.71625,100.49345,1319.78735,-942.73529,-162.4904,1305.89941,-918.20038,220.54187,1333.22546
23,0.183,-863.60419,98.27115,1319.06396,-935.68512,-162.41483,1304.76978,-912.35754,219.74628,1332.85107
24,0.192,-857.33453,98.25726,1317.42078,-929.2356,-162.29669,1303.7959,-906.40723,219.21152,1331.87061
25,0.2,-850.24622,98.59591,1315.89172,-922.62585,-163.26077,1302.60486,-900.15662,218.97351,1331.29565
26,0.208,-843.47101,96.08873,1315.37512,-915.8858,-164.07336,1301.63745,-893.60583,217.72165,1329.87744
27,0.217,-837.73151,95.32394,1314.18542,-910.45496,-164.89183,1300.84875,-886.242,216.34245,1328.81079
28,0.225,-830.74658,94.18784,1313.81543,-904.03992,-167.61014,1299.6925,-879.06445,214.77679,1328.91528
29,0.233,-823.87549,92.62286,1313.8479,-898.11536,-167.74091,1299.26526,-872.84912,214.01765,1327.55396
30,0.242,-817.57935,92.22607,1313.87292,-891.01758,-168.36739,1298.83923,-865.90375,213.60237,1328.04114
31,0.25,-809.68878,91.22655,1315.03442,-885.10248,-169.91895,1298.41431,-858.92999,211.77528,1327.75342
32,0.258,-802.59711,89.11956,1315.47522,-878.45502,-171.424,1299.07849,-851.58032,211.99728,1327.73254
33,0.267,-795.18872,89.8344,1315.3468,-872.1557,-171.3157,1299.56458,-844.70374,210.38873,1328.71436
34,0.275,-787.61572,87.26513,1315.26282,-866.43231,-173.71863,1300.27917,-836.61578,209.73763,1329.53625
35,0.283,-781.04407,87.44624,1318.48291,-860.69312,-174.36475,1300.73303,-828.77264,208.36946,1330.67615
36,0.292,-772.92865,85.01041,1319.13611,-853.92224,-174.27983,1301.76636,-820.94708,207.80199,1331.54297
37,0.3,-769.13843,83.25903,1319.15369,-847.47113,-174.89983,1303.26868,-812.66315,206.67101,1333.51599
38,0.308,-762.23389,82.93971,1322.03442,-841.84503,-176.88101,1304.60925,-805.83075,205.97687,1333.91858
39,0.317,-754.67322,82.13255,1322.55042,-835.06989,-176.0455,1305.6001,-797.28339,204.40166,1335.16919
40,0.325,-746.55981,80.59001,1322.79871,-829.2652,-176.99397,1307.35645,-790.51367,202.93042,1336.59973
41,0.333,-740.29114,77.77312,1323.60254,-822.92206,-177.48749,1308.51086,-783.32159,203.00635,1337.49316
42,0.342,-732.73199,78.51588,1325.87244,-814.31744,-178.26781,1308.98132,-777.99817,202.00162,1338.69507
43,0.35,-726.44836,78.51132,1327.12244,-808.15009,-179.91747,1309.36511,-771.74835,201.67499,1338.91321
44,0.358,-721.45575,77.57983,1327.05579,-800.60284,-180.07123,1310.96094,-764.64362,201.10358,1339.77637
45,0.367,-713.73053,76.97441,1327.83069,-794.11877,-179.91797,1311.78125,-759.37988,200.49484,1340.5863
46,0.375,-707.27094,77.44183,1329.10742,-786.83368,-182.05695,1312.06238,-752.86639,200.41176,1341.13684
47,0.383,-701.40259,77.01461,1329.63562,-778.65454,-182.36897,1312.51807,-748.17719,199.46194,1341.58765
48,0.392,-695.64691,75.47791,1329.70874,-772.12659,-183.04042,1312.69202,-741.83331,199.07906,1342.73962
49,0.4,-689.14618,75.76289,1329.46765,-764.15326,-183.25922,1314.04065,-736.09393,198.13226,1342.99133
50,0.408,-682.49902,76.09758,1329.63538,-756.55396,-183.62639,1314.12817,-730.28937,197.76961,1343.16516
51,0.417,-675.77606,75.51323,1329.31396,-748.84454,-183.25502,1314.5426,-724.67596,197.68758,1343.73267
52,0.425,-670.34845,75.26491,1331.82581,-741.56287,-184.91721,1315.14465,-719.61517,198.17192,1344.05481
53,0.433,-664.10583,75.60419,1331.1272,-733.776,-185.29114,1314.72046,-714.01849,196.80099,1344.38708
54,0.442,-658.23657,75.87511,1330.81104,-726.54456,-186.70473,1315.25769,-708.05646,196.33638,1345.4165
55,0.45,-652.68335,74.975,1331.28882,-719.77838,-188.40927,1315.09216,-702.50104,196.56335,1345.45081
56,0.458,-646.13055,74.14432,1331.59961,-713.03369,-186.30595,1315.13171,-698.30988,195.30048,1345.73401
57,0.467,-640.89032,73.647,1331.77026,-705.3446,-187.95633,1317.50586,-692.22308,196.05519,1345.96082
58,0.475,-634.52557,75.5964,1331.72083,-698.89478,-188.33276,1317.09656,-687.95984,196.20065,1346.99597
59,0.483,-631.45239,75.28605,1333.1062,-691.73822,-189.22063,1317.23267,-682.28174,195.16933,1348.42188
60,0.492,-622.62158,75.10269,1333.84802,-685.82513,-189.70845,1318.31018,-677.09943,194.92557,1348.82239
61,0.5,-617.88696,75.28644,1334.39172,-678.33942,-189.3502,1317.1814,-671.72064,194.03465,1347.77905
62,0.508,-612.78229,74.06755,1333.98694,-672.02856,-190.15866,1318.80945,-667.12543,194.43961,1348.01526
63,0.517,-605.95459,75.21327,1334.16675,-664.58948,-188.75491,1319.48547,-661.37817,193.45467,1348.19324
64,0.525,-600.53601,73.93016,1334.75549,-658.97479,-189.51686,1319.08618,-655.58948,192.59802,1348.59705
65,0.533,-594.91083,74.17008,1333.6991,-651.15332,-188.46774,1319.88574,-651.30975,192.7417,1349.03149
66,0.542,-590.42188,74.00572,1333.88293,-645.62238,-190.82967,1319.75671,-645.47021,192.7282,1348.74426
67,0.55,-585.17157,74.12132,1334.38696,-639.94214,-190.89516,1320.28235,-641.52234,192.24904,1348.5072
68,0.558,-578.42969,74.50518,1334.39148,-632.52228,-190.99051,1319.995,-636.22717,192.68054,1348.89954
69,0.567,-573.54144,74.02663,1334.15112,-626.66772,-191.98424,1319.64636,-629.61902,193.34885,1348.69165
70,0.575,-566.79016,74.20505,1333.26721,-619.25342,-190.50764,1319.64185,-625.46936,193.11836,1347.88489
71,0.583,-563.15967,73.9555,1334.10681,-613.33398,-191.8156,1319.79944,-619.23779,193.10513,1348.39404
72,0.592,-555.72864,76.39362,1333.68933,-605.57751,-190.18845,1319.01379,-613.54596,193.02391,1347.68494
73,0.6,-550.34772,74.21677,1333.49756,-600.36328,-190.49512,1320.22363,-607.50488,193.4855,1347.61194
74,0.608,-543.6004,75.07269,1332.78284,-594.23779,-190.3541,1320.02283,-602.81824,191.79446,1347.31519
75,0.617,-538.35059,75.35898,1333.11194,-588.15979,-191.7287,1319.87024,-597.62219,192.08946,1346.97095
76,0.625,-532.65009,75.36742,1332.06189,-579.76501,-190.43431,1318.33875,-592.17438,192.31779,1346.44763
77,0.633,-527.11053,76.07695,1332.33105,-577.21783,-190.24255,1318.92151,-585.00732,193.56889,1345.38757
78,0.642,-520.35468,76.23553,1332.06213,-569.8089,-188.49754,1317.29834,-580.1142,194.57138,1345.76245
79,0.65,-515.43848,76.09706,1331.29395,-567.43073,-189.75912,1318.37134,-574.13062,194.83624,1345.57361
80,0.658,-507.69254,76.93419,1330.81885,-557.68048,-188.26089,1316.19409,-568.08923,193.97882,1345.6311
81,0.667,-503.61783,76.39772,1330.43567,-553.16827,-188.07916,1316.07544,-561.59406,194.86821,1345.07117
82,0.675,-496.76834,78.24255,1330.10217,-545.02649,-186.98235,1314.74023,-555.30646,194.67361,1344.00769
83,0.683,-490.2905,79.50795,1329.96106,-541.91193,-188.39941,1316.65881,-549.46826,197.056,1343.32507
84,0.692,-484.47357,79.54598,1329.96704,-536.35358,-186.37869,1316.151,-542.38873,196.8537,1343.4762
85,0.7,-477.98541,80.46951,1328.57996,-531.10614,-187.11986,1316.1947,-536.45624,196.67233,1342.53406
86,0.708,-472.76202,80.62814,1328.36902,-523.48785,-185.58731,1315.20105,-530.24786,197.91599,1342.37463
87,0.717,-466.24982,81.41585,1327.55957,-517.31055,-184.63089,1315.99097,-523.97424,199.22189,1340.96094
88,0.725,-459.45621,83.2321,1327.40503,-510.81006,-182.56248,1315.09912,-517.74963,199.86409,1340.80481
89,0.733,-452.93558,82.7524,1327.02539,-504.80823,-181.97517,1314.00757,-510.81424,200.05528,1340.07288
