Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
50,0.408,-1345.93225,-196.1599,1245.34973,-1387.46497,-224.60829,1065.77673,-1413.28882,-146.90926,1065.65125
51,0.417,-1340.08105,-194.57413,1246.40918,-1381.82837,-222.66888,1068.05884,-1407.09204,-145.44759,1066.68359
52,0.425,-1335.57288,-192.99878,1248.26697,-1377.42419,-222.05112,1070.36975,-1401.98279,-143.48119,1067.61316
53,0.433,-1330.50085,-189.65855,1249.9646,-1372.26379,-220.77193,1072.2583,-1396.48816,-141.9794,1070.03821
54,0.442,-1325.26697,-188.47173,1251.8595,-1367.04175,-218.99925,1072.92261,-1390.57178,-140.11281,1071.66345
55,0.45,-1321.01563,-186.46887,1252.01758,-1363.92468,-216.3486,1074.68311,-1385.4801,-138.70267,1072.63306
56,0.458,-1316.71045,-185.72923,1254.55212,-1357.08557,-214.5103,1076.1438,-1380.39954,-136.32286,1074.01758
57,0.467,-1311.17432,-182.86256,1255.89697,-1353.09851,-213.16209,1077.00867,-1375.29846,-133.79353,1075.91052
58,0.475,-1306.4342,-181.94975,1256.66052,-1348.3512,-211.25557,1078.25549,-1369.90356,-132.33452,1076.36719
59,0.483,-1301.55029,-180.18169,1256.91614,-1344.00745,-208.9503,1079.87878,-1364.5271,-130.5143,1077.8866
60,0.492,-1296.55798,-178.07666,1258.13037,-1338.29456,-209.09502,1081.47693,-1359.52991,-128.88531,1078.3916
61,0.5,-1291.599,-176.93724,1260.29517,-1333.68311,-205.92899,1081.4303,-1353.62036,-127.00968,1079.08301
62,0.508,-1285.92273,-175.35559,1260.22876,-1329.52356,-204.6472,1082.33691,-1348.24097,-124.97346,1079.60583
63,0.517,-1281.49451,-174.28946,1260.43408,-1324.47656,-201.57455,1082.63379,-1343.54895,-123.56332,1080.20776
64,0.525,-1276.22742,-173.30258,1260.95203,-1318.57788,-202.26112,1083.04443,-1338.22937,-121.98605,1080.84753
65,0.533,-1271.2926,-171.9203,1261.3512,-1313.85828,-199.23518,1083.51685,-1333.72437,-120.09203,1081.41504
