Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z
1,0,-798.6828,-334.39474,1474.60986
2,0.008,-791.09344,-333.54047,1473.79211
3,0.017,-783.74597,-331.47467,1474.08533
4,0.025,-776.50122,-330.17783,1473.13477
5,0.033,-769.8078,-329.41147,1473.18567
6,0.042,-761.77972,-330.60406,1472.84412
7,0.05,-754.9715,-329.4133,1472.44141
8,0.058,-748.81537,-328.05716,1471.72095
9,0.067,-741.32947,-327.58429,1470.59241
10,0.075,-734.42358,-327.01959,1469.94995
11,0.083,-726.62457,-326.57123,1469.42578
12,0.092,-718.09735,-326.59659,1468.65295
13,0.1,-712.4895,-325.72256,1468.04419
14,0.108,-704.72272,-325.39084,1466.92542
15,0.117,-696.64124,-326.1348,1465.49097
16,0.125,-689.19476,-324.84756,1464.54675
17,0.133,-683.3692,-325.32419,1463.59399
18,0.142,-676.12561,-325.12973,1462.50854
19,0.15,-668.63049,-323.84451,1461.56396
20,0.158,-661.75598,-323.92276,1460.52576
21,0.167,-653.21649,-324.7435,1459.49011
22,0.175,-645.91833,-323.57111,1459.10986
23,0.183,-638.59857,-325.57544,1456.70178
24,0.192,-631.95435,-325.10468,1455.94055
25,0.2,-620.89087,-324.82736,1454.30249
26,0.208,-615.29834,-326.51257,1453.52405
27,0.217,-607.28992,-325.31387,1453.30115
28,0.225,-597.828,-326.60437,1450.77332
29,0.233,-590.74652,-326.20554,1450.42151
30,0.242,-581.67212,-327.5864,1448.40942
31,0.25,-574.85516,-327.69104,1448.16211
32,0.258,-566.63867,-327.27426,1447.25867
33,0.267,-557.69696,-328.81357,1445.66931
34,0.275,-549.64227,-329.10471,1444.45935
35,0.283,-541.14777,-329.88104,1444.23755
36,0.292,-532.47925,-331.13663,1444.4071
37,0.3,-523.09161,-332.15717,1443.76721
38,0.308,-514.6748,-333.34549,1444.98218
39,0.317,-506.41086,-333.80869,1445.28821
40,0.325,-497.85077,-334.88934,1445.45337
41,0.333,-489.41815,-334.86505,1447.06506
42,0.342,-481.92337,-335.02911,1447.34033
43,0.35,-472.59378,-336.02548,1447.85278
44,0.358,-464.31271,-337.21631,1449.92163
45,0.367,-454.78394,-337.45084,1450.94849
46,0.375,-447.08615,-338.38269,1452.30176
47,0.383,-438.91452,-340.35626,1453.78625
48,0.392,-430.96405,-340.27396,1454.45593
49,0.4,-422.36865,-341.08237,1456.80994
50,0.408,-414.121,-341.30438,1457.54028
51,0.417,-405.36203,-341.45984,1458.32861
52,0.425,-397.09299,-342.47336,1459.41492
53,0.433,-389.9328,-344.4747,1461.07678
54,0.442,-381.82907,-344.12625,1461.64917
55,0.45,-371.85388,-345.48816,1462.12439
56,0.458,-364.31906,-345.38165,1463.50183
57,0.467,-355.88995,-345.28003,1464.29272
58,0.475,-348.75558,-346.65375,1465.2207
59,0.483,-340.38879,-346.79123,1467.52771
60,0.492,-332.78528,-346.65173,1467.62781
61,0.5,-326.00006,-348.89484,1467.68823
62,0.508,-316.99127,-347.85074,1467.67419
63,0.517,-308.88312,-347.96762,1469.32751
64,0.525,-301.52713,-348.95123,1470.34778
65,0.533,-294.3476,-347.08261,1471.73523
66,0.542,-287.66058,-348.32471,1472.26709
67,0.55,-281.31894,-349.53583,1472.99231
68,0.558,-273.52271,-349.23306,1473.14478
69,0.567,-266.35666,-349.07098,1473.88757
70,0.575,-257.95834,-348.55008,1474.10767
71,0.583,-252.06325,-348.62924,1474.64246
72,0.592,-244.76796,-349.18826,1474.13562
73,0.6,-237.90883,-348.92685,1475.49951
74,0.608,-230.97389,-348.7207,1476.48596
75,0.617,-222.75298,-348.63733,1475.43127
76,0.625,-214.79639,-347.59479,1475.83655
77,0.633,-207.89024,-348.68573,1476.25684
78,0.642,-201.27586,-348.53888,1475.24719
79,0.65,-194.70888,-349.2251,1475.13391
80,0.658,-186.75816,-348.82104,1474.68811
81,0.667,-179.7939,-348.14493,1474.75354
82,0.675,-172.13855,-347.26459,1474.72913
83,0.683,-164.40721,-347.27805,1473.67456
84,0.692,-157.21002,-347.59274,1473.66211
85,0.7,-150.42918,-345.45535,1472.21594
86,0.708,-143.35883,-346.13422,1472.02979
87,0.717,-137.06874,-345.70212,1470.61304
88,0.725,-128.95099,-345.42255,1470.15295
89,0.733,-120.47234,-344.76346,1469.83582
90,0.742,-113.53422,-343.13831,1469.73767
91,0.75,-105.74528,-340.90158,1468.06714
92,0.758,-98.96457,-341.22461,1466.22925
93,0.767,-90.94652,-340.17191,1466.21582
94,0.775,-83.57504,-340.63351,1464.90051
95,0.783,-75.69451,-338.47836,1463.88513
96,0.792,-68.06524,-337.11273,1463.29114
97,0.8,-61.1691,-335.38412,1462.6908
98,0.808,-54.08467,-335.45627,1460.8938
99,0.817,-46.14612,-332.92404,1459.7262
100,0.825,-38.80944,-328.96967,1458.55249
101,0.833,-31.72821,-328.81931,1458.20349
102,0.842,-24.20684,-328.32251,1457.39795
103,0.85,-16.40913,-325.88715,1456.62695
104,0.858,-7.68711,-323.97461,1455.93762
105,0.867,0.14574,-322.19177,1455.0686
106,0.875,7.31929,-319.95319,1456.12073
107,0.883,15.65984,-318.3587,1455.93738
108,0.892,22.57702,-316.55786,1456.28125
109,0.9,31.48322,-315.36575,1457.27539
110,0.908,39.89594,-313.29596,1457.03894
111,0.917,47.00484,-311.7713,1457.98755
112,0.925,55.0816,-310.68604,1458.646
113,0.933,62.64594,-309.69147,1458.5979
114,0.942,70.57159,-306.44717,1460.24756
115,0.95,78.52366,-306.09515,1460.79639
116,0.958,86.29882,-304.62787,1461.75818
117,0.967,94.82753,-304.0611,1462.88489
118,0.975,102.99593,-301.32953,1463.73401
119,0.983,110.04591,-299.07156,1464.30591
120,0.992,117.61787,-299.63144,1464.95691
121,1,125.67657,-298.23615,1466.61841
122,1.008,133.1508,-297.57172,1466.42126
123,1.017,140.18382,-299.24036,1467.63623
124,1.025,147.95523,-295.93091,1468.88464
125,1.033,156.16463,-294.7771,1469.5625
126,1.042,165.21964,-295.75339,1470.4137
127,1.05,172.10838,-293.23441,1471.80701
128,1.058,179.41971,-293.15094,1472.85449
129,1.067,187.48352,-292.5101,1474.62878
130,1.075,192.99438,-293.35153,1475.69836
131,1.083,202.14771,-292.5022,1476.85803
132,1.092,209.26566,-290.34613,1477.66016
133,1.1,216.85684,-288.51126,1479.84937
134,1.108,224.3353,-288.81613,1480.00879
135,1.117,231.57001,-289.64719,1479.8916
136,1.125,237.88394,-288.90176,1480.73792
137,1.133,245.13773,-287.22522,1482.03906
138,1.142,253.31584,-289.53992,1483.85352
139,1.15,258.79126,-289.59418,1484.3905
140,1.158,266.39648,-288.03241,1484.62671
141,1.167,273.48392,-287.52036,1485.04907
142,1.175,281.91925,-289.00659,1484.83728
143,1.183,288.06879,-288.45319,1486.31335
144,1.192,295.23239,-286.4418,1485.00464
145,1.2,301.78479,-286.99081,1485.12
146,1.208,309.91846,-288.25378,1486.06372
147,1.217,316.98474,-285.56711,1486.03735
148,1.225,322.74765,-286.8298,1486.10596
149,1.233,331.1651,-286.34738,1486.32739
150,1.242,339.08588,-285.61139,1485.75598
151,1.25,344.65854,-288.05969,1484.88684
152,1.258,351.63153,-286.76932,1485.39954
153,1.267,360.07065,-286.38675,1484.776
154,1.275,366.25763,-288.73032,1485.15271
155,1.283,373.82416,-286.7471,1484.26782
156,1.292,381.01855,-286.12283,1482.72205
157,1.3,387.0806,-288.70694,1482.97974
158,1.308,395.19885,-288.28607,1482.1814
159,1.317,400.82224,-289.74615,1481.94409
160,1.325,408.6644,-288.73572,1480.6178
161,1.333,416.96555,-288.31219,1479.34851
162,1.342,423.01819,-291.91562,1478.42712
163,1.35,429.97089,-291.78705,1478.7157
164,1.358,437.12665,-292.47763,1476.36646
165,1.367,444.77585,-294.08585,1475.58435
166,1.375,452.75647,-292.69376,1474.15076
167,1.383,459.70828,-295.35464,1472.46472
168,1.392,467.85437,-295.61926,1471.23071
169,1.4,474.67899,-296.68933,1469.71826
170,1.408,481.30936,-296.25943,1468.50171
171,1.417,489.37076,-298.19876,1467.08533
172,1.425,496.96613,-298.83188,1466.50598
173,1.433,504.46637,-298.14029,1464.46301
174,1.442,512.11792,-302.02795,1463.36328
175,1.45,519.55481,-302.15088,1462.52478
176,1.458,526.81604,-304.77417,1460.9397
177,1.467,535.52631,-304.67703,1459.20093
178,1.475,542.25891,-306.78018,1458.61145
179,1.483,550.21429,-307.45175,1458.32043
180,1.492,560.08679,-309.63251,1457.72559
181,1.5,567.62592,-311.17291,1456.78931
182,1.508,575.21454,-314.22452,1457.3252
183,1.517,583.09119,-314.80917,1457.90344
184,1.525,591.90967,-316.8801,1457.9884
185,1.533,598.6452,-317.51785,1458.34509
186,1.542,607.41266,-317.63181,1459.22314
187,1.55,614.65637,-321.56107,1460.7334
188,1.558,624.09143,-323.26587,1461.46008
189,1.567,630.50439,-324.92319,1461.63525
190,1.575,638.99927,-323.41577,1462.82422
191,1.583,647.45074,-327.60464,1464.37415
192,1.592,655.28735,-326.67245,1464.69958
193,1.6,662.68561,-331.44507,1465.70569
194,1.608,671.44293,-331.8942,1468.01331
195,1.617,679.02905,-335.63434,1468.95703
196,1.625,686.3822,-335.46442,1469.5719
197,1.633,693.41852,-337.38391,1470.69128
198,1.642,703.55072,-337.57657,1471.18823
199,1.65,710.20294,-339.18118,1472.64856
200,1.658,718.60455,-340.85651,1471.53101
201,1.667,725.10461,-342.8558,1472.47998
202,1.675,733.2785,-341.8902,1473.28699
203,1.683,740.63879,-345.54385,1474.77844
204,1.692,748.51996,-345.38544,1475.15027
205,1.7,754.75507,-347.2735,1475.26794
206,1.708,762.51013,-346.61209,1475.44653
207,1.717,769.41241,-348.42444,1476.91821
208,1.725,778.67029,-348.41388,1478.39734
209,1.733,784.85175,-351.8656,1478.75549
210,1.742,792.89227,-350.67661,1479.01184
211,1.75,798.7453,-354.01126,1479.60706
212,1.758,805.99475,-351.69012,1479.84094
213,1.767,814.40546,-356.5368,1481.64258
214,1.775,823.38019,-355.81949,1481.9646
215,1.783,827.98468,-357.56967,1482.46838
216,1.792,835.58136,-356.23071,1482.85437
217,1.8,842.31116,-359.06012,1483.88062
218,1.808,849.51648,-358.86923,1484.07617
219,1.817,856.2301,-359.34155,1482.93372
220,1.825,864.03491,-358.31409,1482.24695
221,1.833,869.54877,-359.79868,1482.43164
222,1.842,877.01001,-359.46866,1482.78796
223,1.85,884.37073,-361.19321,1481.5874
224,1.858,892.73462,-360.17535,1481.71216
225,1.867,900.94647,-361.70026,1481.40808
226,1.875,908.52814,-361.52771,1479.69202
227,1.883,913.69531,-364.50378,1480.56128
228,1.892,922.07904,-363.46976,1480.2489
229,1.9,927.41351,-363.66864,1479.15466
230,1.908,935.84125,-364.27353,1478.42664
231,1.917,941.92377,-363.13922,1477.39929
232,1.925,949.21722,-365.40436,1476.77527
233,1.933,956.66827,-361.89383,1475.15796
234,1.942,963.74011,-364.47058,1475.82166
235,1.95,971.26758,-362.87616,1474.44202
236,1.958,977.76068,-364.73007,1473.55664
237,1.967,986.63995,-362.92957,1471.97498
238,1.975,993.22064,-363.97604,1472.28394
239,1.983,1001.38983,-364.21432,1469.7876
240,1.992,1007.43323,-365.11716,1470.44641
241,2,1013.87006,-363.52951,1468.89526
242,2.008,1022.01306,-360.9707,1468.0459
243,2.017,1030.84741,-360.10449,1467.76855
244,2.025,1038.02136,-361.52423,1464.71704
245,2.033,1046.5094,-360.88974,1465.52893
246,2.042,1051.53662,-360.54034,1464.51245
247,2.05,1059.38452,-359.23468,1463.55615
248,2.058,1068.2262,-358.70999,1462.21985
249,2.067,1074.59412,-359.6868,1461.90918
250,2.075,1082.78088,-357.70227,1460.51917
251,2.083,1091.28601,-355.27817,1459.79041
252,2.092,1099.31982,-355.53085,1461.57751
253,2.1,1106.14026,-353.3324,1459.672
254,2.108,1116.31042,-351.62143,1459.66675
255,2.117,1124.34314,-350.91522,1459.81873
256,2.125,1132.46326,-350.63254,1459.35986
257,2.133,1138.59021,-349.39746,1459.54712
258,2.142,1148.38,-347.44177,1460.71619
259,2.15,1154.49414,-348.13318,1459.43567
260,2.158,1162.97717,-345.5683,1459.54846
261,2.167,1171.72522,-344.43802,1461.38672
262,2.175,1179.19312,-345.9212,1461.64392
263,2.183,1189.29431,-344.55649,1462.1283
264,2.192,1195.20398,-343.42596,1462.85034
265,2.2,1202.86035,-343.48975,1464.0697
266,2.208,1209.55457,-340.90005,1465.42371
267,2.217,1216.42395,-341.48993,1464.03601
268,2.225,1225.50085,-341.15784,1465.85571
269,2.233,1234.85852,-340.46799,1465.57251
270,2.242,1240.65649,-339.45786,1466.66394
271,2.25,1249.00964,-338.94894,1468.4165
272,2.258,1254.64941,-338.16388,1469.27734
273,2.267,1262.44995,-338.70999,1470.75464
274,2.275,1270.22705,-339.18033,1470.08557
275,2.283,1278.08521,-339.15302,1470.55762
276,2.292,1283.86292,-337.15674,1472.22656
277,2.3,1291.98291,-336.49866,1475.00281
278,2.308,1300.39087,-336.08112,1474.91064
279,2.317,1307.17078,-337.7533,1476.32214
280,2.325,1313.52673,-335.9039,1477.7196
281,2.333,1318.83093,-335.56372,1478.71667
282,2.342,1327.01013,-335.6745,1480.11511
283,2.35,1334.47852,-337.02573,1481.10986
284,2.358,1338.76843,-336.30368,1482.26575
285,2.367,1346.66833,-334.70758,1483.42065
286,2.375,1354.82434,-334.68027,1485.41187
287,2.383,1362.04675,-336.11728,1484.79016
288,2.392,1370.25867,-335.68823,1485.07971
