Frame#,Time,L.Thigh.x,L.Thigh.y,L.Thigh.z
1,0,-622.31689,-510.1564,955.61835
2,0.008,-616.57404,-508.69162,955.76874
3,0.017,-609.76849,-510.64703,955.10699
4,0.025,-603.06866,-509.46289,954.50806
5,0.033,-597.66718,-509.06918,954.3241
6,0.042,-591.98407,-510.56622,954.27057
7,0.05,-586.78101,-508.55804,954.12494
8,0.058,-581.16052,-508.33548,953.07428
9,0.067,-573.46832,-509.09521,953.00336
10,0.075,-568.03333,-508.75293,952.19745
11,0.083,-561.29633,-507.74094,951.7973
12,0.092,-554.79919,-508.79919,950.1015
13,0.1,-549.12494,-506.88782,949.49744
14,0.108,-543.45642,-507.62064,948.73047
15,0.117,-536.26129,-506.36169,948.30646
16,0.125,-529.30542,-507.6886,947.27899
17,0.133,-522.6214,-505.86935,946.74713
18,0.142,-514.83551,-507.41983,944.76501
19,0.15,-508.77365,-506.16708,944.27313
20,0.158,-501.77185,-505.97104,943.33087
21,0.167,-493.57553,-506.15109,942.54388
22,0.175,-486.86288,-505.08408,941.07581
23,0.183,-478.97235,-505.76309,941.24969
24,0.192,-471.16959,-505.45184,939.61743
25,0.2,-464.35782,-504.50092,938.25476
26,0.208,-455.88617,-504.77859,937.61218
27,0.217,-449.10455,-503.26639,936.70074
28,0.225,-440.16028,-504.04648,935.77942
29,0.233,-431.81726,-503.11588,934.43713
30,0.242,-424.00906,-503.76416,933.17474
31,0.25,-417.0611,-503.40637,932.74451
32,0.258,-407.31335,-502.49933,931.87616
33,0.267,-399.08698,-502.51392,930.92834
34,0.275,-391.17352,-501.9332,930.14532
35,0.283,-382.14569,-502.61035,928.62512
36,0.292,-374.56274,-500.371,928.21277
37,0.3,-365.91269,-501.82364,927.17511
38,0.308,-357.14771,-500.76709,926.28601
39,0.317,-348.67667,-501.91083,927.11658
40,0.325,-340.06897,-500.60074,925.92096
41,0.333,-331.48254,-500.28204,926.52069
42,0.342,-322.21796,-499.76596,926.56653
43,0.35,-314.79327,-499.04184,926.18854
44,0.358,-306.57608,-499.46912,926.68713
45,0.367,-296.60599,-499.13879,926.95331
46,0.375,-289.04691,-498.59091,927.50342
47,0.383,-280.41241,-496.69205,929.0451
48,0.392,-272.63406,-497.75372,929.55365
49,0.4,-263.95395,-496.73865,931.04852
50,0.408,-256.01361,-496.10495,931.55408
51,0.417,-247.19519,-494.71106,932.75897
52,0.425,-239.1861,-494.62122,934.13831
53,0.433,-230.24573,-493.40201,934.77649
54,0.442,-223.1973,-492.87769,936.73169
55,0.45,-214.21867,-493.09442,938.28357
56,0.458,-206.05838,-491.65707,939.64044
57,0.467,-197.22409,-492.45859,941.43152
58,0.475,-190.06052,-490.74963,942.29797
59,0.483,-181.29091,-491.33746,943.35205
60,0.492,-173.08417,-489.57217,944.19141
