Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
1,0,-660.28394,-580.84424,977.54266
2,0.008,-654.19373,-581.76385,977.05792
3,0.017,-648.90118,-581.7049,976.92224
4,0.025,-643.492,-580.12885,976.35803
5,0.033,-636.95703,-581.30292,975.8468
6,0.042,-631.53864,-580.21228,975.53882
7,0.05,-626.19073,-579.9986,974.39948
8,0.058,-621.22357,-579.71619,974.17767
9,0.067,-613.70636,-579.41217,973.75989
10,0.075,-608.62122,-579.59705,973.67926
11,0.083,-601.53326,-578.28473,971.77423
12,0.092,-595.82953,-579.36969,971.77759
13,0.1,-588.88568,-579.25317,971.15802
14,0.108,-583.09845,-577.93884,970.88983
15,0.117,-575.74957,-578.44098,969.79974
16,0.125,-570.28052,-578.08673,968.72137
17,0.133,-563.51929,-577.39716,967.56348
18,0.142,-556.01086,-577.42523,966.71893
19,0.15,-549.7254,-576.86548,965.75879
20,0.158,-541.97321,-576.60291,964.61584
21,0.167,-534.98389,-576.80634,964.07294
22,0.175,-527.85754,-577.0545,962.79742
23,0.183,-520.39362,-576.60999,961.59943
24,0.192,-513.25067,-575.67352,960.27271
25,0.2,-505.85168,-574.42963,958.51074
26,0.208,-497.55865,-574.99774,956.95129
27,0.217,-490.80536,-574.83881,955.94843
28,0.225,-482.47101,-575.54565,954.86371
29,0.233,-475.07266,-574.43304,953.51385
30,0.242,-466.14545,-574.80786,952.44684
31,0.25,-458.48779,-573.68329,951.47223
32,0.258,-450.97321,-573.40784,950.35736
33,0.267,-441.78873,-573.2384,948.82544
34,0.275,-434.12866,-572.94836,948.08911
35,0.283,-425.45847,-572.75348,946.86224
36,0.292,-417.32578,-571.7724,945.52106
37,0.3,-408.86594,-572.02112,944.49139
38,0.308,-400.7793,-571.60632,943.90497
39,0.317,-392.13736,-571.28943,943.23065
40,0.325,-383.93695,-569.92859,942.87646
41,0.333,-375.15192,-570.61047,943.12665
42,0.342,-366.54071,-569.21924,942.81897
43,0.35,-358.38199,-569.68829,943.68469
44,0.358,-349.9631,-568.64368,943.3302
45,0.367,-341.43353,-568.34796,944.14594
46,0.375,-333.19342,-567.84869,944.02063
47,0.383,-324.70657,-567.47858,945.8869
48,0.392,-315.12897,-567.14056,946.63098
49,0.4,-307.52734,-566.18365,947.21271
50,0.408,-299.168,-566.57104,948.07556
51,0.417,-291.19336,-565.22931,948.98065
52,0.425,-282.31232,-564.60779,950.44623
53,0.433,-274.57016,-564.96228,951.41663
54,0.442,-265.9068,-563.63348,951.61267
55,0.45,-257.77127,-563.99506,952.73706
56,0.458,-249.2574,-563.17529,954.45007
57,0.467,-240.82292,-563.64276,955.08618
58,0.475,-232.79364,-562.04773,955.72144
59,0.483,-224.40668,-562.77142,956.73907
60,0.492,-216.51698,-561.43304,957.4776
61,0.5,-207.16772,-562.38629,958.31897
62,0.508,-199.54565,-561.4906,959.41418
63,0.517,-190.23438,-561.41766,959.79578
64,0.525,-182.04929,-560.4563,960.91217
65,0.533,-173.5683,-560.50061,962.48077
66,0.542,-165.4142,-560.03284,962.73761
67,0.55,-156.53766,-560.26379,963.3493
68,0.558,-149.03479,-559.82825,963.50647
69,0.567,-139.86256,-559.08624,964.78284
70,0.575,-132.28691,-558.76807,965.33624
71,0.583,-122.58893,-558.62207,966.26166
72,0.592,-114.62741,-557.22656,966.42596
73,0.6,-106.33131,-558.39026,966.25018
74,0.608,-98.23164,-557.38165,966.31067
75,0.617,-89.46403,-557.42615,967.98853
76,0.625,-82.62477,-557.12195,967.17871
77,0.633,-74.71411,-557.23462,967.78607
78,0.642,-64.19398,-557.17487,968.32666
79,0.65,-55.77877,-556.12262,967.73999
80,0.658,-47.9505,-556.44562,968.36481
81,0.667,-39.20887,-555.66119,968.60919
82,0.675,-30.87804,-556.03961,968.10291
83,0.683,-23.74408,-554.75568,967.75208
84,0.692,-13.51491,-555.65656,968.2594
85,0.7,-5.64103,-553.89545,967.93665
86,0.708,1.44001,-554.73151,967.2674
87,0.717,9.56339,-554.28058,967.69043
88,0.725,20.25337,-554.01855,967.53784
89,0.733,28.58332,-554.50995,967.02734
90,0.742,37.19933,-553.1637,967.16003
91,0.75,44.66439,-553.32294,964.95459
92,0.758,55.35017,-552.54822,965.83777
93,0.767,63.1727,-552.11749,965.35889
94,0.775,72.25795,-551.82458,964.72034
95,0.783,80.31506,-551.55261,965.24115
96,0.792,89.03539,-550.28198,964.25104
97,0.8,98.4183,-549.85144,963.97278
