Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,-840.24835,-266.28714,1406.77002
2,0.008,-833.56305,-265.64862,1406.82434
3,0.017,-825.51251,-264.48425,1406.18921
4,0.025,-818.42383,-264.13748,1406.33887
5,0.033,-811.94348,-262.88528,1406.39124
6,0.042,-804.56812,-262.20236,1406.17249
7,0.05,-797.02185,-261.48032,1405.65308
8,0.058,-790.26587,-259.82764,1405.31323
9,0.067,-782.6228,-260.29916,1404.4917
10,0.075,-776.12024,-260.57095,1404.0011
11,0.083,-768.09943,-259.74908,1403.27979
12,0.092,-761.15985,-259.2702,1402.49133
13,0.1,-754.2373,-257.98132,1402.06335
14,0.108,-746.50079,-258.69092,1400.42065
15,0.117,-739.75421,-257.05911,1400.31909
16,0.125,-732.24426,-257.68066,1398.75049
17,0.133,-724.3844,-256.91122,1397.36682
18,0.142,-717.46112,-256.97726,1396.67957
19,0.15,-711.49371,-256.96326,1395.93604
20,0.158,-702.3537,-255.68755,1394.50757
21,0.167,-695.6485,-256.5351,1393.45264
22,0.175,-687.93164,-257.00443,1392.99268
23,0.183,-680.54004,-256.56839,1391.40881
24,0.192,-673.95563,-257.13376,1390.31812
25,0.2,-663.97662,-257.52191,1388.65222
26,0.208,-655.93054,-256.19858,1387.84521
27,0.217,-648.94348,-256.22672,1386.28296
28,0.225,-640.21741,-257.31671,1384.89429
29,0.233,-631.90521,-256.47781,1384.06738
30,0.242,-623.4176,-256.95367,1382.81689
31,0.25,-615.29797,-257.70422,1381.78271
32,0.258,-607.70154,-256.48843,1381.24231
33,0.267,-598.72968,-257.16623,1379.87097
34,0.275,-589.75696,-259.12552,1380.04382
35,0.283,-581.44055,-258.07944,1378.57617
36,0.292,-573.13977,-259.27643,1379.15576
37,0.3,-563.84595,-259.82593,1379.59314
38,0.308,-554.94543,-260.82486,1379.57483
39,0.317,-545.71918,-260.36349,1380.24243
40,0.325,-537.12512,-261.34482,1380.60791
41,0.333,-528.45697,-261.54007,1381.94592
42,0.342,-519.80548,-261.57632,1382.43445
43,0.35,-510.6886,-262.23309,1383.72607
44,0.358,-502.33542,-262.94336,1384.89905
45,0.367,-494.22562,-263.65048,1386.22009
46,0.375,-485.55603,-264.37988,1387.65356
47,0.383,-476.76355,-264.70047,1388.77185
48,0.392,-468.3425,-265.43704,1390.49207
49,0.4,-460.09119,-266.00122,1391.74475
50,0.408,-452.16031,-266.14172,1392.67371
51,0.417,-443.69772,-266.90063,1394.28479
52,0.425,-435.83713,-267.75046,1395.18298
53,0.433,-427.47968,-268.34988,1396.49792
54,0.442,-419.4086,-269.14951,1397.85071
55,0.45,-411.51419,-269.63553,1399.09229
56,0.458,-404.01385,-268.75253,1400.09216
57,0.467,-395.23376,-270.2334,1401.38684
58,0.475,-387.74158,-270.76727,1402.57349
59,0.483,-380.26566,-270.59055,1403.05249
60,0.492,-372.37933,-270.565,1404.77881
61,0.5,-364.12036,-271.08878,1405.70093
62,0.508,-357.24832,-271.76959,1406.97083
63,0.517,-350.10959,-271.65991,1407.12341
64,0.525,-342.77377,-271.66547,1408.65845
65,0.533,-335.88953,-271.70026,1409.3064
66,0.542,-328.77805,-271.47397,1410.06006
67,0.55,-321.13556,-271.97867,1410.47961
68,0.558,-313.41602,-272.83395,1411.67737
69,0.567,-306.88998,-272.07382,1411.79468
70,0.575,-299.60968,-271.90472,1411.98743
71,0.583,-293.09711,-272.33594,1412.20667
