Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
1,0,-681.14996,-395.93805,1415.88452
2,0.008,-673.52826,-396.22903,1416.03809
3,0.017,-667.96332,-394.71298,1415.65674
4,0.025,-659.34741,-394.94003,1414.5885
5,0.033,-653.86322,-394.13055,1414.98779
6,0.042,-645.23352,-393.36249,1414.33154
7,0.05,-639.67377,-393.61206,1413.36169
8,0.058,-632.50037,-392.18002,1412.55786
9,0.067,-625.33618,-392.32611,1411.23804
10,0.075,-618.33551,-390.73041,1410.36865
11,0.083,-611.81824,-393.10782,1409.79626
12,0.092,-603.99097,-391.68655,1409.02185
13,0.1,-595.7821,-391.73227,1408.31934
14,0.108,-588.92456,-391.79666,1406.7583
15,0.117,-582.21191,-391.57791,1406.05078
16,0.125,-574.47375,-392.1795,1406.66614
17,0.133,-567.80212,-391.17694,1403.97107
18,0.142,-560.41522,-391.14755,1403.23401
19,0.15,-553.50403,-390.23386,1403.02747
20,0.158,-545.69556,-390.91769,1401.97229
21,0.167,-538.49182,-389.7854,1400.96399
22,0.175,-530.17163,-392.02679,1399.65967
23,0.183,-522.08679,-391.40384,1398.07092
24,0.192,-515.80975,-392.00781,1396.67676
25,0.2,-507.41486,-391.99316,1395.51489
26,0.208,-500.76114,-391.8277,1394.78845
27,0.217,-492.46063,-391.79782,1392.07983
28,0.225,-484.05444,-393.51309,1391.94946
29,0.233,-475.88904,-393.17389,1389.56641
30,0.242,-467.87326,-394.41165,1388.81177
31,0.25,-460.76575,-393.96414,1387.82507
32,0.258,-452.28638,-395.17471,1387.13269
33,0.267,-444.24539,-395.93005,1385.85815
34,0.275,-435.53271,-396.41739,1384.98523
35,0.283,-426.4906,-398.827,1384.83862
36,0.292,-418.04651,-397.39825,1384.25989
37,0.3,-410.55771,-399.51382,1384.15234
38,0.308,-401.46512,-400.93311,1383.59839
39,0.317,-392.59201,-400.1572,1383.86218
40,0.325,-384.45901,-401.4635,1384.26465
41,0.333,-376.31873,-402.79218,1383.96472
42,0.342,-367.76318,-403.22858,1384.93738
43,0.35,-359.0715,-403.86761,1385.39917
44,0.358,-351.59915,-404.44684,1387.29358
45,0.367,-343.07001,-405.78015,1388.54712
46,0.375,-334.9194,-406.25162,1388.9115
47,0.383,-326.88242,-407.7601,1390.68616
48,0.392,-317.77994,-409.31595,1392.08691
49,0.4,-310.01727,-409.28549,1393.08997
50,0.408,-302.42273,-410.08218,1393.59082
51,0.417,-293.19482,-410.77737,1395.46277
52,0.425,-286.22647,-410.78793,1396.38733
53,0.433,-277.76437,-412.12515,1397.7605
54,0.442,-269.00284,-412.57507,1398.34558
55,0.45,-261.15479,-413.08963,1398.98596
56,0.458,-253.8519,-412.87915,1399.56934
57,0.467,-245.49785,-413.40833,1399.68555
58,0.475,-236.08234,-413.49738,1400.22375
59,0.483,-228.80034,-413.11868,1400.79395
60,0.492,-221.01192,-414.18359,1401.47363
61,0.5,-213.90414,-413.07904,1401.64685
62,0.508,-204.99219,-414.10159,1401.98206
63,0.517,-198.61378,-413.29446,1402.54639
64,0.525,-190.67833,-413.6922,1402.84888
65,0.533,-183.65552,-412.38223,1403.71692
66,0.542,-175.78964,-413.66022,1403.67932
67,0.55,-169.60507,-411.65045,1404.55103
68,0.558,-161.66997,-412.97452,1404.54724
69,0.567,-154.53481,-413.57214,1405.59766
70,0.575,-146.79553,-412.88431,1405.46484
71,0.583,-140.8407,-411.51602,1405.57861
72,0.592,-133.07408,-413.42633,1406.91455
73,0.6,-125.3827,-412.35422,1406.30664
74,0.608,-118.95765,-412.81287,1406.71338
75,0.617,-111.22085,-412.46982,1407.5304
76,0.625,-104.40047,-412.94122,1406.71716
77,0.633,-96.12261,-413.20813,1407.00378
78,0.642,-89.42622,-412.12109,1406.19434
79,0.65,-82.37014,-411.06461,1405.41309
80,0.658,-75.64082,-412.44705,1406.72217
81,0.667,-67.64114,-411.16605,1406.07996
82,0.675,-60.42732,-410.70099,1405.63123
83,0.683,-52.88196,-410.56894,1404.72778
84,0.692,-46.76022,-409.53125,1404.51428
85,0.7,-38.5658,-408.81638,1404.11438
86,0.708,-31.94187,-408.02466,1404.02173
87,0.717,-23.04706,-408.7084,1404.46948
88,0.725,-16.6588,-406.94067,1402.5116
89,0.733,-8.15201,-407.76602,1402.69019
90,0.742,-1.49329,-404.55527,1401.85632
91,0.75,6.06375,-405.50089,1400.28076
92,0.758,12.19843,-403.2673,1399.06311
93,0.767,21.37538,-402.77481,1399.24329
94,0.775,28.92045,-401.45105,1397.60291
95,0.783,36.88364,-401.81244,1398.25208
96,0.792,45.09345,-399.99756,1396.65027
97,0.8,51.75513,-400.06635,1396.07666
98,0.808,60.11776,-398.66669,1395.13611
99,0.817,66.53783,-396.36841,1394.18408
100,0.825,73.66241,-395.31152,1393.98267
101,0.833,81.73163,-392.28397,1393.55359
102,0.842,89.14331,-390.75537,1392.68164
103,0.85,97.394,-389.6149,1392.55493
104,0.858,105.55658,-388.68356,1393.18042
105,0.867,113.35627,-386.89438,1392.6062
106,0.875,121.53805,-385.27933,1393.11157
107,0.883,130.40544,-384.20337,1393.6626
108,0.892,137.91364,-382.71231,1394.12585
109,0.9,145.92809,-381.422,1394.71155
110,0.908,154.26877,-379.32712,1396.41968
111,0.917,162.26282,-376.811,1396.52502
112,0.925,170.69963,-375.28613,1398.04858
113,0.933,178.50108,-374.59946,1398.05249
114,0.942,186.24655,-372.58563,1398.84167
115,0.95,194.08026,-371.0538,1400.28333
116,0.958,202.57343,-369.77271,1401.25391
117,0.967,210.55937,-368.42291,1402.82422
118,0.975,218.53799,-368.06198,1403.22998
119,0.983,226.66064,-366.27118,1405.51721
120,0.992,233.23936,-365.48499,1405.5415
121,1,240.31459,-365.63168,1407.55872
122,1.008,248.85762,-365.23517,1407.90674
123,1.017,255.95129,-364.1073,1408.00269
124,1.025,264.30331,-362.79837,1408.96094
125,1.033,271.63098,-362.64603,1409.92004
126,1.042,279.04874,-361.28091,1409.77734
127,1.05,286.298,-362.03363,1412.11548
128,1.058,293.35672,-361.37122,1412.52271
129,1.067,300.83072,-360.39929,1413.67676
130,1.075,307.84995,-360.41815,1414.83252
131,1.083,316.1973,-360.21481,1415.36353
132,1.092,323.10886,-359.70117,1416.19983
133,1.1,329.78986,-359.37079,1415.15735
134,1.108,337.09897,-358.29953,1416.82605
135,1.117,343.72186,-357.75861,1417.60718
136,1.125,350.51208,-358.55429,1418.92456
137,1.133,356.74072,-357.79276,1419.8446
138,1.142,364.79227,-358.59882,1420.78125
139,1.15,370.93414,-356.87653,1421.36804
140,1.158,378.63242,-358.44186,1420.98828
141,1.167,383.65347,-357.30328,1421.00342
142,1.175,392.59729,-358.57581,1422.09998
143,1.183,397.65909,-356.75891,1422.19617
144,1.192,405.38699,-357.73468,1421.75049
145,1.2,411.87714,-358.94711,1422.52014
146,1.208,419.05429,-357.95663,1422.31372
147,1.217,425.75885,-356.82593,1421.43835
148,1.225,432.66867,-357.46216,1420.91675
149,1.233,439.48972,-357.76825,1421.05835
150,1.242,447.30884,-358.06079,1420.79846
151,1.25,453.53668,-357.42383,1419.68286
152,1.258,460.40057,-357.99786,1419.46301
153,1.267,467.54578,-359.31613,1418.62183
154,1.275,474.84055,-359.93997,1417.41687
155,1.283,481.33603,-359.18741,1417.32263
156,1.292,488.21683,-359.48108,1417.36841
157,1.3,495.82755,-359.92914,1416.33679
158,1.308,501.92224,-360.72049,1415.96301
159,1.317,509.58987,-361.63489,1414.35413
160,1.325,516.06702,-361.06982,1414.59302
161,1.333,523.30194,-362.77328,1413.30994
162,1.342,530.81012,-364.02957,1413.16895
163,1.35,537.45715,-362.66006,1411.18652
164,1.358,545.92676,-363.27509,1409.98779
165,1.367,552.21027,-363.53671,1409.48145
166,1.375,560.44098,-365.2507,1408.45044
167,1.383,567.21747,-366.51382,1408.47314
168,1.392,575.36078,-367.19333,1407.00171
169,1.4,582.95459,-368.08804,1404.94141
170,1.408,589.35968,-367.87656,1403.68652
171,1.417,597.11041,-370.24994,1402.76416
172,1.425,604.89185,-370.97946,1401.35217
173,1.433,612.96277,-372.06384,1400.15845
174,1.442,620.32861,-373.93817,1398.57764
175,1.45,626.9649,-376.3262,1397.71008
176,1.458,635.32251,-378.02399,1396.24646
177,1.467,644.06647,-378.47025,1394.94934
178,1.475,650.33972,-379.01859,1393.4696
179,1.483,659.38086,-381.61047,1393.42969
180,1.492,666.78809,-382.16815,1392.46997
181,1.5,674.23645,-384.50824,1393.052
182,1.508,683.19342,-386.95792,1392.1261
183,1.517,691.2757,-387.29547,1392.06665
184,1.525,698.75299,-389.62952,1393.80713
185,1.533,706.22717,-391.57092,1392.88293
186,1.542,714.63641,-391.64423,1392.59717
187,1.55,723.02924,-394.73224,1395.39917
188,1.558,730.66907,-397.63263,1396.18604
189,1.567,738.36481,-398.52893,1397.7179
190,1.575,746.60345,-399.37631,1397.30896
191,1.583,755.09186,-401.49249,1398.70923
192,1.592,762.51996,-402.74554,1399.79102
193,1.6,769.67786,-404.46512,1401.34692
194,1.608,778.77942,-406.35156,1402.24133
195,1.617,786.88812,-406.8111,1402.53613
196,1.625,794.2453,-409.43597,1404.05347
197,1.633,801.55066,-410.52414,1404.98376
198,1.642,808.91461,-410.76477,1406.21448
199,1.65,816.98944,-412.05182,1406.29822
200,1.658,825.41272,-412.58197,1406.71436
201,1.667,832.97101,-414.80212,1408.03833
202,1.675,840.0246,-415.07449,1408.60876
203,1.683,848.27686,-416.54895,1409.7301
204,1.692,855.54535,-416.85837,1409.53223
205,1.7,862.96924,-416.88535,1409.8584
206,1.708,871.12866,-417.98013,1411.08667
207,1.717,878.12964,-418.9458,1411.64905
208,1.725,886.27844,-420.09851,1412.25537
209,1.733,893.51855,-419.89517,1412.32446
210,1.742,901.06604,-421.35257,1413.35901
211,1.75,908.67865,-421.62015,1413.26575
212,1.758,916.09772,-422.45102,1413.95325
213,1.767,923.89532,-422.26367,1414.31226
214,1.775,931.12885,-423.04404,1414.83301
215,1.783,937.60767,-423.03693,1415.06299
216,1.792,945.53125,-424.40222,1415.18286
217,1.8,952.66754,-423.92853,1415.43042
