Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
1,0,-592.41193,-545.41675,936.49316
2,0.008,-587.80548,-545.72852,936.54919
3,0.017,-581.61182,-545.24774,936.33197
4,0.025,-574.97626,-546.39001,935.46979
5,0.033,-570.01813,-545.9538,935.03546
6,0.042,-564.28735,-546.73511,934.79199
7,0.05,-559.0116,-545.69244,934.2782
8,0.058,-552.659,-546.81256,933.84454
9,0.067,-546.11829,-545.79242,933.19006
10,0.075,-539.84351,-545.13184,933.23199
11,0.083,-533.81708,-546.76532,932.80615
12,0.092,-527.44531,-543.9516,930.97278
13,0.1,-522.87585,-544.47827,929.93622
14,0.108,-515.08539,-543.81866,929.21637
15,0.117,-508.77036,-545.42383,928.79767
16,0.125,-501.97971,-544.42102,927.57416
17,0.133,-495.35394,-544.82245,927.41095
18,0.142,-488.73529,-545.39929,926.54126
19,0.15,-481.65509,-543.68201,925.19025
20,0.158,-473.36169,-543.85559,924.34509
21,0.167,-466.99899,-543.04407,923.29156
22,0.175,-459.51959,-542.62512,921.89386
23,0.183,-452.29312,-543.02405,921.69653
24,0.192,-444.40439,-542.69293,920.26184
25,0.2,-436.83774,-541.37274,919.88354
26,0.208,-429.69144,-542.69122,919.39026
27,0.217,-421.64874,-541.37195,917.19958
28,0.225,-414.14056,-541.57751,916.45392
29,0.233,-406.34863,-541.74469,916.07611
30,0.242,-398.49786,-541.41986,913.68341
31,0.25,-388.35944,-541.91681,913.24414
32,0.258,-381.43118,-541.43866,912.11688
33,0.267,-372.7059,-540.16742,910.69672
34,0.275,-364.81274,-540.36584,909.77313
35,0.283,-356.70758,-539.58258,909.77472
36,0.292,-347.43311,-539.46399,908.71448
37,0.3,-339.25189,-538.14746,907.51953
38,0.308,-330.19897,-540.30817,907.34924
39,0.317,-322.1925,-538.14886,907.30688
40,0.325,-313.05701,-538.00653,905.79865
41,0.333,-305.1236,-538.31714,905.61395
42,0.342,-296.48703,-537.98914,906.35925
43,0.35,-287.74185,-536.71112,905.19696
44,0.358,-279.39655,-536.55927,906.12518
45,0.367,-270.52634,-536.71979,907.31818
46,0.375,-262.31671,-535.15308,907.38947
47,0.383,-253.43224,-535.08118,908.28436
48,0.392,-246.20105,-533.95233,909.04181
49,0.4,-237.59972,-534.60773,910.50391
50,0.408,-229.11751,-533.22076,911.54095
51,0.417,-220.55688,-533.08997,912.58514
52,0.425,-212.52869,-532.28284,914.11334
53,0.433,-204.35928,-532.44464,914.51691
54,0.442,-195.56154,-530.88525,916.54254
55,0.45,-187.76091,-530.23492,918.12207
56,0.458,-178.68127,-529.3606,918.99286
57,0.467,-170.66693,-529.30231,920.65039
58,0.475,-161.02382,-528.08545,921.40497
59,0.483,-154.12592,-527.22961,922.14435
60,0.492,-145.60143,-526.80463,923.2702
61,0.5,-136.51682,-525.91931,925.09644
62,0.508,-128.37016,-526.39728,925.68665
63,0.517,-120.57331,-524.3512,926.62299
64,0.525,-111.53179,-524.2337,928.60535
65,0.533,-103.2724,-522.69653,929.63104
66,0.542,-94.92709,-521.59564,930.2428
67,0.55,-87.37537,-521.93024,930.55347
68,0.558,-79.42854,-521.26263,931.23596
69,0.567,-70.12394,-519.03046,931.94598
70,0.575,-62.09712,-519.09454,933.04089
71,0.583,-53.32769,-520.74225,934.177
72,0.592,-45.92048,-519.34796,934.60895
73,0.6,-37.01943,-518.95667,935.01898
74,0.608,-28.45691,-516.97168,935.54175
75,0.617,-19.73504,-517.83362,936.90143
76,0.625,-11.81453,-517.92975,936.8421
77,0.633,-4.45733,-517.78943,936.03149
78,0.642,4.45011,-516.13892,936.55261
79,0.65,13.19856,-516.34937,937.20599
80,0.658,22.56241,-514.97003,937.78253
81,0.667,30.6251,-515.34216,939.18201
82,0.675,37.37416,-514.117,938.34515
83,0.683,46.80245,-514.34796,938.7207
84,0.692,56.03312,-513.71667,938.66156
85,0.7,63.88079,-513.75989,938.98981
86,0.708,71.71472,-514.18738,938.86871
87,0.717,81.43456,-511.5722,938.06696
88,0.725,89.62408,-512.20813,938.73871
89,0.733,97.72375,-511.86929,939.8504
90,0.742,105.90639,-511.28955,938.23694
91,0.75,114.91208,-510.75623,937.75421
92,0.758,123.80713,-509.3606,938.09076
93,0.767,131.50725,-509.53293,936.40833
94,0.775,140.34525,-509.81458,937.16534
95,0.783,150.54184,-509.67529,937.00061
96,0.792,158.00284,-508.69061,935.33618
97,0.8,166.59183,-508.70944,936.01062
98,0.808,175.40991,-506.49194,934.64563
99,0.817,184.29823,-506.95096,934.17682
100,0.825,193.27872,-507.06177,934.23395
101,0.833,200.77641,-505.91995,933.58716
102,0.842,211.17987,-505.72601,932.84497
103,0.85,219.01558,-504.47513,933.24933
104,0.858,226.63235,-505.72305,932.36194
105,0.867,235.8063,-504.06006,932.84125
106,0.875,244.64919,-502.90143,933.51697
107,0.883,252.7059,-503.7963,932.57562
108,0.892,260.00406,-501.1843,933.09534
109,0.9,269.37479,-503.49734,933.15784
110,0.908,275.63791,-501.66544,933.59241
111,0.917,284.25934,-502.9288,934.8045
112,0.925,292.41718,-503.04413,935.63708
113,0.933,299.06088,-501.41022,936.17456
114,0.942,307.86154,-501.55112,937.4115
115,0.95,312.74643,-500.88348,938.76599
116,0.958,322.77222,-500.70239,939.52045
117,0.967,329.79913,-498.75443,940.83374
118,0.975,337.32709,-499.41669,940.67657
119,0.983,345.4079,-497.29059,944.26929
120,0.992,352.25674,-498.22165,943.96381
121,1,359.11902,-496.55609,944.59235
122,1.008,365.16968,-497.60522,944.43091
123,1.017,373.03259,-495.14639,947.20575
124,1.025,379.77591,-496.09875,947.3606
125,1.033,386.73038,-494.88452,948.13867
126,1.042,392.68658,-495.36462,948.34381
127,1.05,401.1579,-493.44843,951.20514
128,1.058,406.2569,-495.81064,951.03253
129,1.067,413.97079,-494.11005,951.79065
130,1.075,419.0773,-495.58643,952.45941
131,1.083,426.17035,-494.63434,954.1767
132,1.092,433.02325,-495.41235,954.82068
133,1.1,439.06375,-493.77408,955.2934
134,1.108,445.69812,-494.62396,955.61377
135,1.117,452.87015,-491.60452,956.96857
136,1.125,458.01648,-494.27045,958.21002
137,1.133,463.77414,-492.52139,958.2301
138,1.142,470.09821,-493.00262,958.69745
139,1.15,475.76773,-492.53745,958.5448
140,1.158,483.12463,-492.92303,960.18756
141,1.167,489.77121,-489.95575,960.92749
142,1.175,495.17682,-492.12473,960.69531
143,1.183,502.41669,-489.62744,962.05536
144,1.192,507.23267,-493.18524,960.62292
145,1.2,510.47501,-493.07727,959.61249
146,1.208,520.48456,-491.09106,962.22186
147,1.217,525.58575,-491.17426,962.27319
148,1.225,531.88873,-492.65186,961.70538
149,1.233,538.3548,-492.34619,961.75439
150,1.242,545.02203,-491.62173,961.56281
151,1.25,551.02734,-491.43076,961.93719
152,1.258,559.30261,-489.65259,962.37317
153,1.267,564.04065,-492.24277,960.65521
154,1.275,569.1134,-492.34702,960.16962
155,1.283,578.63306,-490.2738,961.88391
156,1.292,585.33417,-490.93243,960.29053
157,1.3,588.47485,-492.80399,957.94568
158,1.308,594.89819,-492.87491,957.40979
159,1.317,603.68567,-491.17975,959.23083
160,1.325,609.62897,-492.9588,955.94946
161,1.333,616.5321,-492.62967,955.33783
162,1.342,623.98383,-491.78537,955.12262
163,1.35,629.21252,-493.06827,953.51257
164,1.358,636.67157,-493.23706,951.43573
165,1.367,643.95172,-493.04971,951.3645
166,1.375,654.2254,-492.09058,952.56213
167,1.383,659.31421,-493.32349,950.03796
168,1.392,667.07776,-492.35849,948.71271
169,1.4,674.47998,-493.17004,947.07452
170,1.408,681.31519,-494.62924,946.16699
171,1.417,689.49042,-495.1297,944.16248
172,1.425,696.4505,-495.82553,942.27234
