Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
76,0.625,-148.9438,-392.67007,1702.84131,-19.22593,-348.65887,1635.74463
77,0.633,-141.63852,-390.78748,1703.46362,-12.59435,-348.64795,1636.13
78,0.642,-133.66356,-391.49582,1703.22925,-4.37847,-347.35626,1635.26062
79,0.65,-125.88332,-390.71973,1703.11389,2.59795,-346.28952,1635.64722
80,0.658,-118.24953,-390.74118,1702.89685,9.37985,-345.48981,1634.75989
81,0.667,-110.75093,-390.82523,1702.13489,17.58023,-345.68921,1634.92273
82,0.675,-104.08015,-389.29349,1702.25623,25.55372,-345.10355,1634.56165
83,0.683,-96.66878,-389.36267,1702.22522,32.22283,-342.37375,1634.10095
84,0.692,-88.38803,-389.41968,1701.16064,39.58937,-343.578,1633.12
85,0.7,-81.30766,-387.65842,1701.25525,46.72445,-341.30591,1632.25769
86,0.708,-74.55422,-387.94992,1701.04736,54.21349,-342.49066,1633.08008
87,0.717,-66.35326,-385.8222,1700.29651,60.88305,-340.12476,1633.28369
88,0.725,-59.33336,-385.49927,1699.2312,68.85584,-339.11636,1631.4939
89,0.733,-52.89912,-383.83847,1698.06641,76.20876,-337.82605,1630.40649
90,0.742,-44.87833,-382.98544,1697.61609,83.7004,-337.20084,1628.66809
91,0.75,-37.09877,-383.12323,1697.17053,90.40816,-335.94901,1628.95996
92,0.758,-30.06544,-381.1712,1695.77856,98.40427,-335.92407,1628.52808
93,0.767,-22.14058,-380.84811,1695.67053,105.55594,-333.49759,1627.48389
94,0.775,-14.8621,-377.83087,1693.79285,112.55247,-332.80185,1627.37207
95,0.783,-8.22944,-376.55722,1693.13196,119.49692,-329.12793,1625.65283
96,0.792,0.17817,-375.20175,1692.92236,127.43075,-328.2587,1624.80396
97,0.8,7.00958,-372.05219,1691.62732,135.22604,-326.98743,1623.0929
98,0.808,14.60185,-371.39694,1691.24023,143.05518,-324.92154,1622.9364
99,0.817,22.26794,-369.65714,1690.17773,148.89249,-322.82681,1622.11426
100,0.825,29.41918,-367.28442,1689.13269,158.28549,-323.15204,1621.18494
101,0.833,37.37911,-365.37512,1689.42053,165.08038,-320.33029,1620.11902
102,0.842,44.82931,-364.65002,1689.07202,172.38019,-319.11737,1619.47217
103,0.85,52.21253,-362.34467,1687.70422,180.19276,-316.32394,1618.42627
104,0.858,59.03805,-359.01129,1687.88379,188.27913,-315.53812,1619.03589
105,0.867,66.92786,-358.80975,1687.84949,194.34991,-313.81049,1618.89526
106,0.875,74.34721,-355.83963,1686.99402,203.00612,-312.39206,1618.08435
107,0.883,82.15083,-354.67224,1687.85681,209.98741,-311.77628,1620.24426
108,0.892,89.24542,-352.20575,1688.20435,218.42667,-310.04944,1619.89941
109,0.9,96.0354,-350.40121,1688.58887,225.06737,-308.12372,1620.70288
110,0.908,103.76059,-348.28284,1689.16626,233.19102,-308.07501,1621.85156
111,0.917,111.04991,-345.74832,1689.45752,241.47572,-304.94095,1622.56946
112,0.925,119.17151,-345.1188,1689.87158,248.86845,-303.0322,1622.85034
113,0.933,126.05008,-342.4335,1690.85669,255.98212,-300.3493,1623.61292
114,0.942,134.48325,-341.35797,1692.59741,264.5416,-300.62222,1625.57373
115,0.95,142.07765,-339.02582,1693.06738,271.29092,-298.67126,1625.42981
116,0.958,149.48531,-337.94809,1694.20715,278.84875,-296.59253,1627.24463
117,0.967,157.11099,-335.89874,1694.43054,287.71826,-297.15305,1627.0658
118,0.975,165.2821,-335.31372,1695.60278,295.28403,-294.56332,1628.56519
119,0.983,172.26677,-332.405,1696.75879,302.31271,-292.64444,1628.52991
120,0.992,179.97374,-330.84851,1697.38904,310.41513,-291.26147,1630.12695
121,1,188.49844,-329.97485,1697.8501,317.95795,-290.28586,1630.71875
122,1.008,196.38451,-329.81494,1698.98816,325.84378,-289.68716,1631.69666
123,1.017,203.99864,-327.06918,1699.84167,333.94836,-288.50262,1633.49805
124,1.025,211.3925,-327.07266,1701.37085,340.93137,-286.71869,1632.92749
125,1.033,219.29178,-325.84525,1702.52356,349.00818,-286.64557,1634.53369
126,1.042,226.4953,-324.00882,1703.22656,357.2092,-285.53763,1634.48584
127,1.05,233.36687,-323.08029,1703.91577,363.68289,-284.95932,1636.11169
128,1.058,242.37468,-322.33926,1705.12085,371.31668,-285.05206,1636.63464
129,1.067,249.14192,-321.96005,1706.39124,380.65942,-284.96121,1637.62488
130,1.075,257.02667,-321.95602,1707.70032,386.30164,-284.3847,1638.1438
