Frame#,Time,R.Thigh.x,R.Thigh.y,R.Thigh.z,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z,R.Knee.x,R.Knee.y,R.Knee.z,R.Knee.Medial.x,R.Knee.Medial.y,R.Knee.Medial.z
44,0.358,73.32413,-185.9055,489.155,202.29321,-108.3037,523.14819,219.7598,-167.61867,428.8858,229.21016,-51.49204,429.41928
45,0.367,73.32413,-185.9055,489.155,202.20721,-108.35787,523.24188,219.7598,-167.61867,428.8858,229.40544,-51.54256,429.4845
46,0.375,73.33939,-185.60823,489.0932,202.00789,-108.67274,523.39972,219.73082,-167.99353,429.52609,229.3383,-51.78004,429.65927
47,0.383,73.06111,-185.91948,489.20889,201.90843,-108.61558,523.64917,219.65634,-168.01071,429.91565,229.56207,-52.12343,429.66339
48,0.392,73.04385,-185.8616,489.45474,201.74205,-109.0629,523.68024,219.7133,-168.40802,430.09262,229.57286,-52.40914,429.63599
49,0.4,73.05908,-185.56435,489.39301,201.53075,-109.1104,523.87872,219.82133,-168.88046,430.61301,229.57286,-52.40914,429.63599
50,0.408,73.04385,-185.8616,489.45474,201.56027,-109.2586,523.96143,219.82133,-168.88046,430.61301,229.52049,-52.51412,429.72507
51,0.417,73.05908,-185.56435,489.39301,201.54155,-109.28553,524.04401,219.64458,-169.22414,430.81915,229.11745,-52.8798,430.06595
52,0.425,72.72894,-185.67361,489.45721,201.53123,-109.36189,524.10809,219.92302,-169.77859,430.95132,229.12056,-52.85014,430.24646
53,0.433,72.72894,-185.67361,489.45721,201.45425,-109.6478,524.49048,219.77003,-169.73918,431.01651,229.11745,-52.8798,430.06595
54,0.442,72.89957,-186.08475,489.50159,201.57631,-109.85905,524.44849,219.77003,-169.73918,431.01651,229.53764,-52.89428,429.9122
55,0.45,72.89957,-186.08475,489.50159,201.66699,-109.71649,524.30725,219.92302,-169.77859,430.95132,229.53764,-52.89428,429.9122
56,0.458,72.83582,-186.11633,489.41046,201.68951,-109.72178,524.05597,219.72826,-169.9832,430.8136,229.1283,-53.16556,430.0386
57,0.467,72.92343,-186.61235,489.2934,201.36929,-109.92269,523.96667,219.40945,-170.09276,430.63776,229.54854,-53.18002,429.88486
58,0.475,72.92343,-186.61235,489.2934,201.36929,-109.92269,523.96667,219.40945,-170.09276,430.63776,229.54854,-53.18002,429.88486
59,0.483,72.92343,-186.61235,489.2934,201.35487,-109.9427,524.05402,219.13744,-169.96207,430.5459,229.54854,-53.18002,429.88486
60,0.492,72.92343,-186.61235,489.2934,201.36929,-109.92269,523.96667,219.26901,-170.00117,430.31158,229.36398,-53.41958,429.87622
61,0.5,72.84238,-186.71785,489.23361,201.36929,-109.92269,523.96667,219.04843,-170.11783,430.15189,229.20419,-53.64515,429.7424
62,0.508,72.67188,-186.30682,489.18921,201.29651,-110.08482,523.80334,218.89258,-170.02548,430.02927,229.08577,-53.93991,429.60837
63,0.517,72.73472,-186.75533,489.23734,201.33363,-110.21193,523.77081,218.84061,-169.78075,429.87601,229.08577,-53.93991,429.60837
64,0.525,72.34078,-186.645,489.44458,201.29651,-110.08482,523.80334,219.10526,-170.14491,430.01788,229.08577,-53.93991,429.60837
65,0.533,72.34078,-186.645,489.44458,201.33363,-110.21193,523.77081,219.04843,-170.11783,430.15189,229.08577,-53.93991,429.60837
66,0.542,72.41894,-186.7963,489.43094,201.33363,-110.21193,523.77081,219.04843,-170.11783,430.15189,229.08577,-53.93991,429.60837
