Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
1,0,1944.77954,141.9037,1008.03094
2,0.008,1942.14673,141.75069,1007.76917
3,0.017,1936.76843,141.00287,1006.72675
4,0.025,1933.76221,142.49228,1006.74646
5,0.033,1929.7002,142.94589,1005.53955
6,0.042,1924.09546,141.82878,1004.98596
7,0.05,1923.47168,145.09311,1004.14465
8,0.058,1919.32068,145.52652,1003.86609
9,0.067,1914.51477,145.37103,1002.98029
10,0.075,1909.52783,146.28104,1002.35687
11,0.083,1905.13806,146.77969,1001.43225
12,0.092,1899.61829,146.40128,1000.9267
13,0.1,1894.45813,147.31451,999.9173
14,0.108,1889.65576,147.64,999.53522
15,0.117,1884.24219,147.58226,998.16913
16,0.125,1878.41919,148.19475,997.34332
17,0.133,1873.62903,148.03282,996.47394
18,0.142,1868.26001,150.26247,995.02051
19,0.15,1861.92139,150.97289,993.65131
20,0.158,1857.32935,152.63225,992.54401
21,0.167,1851.31714,152.92618,991.84552
22,0.175,1846.33252,154.15286,990.28925
23,0.183,1840.64221,154.07391,989.11963
24,0.192,1835.01965,155.15259,988.09979
25,0.2,1828.99109,155.90968,987.16748
26,0.208,1822.76318,157.42867,986.13403
27,0.217,1817.09448,158.47893,984.76074
28,0.225,1811.03064,159.14134,983.677
29,0.233,1805.6897,160.47141,982.45264
30,0.242,1799.87329,161.60832,981.28729
31,0.25,1794.00623,163.11798,980.32977
32,0.258,1787.92212,165.60809,979.23956
33,0.267,1782.06116,167.15027,979.32483
34,0.275,1775.17773,167.55014,978.35992
35,0.283,1769.76672,168.48167,977.52808
36,0.292,1763.27307,171.21788,977.68945
37,0.3,1757.34888,171.46683,978.62457
38,0.308,1752.21704,172.00725,979.28473
39,0.317,1744.8407,173.65096,978.89441
40,0.325,1738.12793,176.05754,979.37177
41,0.333,1731.5199,176.93811,979.7666
42,0.342,1725.65198,177.69356,980.40363
43,0.35,1719.43188,180.25092,981.15051
44,0.358,1713.46887,180.58878,983.03363
45,0.367,1707.98035,182.56467,983.65607
46,0.375,1702.50659,183.90393,984.65283
47,0.383,1695.92383,186.02641,986.43927
48,0.392,1690.38049,188.10139,987.88898
49,0.4,1684.12134,189.09618,989.38043
50,0.408,1678.10718,190.63065,990.36279
51,0.417,1671.95752,192.30809,991.15436
52,0.425,1666.45618,195.33354,992.80597
53,0.433,1660.83997,197.22121,993.85303
54,0.442,1655.3479,199.42433,994.81409
55,0.45,1649.47449,202.16014,995.57062
56,0.458,1643.97974,204.25183,996.52301
57,0.467,1638.53784,206.87067,997.24988
58,0.475,1633.02551,209.36113,997.34351
59,0.483,1626.70105,211.44937,998.45575
60,0.492,1621.83923,213.25232,998.72095
61,0.5,1616.46399,215.53964,999.37268
62,0.508,1611.18457,217.5865,999.74536
63,0.517,1605.72925,219.88669,1000.21527
64,0.525,1600.63745,221.30916,1000.72534
65,0.533,1585.23022,216.07516,997.03589
66,0.542,1577.77747,216.28244,997.91754
67,0.55,1572.85303,218.0097,998.00537
68,0.558,1568.06262,220.01411,999.2179
69,0.567,1565.11853,221.89197,999.78882
70,0.575,1559.73743,223.41722,1000.8371
71,0.583,1552.64917,223.95761,1000.88208
72,0.592,1547.203,224.78107,1000.51953
73,0.6,1543.69666,224.9464,1000.95245
74,0.608,1537.1543,225.76791,1001.52771
75,0.617,1533.17969,227.08594,1000.75134
76,0.625,1528.23193,227.82724,1001.48615
77,0.633,1523.7373,229.15407,1002.15637
78,0.642,1519.28247,229.9019,1001.44452
79,0.65,1514.62036,230.50433,1001.63837
80,0.658,1508.41907,230.33369,1000.97156
81,0.667,1503.6377,230.62198,1001.56049
