Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,1966.20874,-146.06757,1318.48181
2,0.008,1962.62427,-146.88226,1317.771
3,0.017,1956.60559,-145.6485,1318.04602
4,0.025,1953.53589,-145.7596,1317.5509
5,0.033,1948.44568,-145.27396,1317.11243
6,0.042,1943.37854,-144.84042,1317.31055
7,0.05,1938.14221,-144.14684,1315.65576
8,0.058,1933.69531,-144.34337,1315.54224
9,0.067,1929.44934,-144.95999,1316.2854
10,0.075,1924.56116,-144.08661,1315.55725
11,0.083,1919.71155,-143.35309,1314.74121
12,0.092,1914.11145,-142.6377,1313.81372
13,0.1,1910.04285,-140.45091,1312.64172
14,0.108,1905.26379,-140.30785,1312.86292
15,0.117,1900.26868,-138.6799,1311.75073
16,0.125,1894.81067,-137.71303,1311.17273
17,0.133,1890.29333,-136.75565,1310.62231
18,0.142,1884.89294,-135.43388,1309.95837
19,0.15,1880.50806,-134.90689,1309.38464
20,0.158,1875.23816,-132.83881,1308.17432
21,0.167,1870.48975,-132.43553,1307.69519
22,0.175,1865.34644,-130.46564,1306.72083
23,0.183,1860.51099,-129.28816,1305.78271
24,0.192,1854.89099,-127.91071,1305.34814
25,0.2,1850.01514,-126.50527,1304.146
26,0.208,1844.93896,-123.58933,1303.43872
27,0.217,1839.3877,-122.54337,1301.93689
28,0.225,1834.45813,-120.97284,1301.52405
29,0.233,1828.93628,-118.62115,1301.38599
30,0.242,1824.03625,-116.93194,1301.11743
31,0.25,1818.26904,-114.92616,1300.41357
32,0.258,1813.16309,-113.21652,1300.25793
33,0.267,1807.47156,-111.19783,1299.97388
34,0.275,1802.20776,-109.12953,1300.56384
35,0.283,1796.52063,-107.95306,1300.50415
36,0.292,1790.00024,-105.85082,1300.06067
37,0.3,1785.06567,-104.4586,1300.53979
38,0.308,1778.98938,-101.85716,1301.77271
39,0.317,1774.29626,-100.5233,1302.44824
40,0.325,1769.13196,-97.78702,1302.42896
41,0.333,1763.54651,-95.62572,1303.28833
42,0.342,1758.98755,-93.77415,1304.71716
43,0.35,1753.48901,-91.81501,1306.03491
44,0.358,1748.57813,-89.97005,1307.31702
45,0.367,1743.65503,-87.9017,1308.49048
46,0.375,1738.01306,-85.35145,1309.4248
47,0.383,1733.26685,-82.94969,1310.71521
48,0.392,1728.29553,-81.01967,1311.82397
49,0.4,1723.82007,-79.35332,1312.91956
50,0.408,1717.9895,-76.57726,1313.7644
51,0.417,1712.9967,-74.92471,1315.32678
52,0.425,1708.69714,-73.15105,1316.03662
53,0.433,1704.0094,-70.50487,1317.4989
54,0.442,1699.18567,-68.53352,1318.37622
55,0.45,1693.67126,-67.16368,1318.86719
56,0.458,1690.06543,-64.88187,1319.00684
57,0.467,1684.54639,-63.70177,1320.31274
58,0.475,1679.65649,-61.31909,1320.97998
59,0.483,1674.35217,-59.65761,1321.26331
60,0.492,1670.71057,-58.45274,1322.22388
61,0.5,1666.23926,-57.14881,1322.02966
62,0.508,1660.66516,-56.51015,1323.00012
63,0.517,1654.98584,-55.3086,1323.97205
64,0.525,1651.49597,-53.20183,1324.04041
65,0.533,1646.85352,-51.99268,1325.44604
66,0.542,1642.02869,-51.50084,1325.97961
67,0.55,1636.86157,-49.97385,1326.71216
68,0.558,1631.83374,-49.93279,1326.78271
69,0.567,1627.55298,-48.52475,1327.20422
70,0.575,1622.97412,-47.69816,1327.6571
71,0.583,1617.55957,-46.96772,1328.15283
72,0.592,1613.76782,-45.34763,1328.54785
73,0.6,1608.68298,-44.89254,1328.8064
74,0.608,1603.34509,-44.13988,1329.26123
75,0.617,1600.4187,-43.61664,1329.47058
76,0.625,1595.11243,-42.72979,1329.61804
77,0.633,1591.33594,-41.51555,1329.47241
78,0.642,1586.57471,-41.42506,1328.88513
79,0.65,1581.25745,-41.12963,1329.37097
80,0.658,1578.12537,-40.86755,1329.20593
81,0.667,1573.57312,-39.68719,1327.94519
82,0.675,1567.65063,-40.49674,1328.11853
