Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
1,0,1881.05676,-82.16834,1492.57935,1745.01526,-67.36664,1307.99146
2,0.008,1876.54089,-83.04785,1491.64075,1741.67151,-66.33966,1307.37866
3,0.017,1871.31262,-82.97321,1492.14148,1736.0791,-66.0563,1307.28491
4,0.025,1866.86621,-82.1462,1491.5105,1730.91785,-66.34981,1305.70593
5,0.033,1862.04077,-82.44301,1490.78369,1726.83411,-68.42855,1306.09021
6,0.042,1856.85828,-80.54153,1490.1748,1721.39526,-66.6569,1304.65381
7,0.05,1851.30139,-79.1981,1490.09534,1715.92834,-67.45883,1304.72913
8,0.058,1847.10486,-79.14574,1488.99255,1712.24829,-67.21703,1304.62891
9,0.067,1841.58069,-79.32037,1489.23364,1706.15271,-65.13733,1303.9519
10,0.075,1837.10291,-78.8448,1487.26758,1701.22595,-66.48523,1302.56653
11,0.083,1833.16931,-77.2355,1486.61841,1697.41003,-65.64133,1301.56543
12,0.092,1827.74829,-76.47945,1486.31494,1692.61694,-62.22084,1302.77551
13,0.1,1822.93433,-76.01703,1486.4823,1687.36426,-61.8533,1302.91248
14,0.108,1817.8429,-75.99344,1485.86536,1681.10229,-61.43894,1299.7334
15,0.117,1813.51453,-74.127,1484.72205,1677.50659,-60.85159,1300.1001
16,0.125,1808.79712,-72.27283,1483.30505,1672.73145,-58.48994,1300.02881
17,0.133,1803.60583,-71.06676,1482.50122,1666.32092,-58.91222,1299.60022
18,0.142,1798.80127,-69.97005,1482.21484,1660.77393,-58.83567,1299.04919
19,0.15,1793.47998,-68.12357,1481.25928,1657.65344,-53.89595,1297.9762
20,0.158,1789.70276,-67.99986,1480.37012,1655.62183,-54.06876,1297.29749
21,0.167,1783.83289,-65.42373,1479.96277,1650.15479,-50.99435,1298.37305
22,0.175,1779.55835,-64.40298,1479.54663,1644.00867,-50.82774,1297.56445
23,0.183,1774.42212,-63.10493,1478.16248,1639.63904,-46.74584,1296.39368
24,0.192,1769.65955,-60.62955,1477.98547,1633.82861,-48.73996,1295.35754
25,0.2,1764.28381,-59.51972,1476.21997,1628.02795,-45.90487,1295.27393
26,0.208,1760.0188,-57.6091,1476.03503,1623.21313,-44.02784,1293.66675
27,0.217,1754.63953,-56.07304,1473.88403,1617.67578,-43.16911,1293.40137
28,0.225,1750.02295,-53.84386,1474.4436,1612.24097,-45.63329,1292.01965
29,0.233,1744.03967,-52.20851,1473.13647,1606.23083,-41.57213,1290.55676
30,0.242,1739.43921,-50.73857,1472.80554,1600.30176,-37.17676,1290.40845
31,0.25,1734.05884,-49.49621,1471.45435,1594.57495,-37.72367,1290.08215
32,0.258,1729.74097,-46.3341,1472.12195,1588.22021,-38.03777,1289.36243
33,0.267,1722.96936,-44.23386,1471.74805,1583.92639,-35.54738,1288.41528
34,0.275,1716.83582,-42.03232,1471.40869,1576.02417,-35.57612,1290.49878
35,0.283,1712.4585,-39.32645,1471.99683,1571.13,-35.57458,1290.87988
36,0.292,1707.84119,-38.18673,1471.38147,1569.15125,-30.68421,1291.70947
37,0.3,1701.1427,-35.91581,1471.27856,1560.4646,-28.99543,1290.15125
38,0.308,1696.02112,-33.92939,1472.073,1553.74121,-26.86227,1290.27942
39,0.317,1689.88806,-31.36968,1473.78699,1552.32849,-25.83273,1292.91748
40,0.325,1684.85547,-29.11017,1473.76599,1546.30737,-24.57917,1292.82007
41,0.333,1680.22778,-27.38116,1475.177,1541.11877,-21.79014,1294.28711
42,0.342,1673.83337,-25.93337,1477.22119,1535.59253,-18.94688,1293.27466
43,0.35,1667.91052,-23.31513,1477.38684,1532.66284,-19.38596,1296.177
44,0.358,1662.77209,-21.50324,1479.4353,1527.7063,-15.08966,1297.67188
45,0.367,1657.83911,-19.04594,1480.37012,1519.62024,-16.13043,1297.12927
46,0.375,1652.37122,-17.6665,1482.13135,1517.7644,-8.7487,1298.95044
47,0.383,1647.38062,-15.85118,1483.2439,1510.47473,-11.98157,1299.62305
48,0.392,1641.88696,-14.19806,1483.5321,1506.61292,-10.07506,1301.57886
49,0.4,1635.68018,-13.35065,1484.72949,1500.78516,-7.35223,1301.0907
50,0.408,1631.67932,-11.08956,1485.67676,1492.93542,-6.32246,1305.19238
51,0.417,1626.82385,-8.94459,1486.77661,1493.46765,-4.18658,1306.36646
52,0.425,1622.43152,-7.90922,1487.65063,1484.84375,-4.21988,1305.61816
53,0.433,1617.58203,-5.83636,1489.37061,1478.01013,-2.33117,1308.01868
54,0.442,1612.44946,-4.50369,1489.54712,1474.55823,2.03035,1308.29871
55,0.45,1607.80615,-2.60448,1490.92761,1469.29004,-0.86474,1309.245
56,0.458,1603.47644,-1.56078,1491.55518,1462.04211,-0.64445,1311.55127
57,0.467,1598.29968,0.31624,1491.0083,1457.97205,4.84377,1312.66028
58,0.475,1592.97595,1.91164,1491.55542,1454.60681,2.38502,1311.76868
59,0.483,1587.71912,3.12973,1492.25488,1448.25012,4.49315,1311.5448
60,0.492,1582.56482,4.72321,1493.29065,1442.28845,6.4613,1313.96204
61,0.5,1578.78491,5.49059,1492.45374,1438.13562,3.04699,1313.12598
62,0.508,1573.41516,5.70458,1493.52185,1431.44092,5.58573,1313.91895
63,0.517,1568.08167,6.32897,1493.84412,1426.67603,8.79668,1314.20911
64,0.525,1563.89929,8.68091,1494.24329,1421.7948,4.87115,1312.73096
65,0.533,1558.48853,9.5851,1495.3855,1416.52991,8.0354,1314.91797
66,0.542,1551.99011,10.59817,1494.5459,1411.2666,10.8769,1315.86841
67,0.55,1547.3623,11.26044,1495.11816,1408.67322,9.88473,1315.12488
68,0.558,1543.08447,11.01558,1495.77026,1402.77905,12.01809,1315.37195
69,0.567,1537.41284,11.45577,1495.5813,1398.12219,10.90475,1314.76001
70,0.575,1532.06738,13.12327,1495.62769,1393.88989,11.13667,1314.41016
71,0.583,1527.86011,14.87313,1496.48315,1388.21497,14.43458,1314.85559
72,0.592,1524.3147,14.11305,1497.71204,1384.80994,12.01483,1313.45081
73,0.6,1516.96692,14.29157,1496.30957,1378.73816,12.75223,1315.24792
74,0.608,1512.12366,14.9745,1496.21118,1375.0603,11.10344,1314.72791
75,0.617,1508.61633,15.3089,1496.34253,1369.50891,13.05187,1314.59009
76,0.625,1502.98242,15.71642,1496.39001,1365.91479,14.27776,1315.12134
77,0.633,1497.62573,16.59668,1496.78064,1360.04004,13.31438,1313.91211
78,0.642,1493.82495,14.933,1495.91785,1356.20825,13.74877,1313.97314
79,0.65,1487.91016,16.5963,1495.88525,1352.24963,13.67848,1313.552
80,0.658,1484.2616,17.27144,1496.2832,1347.16968,13.53938,1313.10547
81,0.667,1479.2926,16.58374,1495.48511,1342.6272,13.10777,1312.35645
82,0.675,1474.48901,16.90971,1496.19763,1337.68652,15.70545,1312.23413
83,0.683,1470.30579,16.26626,1495.89917,1333.72644,12.84538,1311.36218
84,0.692,1463.99707,17.60175,1494.88757,1328.31482,14.72417,1311.93152
85,0.7,1461.71973,17.25755,1494.92639,1324.60681,12.29071,1311.06848
86,0.708,1455.6665,17.74779,1493.35205,1319.13171,13.98428,1311.43433
87,0.717,1451.37598,17.40825,1493.28357,1316.75464,13.49948,1311.84973
88,0.725,1447.22131,16.50253,1493.07837,1309.93848,14.08209,1311.42432
89,0.733,1442.50867,17.08901,1492.34546,1305.42493,10.6048,1309.97839
90,0.742,1437.39526,15.66063,1492.01807,1299.38452,11.6288,1309.31921
91,0.75,1435.74475,15.37712,1491.24011,1295.63342,9.03982,1308.3175
92,0.758,1427.34436,15.54349,1490.61194,1291.36572,11.82533,1308.17432
93,0.767,1423.37036,14.14344,1488.68213,1285.70959,11.21792,1307.03284
94,0.775,1418.16187,14.91408,1488.75073,1280.59143,9.41132,1306.21472
95,0.783,1414.32861,14.15422,1487.13647,1275.51819,10.09418,1305.42395
96,0.792,1409.44885,14.6013,1487.19543,1270.77319,8.56649,1304.97559
97,0.8,1404.07422,13.16797,1486.04468,1265.53235,7.44959,1303.75745
98,0.808,1398.71045,12.19735,1484.95422,1261.30176,7.39823,1303.35779
99,0.817,1394.34558,11.62606,1485.33838,1255.45715,6.51911,1302.84961
100,0.825,1389.77881,10.19046,1484.25476,1250.96667,5.56953,1300.87476
101,0.833,1383.20068,10.22968,1482.84937,1245.98474,4.30397,1300.4342
102,0.842,1379.81335,7.18599,1482.1571,1240.85181,3.13266,1299.79944
103,0.85,1374.67346,6.72671,1480.74866,1237.68359,4.94376,1299.27356
104,0.858,1371.12891,5.10063,1480.74219,1230.4093,1.20434,1297.97168
105,0.867,1364.93323,5.65644,1479.75623,1225.45813,0.82823,1297.19226
106,0.875,1359.18982,3.66579,1477.85498,1219.17944,-1.34268,1297.41199
107,0.883,1355.49768,1.6459,1477.3363,1214.44043,-0.75566,1296.9436
108,0.892,1349.07764,1.76608,1475.54065,1209.32861,-3.51649,1296.43933
109,0.9,1345.14685,-0.98367,1475.7666,1203.93396,-0.42972,1298.0188
110,0.908,1339.04004,-2.11077,1474.01208,1197.99048,-6.46863,1294.92188
111,0.917,1334.33459,-4.97096,1472.13452,1191.18042,-5.82863,1295.3468
112,0.925,1329.83081,-7.6597,1472.10437,1186.8175,-9.29523,1294.05725
113,0.933,1325.2019,-8.86721,1471.74304,1181.04602,-11.24972,1293.30188
114,0.942,1318.32117,-9.62977,1471.03662,1176.87952,-11.20265,1293.27014
115,0.95,1312.73376,-12.49963,1470.9021,1170.11731,-14.96521,1292.92773
116,0.958,1308.03162,-14.79822,1470.9032,1165.91467,-14.07011,1292.19556
117,0.967,1301.71521,-15.97375,1470.33057,1157.63635,-15.79185,1292.19116
118,0.975,1295.62854,-17.605,1469.71484,1152.55566,-19.18463,1291.35486
119,0.983,1290.53052,-20.49377,1470.56128,1145.98779,-19.67433,1291.20227
120,0.992,1285.10193,-23.83591,1469.9707,1140.2323,-24.58706,1292.18884
121,1,1278.35876,-23.37823,1470.86536,1135.396,-22.6459,1291.45715
