Frame#,Time,R.Shank.x,R.Shank.y,R.Shank.z
1,0,1880.95862,276.79111,978.02167
2,0.008,1873.83459,276.50925,976.42365
3,0.017,1871.36304,276.44821,976.76288
4,0.025,1867.45117,277.84125,974.42963
5,0.033,1864.60938,277.52634,974.06366
6,0.042,1859.51758,277.56995,972.26971
7,0.05,1855.93811,278.09058,972.33423
8,0.058,1850.78552,277.91489,971.4137
9,0.067,1846.65344,278.47012,971.52441
10,0.075,1841.89539,279.48074,970.33746
11,0.083,1837.02686,279.21707,969.10663
12,0.092,1833.03857,280.09778,968.33899
13,0.1,1826.88867,280.2226,967.7298
14,0.108,1823.1781,281.74478,966.87152
15,0.117,1818.99524,283.21469,966.02747
16,0.125,1814.26514,284.47696,964.23694
17,0.133,1808.76917,283.58856,963.02704
18,0.142,1804.36328,284.79272,961.08777
19,0.15,1798.34583,284.18973,960.65424
20,0.158,1792.91687,285.65656,959.08374
21,0.167,1787.39355,287.2341,957.68597
22,0.175,1782.71289,287.52682,956.52509
23,0.183,1777.22375,289.25119,955.82245
24,0.192,1769.4812,290.34366,954.60358
25,0.2,1765.40808,290.40216,953.45898
26,0.208,1759.96021,292.69073,951.36743
27,0.217,1753.37866,292.34232,949.8476
28,0.225,1747.69067,294.42148,948.9953
29,0.233,1741.34912,294.41022,947.6134
30,0.242,1736.04224,296.28867,945.52582
31,0.25,1729.18701,298.48087,945.12341
32,0.258,1721.87341,299.88828,944.388
33,0.267,1715.99927,297.83734,943.03864
34,0.275,1710.06323,299.79819,943.02185
35,0.283,1703.04187,301.65704,942.62207
36,0.292,1696.00806,302.59943,942.19318
37,0.3,1688.35498,304.08069,942.64154
38,0.308,1683.07959,304.26157,941.84607
39,0.317,1676.37109,305.47232,941.03583
40,0.325,1669.97681,306.85693,941.40381
41,0.333,1662.62219,307.54584,942.48022
42,0.342,1655.88708,309.39435,942.22369
43,0.35,1650.71521,310.02139,942.43585
44,0.358,1643.37329,311.03391,943.69989
45,0.367,1637.12561,312.20071,944.2207
46,0.375,1628.93933,313.60785,945.93884
47,0.383,1621.86047,314.95709,946.7782
48,0.392,1614.64807,315.71826,948.19537
49,0.4,1609.75037,317.79477,950.1134
50,0.408,1602.82117,318.21628,950.62799
51,0.417,1595.69092,319.94681,950.85394
52,0.425,1587.86133,320.58472,951.32489
53,0.433,1580.58472,322.11325,953.01581
54,0.442,1573.83862,324.87057,953.89307
55,0.45,1567.49194,326.62289,954.63776
56,0.458,1560.91504,327.44809,955.65613
57,0.467,1554.08948,328.51785,956.80115
58,0.475,1548.75195,330.60562,957.30432
59,0.483,1540.58838,330.82715,958.35895
60,0.492,1533.875,333.34277,958.82837
61,0.5,1526.80664,335.00635,960.29437
62,0.508,1519.71936,335.88199,961.50214
63,0.517,1513.19568,337.40085,961.69434
64,0.525,1507.46167,338.125,962.37256
65,0.533,1501.62219,339.56638,962.70325
66,0.542,1494.25037,340.86761,963.74054
67,0.55,1487.72498,341.17609,964.422
68,0.558,1481.33887,342.53192,964.62866
69,0.567,1476.19409,342.2265,964.81226
70,0.575,1470.19568,343.31143,965.3595
71,0.583,1464.00171,343.78598,966.57361
72,0.592,1457.22742,343.82458,967.5307
73,0.6,1452.88403,344.78772,967.8028
74,0.608,1446.54346,346.03622,967.90479
75,0.617,1440.37659,345.98706,967.93188
76,0.625,1435.33899,345.47455,967.2262
77,0.633,1429.59875,346.11963,967.31091
78,0.642,1424.39917,346.18063,968.1806
79,0.65,1419.11829,346.7012,967.27765
80,0.658,1413.71387,346.53247,967.70795
81,0.667,1407.96472,346.34689,966.92267
82,0.675,1403.76489,347.44809,967.49976
83,0.683,1398.87671,347.53406,966.60352
84,0.692,1394.08081,347.02243,965.73627
