Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
1,0,-1193.94421,201.47177,1347.93481
2,0.008,-1188.05249,202.22902,1348.6604
3,0.017,-1182.25427,202.33405,1349.45056
4,0.025,-1176.22571,203.07256,1349.23633
5,0.033,-1169.4281,203.08917,1348.91187
6,0.042,-1163.32153,202.64098,1349.68555
7,0.05,-1156.81409,202.75203,1349.85718
8,0.058,-1150.39966,204.09879,1348.72131
9,0.067,-1144.59546,203.35825,1349.03296
10,0.075,-1138.00708,202.69147,1350.349
11,0.083,-1131.72327,202.71562,1349.38831
12,0.092,-1125.48657,202.83815,1349.56042
13,0.1,-1119.74597,202.00768,1350.16516
14,0.108,-1113.90918,201.79504,1349.03711
15,0.117,-1107.49243,200.81876,1349.78601
16,0.125,-1101.15942,200.49184,1349.72021
17,0.133,-1094.71021,199.59201,1348.1311
18,0.142,-1089.14172,199.48933,1348.37219
19,0.15,-1082.40967,199.40163,1347.30981
20,0.158,-1076.28882,197.97276,1346.93469
21,0.167,-1070.17163,197.45985,1345.97815
22,0.175,-1064.75757,196.15718,1345.28467
23,0.183,-1057.7738,194.94289,1342.88062
24,0.192,-1051.51697,194.27312,1343.19373
25,0.2,-1046.35828,193.81335,1341.74963
26,0.208,-1040.51746,193.29178,1341.10815
27,0.217,-1034.55286,191.27356,1339.7926
28,0.225,-1029.39539,190.91084,1338.77393
29,0.233,-1022.97058,189.2072,1337.51636
30,0.242,-1016.53516,186.18044,1335.15564
31,0.25,-1012.97601,186.27629,1334.64258
32,0.258,-1006.49884,185.38245,1332.89355
33,0.267,-1000.51331,183.22177,1331.7196
34,0.275,-993.88159,181.13341,1331.06482
35,0.283,-987.85394,180.19107,1330.56616
36,0.292,-980.65723,178.04501,1331.13013
37,0.3,-974.19904,178.1087,1331.18066
38,0.308,-967.26886,177.35406,1331.59436
39,0.317,-961.6825,176.92094,1332.0929
40,0.325,-955.71075,175.56555,1332.97229
41,0.333,-948.41388,174.71887,1334.26733
42,0.342,-941.7113,174.67046,1335.01843
43,0.35,-934.87323,173.77861,1335.5863
44,0.358,-930.00043,173.1254,1337.96008
45,0.367,-924.65875,170.69336,1338.22229
46,0.375,-918.48102,170.63895,1338.6947
47,0.383,-912.37177,169.09714,1339.63611
48,0.392,-906.0155,167.05812,1339.87463
49,0.4,-900.42426,166.27896,1341.33447
50,0.408,-894.83643,164.75958,1342.09644
51,0.417,-889.51831,163.63103,1341.89734
52,0.425,-882.4856,162.87541,1342.45105
53,0.433,-877.53833,163.38892,1343.59631
54,0.442,-871.96136,159.22955,1343.94543
55,0.45,-865.80078,158.64915,1344.2998
56,0.458,-860.57507,158.31535,1344.64856
57,0.467,-855.289,156.97913,1345.04224
58,0.475,-848.83496,155.83142,1345.65112
59,0.483,-843.63464,155.51762,1345.62683
60,0.492,-838.85583,154.69179,1345.38989
61,0.5,-833.3476,153.59407,1346.05762
62,0.508,-826.6048,152.83299,1347.18091
63,0.517,-822.24011,151.73405,1347.38916
64,0.525,-816.78333,151.57607,1347.98853
65,0.533,-811.82977,149.74396,1349.23438
66,0.542,-807.16663,150.54469,1349.14355
67,0.55,-801.84406,150.29161,1349.21716
68,0.558,-797.06775,147.03549,1349.59351
69,0.567,-791.65161,147.28659,1350.37817
70,0.575,-785.90216,146.19,1349.8866
71,0.583,-781.52881,145.76357,1350.30603
72,0.592,-775.50031,145.54146,1348.88281
73,0.6,-771.21924,142.66306,1349.36365
74,0.608,-765.46777,142.66258,1349.57336
75,0.617,-760.51721,141.97118,1349.51257
76,0.625,-756.3075,141.54094,1349.86169
77,0.633,-750.83325,142.37495,1350.0116
78,0.642,-744.82715,141.63208,1349.96252
79,0.65,-739.00775,140.07254,1349.33374
80,0.658,-733.74146,139.56674,1349.15625
