Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
1,0,-1154.95691,100.94675,1526.15222,-966.10809,111.115,1366.3551
2,0.008,-1149.71423,100.51323,1525.97595,-959.86774,112.44257,1366.34106
3,0.017,-1144.18591,100.06434,1526.55518,-955.92047,112.58797,1366.1814
4,0.025,-1137.8916,100.30839,1526.0968,-951.36969,110.97335,1365.85291
5,0.033,-1133.14746,99.64723,1525.94226,-942.57391,109.08704,1366.06995
6,0.042,-1127.08521,99.22815,1525.40125,-937.91852,110.56732,1366.34924
7,0.05,-1121.31396,99.0332,1525.88232,-933.9986,110.05051,1366.79309
8,0.058,-1115.43518,98.00304,1525.39111,-925.75226,113.1395,1367.11011
9,0.067,-1109.29688,97.82133,1524.63354,-919.99597,110.06836,1366.5033
10,0.075,-1103.41968,97.83438,1524.51038,-915.36981,106.98814,1366.62756
11,0.083,-1096.82141,97.10587,1525.45654,-908.02295,110.56886,1367.94226
12,0.092,-1091.37122,96.71817,1524.61584,-901.46838,106.30987,1365.87085
13,0.1,-1085.35291,97.33277,1524.4563,-896.75385,108.0319,1366.05383
14,0.108,-1079.25623,96.50639,1523.65991,-888.2594,106.50217,1365.58838
15,0.117,-1073.91467,95.77244,1523.23059,-883.98871,103.47315,1365.68262
16,0.125,-1067.76147,95.1255,1522.66895,-877.46075,103.77744,1365.55078
17,0.133,-1062.62781,94.67395,1521.22913,-870.19067,104.54382,1365.62451
18,0.142,-1055.64539,93.82851,1520.17737,-865.79987,101.32892,1364.94775
19,0.15,-1049.64905,92.63385,1519.0448,-856.84247,104.55437,1365.68286
20,0.158,-1043.65771,92.3119,1517.73938,-852.16241,101.8215,1363.02893
21,0.167,-1037.31055,91.503,1518.19739,-846.23816,103.06194,1363.60352
22,0.175,-1031.6698,90.45348,1517.29041,-837.76563,101.69224,1362.12231
23,0.183,-1025.2677,90.21418,1516.29639,-833.74341,98.04176,1360.9541
24,0.192,-1020.20453,88.99275,1515.93506,-826.97034,99.17244,1361.56873
25,0.2,-1012.34851,87.42956,1513.77942,-820.07526,99.18966,1360.46777
26,0.208,-1006.67365,86.92075,1512.88489,-815.52045,94.9698,1357.78735
27,0.217,-1001.75507,86.25896,1511.82593,-808.84473,96.01025,1358.71973
28,0.225,-995.98041,84.94289,1510.82861,-801.89746,96.2244,1356.97302
29,0.233,-989.20197,84.0055,1509.8457,-797.90002,92.13253,1354.96533
30,0.242,-982.78723,82.41755,1507.8811,-792.95013,89.10797,1352.92285
31,0.25,-978.16675,82.13136,1507.44397,-784.0979,92.53355,1352.32935
32,0.258,-971.80121,79.74718,1506.14551,-779.91589,89.06514,1350.63477
33,0.267,-965.31299,78.15564,1505.45959,-775.23987,85.61876,1348.69055
34,0.275,-958.43536,76.73367,1504.75806,-767.84393,87.57206,1349.97681
35,0.283,-951.36591,75.12845,1504.23828,-761.7804,86.11359,1348.89893
36,0.292,-945.82294,73.70265,1504.82166,-757.22144,83.42934,1350.08972
37,0.3,-939.6142,73.105,1505.01233,-748.48773,81.77549,1349.84631
38,0.308,-934.94318,71.79829,1506.46277,-743.14917,82.70296,1350.66187
39,0.317,-928.26172,70.92384,1506.28552,-736.33197,78.12586,1350.65039
40,0.325,-921.82391,68.99832,1506.229,-730.45807,79.59932,1352.3324
41,0.333,-914.49921,67.82483,1506.96558,-722.68146,77.97346,1352.67908
42,0.342,-908.89685,66.8601,1507.69543,-718.16534,75.41705,1353.33997
43,0.35,-902.59167,66.24136,1509.68457,-711.18988,74.64579,1353.99939
44,0.358,-897.91718,65.5695,1511.58838,-705.17328,75.62059,1355.79187
45,0.367,-891.21033,64.53426,1513.15186,-700.45599,72.3055,1356.12598
