Frame#,Time,L.Thumb.M2.x,L.Thumb.M2.y,L.Thumb.M2.z,L.Finger3.M2.x,L.Finger3.M2.y,L.Finger3.M2.z
1,0,-1237.90076,23.46547,1228.10437,-1126.51196,-113.57506,1173.18579
2,0.008,-1232.81934,23.54777,1228.09827,-1121.75281,-115.06647,1173.57715
3,0.017,-1227.96033,24.46159,1228.86011,-1116.48584,-112.33854,1173.24792
4,0.025,-1221.953,25.1714,1228.67444,-1112.49731,-113.03557,1173.61133
5,0.033,-1216.63879,25.39544,1229.02075,-1109.19995,-113.93305,1173.39355
6,0.042,-1211.7262,26.20579,1228.8949,-1102.72131,-111.57455,1172.44385
7,0.05,-1206.84619,26.26318,1229.49634,-1098.49121,-111.81722,1172.65002
8,0.058,-1200.88684,26.7897,1228.93262,-1094.38818,-113.14548,1172.69128
9,0.067,-1194.64514,26.89735,1228.6322,-1089.05908,-114.76669,1172.2179
10,0.075,-1189.15051,27.16007,1228.08875,-1083.46643,-112.11906,1171.53882
11,0.083,-1183.98096,26.7843,1228.23145,-1079.55237,-113.77826,1171.6709
12,0.092,-1177.17529,27.53896,1228.01038,-1074.27051,-115.02197,1170.90002
13,0.1,-1171.71057,26.70404,1228.21814,-1067.80884,-112.9927,1170.74866
14,0.108,-1165.44592,27.35803,1227.97083,-1062.85095,-113.89909,1170.74219
15,0.117,-1160.51892,27.44472,1227.52747,-1057.40784,-116.0519,1169.54919
16,0.125,-1153.46655,27.6655,1226.75439,-1052.10999,-115.66174,1169.78333
17,0.133,-1148.21265,27.15236,1226.68042,-1045.57446,-116.07618,1167.94592
18,0.142,-1140.88062,25.84874,1226.04138,-1040.48511,-117.7538,1167.35352
19,0.15,-1135.55835,24.5541,1225.3269,-1033.22253,-116.49493,1167.26538
20,0.158,-1129.02893,23.98264,1224.2937,-1027.5509,-116.96548,1165.76904
21,0.167,-1122.86975,22.55038,1223.48035,-1022.27441,-118.7598,1165.02087
22,0.175,-1116.34766,22.00089,1222.13831,-1015.57043,-116.00084,1164.25842
23,0.183,-1109.73389,21.61248,1220.65271,-1009.51135,-119.07306,1162.94092
24,0.192,-1104.41736,20.79576,1219.96973,-1003.25677,-121.70107,1161.74219
25,0.2,-1097.47302,19.08604,1218.56445,-996.94226,-121.93951,1160.58435
26,0.208,-1090.84839,18.375,1216.31335,-990.46631,-121.51231,1159.58826
27,0.217,-1084.15161,17.18573,1216.13562,-983.71423,-123.79073,1158.47693
28,0.225,-1077.91821,16.64109,1213.90295,-977.67157,-123.42436,1157.521
29,0.233,-1071.35327,14.09223,1212.70776,-970.4704,-124.78997,1155.75208
30,0.242,-1065.33105,13.60093,1210.83813,-964.36053,-127.62936,1154.3324
31,0.25,-1058.66711,12.22586,1209.10303,-958.24463,-129.481,1153.38281
32,0.258,-1052.51831,10.80404,1208.05884,-950.63367,-127.84376,1151.42773
33,0.267,-1046.49536,10.31391,1206.25769,-943.89386,-130.83093,1149.69312
34,0.275,-1040.09595,9.00289,1205.68677,-938.36493,-133.14815,1148.99243
35,0.283,-1034.27795,7.83568,1205.80933,-930.1131,-131.43314,1147.98083
36,0.292,-1027.77478,6.76618,1205.57605,-923.82043,-133.5565,1146.70972
37,0.3,-1022.05084,6.01959,1205.97424,-917.11542,-135.97374,1147.64697
38,0.308,-1015.46503,5.31122,1206.56445,-909.35535,-134.1095,1147.08655
39,0.317,-1010.29358,4.99174,1207.29504,-903.1701,-137.79626,1147.59668
40,0.325,-1004.4787,4.04576,1208.57813,-895.30182,-137.84999,1147.63647
41,0.333,-998.19165,2.56926,1209.52466,-888.23181,-138.54344,1149.22693
42,0.342,-992.18481,2.10347,1209.86145,-882.0108,-140.59384,1150.3125
43,0.35,-986.59113,1.30018,1210.80225,-874.83893,-140.30194,1151.58411
44,0.358,-980.10345,0.00127,1211.36975,-866.55396,-141.82738,1152.40942
45,0.367,-973.61139,-0.86112,1212.66199,-860.74225,-143.97884,1153.29211
46,0.375,-967.42169,-2.67383,1213.70972,-853.07806,-144.64554,1155.69043
47,0.383,-960.49677,-3.3362,1214.09302,-845.93726,-144.23975,1155.80933
48,0.392,-955.05225,-6.06199,1214.99219,-840.08643,-146.57443,1157.59937
49,0.4,-947.78662,-6.66464,1215.16711,-832.32111,-148.21333,1158.78625
50,0.408,-941.72156,-7.38931,1216.17273,-825.22729,-148.19423,1159.33984
51,0.417,-934.8158,-8.48157,1216.67969,-819.36841,-150.16895,1160.42798
52,0.425,-929.59778,-10.20469,1216.92737,-812.03546,-150.84732,1160.68567
53,0.433,-922.72028,-13.60571,1217.44043,-805.06445,-151.63278,1161.45557
54,0.442,-916.64355,-14.14746,1218.56775,-798.2243,-153.91364,1162.55908
55,0.45,-910.16406,-15.29665,1218.26648,-790.15741,-153.08018,1162.25867
56,0.458,-904.2171,-16.06653,1219.0321,-783.9303,-154.43179,1162.41504
57,0.467,-898.16626,-18.06983,1219.44275,-776.9585,-156.04927,1161.82312
58,0.475,-892.66901,-18.63971,1218.91638,-769.05682,-155.97023,1162.74512
59,0.483,-886.70117,-19.64779,1220.31152,-763.07617,-158.20407,1161.7002
60,0.492,-881.16174,-20.05545,1220.52209,-754.94244,-156.68422,1162.40674
61,0.5,-875.02161,-21.87091,1220.63696,-748.95416,-158.92026,1162.21167
62,0.508,-868.96582,-22.80068,1221.62415,-740.49359,-157.29651,1162.79968
63,0.517,-863.21252,-23.97373,1221.82544,-734.7395,-159.15298,1163.04004
64,0.525,-858.8147,-24.22439,1222.37939,-727.08148,-159.48453,1162.40051
65,0.533,-852.40662,-25.04859,1223.19153,-719.97882,-159.38837,1162.26636
66,0.542,-847.00781,-26.45574,1223.67493,-713.24457,-159.04112,1163.28516
67,0.55,-841.76929,-27.27519,1223.26746,-706.68915,-158.85135,1163.28833
68,0.558,-835.3045,-28.09562,1223.73499,-700.97095,-159.27177,1164.11646
69,0.567,-829.73553,-29.41688,1224.15027,-693.65472,-158.46518,1164.1283
70,0.575,-824.97314,-30.00346,1224.38367,-688.74756,-162.51332,1164.57935
71,0.583,-818.41461,-30.21841,1225.479,-681.9729,-161.5472,1163.7666
72,0.592,-812.31262,-31.39293,1225.64404,-676.04883,-161.29453,1164.15503
73,0.6,-808.08881,-32.54226,1225.71082,-670.38409,-162.38544,1164.27698
74,0.608,-801.58954,-33.25802,1225.42578,-662.76031,-160.20616,1163.4729
75,0.617,-795.35547,-34.03701,1225.16895,-657.53888,-163.62544,1164.41931
76,0.625,-790.04944,-35.10086,1224.8468,-649.89795,-163.38091,1164.02954
77,0.633,-784.1488,-35.88897,1224.71582,-645.60938,-163.56929,1163.84204
78,0.642,-777.84503,-35.2636,1224.91162,-638.73138,-162.83969,1162.80139
79,0.65,-771.74304,-35.11354,1224.96851,-632.46094,-163.48955,1163.1925
80,0.658,-766.47552,-37.85017,1224.73352,-626.07562,-163.1861,1162.75208
81,0.667,-760.7478,-36.55436,1224.48193,-618.78729,-163.59329,1163.00439
82,0.675,-754.69104,-37.14601,1224.54065,-612.80231,-162.13918,1161.72437
83,0.683,-747.62292,-38.06833,1223.31812,-607.88617,-162.6096,1161.44824
84,0.692,-742.34546,-37.60778,1223.62671,-601.51111,-164.29726,1161.60852
85,0.7,-737.48193,-37.13905,1223.68774,-594.41949,-160.90721,1161.68176
86,0.708,-731.46558,-36.77906,1223.79651,-587.14105,-160.80016,1161.41382
87,0.717,-724.7428,-36.51913,1223.22974,-582.35864,-161.36401,1160.3197
88,0.725,-718.1795,-36.63131,1223.35522,-576.03577,-161.14601,1161.23743
89,0.733,-712.17377,-35.70715,1222.98853,-570.01807,-159.90074,1160.06824
90,0.742,-705.90161,-36.18198,1222.37048,-564.2063,-158.79126,1159.83459
91,0.75,-699.67963,-34.52866,1221.67419,-557.95862,-158.99522,1160.50391
92,0.758,-693.92261,-34.27229,1221.59033,-551.61847,-158.6935,1159.69287
93,0.767,-689.23822,-33.58345,1220.74524,-544.93927,-157.98743,1160.08167
94,0.775,-682.9563,-32.88675,1219.70935,-539.79504,-156.75548,1158.83484
95,0.783,-676.25696,-31.94094,1218.71545,-534.56042,-157.56943,1158.37329
96,0.792,-670.44739,-30.9973,1218.19055,-527.12677,-155.65666,1157.39185
97,0.8,-664.46191,-29.3872,1217.41467,-522.51892,-156.31552,1157.08826
98,0.808,-658.19342,-28.77862,1216.28394,-516.04175,-153.63644,1156.04895
99,0.817,-652.68994,-27.65205,1214.80762,-510.88959,-152.32274,1156.69653
100,0.825,-646.37183,-26.04641,1214.36023,-505.82449,-150.70465,1155.38196
101,0.833,-640.75165,-23.68748,1213.07629,-500.49124,-152.48151,1155.17542
102,0.842,-634.2074,-23.15048,1212.51099,-494.10022,-150.81619,1155.19788
103,0.85,-628.67688,-21.36437,1210.99902,-488.44876,-148.98477,1154.86487
104,0.858,-621.95898,-19.30749,1209.81433,-484.29224,-148.10962,1154.58752
105,0.867,-616.24591,-16.79786,1210.78149,-479.504,-146.96182,1154.53345
106,0.875,-609.10706,-16.45302,1210.81189,-473.31049,-146.42088,1154.75769
107,0.883,-604.97418,-15.03573,1210.93188,-467.3222,-144.82457,1154.8606
