Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
1,0,-1037.56372,117.82473,1621.45288,-927.81281,126.23289,1507.65967
2,0.008,-1031.84094,116.62731,1621.32935,-922.10516,126.94386,1506.06165
3,0.017,-1025.93726,116.99623,1622.68152,-915.05103,127.43714,1507.53284
4,0.025,-1019.68811,116.95261,1622.25952,-909.40271,129.20753,1508.59448
5,0.033,-1014.53088,116.48158,1622.13586,-904.07495,129.41934,1508.70972
6,0.042,-1008.86639,116.20983,1621.3739,-897.26007,129.55594,1509.11487
7,0.05,-1003.3244,113.56701,1620.70056,-892.185,122.58327,1507.63635
8,0.058,-996.96667,113.6549,1621.81372,-885.58691,130.86903,1510.61633
9,0.067,-990.58099,113.01835,1621.70276,-880.66016,127.31149,1509.36926
10,0.075,-985.25555,112.69848,1621.5376,-874.09589,124.52875,1509.10681
11,0.083,-979.67273,111.80578,1620.36133,-868.29822,125.87733,1509.29688
12,0.092,-973.16772,110.37071,1620.91797,-860.9671,131.17923,1510.29089
13,0.1,-967.12146,111.02543,1620.76672,-853.02887,132.28996,1511.80286
14,0.108,-962.65002,109.95325,1619.83557,-848.13086,128.73807,1510.57507
15,0.117,-956.6778,107.91105,1620.15295,-845.42242,119.28327,1507.63611
16,0.125,-950.59772,108.56393,1620.00488,-839.89972,117.09579,1506.99951
17,0.133,-943.58197,107.63468,1618.51343,-832.09515,120.15247,1508.52698
18,0.142,-936.70959,106.21642,1617.92542,-824.45288,124.33395,1508.27856
19,0.15,-932.05481,105.58865,1618.13049,-818.3006,123.72976,1508.01294
20,0.158,-926.26678,105.45287,1617.42212,-812.66998,116.73866,1506.74219
21,0.167,-919.40405,104.10788,1616.09485,-806.40625,115.23245,1504.7074
22,0.175,-913.53821,103.75838,1615.99585,-800.89703,115.55895,1504.46143
23,0.183,-907.90405,102.20526,1614.40588,-794.2301,112.62268,1503.66064
24,0.192,-902.23901,101.67222,1613.41296,-789.34906,112.21411,1501.93164
25,0.2,-895.59778,101.19082,1611.68823,-781.84351,114.47888,1501.33179
26,0.208,-888.83197,99.37856,1610.90027,-775.7923,109.90009,1499.66919
27,0.217,-883.05841,98.47286,1609.71057,-770.8656,108.36777,1497.6803
28,0.225,-877.86737,97.47595,1607.87329,-765.25397,108.20657,1496.23279
29,0.233,-871.41425,96.56048,1608.01099,-758.34576,106.73074,1496.87903
30,0.242,-865.57996,94.80684,1606.39722,-752.06897,106.8108,1495.89587
31,0.25,-861.00677,93.35771,1606.52148,-747.172,103.96864,1496.27527
32,0.258,-853.89758,93.17963,1604.37354,-741.32611,105.45894,1493.06653
33,0.267,-846.64246,91.15569,1602.91492,-734.94769,103.82662,1490.80762
34,0.275,-842.37701,90.10136,1602.98291,-728.28271,105.64124,1493.48706
35,0.283,-835.21631,89.06651,1602.98572,-721.42743,105.71884,1493.43445
36,0.292,-829.35632,88.30699,1602.59961,-715.95386,104.09858,1492.49658
37,0.3,-823.62531,86.14491,1604.04626,-709.33978,100.97197,1494.79797
38,0.308,-816.08075,83.47543,1603.37097,-704.70703,97.42261,1491.1759
39,0.317,-808.52728,82.51895,1605.5033,-698.03754,97.53595,1492.88721
40,0.325,-802.75116,81.04452,1605.51965,-691.81799,97.6144,1493.52563
41,0.333,-796.88171,79.80653,1605.96399,-684.68274,98.24294,1495.37354
42,0.342,-790.83588,77.87544,1607.48096,-678.90253,96.00443,1496.70032
43,0.35,-784.7135,76.48141,1607.80713,-672.49054,93.68475,1497.01147
44,0.358,-778.0354,76.64919,1608.36353,-668.01331,92.64191,1495.33008
45,0.367,-772.11255,75.49463,1609.76465,-661.34955,92.17783,1497.4729
46,0.375,-766.70868,72.90858,1610.86365,-654.23541,86.50698,1499.69495
47,0.383,-759.83417,73.1443,1613.15479,-647.94025,89.5763,1501.85864
48,0.392,-753.63446,72.87908,1613.52161,-642.51953,89.55276,1501.53418
49,0.4,-747.78973,71.86109,1612.99988,-638.77869,86.46489,1498.76624
