Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z
317,2.633,759.37958,68.16479,1408.59216
318,2.642,766.17188,67.79041,1407.21252
319,2.65,772.01202,66.11342,1406.42029
320,2.658,778.48431,65.17793,1405.22473
321,2.667,784.41278,63.49345,1404.19287
322,2.675,790.76556,62.09911,1403.63831
323,2.683,797.90515,60.54362,1402.69946
324,2.692,804.05115,57.93877,1401.76208
325,2.7,810.55865,57.59775,1401.01526
326,2.708,816.8009,55.42691,1400.31812
327,2.717,824.39978,53.86272,1400.52612
328,2.725,830.80548,52.32225,1400.54211
329,2.733,837.02954,50.70675,1400.67737
330,2.742,844.70056,48.51353,1401.88232
331,2.75,851.57257,46.25914,1402.35559
332,2.758,858.44904,44.39339,1402.73682
333,2.767,865.97858,43.90891,1404.31799
334,2.775,871.23828,42.40282,1404.9574
335,2.783,878.43256,40.21581,1405.05298
336,2.792,885.28186,39.86437,1406.54968
337,2.8,892.10406,37.65504,1407.89441
338,2.808,898.95605,35.00368,1407.97705
339,2.817,905.61395,34.32502,1409.19983
340,2.825,912.52698,33.28661,1410.58447
341,2.833,919.38367,31.19729,1410.10449
342,2.842,926.65021,29.5686,1410.62927
343,2.85,932.59198,28.10486,1411.08069
344,2.858,939.93848,27.37642,1412.05298
345,2.867,945.92383,24.91938,1412.43188
346,2.875,952.90356,23.8772,1412.78162
347,2.883,959.85632,21.56965,1413.03259
348,2.892,966.30432,20.46996,1413.50623
349,2.9,973.13251,19.60952,1414.19189
350,2.908,979.84973,16.90854,1414.03125
351,2.917,986.65723,16.69915,1414.2561
352,2.925,993.68866,13.52784,1414.69763
353,2.933,999.89569,12.67662,1415.40747
354,2.942,1006.29614,12.30913,1416.06763
355,2.95,1012.28729,10.49467,1416.1189
356,2.958,1019.05493,9.45467,1416.43652
357,2.967,1025.67065,7.80829,1417.16748
358,2.975,1031.26233,6.4175,1417.04858
359,2.983,1037.7821,6.26534,1417.72144
360,2.992,1043.18335,4.98003,1418.37244
361,3,1048.7207,5.66404,1418.66699
362,3.008,1055.98462,4.79991,1419.19226
363,3.017,1061.64673,2.28539,1419.29834
364,3.025,1067.77539,1.51491,1418.92041
365,3.033,1074.16296,1.33729,1418.71558
366,3.042,1080.41797,-0.51269,1418.94824
367,3.05,1086.43591,-1.66112,1419.79053
368,3.058,1091.51184,-0.94975,1419.93481
369,3.067,1098.67737,-0.60974,1420.48267
370,3.075,1104.28308,-1.09562,1419.03125
371,3.083,1110.04053,-3.45448,1418.93811
372,3.092,1116.34949,-3.43362,1419.25879
373,3.1,1122.35718,-4.1143,1419.95972
374,3.108,1128.82532,-5.52405,1418.70618
375,3.117,1133.69958,-4.17649,1418.19214
376,3.125,1140.13623,-5.0736,1417.93567
377,3.133,1146.66931,-4.47347,1418.63367
378,3.142,1151.79578,-4.50807,1417.42786
379,3.15,1157.46472,-4.58119,1416.46472
380,3.158,1164.04968,-4.4498,1416.48462
381,3.167,1170.84778,-5.22386,1415.57117
382,3.175,1175.65942,-3.89057,1414.95508
383,3.183,1182.38196,-3.82591,1415.02991
384,3.192,1188.40442,-3.59319,1415.06152
385,3.2,1194.31384,-3.49988,1413.37903
386,3.208,1200.89246,-1.33027,1412.47009
387,3.217,1207.08826,-2.38263,1412.27271
388,3.225,1212.23242,-0.25421,1412.05615
389,3.233,1217.81421,-0.26919,1411.40491
390,3.242,1223.24683,-1.23466,1409.70154
391,3.25,1228.99902,1.63545,1409.65088
392,3.258,1234.96521,0.22668,1408.60193
393,3.267,1240.09106,3.83794,1408.55273
394,3.275,1246.00159,3.64457,1408.06348
395,3.283,1251.47351,5.99151,1407.6615
396,3.292,1257.75403,6.67258,1407.6875
397,3.3,1262.60913,9.47625,1408.19092
398,3.308,1269.65198,9.07982,1408.57715
399,3.317,1275.8147,10.18655,1408.64453
400,3.325,1281.64795,12.12572,1410.72913
401,3.333,1288.00598,12.01616,1411.52014
402,3.342,1292.88513,13.89435,1412.58667
403,3.35,1299.90845,13.89676,1413.55432
404,3.358,1306.3208,14.93587,1413.66968
405,3.367,1311.90027,15.37631,1413.67114
406,3.375,1317.76843,16.60796,1414.927
407,3.383,1323.17371,17.44744,1416.13733
408,3.392,1329.71802,17.30703,1416.54321
409,3.4,1334.35571,20.09308,1417.15405
410,3.408,1340.50427,20.28003,1417.65564
411,3.417,1346.96338,21.16127,1417.80627
412,3.425,1351.46814,21.84834,1418.4231
413,3.433,1359.01428,22.24643,1419.66821
414,3.442,1364.98413,23.11638,1419.63232
415,3.45,1371.11011,23.92554,1419.56531
416,3.458,1377.33704,23.015,1419.12305
417,3.467,1382.10168,25.06055,1420.48486
418,3.475,1389.39233,24.22647,1420.05908
419,3.483,1395.89014,24.07061,1420.25342
420,3.492,1401.25977,25.63464,1420.3916
421,3.5,1407.2937,25.95307,1420.03088
422,3.508,1412.27356,27.78238,1421.23828
423,3.517,1417.92053,26.25834,1421.20447
424,3.525,1423.98779,26.93091,1421.62732
425,3.533,1428.9292,27.8755,1421.91956
426,3.542,1435.23621,27.134,1422.61316
427,3.55,1440.07312,27.85988,1423.33484
428,3.558,1446.51074,27.99513,1423.14575
429,3.567,1452.6499,26.81268,1423.01526
430,3.575,1457.15991,27.06573,1423.13916
431,3.583,1464.48621,28.42642,1423.77722
432,3.592,1469.60718,27.50251,1424.4613
433,3.6,1474.8219,27.75655,1425.32629
434,3.608,1480.87646,28.4076,1425.26404
435,3.617,1485.62317,26.17087,1425.84912
436,3.625,1491.67273,27.66041,1424.74878
437,3.633,1498.67493,27.11866,1424.59241
438,3.642,1503.48389,26.28183,1424.76184
439,3.65,1508.94861,26.28672,1424.57495
440,3.658,1515.73242,26.75206,1424.21497
441,3.667,1522.08533,24.47009,1422.82068
442,3.675,1527.0719,24.92742,1423.10876
443,3.683,1533.58313,24.82987,1423.12488
444,3.692,1539.28735,22.71131,1422.56018
445,3.7,1543.54456,22.2065,1422.78198
446,3.708,1551.87891,22.05894,1422.73047
447,3.717,1556.67163,19.65708,1420.92554
448,3.725,1563.04346,18.62921,1420.76587
449,3.733,1568.36292,19.43016,1419.75159
450,3.742,1575.79272,18.86221,1420.79797
451,3.75,1579.77466,16.36908,1418.66516
452,3.758,1584.68994,14.80232,1418.1593
453,3.767,1590.6604,13.11244,1416.3418
454,3.775,1597.03149,12.21233,1416.46265
455,3.783,1603.14648,11.35764,1414.78577
456,3.792,1609.36731,10.75996,1413.16467
457,3.8,1613.62561,8.49524,1412.84753
458,3.808,1619.57251,5.07503,1410.70557
459,3.817,1626.39734,3.65117,1410.78174
460,3.825,1632.05493,4.49745,1409.82251
461,3.833,1638.42114,2.19682,1408.99121
462,3.842,1642.59326,0.22772,1405.88867
463,3.85,1648.82605,-2.16585,1406.11584
464,3.858,1654.3894,-6.3652,1403.88074
465,3.867,1658.86121,-8.18795,1402.05078
466,3.875,1665.60364,-8.05762,1402.08179
467,3.883,1671.75391,-7.84175,1403.07788
468,3.892,1678.42017,-10.48356,1403.34192
469,3.9,1685.25781,-14.09427,1404.18079
470,3.908,1690.02307,-17.17833,1404.28906
471,3.917,1696.69226,-19.35399,1405.07288
472,3.925,1703.20532,-18.23714,1405.81738
473,3.933,1708.61926,-20.08569,1405.29456
