Frame#,Time,L.Biceps.Lateral.x,L.Biceps.Lateral.y,L.Biceps.Lateral.z,L.Elbow.x,L.Elbow.y,L.Elbow.z,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
58,0.475,-165.82198,353.99084,1038.97974,15.53474,361.58005,1030.7345,9.37867,330.98666,955.65704
59,0.483,-165.82198,353.99084,1038.97974,15.70387,361.52011,1030.755,9.82205,330.7305,955.60498
60,0.492,-165.82198,353.99084,1038.97974,15.39873,361.29202,1030.66321,9.98184,330.65457,955.60895
61,0.5,-165.82198,353.99084,1038.97974,15.39873,361.29202,1030.66321,9.99179,330.71524,955.82312
62,0.508,-165.89268,353.93204,1039.0752,15.39281,361.21439,1030.75891,10.25874,330.6181,956.05585
63,0.517,-165.84767,353.65384,1039.21155,15.77135,361.40247,1031.14893,10.37358,330.88132,956.25323
64,0.525,-165.7709,353.7905,1039.36169,15.81417,361.33014,1031.22339,10.37358,330.88132,956.25323
65,0.533,-165.98491,353.95139,1039.6095,16.03757,361.58728,1031.72375,10.37358,330.88132,956.25323
66,0.542,-165.93613,353.9628,1040.09827,16.2077,361.5683,1032.05591,10.37358,330.88132,956.25323
67,0.55,-165.76297,354.01508,1040.44897,16.18389,361.67111,1032.3468,10.47673,330.59967,956.52753
68,0.558,-165.76297,354.01508,1040.44897,16.18389,361.67111,1032.3468,10.37358,330.88132,956.25323
69,0.567,-165.76297,354.01508,1040.44897,16.06626,361.63263,1032.42944,10.37358,330.88132,956.25323
70,0.575,-165.63232,353.93961,1040.49512,16.38893,361.4769,1032.26965,10.32923,331.19458,956.57098
71,0.583,-165.67563,353.73422,1040.6781,16.38893,361.4769,1032.26965,10.32923,331.19458,956.57098
72,0.592,-165.51958,353.39789,1040.68274,16.38893,361.4769,1032.26965,10.32923,331.19458,956.57098
73,0.6,-165.3873,353.40494,1040.8158,16.19154,361.13992,1032.16882,10.37358,330.88132,956.25323
74,0.608,-165.51958,353.39789,1040.68274,16.19154,361.13992,1032.16882,10.37358,330.88132,956.25323
75,0.617,-165.51958,353.39789,1040.68274,16.09961,361.09329,1031.99243,10.39113,331.06015,956.14429
76,0.625,-165.51958,353.39789,1040.68274,15.92983,360.89673,1031.37024,10.45294,331.11081,956.05737
77,0.633,-165.25403,353.39941,1040.1322,15.76562,360.41586,1030.66357,10.00998,331.31,955.77289
78,0.642,-165.25403,353.39941,1040.1322,15.82736,360.74222,1030.59631,10.03822,331.00031,955.36761
79,0.65,-165.26907,353.30127,1039.09009,15.85604,360.86456,1030.43201,9.87857,331.08664,955.35211
80,0.658,-165.26907,353.30127,1039.09009,15.41579,360.20007,1030.18799,10.25515,330.76517,955.02466
81,0.667,-165.38031,353.60388,1038.78235,15.08738,360.08743,1029.56348,10.0533,330.82483,954.78711
82,0.675,-165.39024,353.6994,1038.67053,15.36062,360.28726,1029.29565,10.27326,330.57578,954.62421
83,0.683,-165.52155,353.82785,1038.46509,15.26669,360.49884,1029.19104,10.41287,330.77979,954.4892
84,0.692,-165.52155,353.82785,1038.46509,15.26669,360.49884,1029.19104,10.24679,330.25534,954.52795
