Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M1.x,R.Thumb.M1.y,R.Thumb.M1.z,R.Thumb.M2.x,R.Thumb.M2.y,R.Thumb.M2.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M1.x,R.Finger3.M1.y,R.Finger3.M1.z,R.Finger3.M2.x,R.Finger3.M2.y,R.Finger3.M2.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
24,0.192,-901.85773,-129.15417,823.5506,-891.60724,-80.60111,830.6272,-859.13348,-62.63139,796.90808,-838.73792,-54.38779,760.86963,-874.37054,-131.43495,755.69427,-864.12421,-113.3904,707.69885,-869.76794,-97.4545,665.78577
25,0.2,-894.57947,-129.2606,823.25684,-885.10834,-82.02125,830.11377,-852.22003,-62.32874,796.72949,-832.11426,-54.13749,760.66815,-867.02661,-130.49211,755.49841,-857.18018,-112.42937,706.87469,-863.63721,-100.91015,666.13605
26,0.208,-887.31622,-129.37117,822.96368,-876.46045,-81.33205,829.52264,-845.63019,-63.73559,796.21521,-824.21643,-52.72631,761.52411,-859.26019,-131.87785,755.35596,-849.88586,-113.51891,705.81219,-853.71552,-98.00478,665.97015
27,0.217,-880.12921,-128.75706,821.28571,-869.99719,-83.26183,828.76111,-838.39655,-63.51029,796.33533,-817.09094,-52.1621,761.21484,-850.34869,-131.02199,755.1272,-841.79364,-112.99467,706.15265,-847.35632,-97.71384,664.72992
28,0.225,-873.73474,-127.69886,820.33197,-860.01135,-82.62439,829.71814,-831.07599,-64.0055,795.89728,-809.92029,-52.88647,761.70355,-843.18896,-131.58247,754.66418,-834.51044,-114.00778,706.21295,-839.21954,-97.34142,664.17621
29,0.233,-864.71643,-126.36759,821.22552,-854.46045,-84.15582,829.07507,-822.62933,-63.15837,796.08563,-801.71936,-53.78279,760.58594,-834.65479,-130.92938,754.51428,-825.64941,-113.63709,704.72504,-829.52185,-99.74667,665.45184
30,0.242,-859.46735,-128.86783,818.8324,-845.90924,-81.01556,828.78558,-815.42273,-65.32107,796.76813,-793.68378,-53.51788,760.11053,-827.28827,-132.9549,754.16125,-817.42017,-114.29643,706.49713,-821.76807,-100.33777,664.53668
31,0.25,-852.84131,-127.62431,816.62744,-839.30426,-83.94451,827.81659,-808.73779,-65.66586,795.02435,-784.76721,-54.24362,760.74963,-818.40619,-131.35796,753.64825,-809.18976,-114.96777,705.81366,-811.27863,-97.86066,663.96942
32,0.258,-845.22943,-127.33955,817.21405,-828.37756,-83.86449,824.01453,-800.70898,-66.29324,794.69739,-777.77502,-54.05625,761.00891,-808.9552,-133.78433,752.95801,-798.92181,-113.93449,704.30029,-804.03253,-98.18234,663.63019
33,0.267,-840.10718,-125.5975,815.81372,-819.99402,-86.76817,823.99506,-791.44086,-63.57234,794.34113,-768.56042,-54.38811,759.76135,-801.91766,-132.80193,752.45905,-789.65472,-115.59138,704.93896,-794.66711,-99.50603,663.33185
34,0.275,-828.78772,-128.56065,815.81177,-811.64294,-85.582,823.40002,-785.38953,-67.27225,793.57715,-761.42108,-54.23119,758.64862,-791.948,-133.39143,751.83374,-780.56732,-114.30747,703.81433,-786.59515,-100.30922,663.23187
35,0.283,-821.65668,-128.70538,815.52789,-804.60339,-88.0853,823.46869,-775.11884,-65.75232,794.06805,-751.99097,-55.00732,759.98279,-785.75269,-133.95338,751.66669,-772.43756,-115.2691,703.92206,-775.24945,-99.98358,663.28302
36,0.292,-810.9964,-131.67188,815.68365,-794.35986,-87.12208,821.51935,-767.7215,-68.28843,793.90399,-744.01825,-57.10432,759.27991,-775.47168,-133.94798,751.11554,-764.09241,-115.03348,703.80438,-765.68378,-99.9573,662.3844
37,0.3,-800.30664,-135.43578,816.29321,-787.87537,-88.52812,822.31104,-759.53595,-66.44651,794.06586,-736.30225,-56.30049,759.07129,-768.15576,-135.0428,751.00745,-753.99115,-117.25967,703.35266,-757.69385,-100.25668,663.77875
38,0.308,-792.37445,-133.20207,815.66284,-778.55719,-87.78051,821.55444,-752.08527,-68.82895,792.80865,-728.05206,-58.10415,759.42963,-759.91199,-134.37764,750.82703,-748.1236,-119.80489,703.50085,-749.7583,-100.98228,663.26807
39,0.317,-787.40247,-132.73534,813.62994,-772.2951,-89.73725,822.12012,-742.48108,-68.48521,794.11658,-720.00385,-57.96893,759.26215,-750.68927,-136.67433,751.0495,-739.99103,-117.12328,704.95563,-739.10126,-103.76852,662.39294
40,0.325,-780.13849,-136.14873,814.7359,-762.21283,-90.01317,821.81311,-735.82312,-70.83044,794.03802,-712.15533,-59.56614,760.07227,-743.7345,-135.99739,750.86859,-728.39783,-119.46863,705.1156,-731.21375,-104.52335,663.42719
41,0.333,-768.89008,-139.72,817.17004,-762.37207,-89.95486,828.64459,-726.74377,-69.74017,795.52509,-703.62732,-59.38704,759.90985,-733.95197,-139.07559,751.93298,-720.35663,-119.3352,705.35223,-722.08954,-106.04107,663.14288
42,0.342,-755.63123,-140.08597,818.29205,-754.12823,-88.95301,829.59875,-720.16327,-71.03887,796.07422,-695.76184,-58.58112,760.177,-725.9762,-138.76854,753.08911,-712.89703,-122.67426,705.815,-714.62201,-105.57999,665.35864
43,0.35,-747.43781,-140.38463,819.71143,-743.8692,-91.66273,829.32745,-711.12653,-71.40543,796.2738,-686.45477,-61.29115,761.77142,-714.99683,-140.52103,756.1864,-705.3576,-122.76155,708.82953,-706.17133,-109.34761,666.87787
44,0.358,-739.4953,-141.86024,821.3645,-732.83356,-92.83239,831.30902,-702.49194,-70.27676,797.2243,-679.65796,-60.13111,763.61639,-706.70807,-140.38014,757.19104,-697.50122,-123.6415,708.9588,-699.90759,-110.11193,667.40491
45,0.367,-729.88928,-137.67714,823.1712,-729.96686,-92.35935,833.14154,-695.97284,-71.17416,798.70807,-671.32367,-60.4882,764.836,-700.17236,-141.12938,758.19281,-688.61456,-124.76719,709.45502,-691.83972,-111.13412,668.66699
46,0.375,-722.47559,-141.94066,824.82654,-719.44446,-91.67344,835.15497,-685.51569,-71.83076,800.88361,-664.17474,-61.03251,765.91498,-691.92169,-141.17508,760.38922,-679.68903,-126.6005,711.31024,-683.36395,-112.35985,670.24658
47,0.383,-714.6532,-142.53522,825.76038,-714.65729,-93.64466,836.57617,-676.4928,-70.89597,801.83569,-655.32373,-61.38651,768.51697,-683.52496,-141.81786,762.43317,-671.94775,-127.42336,713.71216,-674.67639,-114.37469,672.79974
48,0.392,-705.85352,-143.19753,827.71497,-703.40942,-92.56705,837.17773,-670.01477,-74.1534,805.39398,-646.36707,-63.46222,771.70361,-674.4892,-141.9313,763.45886,-661.7301,-125.06032,715.03052,-664.48102,-111.13544,674.62482
49,0.4,-697.7204,-143.20714,829.8252,-697.4873,-94.51096,840.43567,-662.58923,-73.00807,806.97906,-637.82385,-63.96138,773.04126,-666.86737,-142.08154,766.09155,-653.8855,-126.76831,717.53198,-657.87939,-113.62866,677.06226
50,0.408,-689.59955,-145.01785,831.60803,-687.53809,-93.67869,842.42389,-652.88507,-76.6822,808.55585,-628.37524,-64.64658,775.36517,-655.6734,-144.06604,768.19287,-643.60175,-126.42591,720.22217,-646.83295,-112.769,679.01416
51,0.417,-679.95081,-142.87944,832.48853,-678.91174,-96.36113,844.21454,-644.44513,-75.97133,811.39215,-620.0152,-63.95406,778.33356,-646.83069,-143.92421,769.82306,-634.06244,-127.60492,722.24231,-635.45197,-111.9535,680.30707
52,0.425,-672.9223,-146.53619,833.67914,-671.22308,-94.41116,844.80658,-637.08203,-75.478,812.60876,-610.64148,-64.88197,779.48615,-640.29376,-144.53856,770.84546,-626.90942,-127.4528,723.7005,-627.8681,-112.37685,682.80035
53,0.433,-664.85913,-146.88557,836.50293,-664.62585,-96.6392,845.52179,-627.74493,-76.78861,814.8924,-602.45642,-65.2103,781.21393,-630.04565,-144.40805,773.13922,-616.16357,-126.31162,725.75226,-617.04205,-111.99242,684.60406
54,0.442,-656.37213,-146.78972,837.96399,-653.03253,-97.85471,847.61475,-619.39587,-76.22118,817.04767,-594.2915,-65.5983,784.21155,-621.59106,-145.88214,775.71161,-607.41724,-126.23371,727.20306,-607.10236,-112.05265,686.71692
55,0.45,-647.44336,-146.12424,839.3725,-648.66937,-99.26879,850.78491,-611.70044,-76.54408,817.99323,-585.19269,-66.32351,785.38702,-613.01379,-146.09064,776.24951,-598.64056,-127.10191,728.68146,-599.5755,-112.84465,688.30475
56,0.458,-639.09576,-147.81937,839.45374,-638.55115,-99.53558,852.17395,-603.46588,-76.88554,819.67053,-576.10516,-66.82693,787.74048,-605.65472,-144.73499,776.25104,-589.46588,-127.30741,730.70007,-589.35382,-113.12748,689.27533
57,0.467,-631.73645,-147.41338,840.53357,-633.65533,-98.6245,851.17883,-596.01605,-78.89725,821.09045,-566.93915,-67.28487,789.02979,-596.01172,-147.23021,778.81494,-580.23462,-127.59816,732.12622,-579.85181,-113.17639,689.81055
58,0.475,-622.26422,-148.41534,841.56989,-621.47913,-99.56081,852.54553,-585.51025,-78.50313,822.211,-558.93835,-66.464,789.09357,-587.90381,-145.98265,780.38947,-570.8269,-127.3244,730.98846,-572.58044,-114.28449,692.57312
59,0.483,-614.12537,-147.81129,842.64728,-613.73163,-100.73123,855.47028,-576.95074,-77.78173,824.12201,-552.07928,-66.96822,790.09851,-578.93042,-146.09335,780.8858,-562.35297,-127.83511,733.35718,-561.83923,-112.13924,693.20618
60,0.492,-606.0163,-148.56044,843.89105,-608.63348,-98.91727,854.93927,-568.92749,-79.29868,824.49432,-543.11188,-68.00566,791.07062,-570.65771,-146.85654,781.88641,-554.58887,-127.17556,735.44818,-552.34845,-113.0889,693.45172
61,0.5,-597.93811,-149.07538,843.09808,-597.57416,-100.14146,855.67487,-561.52991,-78.42744,825.86414,-534.8808,-66.82705,792.74335,-562.62952,-146.5668,781.36884,-545.06891,-127.4025,736.15924,-544.45648,-115.54279,694.78485
62,0.508,-591.19775,-150.70654,845.00055,-590.4967,-101.83405,853.9165,-552.78711,-80.46289,826.13367,-526.91364,-67.4365,792.6026,-553.84985,-147.78807,783.24988,-537.77502,-129.37706,737.00372,-535.59058,-114.1805,695.05731
63,0.517,-582.90076,-149.43657,845.99561,-583.65979,-100.40662,855.55542,-545.2691,-78.69569,825.8382,-519.45856,-67.05027,795.06805,-546.46741,-146.92734,783.16125,-529.36938,-129.37491,737.56268,-528.28448,-117.43106,697.83527
64,0.525,-573.95959,-147.72534,845.67444,-580.34528,-99.23634,855.08594,-538.80792,-79.22208,825.93713,-512.10474,-66.62831,793.59808,-537.91663,-147.16676,784.57635,-521.17188,-130.28693,738.99902,-520.30011,-115.02745,698.11206
65,0.533,-566.49341,-148.18979,845.97339,-569.3031,-100.26878,856.73328,-531.42029,-78.42984,826.75494,-503.82858,-66.39582,793.40338,-529.73895,-147.34615,785.5766,-513.02612,-130.09608,739.11847,-511.95624,-114.45842,698.61829
66,0.542,-560.47589,-150.10825,846.02081,-557.7962,-103.52995,857.06067,-523.60718,-78.79117,827.30383,-496.84225,-67.02541,794.31256,-523.51208,-146.07722,785.84393,-505.82687,-127.7288,739.89294,-504.4068,-113.92526,698.70563
67,0.55,-552.81506,-149.63374,846.6048,-552.21204,-101.25136,858.81219,-517.41003,-78.38772,827.6084,-490.07797,-66.69173,795.27332,-515.40057,-146.65556,785.89386,-498.69894,-129.73785,740.72021,-496.27768,-115.55553,698.05615
68,0.558,-544.26379,-148.6779,847.67969,-544.69965,-99.19397,857.88519,-507.43579,-79.60689,829.32574,-482.7738,-64.86588,797.09814,-507.96268,-146.0016,786.2876,-490.45575,-129.43774,741.03076,-488.599,-116.01794,700.22491
69,0.567,-537.65942,-150.60074,848.1908,-539.41168,-100.93352,858.2475,-499.13913,-76.96091,829.10809,-474.93018,-66.45315,797.7373,-500.00729,-145.54768,786.57721,-482.92407,-128.85625,740.96509,-481.5137,-113.70851,700.32721
70,0.575,-530.1933,-148.44769,848.72961,-533.30609,-98.18647,858.43896,-494.7738,-76.45392,828.7674,-468.60236,-65.30054,798.59668,-493.41592,-147.16516,787.20477,-475.75183,-128.42119,741.1225,-475.06546,-115.39465,700.97296
71,0.583,-526.00183,-149.39735,847.86566,-527.388,-97.76549,858.25397,-490.72293,-75.75251,828.92511,-462.16199,-64.37654,798.31323,-485.517,-145.54543,788.01971,-468.52551,-129.38075,742.48346,-466.33829,-114.72575,702.05841
72,0.592,-520.61426,-147.33365,846.90527,-520.16394,-97.81459,858.55286,-484.04175,-75.49108,830.37006,-453.22101,-63.90547,799.24768,-478.4906,-145.45625,789.12115,-461.61734,-127.91002,742.29596,-461.3638,-113.66102,701.3158
73,0.6,-512.75854,-146.17238,847.72028,-515.38336,-97.03693,859.76813,-476.3168,-74.42085,830.43237,-446.77237,-63.77915,800.14307,-470.75293,-144.6909,789.2937,-455.26785,-127.04396,743.88739,-452.47998,-113.69176,701.99786
74,0.608,-504.08734,-148.3914,849.62872,-504.267,-96.21089,860.28851,-468.44122,-75.36236,832.30255,-439.36374,-63.06609,799.54797,-464.18213,-144.46767,789.58545,-446.30435,-125.6007,744.07935,-447.23724,-111.63748,702.50433
75,0.617,-496.57745,-144.39058,849.59961,-495.65558,-95.76318,860.18036,-459.05154,-75.86065,830.92957,-433.60727,-62.99939,800.1864,-457.71616,-143.73206,789.77509,-440.59592,-126.49408,744.90686,-438.49374,-111.32221,702.82727
76,0.625,-490.05438,-143.16278,851.48273,-495.65558,-95.76318,860.18036,-451.70325,-76.24396,832.64417,-425.83102,-63.32556,801.40381,-450.60361,-143.14442,790.11896,-432.60263,-125.90337,744.78839,-431.97919,-110.74931,703.96619
77,0.633,-483.71729,-144.91447,851.33826,-486.45016,-95.79123,860.8974,-447.71442,-74.40127,832.91748,-419.51428,-62.50601,801.40369,-443.74142,-143.64447,790.76428,-425.58643,-123.84157,745.09906,-424.25299,-109.6486,704.12891
78,0.642,-476.40076,-144.62207,851.42194,-477.26566,-98.32615,862.77576,-441.58194,-73.59103,833.16937,-413.24936,-62.29858,801.64929,-436.35577,-142.69662,791.03406,-418.67065,-123.18076,745.44006,-416.4404,-109.54475,704.87714
79,0.65,-467.63113,-145.16757,849.62561,-465.66129,-99.09058,862.25385,-433.61087,-73.84293,834.75903,-406.28342,-60.25338,802.81976,-429.75525,-141.98877,791.23395,-411.3754,-123.48338,746.66547,-410.55716,-107.65479,704.80786
80,0.658,-463.49484,-145.66689,851.57654,-459.79593,-95.82822,863.40753,-427.05899,-72.80043,833.70032,-400.11105,-60.96448,803.55518,-423.0368,-140.82999,791.23816,-405.35037,-122.59722,746.27637,-402.23029,-107.53802,704.81226
81,0.667,-455.98059,-145.12685,851.07886,-459.96481,-96.59196,862.8241,-421.40152,-72.70838,833.43433,-393.30551,-60.55522,803.41333,-415.90375,-140.1517,791.25031,-398.51328,-122.49052,746.64166,-396.36197,-106.58369,705.14587
82,0.675,-448.32523,-143.74628,851.2005,-450.62259,-96.71912,862.98621,-415.11716,-71.56394,833.16589,-387.116,-59.36501,803.48242,-409.93719,-140.71681,791.30725,-391.79321,-119.25558,745.76093,-390.68665,-105.57377,705.34973
83,0.683,-443.21619,-144.20358,850.44379,-445.31873,-97.42439,863.81274,-408.8291,-71.19833,833.81525,-381.54059,-58.53569,804.0321,-404.0444,-139.09857,791.18542,-385.54474,-120.33655,745.66345,-383.30679,-106.07595,704.85229
84,0.692,-436.79922,-143.75415,850.84314,-440.35208,-95.76485,862.70197,-402.36813,-71.0536,834.28802,-375.03271,-57.9375,803.87903,-397.37418,-139.20277,791.49554,-379.07278,-119.81827,745.7691,-376.42035,-104.08709,703.82599
