Frame#,Time,V.Sacral.x,V.Sacral.y,V.Sacral.z,R.ASIS.x,R.ASIS.y,R.ASIS.z,L.ASIS.x,L.ASIS.y,L.ASIS.z
56,0.458,-904.85175,75.67915,965.69342,-804.9472,-91.28271,946.03229,-805.55371,217.05746,934.66815
57,0.467,-899.0412,74.46339,965.46606,-799.052,-92.67313,946.4007,-803.15155,217.08182,934.58521
58,0.475,-894.63507,73.24889,966.35193,-795.07507,-92.72173,946.94904,-799.14728,216.8893,934.99561
59,0.483,-889.34821,72.9255,966.51038,-789.47839,-94.7323,948.22852,-790.96735,214.27254,935.83563
60,0.492,-884.51074,72.76668,966.13684,-782.88495,-95.02051,947.46844,-787.04541,214.31587,935.97919
61,0.5,-879.76495,71.50298,966.90149,-778.02032,-94.66756,947.87335,-784.86804,214.31526,936.59973
62,0.508,-874.35669,70.85884,967.29993,-774.11755,-96.77968,947.92517,-777.16394,212.47214,936.95917
63,0.517,-868.84711,69.44959,967.6839,-768.57648,-96.56329,947.50623,-774.56824,212.8602,937.20435
64,0.525,-864.52374,68.60242,967.94489,-762.63623,-97.65112,947.10907,-771.90436,213.08121,938.79126
65,0.533,-859.60962,68.56665,968.55591,-757.23285,-96.43193,947.92493,-764.41907,211.0835,938.48108
66,0.542,-854.92981,67.7414,968.99231,-752.01611,-97.66209,947.78619,-761.03894,211.00797,939.90198
67,0.55,-849.70404,66.79937,968.99866,-746.83667,-98.43839,947.86719,-755.41742,211.12581,939.50964
68,0.558,-844.18964,65.89738,969.79175,-741.03046,-98.87431,947.67065,-754.6748,210.52905,940.12402
69,0.567,-838.95923,64.51249,970.08356,-736.46277,-99.12107,946.98639,-736.02319,210.63481,940.29614
70,0.575,-833.98645,64.7692,969.96295,-731.18353,-100.28403,946.69348,-732.72729,210.45859,940.89246
71,0.583,-828.90021,64.42247,969.81384,-725.10883,-101.00947,945.28754,-736.30188,209.55946,942.0697
72,0.592,-824.46759,63.6654,969.27124,-721.53955,-101.04021,944.78485,-728.36615,209.03731,943.03552
73,0.6,-819.07629,63.39281,969.59351,-716.30206,-101.5777,944.92761,-718.71118,209.00739,942.36096
74,0.608,-812.92761,63.33799,969.69171,-710.72473,-100.51577,945.36462,-715.80377,208.84714,943.20227
75,0.617,-808.02368,63.14243,969.66125,-705.38647,-101.34662,944.59326,-711.78143,208.38298,943.70081
76,0.625,-802.85394,63.17516,970.17419,-700.20001,-101.58354,943.73334,-705.28461,207.8219,943.9314
77,0.633,-797.58081,63.1838,970.25391,-695.71191,-102.40886,944.07281,-700.53668,207.91211,944.41333
78,0.642,-792.33777,62.82046,970.27045,-690.73511,-104.78635,943.54468,-694.34357,207.52719,944.76654
