Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Front.Head.x,Front.Head.y,Front.Head.z,Rear.Head.x,Rear.Head.y,Rear.Head.z,Jaw.x,Jaw.y,Jaw.z
42,0.342,-141.93265,60.93941,1313.58337,-11.58475,64.66893,1228.96069,-237.62666,68.20883,1218.02075,-10.40976,58.86419,1083.67712
43,0.35,-141.93265,60.93941,1313.58337,-11.58475,64.66893,1228.96069,-237.62666,68.20883,1218.02075,-10.49392,58.89384,1083.47241
44,0.358,-141.60573,60.4889,1313.84802,-11.58475,64.66893,1228.96069,-237.66341,68.03703,1217.94116,-10.34872,58.75939,1083.76453
45,0.367,-141.75,60.78138,1313.61572,-11.57435,64.76808,1229.20728,-237.66341,68.03703,1217.94116,-10.34872,58.75939,1083.76453
46,0.375,-141.60573,60.4889,1313.84802,-11.57435,64.76808,1229.20728,-237.78583,67.84134,1217.94287,-10.34872,58.75939,1083.76453
47,0.383,-141.83748,60.64756,1313.97253,-11.57435,64.76808,1229.20728,-237.90828,67.64578,1217.94458,-9.86852,58.54278,1083.91235
48,0.392,-141.94351,60.70594,1313.90283,-11.57435,64.76808,1229.20728,-237.90828,67.64578,1217.94458,-9.86852,58.54278,1083.91235
49,0.4,-142.1873,60.48577,1313.94763,-11.57435,64.76808,1229.20728,-237.90828,67.64578,1217.94458,-9.76367,58.85233,1083.93054
50,0.408,-142.1873,60.48577,1313.94763,-11.57435,64.76808,1229.20728,-238.05713,67.32179,1217.87317,-10.00998,59.41792,1083.80762
51,0.417,-142.37875,60.44008,1313.9834,-12.00582,65.26567,1229.1167,-237.97234,67.21251,1217.92944,-9.62505,59.79052,1084.02698
52,0.425,-142.28931,60.46383,1314.30664,-11.53477,65.35415,1229.5498,-238.13049,66.26239,1218.05457,-9.56694,60.01738,1084.08533
53,0.433,-142.48938,60.44714,1314.03967,-12.12619,65.50673,1229.50574,-238.01926,65.89664,1218.03503,-9.46602,60.16991,1083.97742
54,0.442,-142.28931,60.46383,1314.30664,-12.08898,65.87165,1229.7489,-238.11633,64.81998,1218.51367,-9.46602,60.16991,1083.97742
55,0.45,-142.28931,60.46383,1314.30664,-12.42862,67.04464,1230.00684,-237.96495,64.51919,1218.23718,-10.28812,61.41769,1083.50134
56,0.458,-142.35788,60.34269,1314.32617,-12.42862,67.04464,1230.00684,-238.08867,64.00553,1217.65747,-10.02367,62.20527,1083.06104
